Date,Open,High,Low,Close,Adj Close,Volume,Source,Date,Open,High,Low,Close,Adj Close,Volume,Source,Date,Open,High,Low,Close,Adj Close,Volume,Source
2002-11-01,13.67,14.04,13.61,14.0,8.768871,1737400,ADM.csv,2002-11-01,25.360001,26.0,25.299999,25.83,17.219194,321500,BG.csv,2002-11-01,36.634964,37.716648,36.549568,37.688183,19.695948,1343175,DD.csv
2002-11-04,13.92,13.99,13.82,13.92,8.718761,1153400,ADM.csv,2002-11-04,26.24,26.25,25.58,26.0,17.33252,381700,BG.csv,2002-11-04,37.858974,38.115166,36.748825,37.005013,19.338926,1773311,DD.csv
2002-11-05,13.92,14.08,13.7,13.77,8.624815,1595500,ADM.csv,2002-11-05,25.700001,26.32,25.379999,25.43,16.952538,311800,BG.csv,2002-11-05,37.005013,37.844742,36.862686,37.588554,19.643887,1472314,DD.csv
2002-11-06,13.85,14.03,13.6,13.98,8.756348,1405700,ADM.csv,2002-11-06,25.5,25.639999,25.049999,25.049999,16.699223,294300,BG.csv,2002-11-06,38.428284,39.495735,37.858974,39.424572,20.60339,3084377,DD.csv
2002-11-07,13.9,14.29,13.9,14.27,8.937985,2144700,ADM.csv,2002-11-07,25.049999,25.190001,24.870001,25.0,16.665886,133800,BG.csv,2002-11-07,39.139919,39.353409,37.431995,37.716648,19.710833,1600891,DD.csv
2002-11-08,14.22,14.45,14.13,14.28,8.944249,1813200,ADM.csv,2002-11-08,24.950001,25.0,24.559999,24.9,16.599216,287800,BG.csv,2002-11-08,37.787811,38.613308,36.905384,37.759346,19.733143,2570490,DD.csv
2002-11-11,14.18,14.21,13.94,13.99,8.76261,1707700,ADM.csv,2002-11-11,24.99,25.129999,24.870001,25.049999,16.699223,175800,BG.csv,2002-11-11,37.431995,37.844742,36.008724,36.250683,18.944706,1231460,DD.csv
2002-11-12,14.01,14.14,13.83,13.84,8.66866,1550200,ADM.csv,2002-11-12,25.1,25.25,24.799999,25.1,16.73255,103700,BG.csv,2002-11-12,36.151051,38.200562,36.151051,37.232738,19.457933,2819915,DD.csv
2002-11-13,13.74,13.99,13.68,13.74,8.606023,2230800,ADM.csv,2002-11-13,25.07,25.5,25.0,25.26,16.906565,106300,BG.csv,2002-11-13,37.190041,38.143627,36.592266,37.716648,19.710833,2388444,DD.csv
2002-11-14,13.79,13.89,13.63,13.75,8.612287,1277600,ADM.csv,2002-11-14,25.26,25.940001,25.26,25.65,17.167591,101600,BG.csv,2002-11-14,38.001301,39.638062,38.001301,39.638062,20.714968,2002853,DD.csv
2002-11-15,13.7,13.77,13.66,13.75,8.650032,1235900,ADM.csv,2002-11-15,25.690001,25.9,25.33,25.5,17.0672,123100,BG.csv,2002-11-15,38.812565,39.495735,38.556377,39.139919,20.454639,1735722,DD.csv
2002-11-18,13.75,13.84,13.5,13.68,8.605994,950000,ADM.csv,2002-11-18,25.9,25.9,25.27,25.9,17.33493,129100,BG.csv,2002-11-18,39.139919,39.296478,38.456749,38.684471,20.216616,1306780,DD.csv
2002-11-19,13.63,13.77,13.57,13.63,8.574541,1131600,ADM.csv,2002-11-19,25.799999,25.98,24.799999,24.860001,16.638849,159800,BG.csv,2002-11-19,38.57061,39.73769,38.285957,39.339176,20.558765,1243334,DD.csv
2002-11-20,13.59,13.65,13.4,13.63,8.574541,1839200,ADM.csv,2002-11-20,24.65,24.77,24.290001,24.58,16.45145,163900,BG.csv,2002-11-20,38.7841,40.065044,38.656006,39.993881,20.900913,1848841,DD.csv
2002-11-21,13.63,13.64,13.38,13.5,8.492758,1959200,ADM.csv,2002-11-21,24.59,24.59,23.0,23.290001,15.588047,2541300,BG.csv,2002-11-21,40.065044,41.73027,39.595364,41.73027,21.808355,2539083,DD.csv
2002-11-22,13.46,13.6,13.33,13.45,8.461303,1526500,ADM.csv,2002-11-22,23.290001,23.389999,23.0,23.27,15.574659,2181500,BG.csv,2002-11-22,41.630638,42.384972,40.63435,41.246357,21.555466,2157005,DD.csv
2002-11-25,13.39,13.56,13.31,13.46,8.467595,1716300,ADM.csv,2002-11-25,23.27,23.35,23.01,23.280001,15.581347,761800,BG.csv,2002-11-25,41.061333,42.513065,40.847843,42.513065,22.21744,1785888,DD.csv
2002-11-26,13.43,13.52,13.16,13.4,8.429846,1360400,ADM.csv,2002-11-26,23.290001,24.129999,23.049999,23.92,16.009701,798700,BG.csv,2002-11-26,41.986458,42.797722,41.630638,42.42767,22.172821,3261785,DD.csv
2002-11-27,13.39,13.53,13.3,13.5,8.492758,882300,ADM.csv,2002-11-27,24.4,24.52,24.08,24.25,16.230577,567700,BG.csv,2002-11-27,42.441902,43.836708,42.342274,43.836708,22.909185,1650776,DD.csv
2002-11-29,13.52,13.53,13.27,13.33,8.385814,889300,ADM.csv,2002-11-29,24.299999,24.719999,24.07,24.549999,16.431364,195800,BG.csv,2002-11-29,44.832996,45.829285,44.591042,45.402306,23.727369,2288112,DD.csv
2002-12-02,13.33,13.33,13.0,13.14,8.266284,1332500,ADM.csv,2002-12-02,24.6,24.6,23.299999,23.299999,15.594733,443600,BG.csv,2002-12-02,45.800819,45.843517,43.096607,43.381264,22.671165,2367014,DD.csv
2002-12-03,13.14,13.2,13.0,13.05,8.209662,1663800,ADM.csv,2002-12-03,23.6,23.6,22.799999,22.92,15.340403,727300,BG.csv,2002-12-03,42.712326,43.46666,42.555763,42.584232,22.254639,1885799,DD.csv
2002-12-04,13.05,13.27,13.03,13.2,8.304027,1460200,ADM.csv,2002-12-04,22.799999,23.059999,22.51,23.059999,15.434098,592500,BG.csv,2002-12-04,41.972225,43.238934,41.417149,42.484604,22.202572,1671082,DD.csv
2002-12-05,13.22,13.25,12.94,13.0,8.178211,1083400,ADM.csv,2002-12-05,23.1,23.17,23.0,23.139999,15.48765,289900,BG.csv,2002-12-05,42.342274,42.641163,41.844131,41.844131,21.867859,1075341,DD.csv
2002-12-06,12.9,13.18,12.89,13.1,8.241123,919500,ADM.csv,2002-12-06,23.139999,23.299999,22.780001,23.08,15.447491,269900,BG.csv,2002-12-06,41.488312,42.399204,41.345985,42.342274,22.128189,1229563,DD.csv
2002-12-09,13.05,13.14,12.85,12.99,8.171917,1181200,ADM.csv,2002-12-09,23.0,23.049999,22.1,22.16,14.831735,507900,BG.csv,2002-12-09,41.630638,42.271111,41.402916,41.602177,21.741417,1711552,DD.csv
2002-12-10,13.02,13.12,12.9,13.12,8.253703,863000,ADM.csv,2002-12-10,22.16,22.34,22.0,22.34,14.952202,529900,BG.csv,2002-12-10,41.559479,41.915295,41.374451,41.872597,21.882738,1396713,DD.csv
2002-12-11,12.25,12.96,12.21,12.51,7.869957,2523200,ADM.csv,2002-12-11,22.34,22.34,21.65,21.77,14.570708,644600,BG.csv,2002-12-11,41.630638,43.708614,41.488312,43.281631,22.619097,2471211,DD.csv
2002-12-12,12.55,12.63,12.34,12.4,7.800755,1182600,ADM.csv,2002-12-12,23.700001,23.879999,23.01,23.35,15.628201,1547200,BG.csv,2002-12-12,43.409725,43.409725,41.488312,41.488312,21.681911,2488987,DD.csv
2002-12-13,12.47,12.6,12.24,12.54,7.888831,1686500,ADM.csv,2002-12-13,23.049999,23.200001,22.799999,22.969999,15.373863,198000,BG.csv,2002-12-13,40.919006,42.128784,40.719749,41.345985,21.607523,3282161,DD.csv
2002-12-16,12.46,12.79,12.36,12.73,8.008356,1702100,ADM.csv,2002-12-16,22.969999,23.48,22.969999,23.450001,15.69513,438600,BG.csv,2002-12-16,41.26059,43.253166,40.904774,43.210468,22.581902,3078615,DD.csv
2002-12-17,12.57,12.72,12.4,12.43,7.819627,1282900,ADM.csv,2002-12-17,23.450001,23.48,22.9,23.299999,15.594733,617100,BG.csv,2002-12-17,42.698093,42.868885,42.342274,42.484604,22.202572,3723890,DD.csv
2002-12-18,12.4,12.49,12.13,12.22,7.687516,1378700,ADM.csv,2002-12-18,23.15,23.450001,22.9,23.26,15.567962,299400,BG.csv,2002-12-18,42.014923,42.683861,41.787201,42.00069,21.949673,3345887,DD.csv
2002-12-19,12.12,12.35,12.12,12.21,7.681227,1024700,ADM.csv,2002-12-19,23.26,23.35,22.5,22.799999,15.26009,536400,BG.csv,2002-12-19,41.701805,42.342274,41.445614,41.616405,21.748844,2296613,DD.csv
2002-12-20,12.21,12.41,12.14,12.41,7.80705,2559800,ADM.csv,2002-12-20,22.84,23.129999,22.33,22.450001,15.025834,724800,BG.csv,2002-12-20,42.555763,42.57,41.986458,42.555763,22.239756,3290311,DD.csv
2002-12-23,12.41,12.41,12.15,12.24,7.700104,1492800,ADM.csv,2002-12-23,22.459999,22.74,22.280001,22.74,15.219921,350300,BG.csv,2002-12-23,42.199947,42.527302,41.787201,42.21418,22.061247,1925636,DD.csv
2002-12-24,12.22,12.31,12.14,12.25,7.706391,547000,ADM.csv,2002-12-24,22.719999,22.799999,22.41,22.52,15.072677,87600,BG.csv,2002-12-24,42.527302,42.769257,42.42767,42.683861,22.306707,729869,DD.csv
2002-12-26,12.15,12.39,12.15,12.27,7.718977,691900,ADM.csv,2002-12-26,22.530001,22.92,22.51,22.9,15.327022,139900,BG.csv,2002-12-26,42.84042,43.623219,42.783489,42.982746,22.462902,1276005,DD.csv
2002-12-27,12.26,12.29,12.14,12.2,7.674934,1061200,ADM.csv,2002-12-27,22.9,22.9,22.540001,22.67,15.17308,102200,BG.csv,2002-12-27,42.498837,42.641163,41.417149,41.431381,21.895025,1162745,DD.csv
2002-12-30,12.2,12.38,12.15,12.22,7.687516,1743300,ADM.csv,2002-12-30,22.68,23.09,22.5,23.07,15.440789,221200,BG.csv,2002-12-30,41.630638,41.972225,41.089798,41.929527,22.158283,1232163,DD.csv
