"Date","Price","Open","High","Low","Vol.","Change %"
"10/30/2023","106.46","106.33","107.29","105.23","973.86K","0.99%"
"10/27/2023","105.42","105.88","106.67","104.32","1.01M","-0.90%"
"10/26/2023","106.38","104.99","108.27","103.84","1.88M","4.11%"
"10/25/2023","102.18","101.00","102.59","100.35","1.24M","1.45%"
"10/24/2023","100.72","101.70","102.10","99.62","1.03M","-0.71%"
"10/23/2023","101.44","101.71","102.38","100.62","1.20M","-0.16%"
"10/20/2023","101.60","103.64","104.48","101.58","1.30M","-1.98%"
"10/19/2023","103.65","105.34","105.41","103.23","920.56K","-1.58%"
"10/18/2023","105.31","104.96","107.70","104.70","1.23M","0.18%"
"10/17/2023","105.12","102.66","105.30","102.66","852.65K","1.73%"
"10/16/2023","103.33","103.01","103.73","101.53","1.06M","1.14%"
"10/13/2023","102.17","101.76","102.75","100.81","1.15M","0.88%"
"10/12/2023","101.28","102.14","102.19","99.12","1.45M","-0.70%"
"10/11/2023","101.99","104.83","105.32","100.56","2.35M","-2.39%"
"10/10/2023","104.49","106.15","106.94","104.36","1.47M","-0.95%"
"10/09/2023","105.49","103.53","106.30","103.53","1.28M","2.30%"
"10/06/2023","103.12","103.49","103.56","101.06","1.30M","-0.69%"
"10/05/2023","103.84","104.30","105.31","103.69","1.18M","-0.65%"
"10/04/2023","104.52","105.38","105.87","103.97","1.08M","-1.14%"
"10/03/2023","105.73","106.01","107.14","104.71","1.40M","-0.90%"
"10/02/2023","106.69","107.84","108.01","105.57","1.31M","-1.44%"
"09/29/2023","108.25","110.16","110.61","107.96","1.56M","-2.13%"
"09/28/2023","110.61","109.72","111.12","109.72","984.92K","0.95%"
"09/27/2023","109.57","109.32","110.04","108.68","1.14M","0.56%"
"09/26/2023","108.96","110.02","111.13","108.58","1.20M","-1.56%"
"09/25/2023","110.69","110.00","111.26","109.78","1.01M","0.26%"
"09/22/2023","110.40","112.89","113.05","110.24","1.07M","-2.50%"
"09/21/2023","113.23","112.54","114.25","112.22","1.03M","0.57%"
"09/20/2023","112.59","113.63","114.61","112.54","647.94K","-0.25%"
"09/19/2023","112.87","113.88","114.43","112.82","947.92K","-0.93%"
"09/18/2023","113.93","113.26","114.22","113.08","963.06K","1.35%"
"09/15/2023","112.41","114.70","115.00","111.93","1.90M","-2.51%"
"09/14/2023","115.30","113.70","115.84","113.46","835.55K","1.90%"
"09/13/2023","113.15","114.39","114.68","112.07","1.19M","-1.10%"
"09/12/2023","114.41","114.87","115.30","114.19","931.03K","-0.40%"
"09/11/2023","114.87","113.21","115.18","113.21","1.07M","2.22%"
"09/08/2023","112.38","112.68","113.60","112.03","911.11K","-0.07%"
"09/07/2023","112.46","110.84","112.57","110.71","1.35M","1.49%"
"09/06/2023","110.81","113.05","113.56","110.23","1.06M","-2.02%"
"09/05/2023","113.09","115.00","115.12","112.99","794.06K","-1.68%"
"09/01/2023","115.02","115.29","115.65","114.22","911.97K","0.61%"
"08/31/2023","114.32","114.42","115.05","113.99","972.76K","-0.16%"
"08/30/2023","114.50","113.75","115.15","113.75","798.81K","0.54%"
"08/29/2023","113.88","113.85","114.38","113.11","828.47K","0.28%"
"08/28/2023","113.56","113.10","114.27","112.58","725.70K","0.75%"
"08/25/2023","112.71","112.74","113.53","111.68","853.34K","0.55%"
"08/24/2023","112.09","112.08","112.85","111.66","784.19K","-0.03%"
"08/23/2023","112.12","111.36","112.64","111.10","1.09M","0.66%"
"08/22/2023","111.39","113.47","113.79","111.31","1.05M","-1.42%"
"08/21/2023","112.99","112.63","113.63","112.40","894.22K","0.41%"
"08/18/2023","112.53","110.17","112.69","109.91","999.71K","1.31%"
"08/17/2023","111.07","111.27","112.55","110.71","1.14M","-0.17%"
"08/16/2023","111.26","111.51","112.35","110.92","937.39K","-0.30%"
"08/15/2023","111.60","112.39","113.48","111.48","1.14M","-1.13%"
"08/14/2023","112.88","111.95","112.99","111.22","962.28K","0.58%"
"08/11/2023","112.23","112.13","113.73","111.86","847.26K","0.08%"
"08/10/2023","112.14","112.77","113.81","111.35","1.17M","-0.50%"
