"Date","Price","Open","High","Low","Vol.","Change %"
"10/30/2023","398.75","403.00","403.00","394.50","0.55K","-1.12%"
"10/27/2023","403.25","406.50","415.00","400.00","0.90K","-0.80%"
"10/26/2023","406.50","409.75","419.25","402.75","1.17K","-1.22%"
"10/25/2023","411.50","404.75","414.00","404.75","2.07K","1.48%"
"10/24/2023","405.50","390.75","407.50","380.75","8.73K","3.64%"
"10/23/2023","391.25","392.50","397.50","385.25","5.41K","-0.70%"
"10/20/2023","394.00","406.75","406.75","392.50","7.12K","-3.25%"
"10/19/2023","407.25","419.00","419.00","403.25","10.30K","-2.80%"
"10/18/2023","419.00","421.00","423.00","416.75","7.38K","-0.24%"
"10/17/2023","420.00","424.25","424.25","415.75","11.31K","-1.00%"
"10/16/2023","424.25","426.50","428.00","420.25","10.49K","-0.29%"
"10/13/2023","425.50","419.50","430.25","417.25","8.11K","2.53%"
"10/12/2023","415.00","411.00","416.00","405.50","7.94K","0.85%"
"10/11/2023","411.50","419.75","422.00","410.00","6.84K","-1.97%"
"10/10/2023","419.75","423.50","426.00","416.00","11.07K","-1.52%"
"10/09/2023","426.25","432.25","434.25","424.75","5.44K","0.00%"
"10/06/2023","426.25","427.25","432.00","422.25","8.35K","0.41%"
"10/05/2023","424.50","437.25","437.25","423.25","12.73K","-3.30%"
"10/04/2023","439.00","446.50","450.00","438.25","9.25K","-1.84%"
"10/03/2023","447.25","446.50","451.50","445.25","9.64K","-0.06%"
"10/02/2023","447.50","442.50","449.25","437.25","7.59K","1.13%"
"09/29/2023","442.50","445.25","450.50","441.50","9.76K","-0.56%"
"09/28/2023","445.00","452.25","453.00","441.25","8.40K","-1.60%"
"09/27/2023","452.25","440.75","453.50","439.25","11.12K","2.61%"
"09/26/2023","440.75","440.00","445.00","436.25","8.98K","0.00%"
"09/25/2023","440.75","438.75","446.50","437.00","7.04K","-0.11%"
"09/22/2023","441.25","438.75","442.75","434.75","6.46K","0.40%"
"09/21/2023","439.50","444.75","444.75","434.75","9.03K","-2.12%"
"09/20/2023","449.00","440.25","452.00","440.00","18.49K","1.99%"
"09/19/2023","440.25","431.00","442.00","428.25","10.00K","1.62%"
"09/18/2023","433.25","446.25","446.25","431.25","11.97K","-2.59%"
"09/15/2023","444.75","446.25","448.75","439.00","7.49K","-0.34%"
"09/14/2023","446.25","431.00","447.75","431.00","13.36K","3.48%"
"09/13/2023","431.25","431.25","435.00","426.50","8.35K","0.17%"
"09/12/2023","430.50","444.25","446.25","428.25","16.60K","-3.15%"
"09/11/2023","444.50","446.50","449.00","442.75","7.05K","-1.00%"
"09/08/2023","449.00","452.25","453.50","445.25","9.10K","-1.21%"
"09/07/2023","454.50","457.75","461.75","451.25","8.09K","-1.14%"
"09/06/2023","459.75","454.25","462.50","451.50","7.23K","0.88%"
"09/05/2023","455.75","463.00","465.50","450.50","10.90K","-2.04%"
"09/04/2023","465.25","472.75","472.75","463.75","5.77K","-1.74%"
"09/01/2023","473.50","469.75","478.00","467.50","9.65K","1.01%"
"08/31/2023","468.75","464.25","470.50","457.50","7.94K","0.81%"
"08/30/2023","465.00","463.75","466.50","457.00","10.38K","0.05%"
"08/29/2023","464.75","472.00","474.50","461.00","10.43K","-2.00%"
"08/28/2023","474.25","472.75","476.50","469.25","5.39K","0.21%"
"08/25/2023","473.25","470.75","475.00","470.00","4.79K","0.37%"
"08/24/2023","471.50","471.25","474.25","465.75","5.93K","-0.11%"
"08/23/2023","472.00","464.00","473.00","458.00","4.69K","1.45%"
"08/22/2023","465.25","465.00","468.00","460.50","5.50K","-0.80%"
