"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2023","479.12","478.38","482.88","477.50","","0.18%"
"10/30/2023","478.25","480.00","484.25","477.50","136.57K","-0.52%"
"10/27/2023","480.75","479.25","484.00","478.25","126.30K","0.31%"
"10/26/2023","479.25","480.00","484.25","477.50","190.73K","-0.16%"
"10/25/2023","480.00","483.50","486.00","476.75","177.28K","-0.83%"
"10/24/2023","484.00","490.75","491.50","482.75","161.08K","-1.27%"
"10/23/2023","490.25","494.25","497.00","490.25","126.44K","-1.06%"
"10/20/2023","495.50","504.00","509.50","495.00","264.54K","-1.88%"
"10/19/2023","505.00","492.00","505.50","490.25","279.44K","2.64%"
"10/18/2023","492.00","488.50","494.00","488.50","119.27K","0.61%"
"10/17/2023","489.00","490.00","492.75","487.75","102.03K","-0.20%"
"10/16/2023","490.00","493.50","496.75","489.50","113.49K","-0.66%"
"10/13/2023","493.25","495.00","498.75","490.50","138.23K","-0.55%"
"10/12/2023","496.00","487.75","498.75","482.25","208.37K","1.64%"
"10/11/2023","488.00","485.50","488.50","483.50","102.59K","0.51%"
"10/10/2023","485.50","488.00","488.25","484.25","110.08K","-0.56%"
"10/09/2023","488.25","492.00","497.00","487.25","115.53K","-0.76%"
"10/06/2023","492.00","496.00","499.00","491.50","125.23K","-1.11%"
"10/05/2023","497.50","486.00","498.50","482.50","186.34K","2.37%"
"10/04/2023","486.00","487.50","489.75","482.50","129.88K","-0.31%"
"10/03/2023","487.50","488.00","489.25","484.25","138.10K","-0.26%"
"10/02/2023","488.75","477.00","489.75","476.00","159.22K","2.52%"
"09/29/2023","476.75","487.50","490.00","475.50","209.42K","-2.41%"
"09/28/2023","488.50","483.75","489.25","481.00","114.32K","1.09%"
"09/27/2023","483.25","479.75","486.75","479.00","125.71K","0.73%"
"09/26/2023","479.75","481.00","483.50","476.50","117.59K","-0.31%"
"09/25/2023","481.25","475.25","482.50","473.75","101.59K","0.84%"
"09/22/2023","477.25","475.00","478.50","474.25","88.61K","0.42%"
"09/21/2023","475.25","481.00","482.50","474.00","115.20K","-1.45%"
"09/20/2023","482.25","476.00","483.00","474.50","162.30K","1.26%"
"09/19/2023","476.25","471.25","477.00","467.75","139.65K","1.01%"
"09/18/2023","471.50","475.25","478.75","469.00","143.32K","-1.00%"
"09/15/2023","476.25","480.00","483.50","475.00","110.38K","2.97%"
"09/14/2023","462.50","455.75","459.25","455.75","0.09K","-0.32%"
"09/13/2023","464.00","466.75","467.75","462.50","0.12K","0.16%"
