"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2023","1,311.75","1,307.88","1,321.38","1,300.00","","0.34%"
"10/30/2023","1,307.25","1,319.50","1,331.25","1,305.50","","-0.93%"
"10/27/2023","1,319.50","1,300.00","1,325.25","1,298.50","160.76K","3.13%"
"10/26/2023","1,279.50","1,287.50","1,297.75","1,277.50","","-0.68%"
"10/25/2023","1,288.25","1,293.00","1,301.25","1,278.00","111.04K","-0.54%"
"10/24/2023","1,295.25","1,287.00","1,297.75","1,280.50","125.25K","0.66%"
"10/23/2023","1,286.75","1,302.00","1,304.00","1,286.00","119.49K","-1.19%"
"10/20/2023","1,302.25","1,315.00","1,318.50","1,301.00","143.73K","-1.01%"
"10/19/2023","1,315.50","1,311.00","1,317.75","1,300.25","182.30K","0.34%"
"10/18/2023","1,311.00","1,297.00","1,313.00","1,293.25","163.21K","1.10%"
"10/17/2023","1,296.75","1,286.00","1,303.50","1,285.50","135.41K","0.82%"
"10/16/2023","1,286.25","1,280.00","1,289.00","1,279.50","111.49K","0.47%"
"10/13/2023","1,280.25","1,286.75","1,298.50","1,273.50","139.75K","-0.76%"
"10/12/2023","1,290.00","1,252.50","1,299.75","1,250.50","235.47K","2.99%"
"10/11/2023","1,252.50","1,271.50","1,274.25","1,251.00","185.25K","-1.49%"
"10/10/2023","1,271.50","1,263.00","1,273.25","1,254.25","161.65K","0.57%"
"10/09/2023","1,264.25","1,267.00","1,277.50","1,258.25","162.79K","-0.14%"
"10/06/2023","1,266.00","1,279.50","1,287.25","1,263.50","156.38K","-1.15%"
"10/05/2023","1,280.75","1,271.75","1,283.75","1,262.00","143.48K","0.61%"
"10/04/2023","1,273.00","1,272.00","1,285.00","1,268.75","126.71K","0.02%"
"10/03/2023","1,272.75","1,276.50","1,278.75","1,256.75","191.99K","-0.33%"
"10/02/2023","1,277.00","1,272.50","1,279.50","1,265.75","156.11K","0.16%"
"09/29/2023","1,275.00","1,300.50","1,305.50","1,272.50","169.95K","-1.96%"
"09/28/2023","1,300.50","1,303.00","1,307.00","1,287.00","151.18K","-0.21%"
"09/27/2023","1,303.25","1,302.75","1,317.00","1,297.50","146.48K","0.04%"
"09/26/2023","1,302.75","1,299.25","1,307.75","1,289.00","135.13K","0.39%"
"09/25/2023","1,297.75","1,295.25","1,300.00","1,284.50","101.01K","0.12%"
"09/22/2023","1,296.25","1,294.00","1,303.00","1,292.50","121.67K","0.19%"
"09/21/2023","1,293.75","1,319.75","1,322.00","1,293.00","140.56K","-1.99%"
"09/20/2023","1,320.00","1,315.25","1,322.75","1,310.25","112.12K","0.34%"
"09/19/2023","1,315.50","1,315.00","1,319.75","1,308.00","138.84K","-0.09%"
"09/18/2023","1,316.75","1,340.00","1,344.50","1,315.50","137.20K","-1.75%"
"09/15/2023","1,340.25","1,360.50","1,367.75","1,338.25","114.65K","-0.26%"
"09/14/2023","1,343.75","1,349.75","1,364.50","1,346.25","0.39K","0.58%"
"09/13/2023","1,336.00","1,325.50","1,335.50","1,325.50","0.20K","0.32%"
"09/12/2023","1,331.75","1,348.75","1,348.75","1,343.50","0.27K","-1.53%"
"09/11/2023","1,352.50","1,352.50","1,352.50","1,352.00","0.04K","0.22%"
"09/08/2023","1,349.50","1,339.00","1,339.00","1,339.00","0.20K","0.33%"
"09/07/2023","1,345.00","1,349.50","1,350.00","1,347.00","0.31K","-1.12%"
"09/06/2023","1,360.25","1,365.50","1,365.50","1,359.50","0.10K","0.83%"
"09/05/2023","1,349.00","1,359.50","1,359.50","1,348.00","0.09K","-0.53%"
"09/01/2023","1,356.25","1,362.00","1,374.00","1,355.00","0.42K","-0.28%"
"08/31/2023","1,360.00","1,381.00","1,381.00","1,361.00","0.85K","-1.54%"
"08/30/2023","1,381.25","1,378.50","1,391.75","1,366.75","9.73K","-0.05%"
"08/29/2023","1,382.00","1,382.75","1,394.00","1,380.50","9.14K","-0.95%"
"08/28/2023","1,395.25","1,388.25","1,400.75","1,383.75","10.11K","1.03%"
"08/25/2023","1,381.00","1,364.00","1,382.00","1,361.25","14.32K","1.12%"
"08/24/2023","1,365.75","1,359.50","1,370.75","1,352.00","8.11K","0.46%"
"08/23/2023","1,359.50","1,350.25","1,362.25","1,333.75","16.29K","0.59%"
"08/22/2023","1,351.50","1,369.50","1,381.00","1,341.75","8.86K","-1.35%"
"08/21/2023","1,370.00","1,369.00","1,386.75","1,364.50","13.76K","1.16%"
"08/18/2023","1,354.25","1,331.75","1,355.38","1,331.75","","1.79%"
"08/17/2023","1,330.50","1,325.38","1,340.75","1,320.25","","0.53%"
"08/16/2023","1,323.50","1,305.25","1,331.50","1,303.00","","1.40%"
"08/15/2023","1,305.25","1,317.50","1,334.50","1,303.00","","-1.56%"
"08/14/2023","1,326.00","1,313.00","1,328.50","1,308.00","","1.41%"
"08/11/2023","1,307.50","1,319.25","1,338.00","1,297.50","124.25K","-0.82%"
"08/10/2023","1,318.25","1,308.50","1,328.00","1,305.00","85.70K","0.75%"
"08/09/2023","1,308.50","1,306.75","1,323.00","1,306.25","85.46K","0.19%"
"08/08/2023","1,306.00","1,302.00","1,311.00","1,282.25","99.24K","0.31%"
"08/07/2023","1,302.00","1,324.50","1,327.00","1,291.00","124.90K","-2.34%"
"08/04/2023","1,333.25","1,326.00","1,345.75","1,322.50","86.49K","0.60%"
"08/03/2023","1,325.25","1,321.50","1,337.25","1,318.50","87.41K","0.30%"
"08/02/2023","1,321.25","1,344.00","1,354.00","1,315.00","123.79K","-1.49%"
"08/01/2023","1,341.25","1,335.00","1,344.50","1,326.25","128.97K","0.71%"
"07/31/2023","1,331.75","1,375.50","1,375.50","1,322.75","166.88K","-3.67%"
"07/28/2023","1,382.50","1,397.75","1,401.50","1,379.00","108.51K","-1.11%"
"07/27/2023","1,398.00","1,419.25","1,432.00","1,395.50","125.35K","-1.55%"
"07/26/2023","1,420.00","1,416.25","1,428.00","1,407.25","148.84K","0.00%"
"07/25/2023","1,420.00","1,422.25","1,428.75","1,402.75","119.27K","-0.32%"
"07/24/2023","1,424.50","1,410.00","1,435.00","1,401.50","132.64K","1.62%"
"07/21/2023","1,401.75","1,401.25","1,408.75","1,385.25","105.98K","-0.21%"
"07/20/2023","1,404.75","1,405.00","1,418.25","1,398.50","105.84K","-0.28%"
"07/19/2023","1,408.75","1,395.00","1,428.75","1,390.00","149.51K","0.97%"
"07/18/2023","1,395.25","1,371.50","1,405.00","1,368.25","147.25K","1.25%"
"07/17/2023","1,378.00","1,385.00","1,388.75","1,369.00","105.55K","-1.55%"
"07/14/2023","1,399.75","1,397.00","1,413.75","1,384.50","15.44K","0.05%"
"07/13/2023","1,399.00","1,354.50","1,399.50","1,353.50","12.87K","3.19%"
"07/12/2023","1,355.75","1,384.25","1,403.50","1,352.75","17.15K","-2.13%"
"07/11/2023","1,385.25","1,366.25","1,392.00","1,365.75","12.25K","1.43%"
"07/10/2023","1,365.75","1,349.75","1,376.25","1,339.75","12.61K","2.02%"
"07/07/2023","1,338.75","1,359.00","1,366.00","1,336.25","14.44K","-1.44%"
"07/06/2023","1,358.25","1,375.50","1,387.00","1,352.25","14.19K","-1.45%"
"07/05/2023","1,378.25","1,387.00","1,402.50","1,365.25","15.66K","0.05%"
"07/03/2023","1,377.50","1,355.50","1,412.00","1,355.50","28.32K","1.62%"
"06/30/2023","1,355.50","1,281.75","1,368.00","1,281.00","26.92K","5.92%"
"06/29/2023","1,279.75","1,275.50","1,289.25","1,274.50","16.35K","0.12%"
"06/28/2023","1,278.25","1,306.75","1,312.75","1,270.75","15.20K","-2.31%"
"06/27/2023","1,308.50","1,339.00","1,340.00","1,299.75","14.09K","-2.11%"
"06/26/2023","1,336.75","1,318.25","1,346.25","1,308.25","15.27K","1.15%"
"06/23/2023","1,321.50","1,346.25","1,346.25","1,302.50","15.60K","-1.95%"
"06/22/2023","1,347.75","1,380.25","1,384.50","1,331.75","21.59K","-2.90%"
"06/21/2023","1,388.00","1,368.25","1,389.00","1,354.00","14.74K","2.57%"
"06/20/2023","1,353.25","1,364.00","1,378.50","1,339.75","17.40K","-7.68%"
"06/18/2023","1,465.88","1,465.88","1,465.88","1,465.88","","7.94%"
"06/16/2023","1,358.00","1,308.00","1,363.75","1,306.50","22.48K","3.74%"
"06/15/2023","1,309.00","1,252.75","1,310.50","1,251.50","25.32K","-5.71%"
"06/14/2023","1,388.25","1,398.75","1,399.00","1,380.00","124.16K","-0.79%"
"06/13/2023","1,399.25","1,373.25","1,415.50","1,371.75","161.57K","1.93%"
"06/12/2023","1,372.75","1,390.00","1,392.75","1,368.50","122.30K","-0.99%"
"06/09/2023","1,386.50","1,360.50","1,388.00","1,356.25","142.16K","1.71%"
"06/08/2023","1,363.25","1,358.00","1,371.75","1,352.00","152.59K","0.18%"
"06/07/2023","1,360.75","1,353.25","1,370.75","1,350.00","143.48K","0.55%"
"06/06/2023","1,353.25","1,352.00","1,364.00","1,340.25","129.81K","0.24%"
"06/05/2023","1,350.00","1,353.25","1,361.50","1,343.50","98.18K","-0.18%"
"06/02/2023","1,352.50","1,329.00","1,355.25","1,322.00","120.30K","1.73%"
"06/01/2023","1,329.50","1,299.75","1,335.25","1,299.25","132.08K","2.29%"
"05/31/2023","1,299.75","1,298.00","1,302.75","1,270.75","137.39K","0.25%"
"05/30/2023","1,296.50","1,337.25","1,337.25","1,294.25","128.26K","-2.95%"
"05/28/2023","1,335.88","1,335.88","1,335.88","1,335.88","","-0.10%"
"05/26/2023","1,337.25","1,323.75","1,343.50","1,322.00","104.20K","1.00%"
"05/25/2023","1,324.00","1,324.25","1,333.50","1,305.00","131.88K","-0.04%"
"05/24/2023","1,324.50","1,322.50","1,337.75","1,316.00","95.31K","0.15%"
"05/23/2023","1,322.50","1,341.00","1,341.25","1,315.50","111.36K","-1.40%"
"05/22/2023","1,341.25","1,308.25","1,344.25","1,304.75","143.21K","2.60%"
"05/19/2023","1,307.25","1,333.25","1,345.00","1,304.75","135.86K","-1.95%"
"05/18/2023","1,333.25","1,336.50","1,348.00","1,323.25","124.33K","-0.28%"
"05/17/2023","1,337.00","1,365.00","1,365.75","1,332.75","145.52K","-1.98%"
"05/16/2023","1,364.00","1,400.00","1,401.75","1,358.75","149.24K","-2.62%"
"05/15/2023","1,400.75","1,388.75","1,411.50","1,386.25","111.85K","-2.39%"
"05/12/2023","1,435.00","1,435.00","1,435.00","1,435.00","0.00K","-0.57%"
"05/11/2023","1,443.25","1,437.75","1,446.00","1,420.00","0.14K","0.47%"
"05/10/2023","1,436.50","1,459.75","1,459.75","1,436.00","0.11K","1.57%"
"05/09/2023","1,414.25","1,432.25","1,432.50","1,410.50","102.28K","-1.36%"
"05/08/2023","1,433.75","1,436.50","1,446.75","1,430.00","","-0.19%"
"05/05/2023","1,436.50","1,417.00","1,438.75","1,416.00","","1.38%"
"05/04/2023","1,417.00","1,415.12","1,423.38","1,405.00","","-0.04%"
"05/03/2023","1,417.50","1,411.00","1,418.75","1,392.25","","0.48%"
"05/02/2023","1,410.75","1,427.00","1,440.00","1,408.00","","-1.17%"
"05/01/2023","1,427.50","1,419.25","1,429.25","1,413.00","","0.58%"
"04/28/2023","1,419.25","1,406.50","1,423.50","1,396.50","","1.10%"
"04/27/2023","1,403.75","1,414.75","1,417.25","1,401.75","","-0.78%"
"04/26/2023","1,414.75","1,417.75","1,428.25","1,412.00","","-0.19%"
"04/25/2023","1,417.50","1,434.50","1,439.75","1,411.25","","-1.29%"
"04/24/2023","1,436.00","1,450.25","1,462.25","1,434.00","","-3.20%"
"04/21/2023","1,483.50","1,497.00","1,500.00","1,480.00","89.80K","-0.93%"
"04/20/2023","1,497.50","1,505.00","1,506.00","1,488.25","95.69K","-0.60%"
"04/19/2023","1,506.50","1,517.25","1,521.50","1,506.00","95.85K","-0.84%"
"04/18/2023","1,519.25","1,515.75","1,531.50","1,511.00","99.16K","0.15%"
"04/17/2023","1,517.00","1,500.50","1,519.00","1,496.25","85.45K","1.10%"
"04/14/2023","1,500.50","1,502.00","1,503.75","1,490.00","118.38K","-0.03%"
"04/13/2023","1,501.00","1,504.25","1,522.25","1,500.50","132.34K","-0.22%"
"04/12/2023","1,504.25","1,497.50","1,510.50","1,491.00","132.90K","0.47%"
"04/11/2023","1,497.25","1,487.75","1,507.50","1,486.25","156.75K","0.67%"
"04/10/2023","1,487.25","1,493.25","1,499.75","1,482.50","105.04K","-0.35%"
