"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2023","557.80","566.75","566.90","554.38","","-1.45%"
"10/30/2023","566.00","576.00","577.00","565.25","60.51K","-1.65%"
"10/27/2023","575.50","580.25","582.50","571.00","48.61K","-0.69%"
"10/26/2023","579.50","569.25","580.50","563.25","72.44K","1.93%"
"10/25/2023","568.50","580.00","586.25","567.00","57.95K","-2.07%"
"10/24/2023","580.50","587.75","588.00","572.75","47.63K","-1.15%"
"10/23/2023","587.25","586.50","595.25","582.00","48.39K","0.21%"
"10/20/2023","586.00","594.00","604.50","583.25","81.52K","-1.35%"
"10/19/2023","594.00","579.75","594.50","576.50","65.38K","2.37%"
"10/18/2023","580.25","572.50","584.00","571.25","52.74K","1.71%"
"10/17/2023","570.50","577.00","582.25","568.50","53.41K","-1.17%"
"10/16/2023","577.25","580.00","588.50","575.25","56.77K","-0.43%"
"10/13/2023","579.75","572.00","586.25","569.50","87.48K","1.44%"
"10/12/2023","571.50","557.25","574.50","547.25","83.01K","2.79%"
"10/11/2023","556.00","559.00","560.75","551.00","43.90K","-0.45%"
"10/10/2023","558.50","573.75","574.75","555.50","48.42K","-2.49%"
"10/09/2023","572.75","573.25","581.50","570.00","46.09K","0.79%"
"10/06/2023","568.25","576.00","580.25","566.50","50.14K","-1.73%"
"10/05/2023","578.25","559.75","580.25","559.00","69.81K","3.26%"
"10/04/2023","560.00","567.50","569.75","551.75","66.48K","-1.50%"
"10/03/2023","568.50","568.25","575.00","562.75","75.41K","0.66%"
"10/02/2023","564.75","545.00","567.00","541.25","96.36K","4.29%"
"09/29/2023","541.50","579.50","585.50","540.00","123.78K","-6.44%"
"09/28/2023","578.75","580.50","583.50","575.25","43.97K","-0.13%"
"09/27/2023","579.50","589.25","594.50","578.50","55.81K","-1.61%"
"09/26/2023","589.00","589.00","596.75","583.25","48.88K","0.00%"
"09/25/2023","589.00","577.00","590.00","573.75","44.70K","1.64%"
"09/22/2023","579.50","576.50","582.50","572.75","45.56K","0.65%"
"09/21/2023","575.75","589.00","590.25","575.00","50.33K","-2.21%"
"09/20/2023","588.75","585.25","596.25","581.50","63.64K","0.81%"
"09/19/2023","584.00","588.00","592.75","581.00","58.59K","-1.23%"
"09/18/2023","591.25","604.00","604.25","587.00","64.92K","-2.15%"
"09/15/2023","604.25","594.25","607.50","591.75","65.39K","6.48%"
"09/14/2023","567.50","595.50","597.75","583.50","0.10K","-0.26%"
"09/13/2023","569.00","562.50","565.50","562.50","0.04K","1.56%"
"09/12/2023","560.25","557.25","557.25","548.00","0.17K","0.76%"
"09/11/2023","556.00","561.50","561.50","558.00","0.19K","-1.98%"
"09/08/2023","567.25","600.00","602.75","590.50","0.05K","-0.74%"
"09/07/2023","571.50","578.25","585.00","578.25","0.15K","-1.64%"
"09/06/2023","581.00","577.50","587.00","576.50","0.31K","1.48%"
"09/05/2023","572.50","569.25","575.00","567.00","0.10K","0.88%"
"09/01/2023","567.50","574.00","585.00","571.00","0.73K","-0.96%"
"08/31/2023","573.00","574.00","582.75","566.00","1.70K","-0.65%"
"08/30/2023","576.75","572.75","579.50","564.50","12.82K","1.23%"
"08/29/2023","569.75","588.00","589.00","568.75","27.77K","-3.10%"
"08/28/2023","588.00","593.50","599.25","584.00","21.64K","-0.88%"
"08/25/2023","593.25","604.50","609.75","587.50","29.00K","-1.78%"
"08/24/2023","604.00","614.75","615.00","598.25","21.79K","-1.39%"
"08/23/2023","612.50","604.25","617.00","598.25","22.59K","1.79%"
"08/22/2023","601.75","599.00","610.75","594.50","26.01K","0.42%"
"08/21/2023","599.25","618.00","620.75","595.75","24.48K","-2.28%"
"08/18/2023","613.25","589.00","615.75","588.50","32.90K","4.03%"
"08/17/2023","589.50","599.75","601.25","586.25","31.44K","-1.38%"
"08/16/2023","597.75","598.75","607.50","591.50","41.34K","-0.13%"
"08/15/2023","598.50","618.50","619.00","595.75","52.40K","-2.84%"
"08/14/2023","616.00","632.75","635.00","605.25","56.04K","-1.72%"
"08/11/2023","626.75","638.00","639.75","624.25","72.25K","-1.72%"
"08/10/2023","637.75","637.25","644.00","635.00","67.43K","0.43%"
"08/09/2023","635.00","655.50","658.25","633.50","70.50K","-3.24%"
"08/08/2023","656.25","657.50","662.25","643.00","81.63K","-0.19%"
"08/07/2023","657.50","646.00","663.75","636.00","104.53K","3.87%"
"08/04/2023","633.00","627.75","653.75","627.25","70.99K","0.96%"
"08/03/2023","627.00","639.25","648.25","626.25","65.70K","-2.03%"
"08/02/2023","640.00","654.50","684.00","636.00","90.38K","-1.88%"
"08/01/2023","652.25","670.00","675.00","643.25","69.42K","-2.03%"
"07/31/2023","665.75","702.50","703.00","660.25","104.58K","-5.47%"
"07/28/2023","704.25","714.75","720.25","689.00","74.61K","-1.19%"
"07/27/2023","712.75","723.25","740.00","711.75","75.10K","-1.01%"
"07/26/2023","720.00","757.00","757.50","709.00","105.76K","-5.29%"
"07/25/2023","760.25","754.25","777.25","736.50","107.92K","0.36%"
"07/24/2023","757.50","702.00","757.50","698.75","96.76K","8.60%"
"07/21/2023","697.50","724.75","733.25","693.50","95.07K","-4.06%"
"07/20/2023","727.00","725.00","750.75","711.25","136.38K","-0.10%"
"07/19/2023","727.75","669.00","730.75","664.00","148.75K","8.50%"
"07/18/2023","670.75","649.25","675.00","642.25","54.95K","2.60%"
"07/17/2023","653.75","666.00","689.25","651.00","73.58K","1.91%"
"07/14/2023","641.50","639.50","663.25","637.75","0.05K","2.23%"
"07/13/2023","627.50","614.25","625.00","614.25","0.02K","1.01%"
"07/12/2023","621.25","645.00","645.00","625.00","0.01K","-4.35%"
"07/11/2023","649.50","645.00","650.00","642.75","0.12K","2.08%"
"07/10/2023","636.25","641.75","645.75","637.50","0.02K","-0.51%"
"07/07/2023","639.50","642.75","646.75","642.75","0.06K","-1.16%"
"07/06/2023","647.00","654.50","654.75","640.75","0.19K","-2.27%"
"07/05/2023","662.00","640.00","658.00","635.00","0.29K","5.33%"
"07/03/2023","628.50","630.00","642.25","628.25","0.69K","-1.22%"
"06/30/2023","636.25","654.00","663.75","634.25","1.37K","-2.57%"
"06/29/2023","653.00","655.50","663.75","650.75","13.94K","-0.42%"
"06/28/2023","655.75","684.75","692.50","653.25","19.74K","-4.27%"
"06/27/2023","685.00","724.25","725.75","681.50","21.84K","-5.42%"
"06/26/2023","724.25","734.25","756.75","719.00","37.36K","-1.23%"
"06/23/2023","733.25","737.00","737.75","718.75","52.47K","-0.78%"
