CTAS,GOOG,HAS,HOLX,IDXX,JBHT,KLAC,LILA,LILAK,SHPG
124.2,820.0,98.85,42.72,153.51,89.42,95.57,21.61,22.48,177.65
124.3479,820.69,99.1623,42.62,153.44,90.72,,,,178.08
,820.301,,42.7,153.15,90.51,95.77,21.46,,177.87
124.82,819.0,98.71,42.6,152.6,,95.84,,22.26,177.865
124.64,819.34,98.71,42.64,152.96,,95.86000000000003,,22.22,177.87
,819.0310000000001,99.01,42.64,153.5356,,95.85,21.43,22.21,177.87
124.92,819.595,99.0,42.66,153.32,90.58,95.9,,22.35,177.85
,819.19,98.91,42.7,,90.71,96.13,21.43,22.34,177.86
125.0,819.1549999999999,98.76,42.66,153.31,90.65,95.95,21.53,22.35,177.77
125.09,819.19,98.83,,153.57,90.82,96.125,21.61,22.39,177.69
125.37,818.62,98.64,42.61,153.28,90.79,96.08,21.69,22.56,177.64
125.34,819.32,98.84,42.61,153.22,91.02,96.105,21.63,22.53,177.65
125.33,819.0399999999998,98.7,42.62,153.125,91.06,,21.7299,,177.74
125.25,819.3999999999999,98.75,42.58,153.04,91.04,96.04,21.73,22.515,177.68
125.26,819.49,98.6,42.59,153.1726,91.06,96.145,,22.52,177.64
125.0814,819.46,98.53,42.57,153.06,91.17,,21.79,22.54,177.64
124.91,818.0,98.5,42.55,152.81,91.04,95.93,21.72,22.6,177.5
124.845,817.1499999999999,98.52,42.54,152.9069,91.06,95.9175,,22.585,177.46
124.82,815.93,98.39,42.5,152.76,90.96,95.85,21.7,22.555,177.33
124.86000000000003,815.85,98.47,42.48,152.77,90.96,95.84,21.7,22.56,177.44
124.94,816.2799999999999,98.47,42.48,153.01,90.91,95.89,21.68,22.53,177.56
124.89,815.97,98.34,42.48,153.03,90.82,95.85,,22.51,177.4
124.78,814.22,98.365,42.45,152.77,90.73,95.7406,21.66,22.51,177.35499999999996
,814.765,98.36000000000003,42.46,152.9,90.71,95.76,21.76,22.61,177.5
124.83,815.11,98.41,42.46,152.81,90.72,95.8,,22.62,177.58
125.0,815.46,98.45,42.44,152.86,90.72,95.78,,,177.58
125.0,815.83,98.365,42.47,152.815,90.76,95.82,21.87,22.72,177.61
125.04,815.301,98.335,42.45,152.74,90.91,95.81,,,177.66
125.05,815.38,98.42,42.45,152.8,90.91,95.75,,,177.69999999999996
125.18,815.0399999999998,98.48,42.47,152.93,90.91,95.74,21.98,22.84,177.65
125.07,814.96,98.5,42.42,152.8,90.92,95.7182,21.97,22.78,177.62
