,0,1,2,3,4,5
2451,,122.99,123.07,122.99,123.07,5189
2452,1.0,122.89,123.09,122.8,123.09,3523
2453,2.0,122.98,123.08,122.97,123.0,700
2454,3.0,122.97,122.98,122.97,122.98,200
2455,4.0,122.91,122.91,122.91,122.91,100
2456,5.0,122.94,122.95,122.94,122.9403,400
2457,7.0,123.02,123.02,122.98,123.01,600
2458,8.0,123.24,123.24,123.24,123.24,300
2459,9.0,123.29,123.29,123.29,123.29,100
2460,10.0,123.48,123.48,123.38,123.38,300
2461,12.0,123.4,123.4,123.4,123.4,100
2462,13.0,123.38,123.38,123.37,123.37,200
2463,15.0,123.37,123.37,123.37,123.37,100
2464,16.0,123.42,123.42,123.4,123.4,300
2465,17.0,123.44,123.44,123.41,123.41,200
2466,18.0,123.33,123.44,123.31,123.385,1300
2467,19.0,123.42,123.43,123.37,123.37,1700
2468,20.0,123.38,123.41,123.38,123.41,2500
2469,21.0,123.34,123.39,123.34,123.39,300
2470,22.0,123.36,123.36,123.34,123.34,200
2471,23.0,123.24,123.32,123.24,123.32,500
2472,24.0,123.25,123.32,123.23,123.23,1500
2473,25.0,123.11,123.23,123.11,123.23,700
2474,26.0,123.11,123.11,123.11,123.11,100
2475,27.0,123.05,123.08,123.05,123.08,300
2476,28.0,122.92,123.03,122.92,123.03,400
2477,29.0,123.0,123.02,122.91,122.98,1900
2478,31.0,123.11,123.11,123.11,123.11,100
2479,32.0,123.07,123.07,123.07,123.07,100
2480,33.0,123.05,123.14,123.05,123.115,500
2481,34.0,123.14,123.14,123.075,123.075,217
2482,36.0,123.145,123.145,123.145,123.145,100
2483,37.0,123.18,123.18,123.18,123.18,100
2484,38.0,123.31,123.38,123.21,123.22,5400
2485,39.0,123.32,123.41,123.28,123.31,4653
2486,40.0,123.435,123.435,123.34,123.4,516
2487,41.0,123.41,123.41,123.41,123.41,300
2488,42.0,123.4,123.4,123.4,123.4,100
2489,43.0,123.32,123.36,123.32,123.36,300
2490,44.0,123.31,123.32,123.31,123.32,300
2491,45.0,123.3,123.3,123.3,123.3,200
2492,46.0,123.24,123.24,123.24,123.24,100
2493,47.0,123.15,123.23,123.14,123.23,712
2494,48.0,123.08,123.12,123.08,123.12,909
2495,49.0,123.01,123.06,122.99,123.06,1354
2496,50.0,122.97,122.98,122.97,122.98,200
2497,51.0,123.0,123.03,122.985,123.03,650
2498,52.0,122.98,122.98,122.98,122.98,200
2499,53.0,122.98,122.98,122.98,122.98,100
2500,55.0,123.02,123.03,123.02,123.02,1100
2501,57.0,123.12,123.12,123.06,123.07,600
2502,59.0,123.17,123.17,123.11,123.11,600
2503,60.0,123.1,123.26,123.1,123.22,1700
2504,61.0,122.97,123.18,122.97,123.18,1500
2505,63.0,122.87,122.97,122.87,122.97,900
2506,64.0,122.91,122.94,122.89,122.89,1100
2507,65.0,122.95,122.96,122.92,122.94,1200
2508,66.0,122.95,122.95,122.95,122.95,100
2509,67.0,122.88,122.91,122.88,122.91,600
2510,68.0,122.99,122.99,122.9,122.94,1700
2511,69.0,122.95,122.99,122.95,122.99,400
2512,70.0,123.02,123.08,123.02,123.08,400
2513,71.0,122.92,123.085,122.92,123.085,1293
2514,72.0,122.99,123.03200000000001,122.95,123.03200000000001,1520
2515,73.0,122.96,123.07,122.96,123.07,462
2516,74.0,122.89,122.92,122.8301,122.92,1700
2517,76.0,122.88,122.88,122.82,122.87,502
2518,77.0,122.84,122.91,122.82,122.88,6350
2519,78.0,122.88,122.88,122.88,122.88,100
2520,79.0,122.8,122.84,122.78,122.84,620
2521,80.0,122.8,122.8,122.8,122.8,100
2522,82.0,122.7952,122.84,122.77,122.79,1662
2523,83.0,122.78,122.78,122.77,122.77,500
2524,84.0,122.75,122.75,122.75,122.75,100
2525,85.0,122.755,122.79,122.755,122.755,700
2526,89.0,122.67,122.755,122.67,122.755,900
2527,90.0,122.6848,122.7,122.65,122.65,945
2528,91.0,122.7,122.73,122.7,122.73,800
2529,92.0,122.71,122.71,122.71,122.71,100
2530,93.0,122.67,122.705,122.67,122.705,200
2531,94.0,122.605,122.67,122.605,122.67,1903
2532,95.0,122.64,122.66,122.57,122.58,2300
2533,96.0,122.68,122.68,122.66,122.66,500
2534,97.0,122.59,122.68,122.59,122.68,1000
2535,98.0,122.65,122.71,122.64,122.65,1600
2536,99.0,122.7,122.7,122.7,122.7,100
2537,101.0,122.64,122.68,122.64,122.68,818
2538,102.0,122.67,122.67,122.67,122.67,100
2539,103.0,122.63,122.64,122.63,122.64,400
2540,104.0,122.6,122.6,122.6,122.6,245
2541,107.0,122.57,122.6,122.57,122.6,600
2542,108.0,122.62,122.62,122.62,122.62,100
2543,109.0,122.64,122.66,122.6125,122.62,2100
2544,110.0,122.63,122.64,122.63,122.64,500
2545,111.0,122.61,122.63,122.61,122.63,300
2546,113.0,122.62,122.64,122.615,122.64,1400
2547,114.0,122.69,122.73,122.66,122.67,1200
2548,116.0,122.69,122.76,122.69,122.71,2200
2549,117.0,122.64,122.68799999999999,122.64,122.67,2206
2550,119.0,122.63,122.68,122.6,122.63,2000
2551,121.0,122.58,122.61,122.56,122.61,1400
2552,122.0,122.62,122.63,122.585,122.61,600
2553,123.0,122.62,122.64,122.62,122.64,500
2554,124.0,122.575,122.61,122.56,122.61,1042
2555,128.0,122.58,122.61,122.56,122.6,2025
2556,129.0,122.54,122.54,122.54,122.54,200
2557,130.0,122.57,122.57,122.525,122.525,800
2558,132.0,122.55,122.61,122.55,122.61,1600
2559,133.0,122.54,122.54,122.54,122.54,100
2560,134.0,122.57,122.57,122.52,122.52,1900
2561,135.0,122.575,122.575,122.575,122.575,100
2562,137.0,122.6,122.615,122.6,122.6,900
2563,138.0,122.55,122.6,122.55,122.6,856
2564,139.0,122.55,122.61,122.55,122.56,700
2565,140.0,122.56,122.5728,122.56,122.5728,1234
2566,141.0,122.61,122.64,122.61,122.64,1034
2567,143.0,122.6,122.67,122.6,122.64,3200
2568,145.0,122.64,122.64,122.64,122.64,100
2569,146.0,122.65,122.65,122.65,122.65,100
2570,147.0,122.68,122.68,122.66,122.67,600
2571,148.0,122.65,122.6803,122.65,122.6803,7571
2572,149.0,122.66,122.66,122.61,122.61,700
2573,150.0,122.6,122.65,122.6,122.64,700
2574,152.0,122.655,122.66,122.6201,122.64,1400
2575,153.0,122.66,122.66,122.64,122.65,800
2576,154.0,122.65,122.7,122.65,122.66,800
2577,155.0,122.71,122.71,122.68,122.68,200
2578,159.0,122.72399999999999,122.72399999999999,122.71,122.71,1000
2579,160.0,122.72,122.73,122.71,122.71,2067
2580,161.0,122.77,122.77,122.73,122.73,1600
2581,162.0,122.76,122.79,122.76,122.78,1300
2582,163.0,122.73,122.73,122.73,122.73,600
2583,164.0,122.71,122.71,122.71,122.71,100
2584,166.0,122.735,122.735,122.73,122.73,1000
2585,167.0,122.68,122.76,122.68,122.74,1200
2586,168.0,122.68,122.68,122.66,122.66,200
2587,169.0,122.63,122.63,122.63,122.63,100
2588,170.0,122.68,122.68,122.66,122.66,200
2589,171.0,122.66,122.67,122.65,122.66,1200
2590,173.0,122.64,122.64,122.64,122.64,400
2591,174.0,122.64,122.64,122.64,122.64,1252
2592,176.0,122.67,122.67,122.66,122.66,200
2593,177.0,122.67,122.67,122.655,122.655,300
2594,178.0,122.6,122.64,122.6,122.64,705
2595,180.0,122.63,122.63,122.6,122.6,600
2596,186.0,122.64,122.64,122.6,122.63,2450
2597,187.0,122.64,122.64,122.64,122.64,100
2598,188.0,122.61,122.63,122.61,122.63,499
2599,189.0,122.6,122.6,122.6,122.6,600
2600,190.0,122.59,122.59,122.59,122.59,100
2601,191.0,122.6,122.6,122.6,122.6,400
2602,192.0,122.61,122.61,122.61,122.61,300
2603,197.0,122.575,122.59899999999999,122.56,122.59899999999999,628
2604,198.0,122.6125,122.62,122.56,122.5799,3730
2605,199.0,122.6,122.6,122.6,122.6,100
2606,201.0,122.64,122.64,122.62,122.63,600
2607,202.0,122.6499,122.6499,122.6499,122.6499,183
2608,203.0,122.66,122.6782,122.63,122.65,1200
2609,204.0,122.64,122.64,122.64,122.64,100
2610,205.0,122.6525,122.6525,122.6525,122.6525,150
2611,206.0,122.65,122.65,122.65,122.65,100
2612,208.0,122.62,122.62,122.6,122.62,1093
2613,209.0,122.6,122.6,122.59,122.59,700
2614,210.0,122.63,122.63,122.62,122.62,500
2615,211.0,122.61,122.66,122.61,122.64,800
2616,212.0,122.61,122.61,122.61,122.61,100
2617,213.0,122.6,122.6,122.59,122.59,600
2618,214.0,122.57,122.57,122.57,122.57,100
2619,215.0,122.52,122.54,122.52,122.54,450
2620,217.0,122.6,122.6,122.51,122.5263,1953
2621,218.0,122.58,122.58,122.58,122.58,100
2622,219.0,122.6,122.6,122.6,122.6,200
2623,220.0,122.6195,122.6195,122.6195,122.6195,100
2624,221.0,122.625,122.63,122.625,122.63,400
2625,223.0,122.6325,122.6325,122.6325,122.6325,500
2626,224.0,122.64,122.64,122.63,122.63,650
2627,225.0,122.6,122.67,122.6,122.65,1496
2628,229.0,122.58,122.6,122.58,122.6,700
2629,230.0,122.5475,122.57,122.5475,122.55,600
2630,232.0,122.59,122.6,122.56,122.56,900
2631,234.0,122.59,122.59,122.57,122.58,500
2632,235.0,122.59,122.59,122.59,122.59,200
2633,237.0,122.58,122.58,122.58,122.58,100
2634,240.0,122.655,122.695,122.595,122.61,2900
2635,241.0,122.69,122.69,122.6625,122.68,1000
2636,242.0,122.67,122.74,122.67,122.74,500
2637,244.0,122.7,122.7,122.67,122.67,800
2638,246.0,122.62,122.68,122.62,122.68,500
2639,248.0,122.62,122.66,122.62,122.63,600
2640,249.0,122.61,122.61,122.61,122.61,300
2641,250.0,122.63,122.63,122.63,122.63,100
2642,252.0,122.59,122.59,122.59,122.59,300
2643,253.0,122.5901,122.61,122.5901,122.6,700
2644,254.0,122.6075,122.62,122.605,122.62,600
2645,256.0,122.56,122.6,122.56,122.6,1279
2646,257.0,122.5,122.56,122.49,122.54,3245
2647,258.0,122.525,122.535,122.51,122.52,1800
2648,259.0,122.5,122.53,122.48,122.52,4000
2649,260.0,122.56,122.56,122.44,122.49,3225
2650,261.0,122.55,122.56,122.51,122.52,4352
2651,263.0,122.6,122.62,122.58,122.58,600
2652,264.0,122.62,122.6567,122.62,122.6567,1317
2653,265.0,122.649,122.66,122.61,122.61,600
2654,266.0,122.645,122.67,122.645,122.6699,600
2655,267.0,122.66,122.7,122.64,122.64,3500
2656,268.0,122.63,122.665,122.59,122.66,1800
2657,269.0,122.6164,122.6164,122.58,122.6,1450
2658,270.0,122.6047,122.6457,122.6047,122.6457,817
2659,271.0,122.7,122.7,122.63,122.63,400
2660,272.0,122.725,122.74,122.725,122.74,200
2661,273.0,122.71,122.71,122.71,122.71,100
2662,274.0,122.719,122.7348,122.719,122.7271,1000
2663,277.0,122.74,122.75,122.735,122.74,2000
2664,278.0,122.7154,122.73899999999999,122.71,122.73899999999999,1075
2665,279.0,122.71,122.71600000000001,122.69,122.71600000000001,425
2666,280.0,122.67,122.69,122.67,122.69,700
2667,281.0,122.7,122.7,122.66,122.66,3312
2668,283.0,122.69,122.69,122.69,122.69,200
2669,284.0,122.66,122.68700000000001,122.66,122.68,2341
2670,285.0,122.66,122.66,122.66,122.66,100
2671,286.0,122.68,122.68,122.66,122.66,1700
2672,287.0,122.7,122.7,122.7,122.7,200
2673,288.0,122.68,122.69,122.67,122.68,900
2674,289.0,122.68,122.68,122.66,122.67,700
2675,290.0,122.68,122.68,122.68,122.68,100
2676,292.0,122.73,122.73,122.7,122.7,900
2677,293.0,122.73,122.73,122.73,122.73,200
2678,294.0,122.73,122.76,122.73,122.75,2741
2679,295.0,122.75,122.75,122.73,122.73,700
2680,297.0,122.71,122.73,122.71,122.73,600
2681,298.0,122.66,122.7,122.66,122.7,500
2682,299.0,122.66,122.67,122.66,122.67,1691
2683,300.0,122.63,122.63,122.62,122.62,200
2684,302.0,122.58,122.59,122.58,122.58,600
2685,304.0,122.61,122.61,122.61,122.61,100
2686,305.0,122.65,122.68,122.61,122.63,1819
2687,306.0,122.62,122.64,122.62,122.64,660
2688,308.0,122.61,122.62,122.61,122.62,300
2689,309.0,122.5675,122.59,122.5675,122.59,800
2690,310.0,122.4801,122.5,122.48,122.49,700
2691,311.0,122.47,122.5371,122.47,122.5371,716
2692,312.0,122.46,122.46,122.4394,122.45,500
2693,313.0,122.47,122.48,122.435,122.46,1884
2694,314.0,122.4638,122.4638,122.4613,122.4613,446
2695,315.0,122.44,122.44,122.41,122.43,715
2696,316.0,122.49,122.49,122.4,122.43,3382
2697,317.0,122.575,122.575,122.5,122.51,1100
2698,318.0,122.59,122.59,122.59,122.59,100
2699,321.0,122.55,122.5795,122.55,122.5795,1760
2700,322.0,122.53,122.53,122.48,122.53,1000
2701,323.0,122.48,122.5,122.48,122.5,300
2702,324.0,122.52,122.54,122.5,122.52,1606
2703,326.0,122.575,122.58,122.53,122.53,500
2704,327.0,122.55,122.56,122.55,122.56,600
2705,328.0,122.58,122.58,122.55,122.56,600
2706,329.0,122.555,122.56,122.54,122.56,600
2707,330.0,122.55,122.56,122.53,122.55,2670
2708,331.0,122.59,122.59,122.55,122.55,2000
2709,332.0,122.62,122.62,122.59,122.6,900
2710,333.0,122.59,122.62,122.59,122.62,1500
2711,334.0,122.62,122.64,122.62,122.62,300
2712,335.0,122.62,122.64,122.61,122.62,3030
2713,336.0,122.61,122.62,122.595,122.62,810
2714,337.0,122.5995,122.5995,122.5995,122.5995,310
2715,338.0,122.63,122.64,122.59,122.6,1000
2716,339.0,122.61,122.62,122.59,122.62,800
2717,340.0,122.6,122.6,122.6,122.6,1000
2718,341.0,122.7003,122.71,122.61,122.61,1680
2719,342.0,122.76,122.76,122.73,122.73,1140
