,0,1,2,3,4,5
3037,,909.27,911.0,909.27,910.66,56785
3038,1.0,911.01,911.02,908.0,910.87,58393
3039,2.0,908.8652,911.84,907.3801,911.11,20338
3040,3.0,910.7,911.09,908.52,909.17,15912
3041,4.0,911.72,912.5,909.3075,910.98,32301
3042,5.0,909.88,911.935,908.4,911.74,20257
3043,6.0,911.5,911.9,909.7,910.0,15873
3044,7.0,913.065,913.65,911.57,911.6852,28887
3045,8.0,910.18,913.015,910.09,912.85,23657
3046,9.0,911.8404,912.09,910.45,910.45,11280
3047,10.0,911.55,912.92,911.27,911.88,18136
3048,11.0,911.22,912.1,910.6804,911.62,18796
3049,12.0,911.44,912.43,910.78,911.28,10571
3050,13.0,911.2546,912.14,911.22,911.39,11393
3051,14.0,911.85,913.075,911.5210000000001,911.5210000000001,16505
3052,15.0,911.96,912.44,911.5,911.79,8128
3053,16.0,910.6315,912.24,910.39,912.24,7749
3054,17.0,912.7929,912.92,911.15,911.22,6355
3055,18.0,911.96,913.32,911.96,912.82,13321
3056,19.0,911.96,912.26,910.54,912.0,10206
3057,20.0,911.335,912.53,911.335,912.095,9125
3058,21.0,911.03,911.51,910.57,911.12,9952
3059,22.0,910.61,911.76,910.61,911.16,9231
3060,23.0,909.285,911.33,909.191,910.8464,13922
3061,24.0,909.53,910.67,909.53,909.5831,8245
3062,25.0,907.79,910.14,907.0,909.52,15705
3063,26.0,908.33,909.275,907.712,907.712,5825
3064,27.0,908.12,908.59,907.68,907.69,6112
3065,28.0,909.0,909.0591,908.07,908.5,5847
3066,29.0,908.7,909.13,908.39,909.0,5270
3067,30.0,908.63,909.13,907.94,908.48,6413
3068,31.0,909.789,909.79,908.17,908.4356,2429
3069,32.0,910.1592,911.0,909.4,909.78,9122
3070,33.0,910.1,910.46,909.83,910.2,5631
3071,34.0,910.145,910.37,909.87,910.32,6700
3072,35.0,909.83,910.3,909.5278,910.17,7925
3073,36.0,909.38,909.9755,909.32,909.78,2116
3074,37.0,909.61,909.69,909.2,909.36,5314
3075,38.0,910.28,910.299,909.5,909.5125,9695
3076,39.0,909.9663,910.06,909.35,910.06,6330
3077,40.0,910.06,910.48,909.72,909.7675,14082
3078,41.0,910.6,911.0,910.0,910.0,7174
3079,42.0,910.92,911.04,910.7183,910.79,3594
3080,43.0,910.6398,911.0599,910.47,910.8837,1721
3081,44.0,910.07,910.91,909.64,910.71,8315
3082,45.0,910.0,910.39,909.63,910.05,13435
3083,46.0,909.63,909.9499,909.63,909.77,5887
3084,47.0,909.3,909.87,909.23,909.73,8454
3085,48.0,910.12,910.24,909.38,909.38,8322
3086,49.0,910.74,910.8,910.15,910.25,4509
3087,50.0,910.68,910.8,910.23,910.721,6780
3088,51.0,910.77,910.77,910.19,910.53,10366
3089,52.0,911.9337,912.0,910.67,910.67,9699
3090,53.0,912.07,912.07,911.41,911.97,7750
3091,54.0,912.54,912.54,911.99,911.99,7679
3092,55.0,912.13,912.25,911.87,912.13,6840
3093,56.0,912.49,912.63,912.1852,912.3,4490
3094,57.0,913.73,913.78,912.64,912.64,11447
3095,58.0,914.12,914.12,913.51,913.6238,6435
3096,59.0,914.0,914.1,913.71,914.0,7175
3097,60.0,913.25,914.0,913.25,913.915,3960
3098,61.0,912.33,913.17,912.19,913.07,2394
3099,62.0,911.12,912.3363,911.065,912.27,5004
3100,63.0,911.44,911.44,910.63,910.86,5767
3101,64.0,911.33,911.5,911.0,911.4192,3555
3102,65.0,912.23,912.23,911.26,911.33,5365
3103,66.0,911.86,912.39,911.69,912.24,3420
3104,67.0,911.99,912.17,911.65,911.77,5547
3105,68.0,912.42,912.45,911.78,912.04,6794
3106,69.0,912.82,912.82,912.3262,912.345,4395
3107,70.0,912.69,912.84,912.61,912.84,1331
3108,71.0,912.685,912.79,912.49,912.78,1400
3109,72.0,913.0,913.0,912.5,912.66,3487
3110,73.0,913.64,913.64,913.03,913.03,4173
3111,74.0,913.41,913.81,913.41,913.47,3795
3112,75.0,913.18,913.5,913.18,913.38,1132
3113,76.0,913.69,913.69,913.2,913.25,6390
3114,77.0,913.562,913.75,913.52,913.5201,4240
3115,78.0,913.69,913.81,913.56,913.65,5294
3116,79.0,914.495,914.6,913.79,913.79,9811
3117,80.0,914.28,914.545,914.17,914.42,7970
3118,81.0,914.06,914.29,913.7304,914.28,6220
3119,82.0,914.62,914.89,913.96,913.96,4730
3120,83.0,914.64,914.9275,914.3101,914.8589999999999,4892
3121,84.0,915.11,915.2,914.65,914.74,8583
3122,85.0,914.875,915.54,914.875,915.21,7482
3123,86.0,915.21,915.33,914.89,914.89,6638
3124,87.0,915.78,915.918,915.07,915.3,6710
3125,88.0,916.76,916.84,915.9336,915.95,13346
3126,89.0,916.23,916.85,916.0092,916.79,7538
3127,90.0,916.1952,916.39,915.92,916.22,11797
3128,91.0,915.47,916.33,915.28,916.3,11986
3129,92.0,914.95,915.4413,914.95,915.4413,4660
3130,93.0,915.6506,915.6506,914.39,914.9,10165
3131,94.0,915.6,915.95,915.46,915.82,2600
3132,95.0,915.5101,915.846,915.5101,915.595,3876
3133,96.0,915.6,916.105,915.6,915.75,4219
3134,97.0,915.7304,915.79,915.7304,915.74,500
3135,98.0,915.0,915.9,915.0,915.9,4440
3136,99.0,915.14,915.18,914.69,915.0,3900
3137,100.0,914.41,915.426,914.32,915.426,6530
3138,101.0,915.24,915.4799,914.6,914.6,4490
3139,102.0,914.87,915.125,914.8459,915.11,1967
3140,103.0,914.535,915.05,914.535,914.7891,1567
3141,104.0,914.56,914.75,914.5528,914.67,1820
3142,105.0,914.2325,914.55,913.865,914.55,5737
3143,106.0,914.575,914.72,914.27,914.27,4869
3144,107.0,914.55,914.75,914.41,914.41,5700
3145,108.0,914.17,914.76,914.17,914.75,4530
3146,109.0,914.09,914.27,913.83,914.185,6983
3147,110.0,913.61,914.105,913.61,913.88,4484
3148,111.0,913.7339,913.83,913.6,913.6,1025
3149,112.0,913.51,913.6619,913.51,913.57,300
3150,113.0,913.34,913.71,913.34,913.71,700
3151,114.0,913.14,913.6,913.11,913.24,3904
3152,115.0,913.6,913.7403,913.18,913.18,2121
3153,116.0,913.83,913.85,913.535,913.61,2297
3154,117.0,913.8,913.935,913.5,913.8775,8042
3155,118.0,913.67,913.81,913.56,913.81,1300
3156,119.0,913.405,913.69,913.33,913.66,4955
3157,120.0,913.355,913.47,913.24,913.47,2795
3158,121.0,913.67,913.67,913.46,913.55,1400
3159,122.0,913.41,913.47,913.32,913.47,946
3160,123.0,912.845,913.27,912.67,913.27,2123
3161,124.0,912.6,912.6,912.07,912.4101,4914
3162,125.0,911.8501,912.5,911.8501,912.49,1875
3163,126.0,911.52,912.19,911.51,912.0,4312
3164,127.0,912.0,912.0,911.56,911.7,3198
3165,128.0,912.322,912.322,911.64,911.7097,4157
3166,129.0,911.19,912.34,911.1703,912.34,3300
3167,130.0,911.03,911.51,910.96,911.19,6865
3168,131.0,910.835,911.16,910.5301,911.16,7460
3169,132.0,911.45,911.55,911.19,911.19,4090
3170,133.0,911.7599,911.7599,911.02,911.4,8697
3171,134.0,911.33,911.64,911.01,911.41,2200
3172,135.0,911.1962,911.1962,910.82,911.07,2612
3173,136.0,910.6,911.17,910.6,911.17,1400
3174,137.0,910.9647,911.07,910.6,910.9299,4826
3175,138.0,910.4,910.76,910.35,910.76,4830
3176,139.0,910.71,910.8,910.36,910.53,4953
3177,140.0,910.71,911.01,910.54,910.689,2900
3178,141.0,910.6,910.93,910.51,910.93,1900
3179,142.0,909.7879,910.4,909.6878,910.4,5680
3180,143.0,909.69,909.8,909.565,909.7,1000
3181,144.0,910.0,910.0,909.665,909.73,2420
3182,145.0,910.09,910.22,910.07,910.1868,1910
3183,146.0,909.8899,910.15,909.77,910.15,700
3184,147.0,908.3,909.66,908.3,909.66,10713
3185,148.0,908.89,909.0,908.29,908.29,7330
3186,149.0,909.46,909.6,908.88,908.9,3824
3187,150.0,909.188,909.4,909.07,909.29,1987
3188,151.0,909.35,909.57,909.09,909.21,6100
3189,152.0,909.85,910.03,909.4573,909.4573,4200
3190,153.0,910.11,910.19,909.8,909.975,16347
3191,154.0,910.9228,911.01,909.9501,910.0,2681
3192,155.0,910.9461,911.0,910.76,910.9,825
3193,156.0,911.2547,911.4,911.1,911.1,4314
3194,157.0,910.69,911.33,910.69,911.26,1500
3195,158.0,910.46,910.46,910.2,910.38,1600
3196,159.0,911.0357,911.15,910.19,910.19,1510
3197,160.0,910.65,911.5,910.65,911.25,5613
3198,161.0,910.84,910.91,910.48,910.67,3856
3199,162.0,910.85,910.86,910.8275,910.8275,1000
3200,163.0,910.9892,910.9892,910.7812,910.85,1600
3201,164.0,911.03,911.07,910.8693,910.93,2743
3202,165.0,910.77,911.05,910.77,910.95,1400
3203,166.0,910.0,910.55,909.68,910.55,15196
3204,167.0,910.8697,910.88,910.04,910.05,4563
3205,168.0,910.8581,910.99,910.84,910.95,2471
3206,169.0,910.51,910.76,910.51,910.72,500
