,0,1,2,3,4,5
2591,,96.49,96.49,96.49,96.49,6996
2592,1.0,96.34,96.68,96.34,96.68,242
2593,4.0,96.38,96.38,96.37,96.37,200
2594,5.0,96.49,96.54,96.39,96.4,2259
2595,6.0,96.61,96.61,96.5,96.5,621
2596,7.0,96.87,96.87,96.67,96.7,1731
2597,8.0,96.85,96.88,96.79,96.85,1300
2598,9.0,96.81,96.85,96.81,96.85,300
2599,10.0,96.59,96.8,96.59,96.8,4037
2600,11.0,96.62,96.62,96.62,96.62,100
2601,12.0,96.66,96.66,96.58,96.615,400
2602,13.0,96.58,96.6375,96.51,96.6375,1678
2603,15.0,96.39,96.63,96.39,96.63,3000
2604,16.0,96.5275,96.56,96.46,96.46,1177
2605,17.0,96.495,96.54,96.495,96.51,608
2606,18.0,96.44,96.46,96.37,96.46,2316
2607,19.0,96.46,96.4999,96.41,96.44,7245
2608,20.0,96.41,96.45,96.41,96.44,3300
2609,21.0,96.58,96.58,96.42,96.44,9504
2610,23.0,96.62,96.62,96.59,96.61,700
2611,24.0,96.73,96.73,96.67,96.7,7000
2612,25.0,96.74,96.76,96.72,96.7395,1700
2613,26.0,96.77,96.785,96.74,96.74,900
2614,27.0,96.83,96.88,96.79,96.8,3338
2615,28.0,96.81,96.81,96.795,96.8,500
2616,29.0,96.71,96.76,96.71,96.76,911
2617,30.0,96.7,96.74,96.7,96.74,400
2618,31.0,96.79,96.79,96.66,96.74,9000
2619,32.0,96.74,96.79,96.71,96.71,600
2620,33.0,96.82,96.82,96.73,96.73,2700
2621,34.0,96.71,96.81,96.71,96.81,3200
2622,35.0,96.65,96.68,96.64,96.67,1500
2623,36.0,96.66,96.68,96.64,96.6401,1435
2624,37.0,96.57,96.64,96.57,96.64,2506
2625,38.0,96.615,96.63,96.57,96.58,3600
2626,39.0,96.61,96.65,96.61,96.62,1400
2627,40.0,96.57,96.61,96.545,96.61,2500
2628,41.0,96.61,96.61,96.58,96.58,1500
2629,42.0,96.56,96.64,96.56,96.64,1740
2630,43.0,96.4,96.55,96.4,96.55,3900
2631,44.0,96.3,96.399,96.26,96.399,3306
2632,45.0,96.3,96.32,96.3,96.32,400
2633,46.0,96.27,96.315,96.27,96.29,4200
2634,47.0,96.145,96.31,96.13,96.25,53887
2635,48.0,96.16,96.1999,96.065,96.14,6325
2636,49.0,96.12,96.16,96.12,96.16,400
2637,50.0,96.18,96.18,96.11,96.11,600
2638,51.0,96.27,96.27,96.24,96.24,400
2639,52.0,96.39,96.39,96.26,96.28,2855
2640,53.0,96.39,96.44,96.38,96.4,2788
2641,54.0,96.39,96.4,96.39,96.39,300
2642,56.0,96.39,96.45,96.39,96.45,1900
2643,57.0,96.42,96.42,96.39,96.41,990
2644,58.0,96.46,96.48,96.42,96.48,500
2645,59.0,96.57,96.6,96.49,96.49,4003
2646,60.0,96.59,96.64,96.58,96.6,2400
2647,61.0,96.57,96.6,96.55,96.6,2694
2648,62.0,96.51,96.58,96.51,96.57,5800
2649,63.0,96.56,96.595,96.52,96.52,2851
2650,64.0,96.53,96.6,96.52,96.6,5463
2651,65.0,96.52,96.54,96.51,96.51,3539
2652,66.0,96.46,96.52,96.44,96.52,5600
2653,67.0,96.5,96.53,96.42,96.45,8401
2654,68.0,96.385,96.515,96.37,96.49,6359
2655,69.0,96.44,96.445,96.34,96.36,9095
2656,70.0,96.405,96.47,96.405,96.45,5270
2657,71.0,96.34,96.41,96.34,96.405,4250
2658,72.0,96.315,96.335,96.24,96.33,5011
2659,73.0,96.3,96.37,96.29,96.29,4200
2660,74.0,96.38,96.39,96.29,96.3,9398
2661,75.0,96.335,96.4,96.3,96.375,8636
2662,76.0,96.37,96.43,96.3,96.33,11556
2663,77.0,96.3701,96.4,96.36,96.36,2539
2664,78.0,96.32,96.38,96.32,96.37,8010
2665,79.0,96.3,96.335,96.29,96.33,6942
2666,80.0,96.33,96.35,96.3,96.33,800
2667,81.0,96.33,96.355,96.32,96.33,3445
2668,82.0,96.31,96.35,96.28,96.33,11027
2669,83.0,96.33,96.37,96.29,96.29,4903
2670,84.0,96.3256,96.355,96.31,96.335,2190
2671,85.0,96.33,96.35,96.33,96.35,200
2672,86.0,96.35,96.36,96.33,96.33,1500
2673,87.0,96.39,96.39,96.34,96.34,1022
2674,88.0,96.42,96.46,96.375,96.39,1600
2675,89.0,96.47,96.47,96.445,96.449,618
2676,90.0,96.42,96.45,96.42,96.45,1509
2677,91.0,96.46,96.46,96.425,96.425,1500
2678,92.0,96.49,96.55,96.46,96.46,2642
2679,93.0,96.47,96.55,96.47,96.48,20626
2680,94.0,96.48,96.505,96.47,96.49,4000
2681,95.0,96.45,96.48,96.45,96.48,1400
2682,96.0,96.46,96.48,96.45,96.46,2100
2683,97.0,96.5,96.5,96.485,96.485,1041
2684,98.0,96.5,96.5,96.46,96.47,600
2685,99.0,96.49,96.51,96.49,96.51,1800
2686,100.0,96.49,96.51,96.49,96.5,2664
2687,101.0,96.48,96.5,96.47,96.5,1700
2688,102.0,96.49,96.505,96.49,96.49,1800
2689,103.0,96.49,96.5,96.48,96.5,1500
2690,104.0,96.48,96.51,96.48,96.51,200
2691,105.0,96.48,96.52,96.48,96.51,1100
2692,106.0,96.49,96.49,96.48,96.48,401
2693,107.0,96.51,96.52,96.5,96.51,1501
2694,108.0,96.46,96.51,96.46,96.51,4089
2695,109.0,96.44,96.46,96.43,96.46,6355
2696,110.0,96.42,96.45,96.4,96.43,2900
2697,111.0,96.44,96.49,96.44,96.46,3300
2698,112.0,96.4,96.45,96.4,96.44,5920
2699,113.0,96.4,96.45,96.37,96.41,8151
2700,114.0,96.48,96.48,96.43,96.44,1200
2701,115.0,96.44,96.5,96.43,96.48,1300
2702,116.0,96.45,96.48,96.445,96.45,3465
2703,117.0,96.44,96.45,96.43,96.45,3000
2704,118.0,96.44,96.45,96.43,96.435,2012
2705,119.0,96.45,96.465,96.44,96.45,3100
2706,120.0,96.45,96.46,96.445,96.445,1733
2707,121.0,96.38,96.45,96.38,96.45,7000
2708,122.0,96.37,96.42,96.37,96.41,3800
2709,123.0,96.41,96.42,96.29,96.37,19788
2710,124.0,96.32,96.4,96.31,96.39,3300
2711,125.0,96.295,96.34,96.28,96.32,700
2712,126.0,96.27,96.31,96.26,96.31,2500
2713,127.0,96.24,96.27,96.24,96.27,1507
2714,128.0,96.26,96.29,96.24,96.24,600
2715,129.0,96.27,96.29,96.27,96.275,920
2716,130.0,96.25,96.31,96.25,96.27,1300
2717,131.0,96.22,96.25,96.18,96.25,5900
2718,132.0,96.2055,96.225,96.2055,96.225,785
2719,133.0,96.22,96.24,96.215,96.215,900
2720,134.0,96.23,96.23,96.23,96.23,100
2721,135.0,96.25,96.25,96.23,96.23,300
2722,136.0,96.19,96.22,96.19,96.22,500
2723,137.0,96.235,96.25,96.19,96.19,3228
2724,138.0,96.28,96.28,96.22,96.22,1200
2725,139.0,96.28,96.2842,96.25,96.25,1400
2726,140.0,96.26,96.305,96.26,96.305,810
2727,141.0,96.35,96.37,96.29,96.29,2700
2728,142.0,96.35,96.36,96.33,96.33,5515
2729,143.0,96.34,96.36,96.34,96.34,3000
2730,144.0,96.32,96.35,96.32,96.35,1654
2731,145.0,96.35,96.35,96.325,96.33,1900
2732,146.0,96.26,96.3486,96.26,96.33,7354
2733,147.0,96.3,96.31,96.28,96.29,2900
2734,148.0,96.29,96.31,96.27,96.27,5600
2735,149.0,96.285,96.3,96.28,96.295,2400
2736,150.0,96.29,96.3,96.275,96.28,5111
2737,151.0,96.25,96.31,96.25,96.28,5200
2738,152.0,96.26,96.29,96.25,96.25,6505
2739,154.0,96.24,96.26,96.24,96.26,1800
2740,155.0,96.27,96.27,96.25,96.25,1322
2741,156.0,96.27,96.28,96.27,96.28,500
2742,157.0,96.27,96.29,96.27,96.29,4724
2743,158.0,96.2786,96.28,96.27,96.28,850
2744,159.0,96.25,96.27,96.25,96.27,6166
2745,160.0,96.19,96.25,96.19,96.25,2900
2746,161.0,96.19,96.19,96.19,96.19,200
2747,162.0,96.26,96.26,96.23,96.23,500
2748,163.0,96.21,96.26,96.21,96.26,2800
2749,164.0,96.19,96.215,96.19,96.215,3900
2750,165.0,96.17,96.2,96.16,96.19,4700
2751,166.0,96.17,96.19,96.17,96.18,1700
2752,169.0,96.14,96.18,96.12,96.18,6115
