,0,1,2,3,4,5
2327,,44.4,44.42,43.33,43.88,16661
2328,1.0,44.185,44.42,44.185,44.42,7426
2329,2.0,44.27,44.33,44.201,44.27,5868
2330,3.0,44.33,44.41,44.27,44.28,44292
2331,4.0,44.36,44.41,44.34,44.34,2291
2332,5.0,44.4419,44.4419,44.34,44.34,825
2333,6.0,44.49,44.49,44.44,44.45,1800
2334,7.0,44.45,44.51,44.4,44.45,3500
2335,8.0,44.49,44.49,44.44,44.48,1200
2336,9.0,44.4968,44.53,44.4968,44.52,600
2337,10.0,44.5565,44.59,44.52,44.54,4875
2338,11.0,44.48,44.496,44.48,44.496,400
2339,12.0,44.49,44.52,44.4892,44.5,1951
2340,13.0,44.49,44.49,44.46,44.46,2000
2341,14.0,44.47,44.49,44.39,44.49,4499
2342,15.0,44.48,44.48,44.44,44.45,87200
2343,16.0,44.48,44.48,44.455,44.455,400
2344,17.0,44.46,44.5,44.45,44.49,10109
2345,18.0,44.41,44.445,44.41,44.445,5700
2346,19.0,44.44,44.44,44.42,44.425,6094
2347,20.0,44.43,44.45,44.38,44.445,7563
2348,21.0,44.45,44.45,44.42,44.43,2753
2349,22.0,44.42,44.42,44.4,44.4,400
2350,23.0,44.45,44.45,44.41,44.41,4400
2351,24.0,44.44,44.48,44.44,44.48,2725
2352,25.0,44.44,44.44,44.43,44.43,600
2353,26.0,44.46,44.49,44.44,44.45,87156
2354,27.0,44.48,44.49,44.47,44.47,3400
2355,28.0,44.455,44.48,44.44,44.48,4144
2356,29.0,44.47,44.49,44.45,44.46,7100
2357,30.0,44.48,44.5,44.46,44.475,2555
2358,31.0,44.5,44.5,44.48,44.482,7055
2359,32.0,44.521,44.53,44.5,44.5,19017
2360,33.0,44.53,44.55,44.511,44.53,3141
2361,34.0,44.55,44.55,44.54,44.54,300
2362,35.0,44.51,44.56,44.51,44.54,4525
2363,36.0,44.53,44.53,44.51,44.515,4538
2364,37.0,44.53,44.54,44.52,44.52,3102
2365,38.0,44.53,44.54,44.51,44.54,8668
2366,39.0,44.57,44.57,44.54,44.54,1700
2367,40.0,44.58,44.59,44.57,44.58,2300
2368,41.0,44.61,44.61,44.57,44.57,7010
2369,42.0,44.62,44.62,44.61,44.61,1242
