,0,1,2,3,4,5
947,,154.0,154.0,154.0,154.0,4062
948,1.0,153.9,154.0,153.9,153.95,400
949,3.0,154.02,154.02,154.02,154.02,100
950,6.0,153.92,153.92,153.92,153.92,100
951,9.0,153.82,153.84,153.82,153.84,200
952,10.0,153.845,153.845,153.845,153.845,100
953,11.0,153.77,153.82,153.69,153.82,700
954,12.0,153.82,153.82,153.75,153.75,500
955,14.0,153.9,153.9,153.88,153.88,200
956,16.0,153.89,153.9,153.825,153.9,300
957,19.0,153.99,153.99,153.89,153.89,600
958,20.0,153.98,153.98,153.98,153.98,100
959,22.0,154.04,154.04,153.97,153.97,300
960,23.0,153.84,153.84,153.84,153.84,100
961,24.0,153.9404,153.9404,153.9404,153.9404,100
962,25.0,154.175,154.175,154.01,154.01,400
963,27.0,154.1,154.1,154.1,154.1,300
964,29.0,154.11,154.125,154.07,154.11,515
965,30.0,154.21,154.22,154.06,154.17,700
966,33.0,154.23,154.23,154.23,154.23,200
967,34.0,154.16,154.16,154.16,154.16,100
968,36.0,154.2,154.24,154.2,154.24,345
969,38.0,154.31,154.31,154.31,154.31,100
970,39.0,154.285,154.285,154.285,154.285,200
971,40.0,154.25,154.3,154.25,154.3,685
972,41.0,154.085,154.29,154.085,154.25,700
973,42.0,154.06,154.06,154.05,154.06,300
974,43.0,154.11,154.11,154.02,154.02,300
975,44.0,153.96,153.98,153.96,153.98,200
976,45.0,154.03,154.04,153.95,153.95,1500
977,46.0,154.075,154.09,154.07,154.07,300
978,48.0,154.14,154.14,154.13,154.13,300
979,49.0,154.17,154.17,154.17,154.17,100
980,52.0,154.23,154.25,154.23,154.25,200
981,53.0,154.35,154.35,154.35,154.35,100
982,54.0,154.36,154.36,154.35,154.35,400
983,55.0,154.45,154.45,154.41,154.41,800
984,56.0,154.5,154.5,154.49,154.49,700
985,57.0,154.425,154.48,154.36,154.48,800
986,58.0,154.3625,154.365,154.29,154.33,1241
987,59.0,154.31,154.365,154.31,154.365,400
988,60.0,154.295,154.295,154.26,154.26,700
989,61.0,154.56,154.56,154.32,154.32,900
990,63.0,154.66,154.66,154.585,154.585,1136
991,65.0,154.57,154.59,154.57,154.59,200
992,66.0,154.67,154.67,154.66,154.66,300
993,67.0,154.82,154.82,154.7,154.71,660
994,68.0,154.87,154.87,154.83,154.83,200
995,69.0,154.87,154.87,154.86,154.86,200
996,71.0,154.93,154.93,154.91,154.91,500
997,72.0,154.91,154.91,154.91,154.91,100
998,73.0,154.75,154.88,154.75,154.87,1313
999,74.0,154.75,154.75,154.73,154.73,600
1000,75.0,154.8299,154.8299,154.73,154.73,700
1001,76.0,154.77,154.85,154.77,154.85,300
1002,77.0,154.82,154.82,154.82,154.82,100
1003,78.0,154.82,154.82,154.82,154.82,100
1004,79.0,154.82,154.82,154.82,154.82,200
1005,81.0,154.85,154.85,154.85,154.85,200
1006,82.0,154.73,154.8499,154.73,154.8499,230
1007,83.0,154.84,154.84,154.74,154.74,200
1008,84.0,154.67,154.83,154.67,154.83,700
1009,85.0,154.66,154.66,154.66,154.66,100
1010,86.0,154.74,154.74,154.73,154.73,200
1011,87.0,154.75,154.75,154.75,154.75,200
1012,88.0,154.81,154.81,154.81,154.81,100
1013,89.0,154.74,154.74,154.68,154.68,800
1014,90.0,154.74,154.74,154.64,154.69,600
1015,91.0,154.63,154.63,154.63,154.63,100
1016,93.0,154.68,154.68,154.63,154.63,600
1017,94.0,154.64,154.68,154.62,154.67,1000
1018,95.0,154.68,154.68,154.65,154.65,500
1019,98.0,154.65,154.71,154.65,154.69,1100
1020,101.0,154.73,154.73,154.69,154.69,300
1021,102.0,154.71,154.77,154.71,154.77,500
1022,103.0,154.7,154.7,154.7,154.7,100
1023,104.0,154.63,154.68,154.63,154.64,477
1024,105.0,154.73,154.73,154.69,154.69,200
1025,106.0,154.59,154.59,154.59,154.59,100
1026,109.0,154.55,154.55,154.55,154.55,100
1027,110.0,154.6,154.6,154.6,154.6,100
