,0,1,2,3,4,5
2969,,90.84,90.84,90.84,90.84,16782
2970,1.0,90.4001,91.11,90.4001,91.11,5566
2971,2.0,90.89,90.89,90.425,90.425,1116
2972,3.0,90.49,90.79,90.49,90.79,700
2973,4.0,90.43,90.43,90.43,90.43,100
2974,5.0,90.33,90.37,90.33,90.37,200
2975,6.0,90.45,90.51,90.35,90.36,1920
2976,7.0,90.57,90.64,90.51,90.52,2100
2977,8.0,90.455,90.64,90.38,90.62,9577
2978,9.0,90.53,90.575,90.46,90.46,500
2979,10.0,90.44,90.61,90.44,90.5,2214
2980,11.0,90.39,90.45,90.39,90.43,4639
2981,12.0,90.48,90.48,90.405,90.45,400
2982,13.0,90.61,90.645,90.5945,90.645,400
2983,14.0,90.48,90.57,90.48,90.57,600
2984,15.0,90.66,90.66,90.53,90.53,1200
2985,16.0,90.61,90.67,90.52600000000001,90.63,2400
2986,17.0,90.65,90.65,90.58,90.6,1300
2987,18.0,90.62,90.67,90.61,90.65,1500
2988,19.0,90.6,90.61,90.5208,90.61,1705
2989,20.0,90.61,90.64,90.61,90.64,600
2990,21.0,90.581,90.59,90.5201,90.5201,7123
2991,22.0,90.59,90.63,90.59,90.62,1200
2992,23.0,90.64,90.64,90.62,90.62,400
2993,24.0,90.56,90.61,90.5407,90.61,8483
2994,25.0,90.58,90.59,90.55,90.59,500
2995,26.0,90.55,90.59,90.52,90.5517,1130
2996,27.0,90.61,90.68,90.61,90.63,1300
2997,29.0,90.61,90.61,90.61,90.61,100
2998,30.0,90.66,90.66,90.5909,90.5909,870
2999,31.0,90.585,90.63,90.585,90.61,900
3000,32.0,90.54,90.6,90.54,90.6,1499
3001,33.0,90.57,90.61,90.57,90.58,1500
3002,34.0,90.594,90.594,90.54,90.575,700
3003,35.0,90.58,90.58,90.54,90.56,900
3004,36.0,90.51,90.55,90.51,90.55,900
3005,37.0,90.5,90.51,90.44,90.51,2300
3006,38.0,90.42299999999999,90.52,90.37700000000001,90.5,2453
3007,39.0,90.38,90.38,90.34,90.34,732
3008,40.0,90.34,90.4,90.34,90.4,500
3009,41.0,90.39399999999999,90.39399999999999,90.31,90.31,8668
3010,42.0,90.37,90.37,90.35,90.3684,547
3011,43.0,90.36,90.36,90.3401,90.3401,200
3012,44.0,90.355,90.3799,90.3401,90.3799,888
3013,45.0,90.43,90.43,90.34,90.35,1700
