,0,1,2,3,4,5
2229,,101.78,101.78,101.78,101.78,9982
2230,1.0,101.78,101.78,101.05,101.24,2400
2231,3.0,101.3,101.35,101.3,101.35,1100
2232,4.0,101.61,101.61,101.3,101.3,600
2233,5.0,101.5563,101.5563,101.36,101.36,1642
2234,6.0,101.72,101.72,101.595,101.65,800
2235,7.0,101.65,101.74,101.65,101.74,3000
2236,8.0,101.6,101.6,101.6,101.6,100
2237,9.0,101.6,101.6,101.6,101.6,100
2238,10.0,101.53,101.58,101.53,101.565,300
2239,11.0,101.505,101.52,101.505,101.52,200
2240,12.0,101.45,101.53,101.41,101.53,1200
2241,13.0,101.31,101.48,101.31,101.48,3500
2242,14.0,101.3,101.3,101.23,101.2952,1500
2243,15.0,101.32,101.32,101.18,101.18,464
2244,16.0,101.19,101.395,101.19,101.3706,2650
2245,17.0,101.245,101.245,101.225,101.225,200
2246,18.0,101.2,101.2125,101.2,101.2,600
2247,19.0,101.27,101.27,101.1518,101.17,1511
2248,20.0,101.26,101.26,101.2,101.2001,300
2249,21.0,101.26,101.26,101.26,101.26,100
2250,22.0,101.14,101.19,101.14,101.19,339
2251,23.0,101.19,101.22,101.19,101.19,1400
2252,25.0,101.08,101.1538,101.08,101.1538,900
2253,27.0,101.09,101.09,101.06,101.08,500
2254,28.0,101.0,101.04,101.0,101.03,1300
2255,29.0,100.99,100.99,100.93,100.93,500
2256,30.0,101.07,101.07,101.07,101.07,100
2257,31.0,101.01,101.0575,101.0,101.0575,1402
2258,32.0,101.11,101.11,100.98,101.02,1400
2259,33.0,101.14,101.18,101.11,101.11,400
2260,34.0,101.09,101.1,101.04,101.1,700
2261,35.0,101.02,101.09,101.02,101.05,1000
2262,36.0,101.06,101.06,101.035,101.035,200
2263,37.0,101.02,101.06,100.99,101.04,1300
2264,38.0,100.97,100.97,100.94,100.96,600
2265,39.0,101.0,101.0,100.95,100.95,300
2266,40.0,101.03,101.03,100.99,101.01,2150
2267,41.0,100.91,101.02,100.9,101.02,2100
2268,42.0,100.88,100.93,100.8764,100.8764,771
2269,43.0,100.83,100.86,100.8,100.86,1132
2270,44.0,100.88,100.94,100.84,100.84,1900
