,0,1,2,3,4,5
1559,,22.5,22.5,22.5,22.5,1446
1560,2.0,22.46,22.46,22.46,22.46,100
1561,3.0,22.46,22.46,22.4,22.41,692
1562,5.0,22.48,22.48,22.41,22.41,500
1563,6.0,22.43,22.45,22.43,22.45,200
1564,7.0,22.375,22.38,22.375,22.38,400
1565,8.0,22.375,22.375,22.375,22.375,100
1566,9.0,22.38,22.48,22.38,22.4,3286
1567,10.0,22.47,22.47,22.36,22.47,17221
1568,11.0,22.58,22.62,22.46,22.46,2855
1569,12.0,22.51,22.61,22.51,22.59,3781
1570,13.0,22.5894,22.5894,22.56,22.56,800
1571,14.0,22.56,22.59,22.55,22.575,2900
1572,16.0,22.52,22.55,22.52,22.55,500
1573,17.0,22.5,22.52,22.48,22.52,1100
1574,18.0,22.52,22.52,22.52,22.52,200
1575,20.0,22.49,22.51,22.49,22.51,700
1576,21.0,22.55,22.56,22.51,22.51,1745
1577,22.0,22.54,22.56,22.54,22.54,400
1578,24.0,22.55,22.57,22.55,22.56,1700
1579,25.0,22.55,22.56,22.55,22.56,1200
1580,26.0,22.55,22.55,22.55,22.55,600
1581,28.0,22.52,22.54,22.52,22.54,700
1582,30.0,22.54,22.54,22.52,22.52,200
1583,31.0,22.55,22.55,22.54,22.54,600
1584,32.0,22.51,22.545,22.51,22.53,3400
1585,33.0,22.49,22.53,22.49,22.53,3900
1586,34.0,22.51,22.51,22.51,22.51,400
1587,35.0,22.52,22.52,22.52,22.52,300
1588,37.0,22.52,22.52,22.51,22.51,700
1589,39.0,22.5,22.5,22.5,22.5,100
1590,41.0,22.51,22.52,22.51,22.52,900
1591,43.0,22.51,22.52,22.51,22.51,300
1592,46.0,22.5,22.52,22.5,22.5,1900
1593,47.0,22.48,22.5,22.48,22.5,500
1594,48.0,22.5,22.5,22.48,22.49,3708
1595,49.0,22.51,22.51,22.51,22.51,100
1596,53.0,22.51,22.51,22.51,22.51,690
1597,54.0,22.5,22.51,22.5,22.51,300
1598,56.0,22.51,22.51,22.51,22.51,400
1599,57.0,22.5,22.5,22.5,22.5,700
1600,58.0,22.49,22.49,22.49,22.49,100
1601,60.0,22.49,22.49,22.49,22.49,400
1602,61.0,22.5,22.5,22.47,22.48,600
1603,64.0,22.51,22.51,22.5,22.5,500
