,0,1,2,3,4,5
2094,,173.75,173.75,173.75,173.75,10474
2095,1.0,173.78,174.05,173.56,173.78,29286
2096,2.0,174.02,174.04,173.665,173.72,11632
2097,3.0,173.89,173.97,173.79,173.97,2151
2098,4.0,173.96,173.98,173.815,173.91,6869
2099,5.0,174.01,174.04,173.87,173.98,5416
2100,6.0,174.19,174.19,173.88,174.02,8910
2101,7.0,174.13,174.25,174.13,174.15,7138
2102,8.0,174.0296,174.24,174.02,174.16,5949
2103,9.0,173.8,174.0,173.8,174.0,3884
2104,10.0,173.96,174.115,173.85,173.85,5256
2105,11.0,174.22,174.27,174.0,174.03,12616
2106,12.0,174.08,174.26,174.06,174.26,2603
2107,13.0,174.11,174.22,174.04,174.07,4976
2108,14.0,174.02,174.06,173.97,174.04,1900
2109,15.0,173.91,174.07,173.91,174.04,6390
2110,16.0,173.92,173.97,173.88,173.96,7539
2111,17.0,173.8375,173.91,173.83,173.875,5543
2112,18.0,173.98,174.01,173.8,173.84,12114
2113,19.0,174.095,174.095,173.9,173.9,7745
2114,20.0,174.11,174.3,174.1,174.115,9243
2115,21.0,173.88,174.19,173.85,174.17,4404
2116,22.0,173.83,173.89,173.8,173.81,9151
2117,23.0,173.92,173.92,173.82,173.86,7370
2118,24.0,173.95,173.95,173.89,173.9,500
2119,25.0,173.78,173.89,173.71,173.89,10230
2120,26.0,173.82,173.86,173.71,173.79,7822
2121,27.0,173.86,173.9,173.61,173.75,14763
2122,28.0,173.89,173.89,173.8,173.86,9764
2123,29.0,173.94,173.99,173.84,173.84,5838
2124,30.0,173.91,173.96,173.85,173.91,33385
2125,31.0,174.34,174.4,173.93,173.93,31482
2126,32.0,174.4483,174.5,174.31,174.31,3618
2127,33.0,174.41,174.5,174.41,174.47,4268
2128,34.0,174.42,174.5,174.35,174.41,3937
2129,35.0,174.45,174.49,174.375,174.385,3073
2130,36.0,174.37,174.45,174.34,174.415,2495
2131,37.0,174.11,174.33,174.11,174.33,2000
2132,38.0,174.1,174.14,174.06,174.08,4222
2133,39.0,174.12,174.27,174.12,174.16,4184
2134,40.0,174.0,174.13,174.0,174.1,1814
2135,41.0,174.01,174.14,173.96,173.99,8801
2136,42.0,174.1,174.12,173.97,174.0099,6741
2137,43.0,174.03,174.1,174.03,174.1,1505
2138,44.0,174.05,174.05,173.99,174.03,8127
2139,45.0,174.07,174.2175,174.0,174.05,6857
2140,46.0,174.04,174.09,173.96,174.065,12450
2141,47.0,174.06,174.1,174.0,174.06,6133
2142,48.0,174.01,174.05,173.95,174.05,9302
2143,49.0,174.28,174.35,173.97,173.9764,17340
2144,50.0,174.38,174.38,174.26,174.31,2253
2145,51.0,174.58,174.58,174.34,174.37,3971
2146,52.0,174.45,174.58,174.44,174.56,4647
2147,53.0,174.51,174.51,174.43,174.44,500
2148,54.0,174.39,174.49,174.39,174.39,2790
2149,55.0,174.4,174.4,174.33,174.39,1328
2150,56.0,174.41,174.42,174.36,174.36,793
2151,57.0,174.28,174.36,174.28,174.36,1600
