,0,1,2,3,4,5
782,,46.0,46.02,46.0,46.0,75117
783,1.0,45.86,46.03,45.77,46.02,33398
784,2.0,45.58,45.85,45.58,45.85,19967
785,3.0,45.71,45.79,45.63,45.64,15510
786,4.0,45.69,45.8,45.6,45.8,14070
787,5.0,45.5866,45.7,45.58,45.63,8705
788,6.0,45.63,45.645,45.58,45.59,7979
789,7.0,45.6792,45.7,45.6,45.6,9050
790,8.0,45.746,45.76,45.62,45.69,17340
791,9.0,45.82,45.84,45.74,45.76,7615
792,10.0,45.94,46.01,45.81,45.84,62005
793,11.0,46.0,46.01,45.91,45.94,22318
794,12.0,46.0566,46.09,45.98,45.995,12137
795,13.0,46.15,46.16,46.07,46.08,9752
796,14.0,46.19,46.19,46.15,46.15,4142
797,15.0,46.18,46.18,46.14,46.17,12700
798,16.0,46.125,46.21,46.125,46.18,38152
799,17.0,46.1501,46.17,46.12,46.125,7616
800,18.0,46.07,46.1611,46.06,46.1611,14159
801,19.0,46.0,46.0665,45.995,46.06,28926
802,20.0,45.91,46.0,45.89,46.0,5295
803,21.0,45.88,45.9,45.84,45.88,9445
804,22.0,45.9199,45.9298,45.87,45.89,13389
805,23.0,45.92,45.94,45.9,45.91,9655
806,24.0,45.92,45.92,45.89,45.9,4700
807,25.0,45.87,45.92,45.87,45.92,4722
808,26.0,45.85,45.89,45.83,45.87,39881
809,27.0,45.86,45.89,45.84,45.85,22790
810,28.0,45.87,45.88,45.85,45.86,17568
811,29.0,46.0,46.028999999999996,45.8601,45.88,25300
812,30.0,46.06,46.06,45.95,46.0,17121
813,31.0,46.04,46.09,46.01,46.0424,13314
814,32.0,46.03,46.08,46.0,46.0548,12580
815,33.0,45.965,46.02,45.953,46.02,3722
816,34.0,45.9552,45.97,45.92,45.96,10687
817,35.0,45.93,45.99,45.92,45.97,4273
818,36.0,45.88,45.92,45.87,45.92,9478
819,37.0,45.82,45.88,45.82,45.88,10871
820,38.0,45.81,45.86,45.76,45.82,16504
821,39.0,45.79,45.84,45.7593,45.82,4677
822,40.0,45.8295,45.83,45.77,45.79,3600
823,41.0,45.73,45.81,45.73,45.81,11367
824,42.0,45.7,45.74,45.7,45.73,3745
825,43.0,45.7301,45.74,45.68,45.69,20174
826,44.0,45.74,45.75,45.7,45.72,17115
827,45.0,45.71,45.721000000000004,45.67,45.721000000000004,16021
828,46.0,45.76,45.77,45.698,45.71,10721
829,47.0,45.82,45.82,45.75,45.75,6755
830,48.0,45.75,45.86,45.73,45.82,24368
831,49.0,45.755,45.77,45.72,45.755,13802
832,50.0,45.75,45.755,45.74,45.74,4500
833,51.0,45.72,45.74,45.7,45.74,12603
834,52.0,45.8199,45.8299,45.7101,45.73,26240
835,53.0,45.92,45.93,45.82,45.82,3928
836,54.0,45.87,45.92,45.87,45.9,6509
837,55.0,45.86,45.87,45.82,45.86,10694
838,56.0,45.86,45.88,45.85,45.86,5817
839,57.0,45.85,45.89,45.85,45.88,2600
840,58.0,45.84,45.87,45.84,45.85,4518
841,59.0,45.9,45.9,45.83,45.84,2773
842,60.0,45.83,45.891000000000005,45.83,45.89,5200
843,61.0,45.86,45.875,45.84,45.84,6519
844,62.0,45.83,45.86,45.83,45.86,6038
845,63.0,45.85,45.88,45.82,45.83,16901
846,64.0,45.91,45.935,45.85,45.85,15379
847,65.0,45.94,45.96,45.9,45.9,13437
848,66.0,45.97,45.97,45.94,45.94,5354
849,67.0,45.99,46.0,45.96,45.97,15070
850,68.0,45.98,45.99,45.94,45.99,8981
851,69.0,46.02,46.03,45.965,45.965,16196
852,70.0,46.03,46.05,46.01,46.01,8296
853,71.0,46.01,46.03,45.99,46.03,3300
854,72.0,46.05,46.05,45.995,46.0,8000
855,73.0,46.03,46.1,46.03,46.05,24219
856,74.0,46.05,46.05,46.03,46.03,5748
857,75.0,46.06,46.09,46.05,46.06,5858
858,76.0,46.05,46.05,46.02,46.05,5800
859,77.0,46.02,46.08,46.02,46.04,13379
860,78.0,45.98,46.0301,45.97,46.021,16066
861,79.0,45.91,45.97,45.9,45.97,13170
862,80.0,45.92,45.92,45.9,45.91,3051
863,81.0,45.93,45.93,45.9,45.91,7693
864,82.0,45.955,45.955,45.92,45.93,5200
865,83.0,45.96,45.98,45.95,45.96,19000
866,84.0,45.97,46.0,45.94,45.97,10189
867,85.0,45.915,45.955,45.91,45.95,11633
868,86.0,45.97,45.97,45.9135,45.915,12482
869,87.0,45.94,45.99,45.94,45.97,5165
870,88.0,45.955,45.96,45.935,45.94,3888
871,89.0,46.01,46.01,45.95,45.95,19561
872,90.0,45.97,46.01,45.97,46.01,4924
873,91.0,45.94,45.965,45.94,45.96,18819
874,92.0,45.99,45.99,45.935,45.95,15308
875,93.0,46.04,46.04,45.98,45.99,5386
876,94.0,46.02,46.05,46.02,46.04,5092
877,95.0,46.05,46.07,46.015,46.02,19345
878,96.0,46.08,46.08,46.045,46.05,11024
879,97.0,46.095,46.13,46.08,46.08,50248
880,98.0,46.08,46.115,46.07,46.1,19580
881,99.0,46.08,46.085,46.06,46.085,6390
882,100.0,46.0201,46.07,46.02,46.07,9440
883,101.0,46.12,46.15,46.025,46.03,27268
884,102.0,46.16,46.16,46.11,46.12,10482
885,103.0,46.2152,46.22,46.16,46.16,11124
886,104.0,46.25,46.25,46.18,46.22,9508
887,105.0,46.225,46.25,46.224,46.25,8354
888,106.0,46.23,46.23,46.21,46.22,4320
889,107.0,46.205,46.23,46.2,46.225,6703
890,108.0,46.135,46.2,46.1101,46.2,9803
891,109.0,46.16,46.16,46.1339,46.14,8997
892,110.0,46.16,46.17,46.14,46.1615,14400
893,111.0,46.17,46.2,46.14,46.15,13165
894,112.0,46.155,46.17,46.155,46.17,6804
895,113.0,46.15,46.16,46.14,46.15,3994
896,114.0,46.14,46.16,46.14,46.155,3800
897,115.0,46.14,46.16,46.12,46.14,8754
898,116.0,46.1,46.13,46.09,46.13,5300
899,117.0,46.06,46.105,46.06,46.1,12800
900,118.0,46.07,46.07,46.05,46.05,6100
901,119.0,46.091,46.1,46.07,46.07,2100
902,120.0,46.08,46.1,46.07,46.1,7989
903,121.0,46.06,46.08,46.055,46.08,1476
904,122.0,46.04,46.07,46.04,46.06,3827
905,123.0,46.04,46.07,46.04,46.04,5900
906,124.0,46.0158,46.05,46.0158,46.05,2800
907,125.0,45.96,46.02,45.96,46.01,18033
908,126.0,45.95,45.96,45.93,45.96,5800
909,127.0,45.97,45.986999999999995,45.96,45.96,3800
910,128.0,46.02,46.03,45.97,45.97,11701
911,129.0,46.0,46.03,46.0,46.03,14013
912,130.0,45.97,45.99,45.97,45.99,15169
913,131.0,45.95,45.96,45.95,45.96,3000
914,132.0,45.957,45.96,45.957,45.96,1850
915,133.0,45.935,45.96,45.93,45.96,10797
916,134.0,45.92,45.95,45.91,45.94,6926
917,135.0,45.92,45.92,45.895,45.92,10276
918,136.0,45.95,45.95,45.92,45.92,10544
919,137.0,45.99,45.99,45.96,45.96,6205
920,138.0,45.98,45.995,45.98,45.985,6700
921,139.0,45.9893,45.99,45.97,45.985,6600
922,140.0,45.9885,45.99,45.98,45.9801,2240
