,0,1,2,3,4,5
1173,,106.1,106.16,106.1,106.14,356270
1174,1.0,106.21,106.3,106.06,106.1,158199
1175,2.0,106.21,106.29,106.2,106.21,137041
1176,3.0,106.228,106.235,106.15,106.22,125484
1177,4.0,106.18,106.27,106.17,106.22,104371
1178,5.0,106.2033,106.2398,106.16,106.17,74145
1179,6.0,106.16,106.35,106.15,106.205,149203
1180,7.0,106.2844,106.32,106.14,106.15,81235
1181,8.0,106.245,106.3,106.23,106.28,84271
1182,9.0,106.29,106.3,106.2,106.24,63826
1183,10.0,106.2867,106.32,106.245,106.29,77269
1184,11.0,106.3901,106.43,106.27,106.28,118321
1185,12.0,106.365,106.42,106.33,106.39,72989
1186,13.0,106.32,106.37,106.315,106.36,49724
1187,14.0,106.38,106.39,106.285,106.32,43480
1188,15.0,106.34,106.46,106.31,106.39,94139
1189,16.0,106.289,106.43,106.27,106.3405,81272
1190,17.0,106.33,106.35,106.26,106.28,76524
1191,18.0,106.35,106.3911,106.31,106.32,60082
1192,19.0,106.36,106.4,106.33,106.35,36015
1193,20.0,106.4,106.435,106.35,106.35,63946
1194,21.0,106.45,106.47,106.4,106.41,97208
1195,22.0,106.375,106.45,106.36,106.44,90701
1196,23.0,106.3,106.38,106.28,106.37,130744
1197,24.0,106.2,106.295,106.195,106.2938,122008
1198,25.0,106.17,106.2152,106.06,106.2007,230910
1199,26.0,106.2,106.23,106.09,106.166,191976
1200,27.0,106.19,106.27,106.19,106.19,65701
1201,28.0,106.16,106.2,106.13,106.195,76458
1202,29.0,106.21,106.23,106.15,106.16,49003
1203,30.0,106.17,106.2173,106.15,106.2173,67940
1204,31.0,106.18,106.345,106.14,106.16,163259
1205,32.0,106.19,106.24,106.13,106.17,70153
1206,33.0,106.16,106.23,106.1299,106.19,59147
1207,34.0,106.21,106.23,106.16,106.16,65665
1208,35.0,106.195,106.25,106.17,106.21,94594
1209,36.0,106.14,106.22,106.08,106.2,94615
1210,37.0,106.13,106.18,106.105,106.13,38761
1211,38.0,106.17,106.19,106.12,106.13,42891
1212,39.0,106.18,106.22,106.16,106.1701,38928
1213,40.0,106.21,106.21,106.14,106.18,40928
1214,41.0,106.21,106.28,106.205,106.21,85038
1215,42.0,106.16,106.21,106.15,106.21,33806
1216,43.0,106.1569,106.19,106.09,106.17,49337
1217,44.0,106.14,106.16,106.11,106.16,48678
1218,45.0,106.17,106.18,106.11,106.16,37463
1219,46.0,106.125,106.1738,106.11,106.17,31562
1220,47.0,106.11,106.13,106.085,106.13,106820
1221,48.0,106.1103,106.16,106.11,106.11,50808
1222,49.0,106.14,106.17,106.08,106.115,106107
1223,50.0,106.169,106.22,106.1163,106.13,104791
1224,51.0,106.005,106.16,106.0,106.16,163298
1225,52.0,105.9514,106.03,105.95,106.0,217582
1226,53.0,105.98,105.99,105.93,105.95,78764
1227,54.0,105.95,105.9805,105.93,105.96,74476
1228,55.0,105.9352,105.95,105.89,105.95,110159
1229,56.0,105.89,105.935,105.84,105.93,92956
1230,57.0,105.875,105.95,105.875,105.9,98530
1231,58.0,105.895,105.95,105.87,105.8735,120662
1232,59.0,105.87100000000001,105.91,105.85,105.88,48767
1233,60.0,105.77,105.895,105.76,105.87,91951
1234,61.0,105.65,105.815,105.65,105.7699,187015
1235,62.0,105.7344,105.75,105.62,105.65,172233
1236,63.0,105.7792,105.78,105.71,105.73,113935
1237,64.0,105.82,105.821,105.72,105.76,100282
1238,65.0,105.8,105.86,105.79,105.81,111444
1239,66.0,105.82,105.83,105.78,105.8,53452
1240,67.0,105.81,105.82,105.77,105.81,50049
1241,68.0,105.805,105.82,105.76,105.815,86058
1242,69.0,105.84,105.855,105.78,105.81,46607
1243,70.0,105.88,105.9,105.83,105.84,71898
1244,71.0,105.89,105.91,105.84,105.88,56838
1245,72.0,105.915,105.92,105.86,105.8844,68304
1246,73.0,105.93,105.95,105.91,105.9132,36460
1247,74.0,105.91,105.93,105.88,105.925,52540
