,0,1,2,3,4,5
3124,,108.72,108.72,108.72,108.72,19919
3125,1.0,108.76,108.84,108.76,108.84,1100
3126,2.0,108.81,108.86,108.78,108.82,600
3127,3.0,108.84,108.84,108.835,108.835,200
3128,4.0,108.9,108.96,108.81,108.87,1805
3129,5.0,108.73,108.85,108.72,108.85,3557
3130,6.0,108.6,108.82,108.59,108.73,2348
3131,7.0,108.48,108.53,108.45,108.45,1000
3132,8.0,108.36,108.54,108.36,108.45,6611
3133,9.0,108.39,108.51,108.35,108.46,8885
3134,10.0,108.37,108.4,108.31,108.34,5000
3135,11.0,108.29,108.3501,108.19,108.3501,1100
3136,12.0,108.14,108.31,108.14,108.285,5970
3137,13.0,108.24,108.2822,108.15,108.17,2500
3138,14.0,108.3,108.31,108.25,108.31,1400
3139,15.0,108.38,108.41,108.26,108.26,2300
3140,16.0,108.5,108.5,108.26,108.37,1489
3141,18.0,108.55,108.55,108.47,108.47,1200
3142,19.0,108.51,108.535,108.42,108.52,9129
3143,20.0,108.45,108.49,108.42,108.49,18214
3144,21.0,108.38,108.455,108.36,108.45,6800
3145,22.0,108.34,108.3978,108.34,108.3978,724
3146,23.0,108.4,108.41,108.33200000000001,108.33200000000001,1300
3147,24.0,108.27,108.415,108.27,108.415,3263
3148,25.0,108.3425,108.3425,108.27,108.29,1100
3149,26.0,108.24,108.32,108.21,108.32,3991
3150,27.0,108.28,108.31,108.22,108.23,3149
3151,28.0,108.3,108.37,108.27,108.2807,5048
3152,29.0,108.33,108.34,108.27,108.28,3253
3153,30.0,108.21,108.36,108.21,108.36,2863
3154,31.0,108.25,108.28,108.2,108.2,5629
3155,32.0,108.24,108.29,108.22,108.29,6680
3156,33.0,108.34,108.37,108.28,108.32,3727
3157,34.0,108.29,108.37,108.22,108.34,15308
3158,35.0,108.29,108.36,108.29,108.35,1503
3159,36.0,108.33,108.38,108.32,108.34,2297
3160,37.0,108.31,108.38,108.29,108.37,2750
3161,38.0,108.34,108.39,108.34,108.34,1200
3162,39.0,108.43,108.4725,108.33,108.33,5800
3163,40.0,108.48,108.51,108.45,108.45,3174
3164,41.0,108.56,108.57,108.47,108.47,1800
3165,42.0,108.6,108.61,108.56,108.57,2000
3166,43.0,108.6114,108.6114,108.57,108.6,1906
3167,44.0,108.59,108.63,108.58,108.63,1403
3168,45.0,108.63,108.63,108.6,108.62,430
3169,46.0,108.63,108.67,108.62,108.62,1100
3170,47.0,108.59,108.62,108.59,108.62,914
3171,48.0,108.56,108.59,108.56,108.59,1100
3172,49.0,108.56,108.58,108.56,108.56,900
3173,50.0,108.59,108.596,108.57,108.57,1400
3174,51.0,108.54,108.6,108.54,108.6,1600
3175,52.0,108.56,108.56,108.51,108.54,1400
3176,53.0,108.63,108.63,108.6,108.6,300
3177,54.0,108.75,108.75,108.64,108.64,950
3178,55.0,108.81,108.838,108.75,108.77,5700
3179,56.0,108.84,108.84,108.825,108.83,1500
3180,57.0,108.78,108.85,108.78,108.85,2931
3181,58.0,108.72,108.77,108.7,108.77,5022
3182,59.0,108.74,108.74,108.72,108.72,300
3183,60.0,108.75,108.78,108.75,108.78,545
3184,61.0,108.68,108.72,108.68,108.71,600
3185,62.0,108.7201,108.74,108.695,108.71,900
3186,63.0,108.65,108.74,108.645,108.74,1832
3187,64.0,108.59,108.63,108.59,108.63,900
3188,65.0,108.61,108.61,108.6,108.6,600
3189,66.0,108.59,108.64,108.59,108.64,1000
3190,67.0,108.58,108.61,108.58,108.61,400
3191,68.0,108.64,108.67,108.61,108.61,900
3192,69.0,108.7,108.7,108.69,108.69,400
3193,70.0,108.6299,108.69,108.6299,108.69,1916
3194,71.0,108.62,108.64,108.62,108.62,1100
3195,72.0,108.6,108.61,108.6,108.61,300
3196,73.0,108.6,108.656,108.6,108.62,2200
3197,74.0,108.6099,108.6099,108.565,108.59,3115
3198,75.0,108.51,108.59,108.51,108.59,2635
3199,76.0,108.58,108.6,108.51,108.52,3249
3200,77.0,108.56,108.58,108.56,108.58,1213
3201,78.0,108.56,108.58,108.56,108.58,900
3202,79.0,108.52,108.55,108.52,108.55,600
3203,80.0,108.56,108.59,108.53,108.54,2000
3204,81.0,108.54,108.55,108.53,108.54,4134
3205,82.0,108.61,108.61,108.55,108.55,4500
3206,83.0,108.64,108.64,108.62,108.62,1300
3207,84.0,108.62,108.64,108.62,108.64,1299
3208,85.0,108.58,108.61,108.58,108.61,1000
3209,86.0,108.56,108.57,108.56,108.57,600
3210,87.0,108.53,108.53,108.5,108.53,882
3211,88.0,108.58,108.58,108.54,108.54,1500
3212,89.0,108.55,108.57,108.55,108.57,1750
3213,90.0,108.56,108.57,108.52,108.54,2905
3214,91.0,108.54,108.57,108.54,108.56,2700
3215,92.0,108.53,108.55,108.53,108.55,700
3216,93.0,108.48,108.52,108.48,108.52,500
3217,94.0,108.44,108.5,108.44,108.48,1200
3218,95.0,108.48,108.48,108.42,108.44,1643
3219,96.0,108.465,108.5,108.46,108.49,1100
3220,97.0,108.49,108.51,108.46,108.46,1700
3221,98.0,108.4,108.48,108.4,108.48,2137
3222,99.0,108.29,108.38,108.29,108.37,1922
3223,100.0,108.19,108.28,108.19,108.27,2315
3224,101.0,108.2201,108.26,108.16,108.16,3975
3225,102.0,108.19,108.22,108.19,108.22,1600
3226,103.0,108.22,108.25,108.19,108.2,900
3227,104.0,108.17,108.26,108.16,108.24,900
3228,105.0,108.17,108.21,108.16,108.17,2780
3229,106.0,108.21,108.22,108.19,108.199,3004
3230,107.0,108.19,108.24,108.19,108.23,2000
3231,108.0,108.23,108.23,108.2,108.21,700
3232,109.0,108.19,108.227,108.19,108.227,1000
3233,110.0,108.18,108.21,108.16,108.2079,1631
3234,111.0,108.21,108.22,108.19,108.19,2827
3235,112.0,108.23,108.23,108.19,108.19,900
3236,113.0,108.2,108.2114,108.18,108.2114,2461
3237,114.0,108.15,108.212,108.15,108.2,2375
3238,115.0,108.2,108.215,108.17,108.18,1764
3239,116.0,108.35,108.3563,108.22,108.22,3700
3240,117.0,108.35,108.38,108.35,108.38,1200
3241,118.0,108.37,108.3899,108.35,108.38,972
3242,119.0,108.35,108.36,108.33,108.33,672
3243,120.0,108.38,108.41,108.37,108.41,1931
3244,121.0,108.38,108.4,108.36,108.4,2517
3245,122.0,108.44,108.44,108.39,108.39,900
3246,123.0,108.4,108.45,108.4,108.45,1000
3247,124.0,108.41,108.42,108.395,108.4,1800
3248,125.0,108.38,108.421,108.365,108.41,1874
3249,126.0,108.35,108.39,108.35,108.39,2116
3250,127.0,108.315,108.33,108.31,108.31,1100
3251,128.0,108.34,108.34,108.33,108.33,1000
3252,129.0,108.33,108.35,108.33,108.35,900
3253,130.0,108.35,108.36,108.329,108.33,1200
3254,131.0,108.36,108.38,108.35,108.36,1049
3255,132.0,108.36,108.37,108.34,108.36,1200
3256,133.0,108.36,108.36,108.35,108.35,400
3257,134.0,108.33,108.37,108.33,108.37,1000
3258,135.0,108.35,108.37,108.34,108.34,1000
3259,136.0,108.36,108.37,108.35799999999999,108.37,400
3260,137.0,108.35,108.36,108.34,108.36,1700
3261,138.0,108.51,108.51,108.37,108.37,5900
3262,139.0,108.51,108.57,108.4803,108.52,4500
3263,140.0,108.48,108.52,108.48,108.51,2836
3264,141.0,108.57,108.58,108.52,108.53,1600
3265,142.0,108.61,108.65,108.55,108.56,3397
3266,143.0,108.58,108.6,108.57,108.6,2133
3267,144.0,108.56,108.6,108.56,108.59,1000
3268,145.0,108.59,108.6,108.56,108.6,937
3269,146.0,108.54,108.61,108.54,108.6,8500
3270,147.0,108.54,108.56,108.54,108.5438,3921
3271,148.0,108.5,108.52,108.5,108.52,1880
3272,149.0,108.46,108.52,108.46,108.5,2554
3273,150.0,108.48,108.48,108.46,108.46,1400
3274,151.0,108.51,108.51,108.48,108.5,700
3275,152.0,108.56,108.57,108.52,108.52,1100
3276,153.0,108.53,108.56,108.51,108.55,5910
3277,154.0,108.58,108.58,108.53,108.554,846
