,0,1,2,3,4,5
1164,,75.65,75.65,75.65,75.65,18355
1165,1.0,75.35,75.65,75.35,75.65,2009
1166,2.0,75.35,75.35,75.35,75.35,226
1167,3.0,75.2,75.28,75.18,75.26,650
1168,4.0,75.12,75.17,75.0,75.09,2402
1169,5.0,75.09,75.12,75.09,75.12,200
1170,6.0,75.4,75.4,75.03,75.03,1600
1171,7.0,75.28,75.385,75.235,75.385,2781
1172,8.0,75.405,75.45,75.37,75.3799,1388
1173,9.0,75.485,75.485,75.405,75.405,300
1174,10.0,75.5,75.53,75.48,75.5,1300
1175,11.0,75.39,75.61,75.39,75.52,4322
1176,12.0,75.34,75.515,75.34,75.44,4178
1177,13.0,75.47,75.47,75.435,75.435,300
1178,14.0,75.39,75.51,75.36,75.42,4888
1179,15.0,75.5,75.5,75.37,75.39,1400
1180,16.0,75.43,75.5,75.39,75.45,2994
1181,17.0,75.425,75.425,75.425,75.425,600
1182,18.0,75.38,75.41,75.38,75.41,1200
1183,19.0,75.35,75.38,75.35,75.38,400
1184,20.0,75.37,75.377,75.36,75.377,500
1185,21.0,75.395,75.41,75.38,75.38,2310
1186,22.0,75.43,75.44,75.405,75.405,3162
1187,23.0,75.45,75.46,75.44,75.44,1500
1188,24.0,75.45,75.49,75.43,75.45,4100
1189,25.0,75.5075,75.515,75.48,75.49,2383
1190,26.0,75.5,75.51,75.5,75.51,1200
1191,27.0,75.455,75.48,75.455,75.48,1400
1192,28.0,75.44,75.53,75.43,75.46,4300
1193,29.0,75.43,75.44,75.43,75.44,800
1194,30.0,75.4397,75.4397,75.39,75.4,1669
1195,31.0,75.4,75.44,75.4,75.44,1500
1196,32.0,75.44,75.47,75.4096,75.41,2436
1197,33.0,75.48,75.485,75.44,75.45,5585
1198,34.0,75.46,75.5,75.45,75.48,3401
1199,35.0,75.5,75.525,75.47,75.47,1900
1200,36.0,75.49,75.505,75.49,75.5,43500
1201,37.0,75.48,75.49,75.46,75.48,2410
1202,38.0,75.41,75.47,75.41,75.47,3600
1203,39.0,75.39,75.41,75.39,75.39,1300
1204,40.0,75.39,75.4,75.35,75.38,2839
1205,41.0,75.35,75.3957,75.33,75.3957,3229
1206,42.0,75.32,75.34,75.3,75.34,1439
1207,43.0,75.28,75.32,75.28,75.32,600
1208,44.0,75.3,75.31,75.27,75.28,2706
1209,45.0,75.29,75.29,75.26,75.29,52900
1210,46.0,75.28,75.32,75.28,75.29,2300
1211,47.0,75.29,75.32,75.28,75.29,1300
1212,48.0,75.31,75.32,75.3,75.31,2800
1213,49.0,75.251,75.305,75.25,75.3,9522
1214,50.0,75.23,75.23,75.23,75.23,200
1215,51.0,75.265,75.27,75.2,75.2,1100
1216,52.0,75.25,75.265,75.25,75.265,1600
1217,53.0,75.27,75.27,75.22,75.24,3436
1218,54.0,75.3,75.3,75.27,75.28,500
1219,55.0,75.275,75.29,75.275,75.29,1200
1220,56.0,75.31,75.31,75.28,75.28,3350
1221,57.0,75.3,75.32,75.295,75.32,24500
1222,58.0,75.37,75.37,75.31,75.31,2400
1223,59.0,75.34,75.35,75.34,75.35,400
1224,60.0,75.34,75.36,75.34,75.35,1355
1225,61.0,75.29,75.34,75.29,75.34,2200
1226,62.0,75.32,75.32,75.27,75.285,1539
1227,63.0,75.2695,75.33,75.25,75.325,5537
1228,65.0,75.24,75.27,75.24,75.27,1520
1229,66.0,75.23,75.25,75.23,75.24,900
1230,67.0,75.295,75.295,75.23,75.24,13200
1231,68.0,75.28,75.31,75.27,75.29,2000
1232,69.0,75.2721,75.29,75.27,75.29,1100
1233,70.0,75.24,75.27,75.24,75.27,600
1234,71.0,75.26,75.26,75.24,75.25,900
1235,72.0,75.26,75.26,75.25,75.25,400
1236,73.0,75.26,75.26,75.26,75.26,400
1237,74.0,75.29,75.29,75.26,75.275,1200
1238,75.0,75.25,75.27,75.25,75.27,400
1239,76.0,75.28,75.3,75.25,75.25,1000
1240,77.0,75.31,75.32,75.29,75.29,1970
1241,78.0,75.31,75.315,75.3,75.315,1465
1242,79.0,75.26,75.31,75.26,75.3,2800
1243,80.0,75.26,75.26,75.26,75.26,200
1244,81.0,75.26,75.27,75.26,75.26,400
1245,82.0,75.28,75.28,75.26,75.2681,773
1246,83.0,75.28,75.3,75.27,75.29,1300
1247,84.0,75.28,75.29,75.28,75.28,1100
1248,85.0,75.25,75.28,75.24,75.28,2181
1249,86.0,75.25,75.25,75.25,75.25,500
1250,87.0,75.255,75.26,75.25,75.26,600
1251,88.0,75.2,75.25,75.2,75.25,3664
1252,89.0,75.19,75.2,75.19,75.2,300
1253,90.0,75.18,75.1901,75.18,75.19,713
1254,91.0,75.2,75.2,75.17,75.17,905
1255,92.0,75.22,75.22,75.21,75.21,900
1256,93.0,75.24,75.25,75.234,75.234,2004
1257,94.0,75.2406,75.25,75.24,75.24,725
1258,95.0,75.27,75.28,75.26,75.26,800
1259,96.0,75.297,75.297,75.27,75.27,1154
1260,97.0,75.29,75.3,75.29,75.29,1400
1261,98.0,75.265,75.305,75.26,75.29,3548
1262,99.0,75.26,75.27,75.26,75.27,1400
1263,100.0,75.26,75.27,75.26,75.27,1100
1264,101.0,75.25,75.27,75.25,75.27,400
1265,102.0,75.31,75.31,75.2575,75.26,2300
1266,103.0,75.29,75.31,75.29,75.31,1400
1267,104.0,75.27,75.28,75.27,75.28,1100
1268,105.0,75.285,75.285,75.27,75.27,1800
1269,106.0,75.31,75.315,75.285,75.285,4200
1270,107.0,75.29,75.32,75.29,75.315,2960
1271,108.0,75.27,75.305,75.27,75.305,35782
1272,109.0,75.29,75.29,75.28,75.28,1200
1273,110.0,75.26,75.2973,75.26,75.2973,2300
1274,111.0,75.25,75.27,75.25,75.26,2396
1275,112.0,75.23,75.25,75.21,75.25,4798
1276,113.0,75.275,75.275,75.21,75.23,4439
1277,114.0,75.28,75.3,75.27,75.28,3880
1278,115.0,75.28,75.3,75.27,75.3,2147
1279,116.0,75.35,75.36,75.29,75.29,13600
1280,117.0,75.36,75.37,75.32,75.365,5705
1281,118.0,75.38,75.41,75.38,75.39,1440
1282,119.0,75.38,75.385,75.38,75.385,600
1283,120.0,75.3988,75.3988,75.36,75.36,3600
1284,121.0,75.38,75.3925,75.37,75.37,1583
1285,122.0,75.38,75.385,75.365,75.385,1300
1286,123.0,75.35,75.35,75.35,75.35,300
1287,124.0,75.35,75.37,75.35,75.36,1679
1288,125.0,75.3225,75.34,75.31,75.34,1850
1289,126.0,75.3,75.315,75.3,75.31,800
1290,127.0,75.3,75.31,75.3,75.305,2200
1291,128.0,75.32,75.32,75.31,75.31,1300
1292,129.0,75.29,75.31,75.29,75.31,400
1293,130.0,75.33,75.33,75.3,75.3,200
1294,131.0,75.34,75.34,75.335,75.335,1100
1295,132.0,75.2933,75.345,75.29,75.345,1505
1296,133.0,75.275,75.315,75.27,75.3,2300
1297,134.0,75.31,75.31,75.2744,75.2744,902
1298,135.0,75.305,75.3236,75.29,75.3143,566
1299,136.0,75.25,75.305,75.24,75.305,3000
1300,137.0,75.25,75.29,75.24,75.27,4593
1301,138.0,75.315,75.33,75.26,75.26,4882
1302,139.0,75.32,75.34,75.31,75.31,1400
1303,140.0,75.28,75.34,75.28,75.34,1200
1304,141.0,75.29,75.3,75.27,75.27,400
1305,142.0,75.26,75.2958,75.26,75.29,1349
1306,143.0,75.235,75.27,75.235,75.27,1300
1307,144.0,75.26,75.26,75.235,75.25,1100
1308,145.0,75.26,75.26,75.24,75.24,300
1309,146.0,75.24,75.255,75.24,75.24,400
1310,147.0,75.215,75.24,75.215,75.24,1700
1311,148.0,75.2197,75.22,75.2001,75.215,1175
1312,149.0,75.215,75.215,75.215,75.215,200
1313,150.0,75.225,75.24,75.22,75.22,1610
1314,151.0,75.22,75.23,75.22,75.22,2511
1315,152.0,75.22,75.22,75.22,75.22,300
1316,153.0,75.23,75.23,75.23,75.23,400
1317,154.0,75.23,75.26,75.23,75.24,2400
1318,155.0,75.25,75.25,75.23,75.23,400
1319,156.0,75.26,75.27,75.25,75.25,2500
1320,157.0,75.25,75.26,75.25,75.26,300
1321,158.0,75.24,75.25,75.24,75.25,900
1322,159.0,75.23,75.24,75.23,75.24,443
1323,160.0,75.25399999999999,75.25399999999999,75.23,75.23,227
1324,161.0,75.26,75.26,75.24,75.25,2106
