,0,1,2,3,4,5
2310,,101.34,101.81,101.34,101.81,27072
2311,1.0,101.43,101.69,101.2417,101.64,5935
2312,2.0,101.4329,101.435,101.4,101.4,878
2313,3.0,101.56,101.56,101.47,101.47,550
2314,4.0,101.51,101.51,101.45,101.5,1297
2315,5.0,101.55,101.58,101.53,101.53,500
2316,6.0,101.5325,101.55,101.5,101.53,1500
2317,7.0,101.62,101.63,101.53,101.57,1324
2318,8.0,101.64,101.65,101.64,101.6499,1889
2319,9.0,101.69,101.69,101.595,101.61,2820
2320,10.0,101.68,101.76,101.65,101.665,4392
2321,11.0,101.6,101.66,101.59,101.66,3390
2322,12.0,101.69,101.71,101.61,101.61,5684
2323,13.0,101.69,101.71,101.67,101.69,3410
2324,14.0,101.6725,101.72,101.66,101.72,2000
2325,15.0,101.67,101.7,101.66,101.66,1500
2326,16.0,101.69,101.77,101.67,101.68,4300
2327,17.0,101.74,101.74,101.71,101.71,700
2328,18.0,101.75,101.76,101.74,101.74,600
2329,19.0,101.77,101.77,101.74,101.74,200
2330,20.0,101.87,101.87,101.79,101.79,1300
2331,21.0,101.82,101.88,101.82,101.8635,2700
2332,22.0,101.79,101.82,101.79,101.81,1000
2333,23.0,101.79,101.83,101.79,101.83,400
2334,24.0,101.79,101.79,101.79,101.79,200
2335,25.0,101.86,101.88,101.81,101.83,9300
2336,26.0,101.9,101.9,101.88,101.88,1400
2337,27.0,101.91,101.92,101.89,101.9,1900
2338,28.0,101.9195,101.93,101.91,101.92,1895
2339,29.0,101.88,101.9,101.88,101.9,1899
2340,30.0,101.86,101.8825,101.83,101.87,1000
2341,31.0,101.85,101.85,101.8,101.83,1400
2342,32.0,101.89,101.89,101.84,101.84,4600
2343,33.0,101.94,101.97,101.8908,101.8908,2063
2344,34.0,101.99,102.0,101.94,101.94,4199
2345,35.0,101.97,101.99,101.9645,101.9645,2218
2346,36.0,101.98,101.98,101.98,101.98,500
2347,37.0,101.95,101.98,101.95,101.98,300
2348,38.0,101.98,101.98,101.95,101.96,3700
2349,39.0,102.01,102.02,101.98,101.98,4120
2350,40.0,101.99,101.99,101.98,101.99,800
2351,41.0,102.02,102.02,102.01,102.01,1908
2352,42.0,102.01,102.03,102.01,102.025,1500
2353,43.0,102.04,102.04,102.03,102.03,3122
2354,44.0,102.0375,102.06,102.0375,102.04,415
2355,45.0,102.06,102.06,102.03,102.05,5597
2356,46.0,102.11,102.11,102.05,102.06,2918
2357,47.0,102.1122,102.12,102.11,102.12,3167
2358,48.0,102.12,102.16,102.12,102.14,2744
2359,49.0,102.13,102.13,102.12,102.12,1375
2360,50.0,102.14,102.14,102.14,102.14,300
2361,51.0,102.2,102.235,102.16,102.16,4972
2362,52.0,102.22,102.26,102.2,102.22,3300
2363,53.0,102.25,102.26,102.24,102.24,1000
2364,54.0,102.26,102.26,102.24,102.259,3198
