,0,1,2,3,4,5
389,,86.6,86.6,86.6,86.6,22519
390,1.0,86.27,86.7,86.14,86.55,4579
391,2.0,86.19,86.19,86.04,86.09,1800
392,3.0,85.97,86.2,85.97,86.2,700
393,4.0,86.27,86.27,85.92,85.94,1305
394,5.0,86.16,86.35,86.16,86.25,1400
395,6.0,86.225,86.23,86.2,86.2,1000
396,7.0,86.31,86.49,86.2,86.23,9347
397,8.0,86.35,86.35,86.35,86.35,100
398,9.0,86.4,86.43,86.355,86.4,1232
399,10.0,86.35,86.41,86.3,86.41,3100
400,11.0,86.7,86.72,86.3,86.35,43272
401,12.0,86.525,86.75,86.525,86.75,3762
402,13.0,86.66,86.7,86.49,86.52,15703
403,14.0,86.56,86.66,86.54,86.64,4384
404,15.0,86.47,86.57,86.47,86.56,3390
405,16.0,86.4,86.58,86.4,86.48,4200
406,17.0,86.38,86.40899999999999,86.3,86.36,6023
407,18.0,86.35,86.42,86.35,86.37,1850
408,20.0,86.51,86.51,86.35799999999999,86.35799999999999,3647
409,21.0,86.5862,86.65,86.5,86.5,8999
410,22.0,86.65,86.65,86.56,86.645,9377
411,23.0,86.53,86.61,86.51,86.61,5845
412,24.0,86.6,86.65,86.39,86.5,10593
413,25.0,86.51,86.59,86.51,86.59,5739
414,26.0,86.5,86.64,86.46,86.5,10195
415,27.0,86.49,86.49,86.49,86.49,300
416,28.0,86.69,86.74,86.55,86.55,33586
417,29.0,86.7,86.71,86.66,86.69,1100
418,30.0,86.76,86.8,86.67,86.68,9105
419,31.0,86.75,86.81,86.71,86.73,3500
420,32.0,86.745,86.81,86.73,86.73,1646
421,33.0,86.79,86.79,86.75,86.75,500
422,34.0,86.77,86.82,86.76,86.76,2300
423,35.0,86.74,86.84,86.69,86.77,3300
424,36.0,86.67,86.73,86.63,86.68,4442
425,37.0,86.57,86.69,86.57,86.68,1300
426,38.0,86.64,86.68,86.56,86.56,2222
427,39.0,86.69,86.7,86.63,86.67,3590
428,40.0,86.82,86.82,86.71,86.71,2700
429,41.0,86.87,86.91,86.81,86.81,4100
430,42.0,86.9,86.93,86.8485,86.86,2900
431,43.0,86.93,86.95,86.89,86.94,2500
432,44.0,86.91,86.98,86.91,86.94,4690
433,45.0,86.93,86.97,86.91,86.93,1600
434,46.0,86.88,86.91,86.84,86.88,1700
435,47.0,86.76,86.85,86.75,86.84,4700
436,48.0,86.8,86.8,86.75,86.75,900
437,49.0,86.82,86.85,86.8,86.81,1275
438,50.0,86.8,86.81,86.79,86.81,2063
439,51.0,86.71,86.78,86.71,86.77,2925
440,52.0,86.84,86.87,86.74,86.74,4168
441,53.0,86.88,86.88,86.82,86.82,420
442,54.0,86.9065,86.92,86.88,86.89,1073
443,55.0,86.92,86.92,86.87,86.89,1600
444,56.0,86.95,86.95,86.94,86.94,400
445,57.0,87.05,87.05,86.95,86.95,3900
446,58.0,87.03,87.09,87.01,87.08,2600
447,59.0,87.07,87.09,87.01,87.03,3673
448,60.0,87.19,87.2,87.08,87.08,8377
449,61.0,87.1244,87.2,87.01,87.18,6250
450,62.0,87.18,87.22,87.155,87.155,2139
451,63.0,87.15,87.17,87.12,87.14,2500
452,64.0,87.19,87.21,87.14,87.15,5062
453,65.0,87.25,87.31,87.18,87.18,5338
454,66.0,87.26,87.3,87.25,87.265,4202
455,67.0,87.21,87.27,87.15,87.25,5062
456,68.0,87.15,87.16,87.15,87.16,1425
457,69.0,87.19,87.19,87.14,87.17,1900
458,70.0,87.26,87.28,87.19,87.19,2400
459,71.0,87.35,87.35,87.19,87.21,3909
460,72.0,87.4,87.42,87.33,87.335,3913
461,73.0,87.42,87.465,87.38,87.38,4703
462,74.0,87.47,87.47,87.4,87.4,1255
463,75.0,87.5,87.53,87.45,87.47,5557
464,76.0,87.46,87.54,87.46,87.51,7400
465,77.0,87.49,87.56,87.47,87.47,7744
466,78.0,87.42,87.492,87.42,87.47,800
467,79.0,87.3501,87.46,87.3501,87.41,6825
468,80.0,87.445,87.48,87.3402,87.3402,8081
469,81.0,87.42,87.45,87.38,87.43,5605
470,82.0,87.43,87.43,87.41,87.42,900
471,83.0,87.33,87.43,87.33,87.43,1200
472,84.0,87.22,87.31,87.22,87.31,1400
473,85.0,87.28,87.28,87.22,87.22,1300
474,86.0,87.3,87.32,87.23,87.25,6543
475,87.0,87.3305,87.3671,87.26,87.305,4200
476,88.0,87.38,87.4,87.355,87.355,1600
477,89.0,87.44,87.44,87.39,87.39,2000
478,90.0,87.52,87.52,87.45,87.45,2500
479,91.0,87.59,87.6,87.53,87.53,3300
480,92.0,87.57,87.615,87.55,87.605,5520
481,93.0,87.5,87.6,87.49,87.59,8063
482,94.0,87.43,87.54,87.43,87.5,18600
483,95.0,87.39,87.44,87.39,87.425,2100
484,96.0,87.42,87.43,87.38,87.39,3337
485,97.0,87.38,87.43,87.38,87.42,2350
486,98.0,87.41,87.41,87.34,87.36,1750
487,99.0,87.48,87.48,87.41,87.41,1300
488,100.0,87.5,87.5,87.44,87.5,1325
489,101.0,87.53,87.56,87.52,87.52,2500
490,102.0,87.55,87.55,87.52,87.52,300
491,103.0,87.53,87.56,87.53,87.55,2400
492,104.0,87.53,87.53,87.53,87.53,700
493,105.0,87.5374,87.542,87.51,87.51,1076
494,106.0,87.53,87.55,87.52,87.52,3676
495,107.0,87.465,87.55,87.465,87.55,2001
496,108.0,87.45,87.45,87.4,87.43,2148
497,110.0,87.47,87.47,87.43,87.44,3078
498,111.0,87.4,87.46,87.39,87.46,1476
499,112.0,87.36,87.3801,87.36,87.38,1200
500,113.0,87.39,87.39,87.365,87.365,900
501,114.0,87.41,87.41,87.37,87.4,4100
502,115.0,87.42,87.44,87.41,87.43,1514
503,116.0,87.42,87.45,87.42,87.43,2873
504,117.0,87.37,87.396,87.37,87.396,649
505,118.0,87.35,87.35,87.3,87.34,4100
506,119.0,87.37,87.37,87.33,87.34,8650
507,120.0,87.41,87.41,87.37,87.37,2872
508,121.0,87.46,87.46,87.41,87.41,1335
509,122.0,87.47,87.51,87.44,87.46,3450
510,123.0,87.46,87.46,87.44,87.44,400
511,124.0,87.46,87.5,87.45,87.48,4100
512,125.0,87.49,87.5,87.45,87.4632,1400
513,126.0,87.44,87.48,87.44,87.48,1540
514,127.0,87.48,87.48,87.4698,87.4699,600
515,128.0,87.44,87.48,87.44,87.475,1600
516,129.0,87.46,87.46,87.43,87.43,1401
517,130.0,87.49,87.51,87.46,87.46,3590
518,131.0,87.45,87.5,87.45,87.49,2820
519,132.0,87.405,87.44,87.39,87.44,2400
520,133.0,87.43,87.4599,87.41,87.41,2056
521,134.0,87.45,87.45,87.43,87.43,500
522,135.0,87.43,87.46,87.43,87.45,1200
523,136.0,87.4,87.4332,87.4,87.4332,765
524,137.0,87.3886,87.3886,87.37,87.37,1308
525,138.0,87.36,87.38,87.36,87.37,500
526,139.0,87.37,87.39,87.36,87.36,2400
527,140.0,87.3625,87.37,87.3625,87.37,449
528,141.0,87.41,87.42,87.38,87.38,3573
529,142.0,87.41,87.42,87.41,87.42,300
530,143.0,87.42,87.42,87.42,87.42,700
531,144.0,87.4,87.415,87.39,87.41,1850
532,145.0,87.412,87.44,87.4,87.43,1900
533,146.0,87.35,87.415,87.32,87.415,2918
534,147.0,87.34,87.36,87.3001,87.34,3050
535,149.0,87.34,87.34,87.3,87.3,2567
536,150.0,87.41,87.41,87.3474,87.35,3583
537,151.0,87.4,87.4,87.3999,87.3999,1100
538,152.0,87.42,87.425,87.37799999999999,87.4,4799
539,153.0,87.4,87.44,87.4,87.42,4649
540,154.0,87.44,87.44,87.40799999999999,87.40799999999999,900
541,155.0,87.4275,87.44,87.4275,87.44,2578
542,156.0,87.5,87.5,87.45,87.45,4105
543,157.0,87.51,87.51,87.5,87.5,400
544,158.0,87.515,87.515,87.5,87.51,600
545,159.0,87.525,87.5402,87.5,87.5,6693
546,160.0,87.5,87.525,87.5,87.525,2000
547,161.0,87.476,87.5,87.4404,87.5,6878
548,162.0,87.5,87.5,87.46,87.46,475
549,163.0,87.5,87.5,87.5,87.5,100
550,164.0,87.49,87.51,87.48,87.5,2600
551,165.0,87.43,87.45,87.41,87.44,1100
552,167.0,87.47,87.47,87.38,87.38,3822
553,168.0,87.46,87.48,87.449,87.449,1682
554,169.0,87.47,87.47,87.47,87.47,400
555,170.0,87.4,87.47,87.37,87.46,3500
556,171.0,87.41,87.43,87.3999,87.3999,3706
557,172.0,87.41,87.41,87.41,87.41,100
558,173.0,87.46,87.46,87.43,87.43,800
559,174.0,87.48,87.48,87.45,87.46,1600
560,175.0,87.5,87.5,87.45,87.45,3100
561,176.0,87.52,87.55,87.48,87.48,11163
562,177.0,87.53,87.5341,87.52,87.5341,1007
563,178.0,87.515,87.525,87.515,87.525,2400
564,179.0,87.505,87.515,87.505,87.515,5665
565,180.0,87.52,87.52,87.5,87.505,4204
566,181.0,87.51,87.52,87.505,87.52,1800
567,182.0,87.43,87.51,87.43,87.51,2900
568,183.0,87.41,87.41,87.39,87.4,2135
569,184.0,87.41,87.42,87.38,87.38,2705
570,185.0,87.5,87.5,87.43,87.43,3500
571,186.0,87.52,87.52,87.49,87.5,2600
572,187.0,87.525,87.54,87.5,87.5,3200
573,188.0,87.55,87.57,87.52,87.54,3300
574,189.0,87.55,87.59,87.55,87.58,2800
575,190.0,87.53,87.555,87.53,87.55,1500
576,191.0,87.615,87.615,87.55,87.55,6004
577,192.0,87.64,87.64,87.6,87.63,1100
578,193.0,87.62,87.635,87.59,87.635,903
579,194.0,87.68,87.6862,87.63,87.63,4135
580,195.0,87.72,87.72,87.68,87.68,1800
581,196.0,87.71,87.74,87.7,87.7,2900
582,197.0,87.7199,87.7199,87.7,87.7,215
583,198.0,87.71,87.73,87.71,87.71,2433
584,199.0,87.74,87.74,87.7199,87.7199,3128
585,200.0,87.78,87.78,87.74,87.75,3926
586,201.0,87.76,87.79,87.73,87.77,3700
587,202.0,87.77,87.79,87.73,87.7503,4550
588,203.0,87.77,87.77,87.73,87.73,1100
589,204.0,87.75,87.77,87.73,87.7699,2900
590,205.0,87.79,87.795,87.77,87.77,2246
591,206.0,87.8,87.84,87.78,87.785,7137
592,207.0,87.805,87.8072,87.79,87.8072,1500
593,208.0,87.77,87.8,87.75,87.79,2600
594,209.0,87.785,87.785,87.785,87.785,100
595,210.0,87.77,87.8,87.76,87.8,5100
596,211.0,87.75,87.75,87.74,87.74,600
597,212.0,87.8,87.8,87.76,87.76,2527
598,213.0,87.82,87.82,87.79,87.79,1420
599,214.0,87.82,87.84,87.79,87.81,6779
600,215.0,87.87,87.87,87.83,87.84,2021
601,216.0,87.86,87.885,87.84,87.845,5100
602,217.0,87.79,87.87,87.79,87.86,3400
603,218.0,87.63,87.79,87.5901,87.79,6160
604,219.0,87.67,87.68,87.62,87.63799999999999,8456
605,220.0,87.65,87.71,87.65,87.66,2600
606,221.0,87.57,87.66,87.56,87.65,2100
607,222.0,87.6,87.62,87.57,87.57,1475
608,223.0,87.57,87.62,87.57,87.62,1596
609,224.0,87.58,87.61,87.58,87.6,965
610,225.0,87.41,87.56,87.41,87.56,3600
611,226.0,87.5,87.5,87.46,87.46,2430
612,227.0,87.46,87.495,87.46,87.48,1100
613,228.0,87.45,87.45,87.44,87.44,300
614,229.0,87.48,87.48,87.4,87.4673,6920
615,230.0,87.5199,87.5199,87.49,87.49,1000
616,231.0,87.505,87.505,87.505,87.505,100
617,232.0,87.5,87.54,87.49,87.49,2300
618,233.0,87.46,87.49,87.45,87.48,1103
619,234.0,87.43,87.46,87.43,87.46,774
620,235.0,87.4,87.4,87.4,87.4,200
621,236.0,87.45,87.46,87.4,87.41,3322
622,237.0,87.42,87.45,87.41,87.435,500
623,238.0,87.41,87.43,87.3701,87.42,5450
624,239.0,87.43,87.43,87.37,87.41,1880
625,240.0,87.47,87.48,87.43,87.455,4347
626,241.0,87.44,87.46,87.41,87.46,800
627,242.0,87.34,87.42,87.34,87.42,2975
628,243.0,87.3,87.35,87.29,87.33,1000
629,244.0,87.38,87.385,87.33,87.33,4151
630,245.0,87.36,87.38,87.35,87.38,900
631,246.0,87.37,87.38,87.36,87.36,970
632,247.0,87.4,87.41,87.365,87.37,2200
633,248.0,87.45,87.455,87.42,87.42,2000
634,249.0,87.51,87.51,87.45,87.45,600
635,250.0,87.56,87.56,87.49,87.52,1123
636,251.0,87.575,87.6,87.51,87.55,1600
637,252.0,87.61,87.61,87.6,87.61,700
638,253.0,87.66,87.66,87.59,87.59,900
639,254.0,87.56,87.635,87.56,87.63,3100
640,255.0,87.55,87.5732,87.52,87.5732,2537
641,256.0,87.54,87.55,87.53,87.54,1300
642,257.0,87.56,87.58,87.54,87.54,2600
643,258.0,87.58,87.58,87.53,87.53,200
644,259.0,87.51,87.55,87.51,87.55,1600
645,260.0,87.54,87.55,87.49,87.49,1607
646,261.0,87.52,87.545,87.5,87.545,600
647,262.0,87.47,87.49,87.47,87.48,1000
648,263.0,87.5,87.52,87.485,87.5,1416
649,264.0,87.52,87.53,87.47,87.5043,2415
650,265.0,87.5,87.51,87.5,87.51,300
651,266.0,87.71,87.71,87.52,87.52,71710
652,267.0,87.71,87.71,87.66,87.68,5310
653,268.0,87.69,87.69,87.68,87.68,800
654,269.0,87.62,87.72,87.62,87.71,2450
655,270.0,87.76,87.84,87.61,87.61,4609
656,271.0,87.86,87.96,87.72,87.8,24703
657,272.0,87.78,87.9,87.71,87.87,3180
658,273.0,87.79,87.79,87.7,87.72,1900
659,274.0,87.96,87.99,87.81200000000001,87.815,5668
660,275.0,88.065,88.13,87.95,87.97,12813
661,276.0,88.21,88.21,88.09,88.09,5857
662,277.0,88.21,88.3139,88.19,88.28,11567
663,278.0,88.06,88.17,88.06,88.17,737
664,279.0,87.92,88.11,87.92,88.09,9522
665,280.0,87.81,87.94,87.72,87.94,3200
666,281.0,87.91,87.94,87.845,87.87,6748
667,282.0,87.98,88.01,87.896,87.92,2900
668,283.0,88.09,88.1,87.98,88.0,2700
669,284.0,88.08,88.095,88.06,88.08,4500
670,285.0,88.03,88.16,88.03,88.1,4600
671,286.0,87.99,88.1,87.95,88.06,5500
672,287.0,88.0,88.07,88.0,88.02,1700
673,288.0,88.02,88.025,87.99,88.01,2500
674,289.0,88.0,88.08,88.0,88.02,3272
675,290.0,87.99,88.02,87.96,88.015,1500
676,291.0,88.08,88.09,87.97,87.97,4390
677,292.0,88.06,88.14,88.06,88.09,2900
678,293.0,88.19,88.19,88.041,88.056,5472
679,294.0,88.15,88.24,88.1,88.24,4112
680,295.0,88.21,88.223,88.15,88.165,2150
681,296.0,88.11,88.205,88.11,88.205,3700
682,297.0,88.12,88.2,88.11,88.14,6442
683,298.0,88.09,88.1858,88.09,88.1438,5320
684,299.0,88.02,88.07,88.02,88.07,500
685,300.0,88.0,88.01,87.96,87.97,4300
686,301.0,88.09,88.13,87.98,87.98,5252
687,302.0,88.08,88.12,88.06,88.09,3557
688,303.0,88.04,88.14,88.01,88.07,6224
689,304.0,88.05,88.05,87.99,88.02,2900
690,305.0,88.04,88.0632,88.04,88.0632,996
691,306.0,88.06,88.06,87.99,88.055,2955
692,307.0,88.08,88.08,88.08,88.08,300
693,308.0,88.04,88.07,87.965,88.07,6600
694,309.0,88.07,88.081,87.99,88.04,6219
695,310.0,88.11,88.11,88.06,88.07,1800
696,311.0,88.11,88.13,88.08,88.08,1526
697,312.0,88.105,88.12,88.09,88.1,600
698,313.0,88.15,88.16,88.095,88.095,700
699,314.0,88.17,88.2,88.16,88.17,3100
700,315.0,88.14,88.16,88.1,88.13,900
701,316.0,88.18,88.19,88.16,88.19,1727
702,317.0,88.3,88.3,88.17,88.181,6030
703,318.0,88.26,88.31,88.25,88.31,1500
704,319.0,88.23,88.3,88.23,88.26,1600
705,320.0,88.24,88.24,88.165,88.23,8182
706,321.0,88.14,88.24,88.13,88.23,1900
707,322.0,88.13,88.165,88.11,88.11,1409
708,323.0,88.16,88.18,88.14,88.14,2119
709,324.0,88.15,88.21,88.13,88.18,2925
710,325.0,88.15,88.155,88.15,88.155,447
711,326.0,88.1,88.14,88.1,88.13,3000
712,327.0,88.045,88.08,88.045,88.08,1400
713,328.0,88.02,88.08,87.98,88.03,5630
714,329.0,88.11,88.11,88.01,88.04,3866
715,330.0,88.0599,88.095,88.02,88.07,2843
716,331.0,88.1,88.13,88.08,88.09,2585
717,332.0,88.08,88.1,88.08,88.1,359
718,333.0,88.13,88.13,88.08,88.08,1588
719,334.0,88.11,88.12,88.08,88.12,2550
720,335.0,88.145,88.15,88.11,88.11,6270
721,336.0,88.28,88.3197,88.145,88.145,10151
722,337.0,88.32,88.32,88.2686,88.2897,1283
723,338.0,88.27,88.3246,88.24,88.3246,2931
724,339.0,88.25,88.25,88.21,88.24,1000
725,340.0,88.25,88.25,88.225,88.225,600
726,341.0,88.22,88.29,88.22,88.26,7636
727,342.0,88.23,88.2409,88.21,88.23,3196
728,343.0,88.2466,88.2699,88.22,88.22,3715
729,344.0,88.36,88.36,88.2445,88.2445,6691
730,345.0,88.6,88.61,88.37,88.37,16375
731,346.0,88.63,88.6597,88.57,88.61,10051
732,347.0,88.66,88.69,88.62,88.63,7912
733,348.0,88.65,88.67,88.64,88.66,3742
734,349.0,88.62,88.66,88.6,88.65,10019
735,350.0,88.54,88.64,88.53,88.62,7456
736,351.0,88.49,88.53,88.43,88.53,7900
737,352.0,88.44,88.48,88.44,88.46,3000
738,353.0,88.4299,88.44,88.39,88.44,5163
739,354.0,88.43,88.45,88.41,88.44,4230
740,355.0,88.46,88.46,88.41,88.41,3925
741,356.0,88.41,88.48,88.41,88.46,4500
742,357.0,88.4,88.42,88.36,88.4,7454
743,358.0,88.43,88.44,88.38,88.38,3291
