,0,1,2,3,4,5
4145,,68.02,68.08,67.99,67.99,16884
4146,1.0,68.0,68.17,68.0,68.07,1982
4147,2.0,67.935,68.09,67.92,68.09,12028
4148,3.0,67.94,68.06,67.94,67.99,7295
4149,4.0,68.3,68.3,68.05,68.11,2884
4150,5.0,68.26,68.305,68.23,68.305,700
4151,6.0,68.32,68.32,68.27,68.31,1000
4152,7.0,68.33,68.35,68.31,68.32,1500
4153,8.0,68.2,68.3,68.16,68.3,3200
4154,9.0,68.17,68.2,68.14,68.17,79142
4155,10.0,68.06,68.2,68.06,68.15,33066
4156,11.0,68.11,68.12,68.03,68.03,1300
4157,12.0,68.26,68.26,68.15,68.15,3035
4158,13.0,68.285,68.31,68.27,68.28,1500
4159,14.0,68.185,68.27,68.17,68.27,5600
4160,15.0,68.1,68.2,68.06,68.2,2102
4161,16.0,68.07,68.07,68.03,68.07,1800
4162,17.0,68.13,68.15,68.13,68.13,400
4163,18.0,68.03,68.14,68.03,68.11,1400
4164,19.0,68.11,68.12,67.98,68.03,4000
4165,20.0,68.0,68.07,67.99,68.07,1800
4166,21.0,67.95,68.04,67.95,68.03,2000
4167,22.0,67.87,67.95,67.87,67.95,2200
4168,23.0,67.95,67.97,67.87,67.87,2530
4169,24.0,68.0,68.03,67.96,67.97,5800
4170,25.0,67.9212,67.98,67.9212,67.98,1000
4171,26.0,68.01,68.01,67.94,67.94,1809
4172,27.0,68.0,68.01,67.92,68.01,22740
4173,28.0,68.01,68.06,68.01,68.06,1557
4174,29.0,67.995,68.01,67.98,67.98,1200
4175,30.0,68.01,68.01,67.995,68.0,827
4176,31.0,67.87,68.0194,67.86,68.005,3025
4177,32.0,67.9,67.93,67.9,67.92,4000
4178,33.0,67.9,67.9,67.88,67.895,1993
4179,34.0,67.98,67.99,67.9,67.9,4737
4180,35.0,67.87,67.9599,67.87,67.955,2027
4181,36.0,67.9,67.9,67.89,67.89,1100
4182,37.0,67.83,67.89,67.83,67.88,2100
4183,38.0,67.84,67.84,67.82,67.83,400
4184,39.0,67.84,67.87,67.84,67.85,1900
4185,40.0,67.87,67.88,67.81,67.85,1825
4186,41.0,67.86,67.87,67.84,67.87,300
4187,42.0,67.76,67.87,67.75,67.87,2345
4188,43.0,67.685,67.77,67.685,67.75,4664
4189,44.0,67.68,67.695,67.68,67.695,700
4190,45.0,67.71,67.71,67.66,67.66,2100
4191,46.0,67.7,67.7,67.67,67.69,1395
