,0,1,2,3,4,5
1893,,120.0,120.02,119.47,120.02,14510
1894,1.0,120.38,120.68,119.79,119.96,5995
1895,2.0,119.8695,120.28,119.705,120.28,1300
1896,3.0,119.99,119.99,119.815,119.95,500
1897,4.0,120.13,120.16,119.97,120.0,1100
1898,5.0,119.98,120.12,119.98,120.12,890
1899,6.0,120.08,120.15,119.91,119.91,4177
1900,7.0,120.25,120.49,120.15,120.22,3230
1901,8.0,120.42,120.44,120.2,120.335,1100
1902,9.0,120.54,120.66,120.4,120.44,4200
1903,10.0,120.88,120.9,120.48,120.585,3308
1904,11.0,121.19,121.265,120.91,121.0,9071
1905,12.0,121.49,121.54,121.11,121.11,4991
1906,13.0,121.44,121.63,121.32,121.47,12761
1907,14.0,121.495,121.6,121.42,121.485,9106
1908,15.0,121.65,121.65,121.45,121.45,1350
1909,16.0,121.63,121.73,121.54,121.6301,7714
1910,17.0,121.53,121.66,121.45,121.61,6560
1911,18.0,121.43,121.57,121.43,121.53,8903
1912,19.0,121.485,121.53,121.34,121.43,7561
1913,20.0,121.475,121.49,121.375,121.43,3700
1914,21.0,121.475,121.6,121.45,121.5,16721
1915,22.0,121.435,121.55,121.415,121.46,14300
1916,23.0,121.45,121.525,121.36,121.48,4000
1917,24.0,121.505,121.605,121.37,121.53,23100
1918,25.0,121.39,121.51,121.35,121.505,2060
1919,26.0,121.1154,121.33,121.02,121.3,6530
1920,27.0,120.96,121.1,120.77,121.05,8000
1921,28.0,121.08,121.19,120.96,121.045,9879
1922,29.0,121.32,121.4699,121.09,121.1,8166
1923,30.0,121.3,121.41,121.275,121.41,1500
1924,31.0,121.335,121.39,121.31,121.36,1400
1925,32.0,121.22,121.37,121.22,121.37,2000
1926,33.0,121.44,121.46,121.19,121.19,4160
1927,34.0,121.7,121.7,121.31,121.36,5014
1928,35.0,121.615,121.74,121.57,121.71,4920
1929,36.0,121.4,121.7098,121.4,121.63,5200
1930,37.0,121.455,121.51,121.4,121.4,1000
1931,38.0,121.525,121.58,121.485,121.57,7562
1932,39.0,121.59,121.61,121.51,121.56,4400
1933,40.0,121.55,121.55,121.43,121.52,3500
1934,41.0,121.55,121.57,121.31,121.51,21923
1935,42.0,121.49,121.6,121.46,121.49,4550
1936,43.0,121.505,121.525,121.44,121.48,5900
1937,44.0,121.44,121.46,121.44,121.46,900
1938,45.0,121.51,121.51,121.4052,121.4052,1200
1939,46.0,121.68,121.68,121.59,121.59,5409
1940,47.0,121.72,121.75,121.71,121.73,2690
1941,48.0,121.83,121.88,121.8,121.8,2502
1942,49.0,121.91,121.99,121.89,121.89,4800
1943,50.0,121.99,122.01,121.91,121.9399,2917
1944,51.0,121.98,122.07,121.97,121.98,9200
1945,52.0,121.96,122.0062,121.96,121.99,2997
