,0,1,2,3,4,5
3910,,38.69,38.69,38.69,38.69,86905
3911,1.0,38.47,38.69,38.44,38.62,70059
3912,2.0,38.46,38.47,38.43,38.47,16436
3913,3.0,38.48,38.51,38.4501,38.46,15006
3914,4.0,38.52,38.55,38.46,38.47,41558
3915,5.0,38.48,38.51,38.47,38.505,16123
3916,6.0,38.62,38.62,38.485,38.485,18030
3917,7.0,38.55,38.63,38.54,38.62,48286
3918,8.0,38.6,38.61,38.53,38.53,34068
3919,9.0,38.62,38.62,38.555,38.6,19430
3920,10.0,38.63,38.65,38.61,38.615,12902
3921,11.0,38.63,38.65,38.6,38.63,38742
3922,12.0,38.48,38.63,38.46,38.63,38236
3923,13.0,38.49,38.51,38.47,38.48,59160
3924,14.0,38.46,38.48,38.45,38.48,12214
3925,15.0,38.4,38.455,38.38,38.45,88464
3926,16.0,38.24,38.39,38.23,38.39,57572
3927,17.0,38.24,38.26,38.23,38.24,29209
3928,18.0,38.26,38.26,38.215,38.24,11857
3929,19.0,38.3,38.33,38.2536,38.2536,24538
3930,20.0,38.25,38.31,38.23,38.3,36015
3931,21.0,38.19,38.26,38.17,38.25,57391
3932,22.0,38.2,38.22,38.165,38.18,36968
3933,23.0,38.31,38.31,38.2,38.2,22222
3934,24.0,38.3,38.35,38.3,38.32,24983
3935,25.0,38.2601,38.32,38.26,38.3,17162
3936,26.0,38.26,38.275999999999996,38.25,38.27,17403
3937,27.0,38.2,38.2624,38.2,38.2624,25246
3938,28.0,38.21,38.22,38.19,38.2,52855
3939,29.0,38.21,38.22,38.2,38.21,15157
3940,30.0,38.31,38.31,38.21,38.22,44775
3941,31.0,38.286,38.32,38.27,38.305,159548
3942,32.0,38.27,38.29,38.25,38.28,34462
3943,33.0,38.3,38.31,38.26,38.265,29577
3944,34.0,38.29,38.32,38.29,38.305,13489
3945,35.0,38.33,38.345,38.27,38.29,23988
3946,36.0,38.34,38.35,38.31,38.33,11575
3947,37.0,38.31,38.36,38.31,38.34,76380
3948,38.0,38.27,38.3,38.27,38.3,20723
3949,39.0,38.26,38.29,38.25,38.26,24168
3950,40.0,38.25,38.2747,38.25,38.27,8134
3951,41.0,38.2453,38.27,38.24,38.26,26006
3952,42.0,38.19,38.2498,38.19,38.24,35171
3953,43.0,38.17,38.1999,38.15,38.195,34218
3954,44.0,38.21,38.21,38.15,38.1601,17825
3955,45.0,38.2,38.24,38.2,38.21,16188
3956,46.0,38.15,38.205,38.12,38.2,34056
3957,47.0,38.14,38.1656,38.13,38.15,26443
3958,48.0,38.13,38.16,38.12,38.14,30245
3959,49.0,38.14,38.17,38.12,38.126999999999995,13541
3960,50.0,38.13,38.165,38.12,38.141,18112
3961,51.0,38.09,38.13,38.08,38.13,33912
3962,52.0,38.03,38.1,38.02,38.091,28453
3963,53.0,37.91,38.03,37.91,38.0201,57566
3964,54.0,37.96,37.96,37.91,37.91,66586
3965,55.0,37.99,37.998000000000005,37.96,37.97,14667
3966,56.0,37.97,37.995,37.93,37.9897,15704
3967,57.0,37.9199,37.969,37.9199,37.969,15000
3968,58.0,37.97,37.97,37.92,37.92,20673
3969,59.0,38.02,38.02,37.94,37.97,14360
3970,60.0,38.0,38.02,37.99,38.02,10001
3971,61.0,37.92,38.01,37.92,38.01,29319
3972,62.0,37.89,37.93,37.89,37.92,48366
3973,63.0,37.92,37.93,37.89,37.9,38633
3974,64.0,37.900999999999996,37.9452,37.88,37.925,74655
3975,65.0,37.87,37.9,37.835,37.9,92565
3976,66.0,37.84,37.88,37.81,37.8592,130682
3977,67.0,37.77,37.86,37.7601,37.845,111400
3978,68.0,37.82,37.8293,37.75,37.77,65623
3979,69.0,37.86,37.88,37.82,37.82,28066
3980,70.0,37.88,37.9,37.86,37.86,26328
3981,71.0,37.84,37.894,37.83,37.894,23518
3982,72.0,37.791,37.84,37.785,37.84,55192
3983,73.0,37.74,37.79,37.73,37.79,61203
3984,74.0,37.69,37.76,37.69,37.75,39043
3985,75.0,37.76,37.77,37.67,37.69,33456
3986,76.0,37.73,37.7753,37.73,37.75,34444
3987,77.0,37.75,37.75,37.72,37.73,29138
3988,78.0,37.75,37.76,37.73,37.75,40802
3989,79.0,37.725,37.76,37.72,37.74,37244
3990,80.0,37.72,37.74,37.7,37.72,27578
3991,81.0,37.7558,37.765,37.71,37.72,60743
3992,82.0,37.7023,37.76,37.7,37.76,59785
