,0,1,2,3,4,5
782,,139.74,139.74,139.7,139.7,47937.0
783,1,139.6,139.7,139.3051,139.7,10507.0
784,2,139.61,139.7,139.51,139.57,12538.0
785,3,139.55,139.69,139.49,139.69,30079.0
786,4,139.59,139.72,139.49,139.66,20824.0
787,5,139.65,139.73,139.56,139.57,13618.0
788,6,139.62,139.73,139.44,139.66,15974.0
789,7,139.6434,139.69,139.51,139.57,11296.0
790,8,139.69,139.77,139.62,139.71,4200.0
791,9,139.65,139.7,139.55,139.69,6693.0
792,10,139.64,139.68,139.54,139.62,7313.0
793,11,139.73,139.74,139.62,139.62,10861.0
794,12,139.64,139.755,139.52,139.755,10106.0
795,13,139.6001,139.678,139.54,139.678,4700.0
796,14,139.61,139.63,139.55,139.6,5700.0
797,15,139.63,139.65,139.54,139.6,7003.0
798,16,139.5862,139.65,139.58,139.61,8392.0
799,17,139.63,139.64,139.53,139.5795,7076.0
800,18,139.7,139.75,139.58,139.63,16298.0
801,19,139.64,139.74,139.63,139.69,12797.0
802,20,139.59,139.66,139.54,139.63,6025.0
803,21,139.53,139.66,139.53,139.6,35156.0
804,22,139.6045,139.63,139.52,139.56,13203.0
805,23,139.6,139.64,139.57,139.63,2460.0
806,24,139.57,139.605,139.54,139.605,4395.0
807,25,139.57,139.68,139.56,139.59,7128.0
808,26,139.485,139.59,139.43,139.59,16969.0
809,27,139.515,139.55,139.48,139.51,3841.0
810,28,139.69,139.69,139.49,139.515,3127.0
811,29,139.62,139.71,139.56,139.69,7600.0
812,30,139.49,139.66,139.49,139.63,8416.0
813,31,139.59,139.69,139.49,139.52,8108.0
814,32,139.48,139.615,139.48,139.5995,8799.0
815,33,139.62,139.62,139.5,139.5,5434.0
816,34,139.5927,139.62,139.55,139.585,12053.0
817,35,139.6025,139.6353,139.53,139.55,10867.0
818,36,139.575,139.63,139.525,139.59,8666.0
819,37,139.55,139.62,139.51,139.575,8600.0
820,38,139.57,139.6,139.51,139.565,13975.0
821,39,139.6,139.64,139.55,139.57,13800.0
822,40,139.51,139.58,139.48,139.56,9060.0
823,41,139.4466,139.532,139.42,139.5,11588.0
