,0,1,2,3,4,5
1545,,774.15,774.46,774.11,774.11,33858
1546,1.0,773.15,774.79,773.01,774.46,30374
1547,2.0,773.605,774.12,772.3910000000001,773.01,14584
1548,3.0,773.365,773.96,772.88,773.52,7728
1549,4.0,773.8623,773.8623,773.3,773.49,5761
1550,5.0,773.135,773.94,772.75,773.805,6258
1551,6.0,774.205,774.37,773.13,773.25,8059
1552,7.0,773.74,774.21,773.215,773.86,4769
1553,8.0,773.7,773.9989999999999,773.23,773.92,14315
1554,9.0,774.33,774.5,773.5596,773.5596,12695
1555,10.0,774.27,774.49,773.78,774.17,9645
1556,11.0,774.15,774.3439,774.0211,774.08,4065
1557,12.0,774.36,774.37,773.99,774.31,4575
1558,13.0,774.84,774.84,774.382,774.44,8386
1559,14.0,774.5,774.69,774.21,774.67,8197
1560,15.0,774.81,774.82,774.13,774.6034,4275
1561,16.0,774.52,775.26,774.02,774.85,33699
1562,17.0,774.56,775.0,774.25,774.37,7900
1563,18.0,774.4010000000001,774.82,774.29,774.73,5850
1564,19.0,774.17,774.86,774.06,774.63,10232
1565,20.0,774.54,774.7,774.0301,774.17,7149
1566,21.0,775.0,775.23,774.7,774.77,16917
1567,22.0,774.97,775.0,774.4847,775.0,5287
1568,23.0,774.9,775.25,774.6706,774.957,5121
1569,24.0,774.715,775.0984,774.55,775.02,7947
1570,25.0,774.95,775.15,774.72,774.9,9163
1571,26.0,775.2334,775.2334,774.79,775.18,6944
1572,27.0,775.11,775.13,774.82,775.0,7341
1573,28.0,774.99,775.5,774.9,775.12,16289
1574,29.0,774.19,774.98,774.17,774.94,12592
1575,30.0,774.55,774.55,774.05,774.27,6841
1576,31.0,774.93,775.2,774.575,774.655,8783
1577,32.0,775.4,775.55,775.04,775.04,8477
1578,33.0,775.77,775.77,775.39,775.5,13663
1579,34.0,775.71,775.85,775.52,775.73,15162
1580,35.0,775.96,775.96,775.51,775.65,13715
1581,36.0,775.69,775.94,775.5001,775.9,8797
1582,37.0,775.48,775.8,775.4,775.6515,12439
1583,38.0,775.56,775.66,775.41,775.41,4290
1584,39.0,775.562,775.75,775.4689,775.565,6974
1585,40.0,775.36,775.61,774.77,775.6,20971
1586,41.0,775.115,775.47,774.945,775.47,16073
1587,42.0,775.08,775.29,774.88,775.125,9565
1588,43.0,774.96,775.28,774.74,775.08,7665
1589,44.0,775.06,775.13,774.89,774.93,1751
1590,45.0,774.875,775.18,774.76,775.18,3894
1591,46.0,775.1,775.39,774.765,774.765,11400
1592,47.0,775.3560000000001,775.4,775.0,775.18,6140
1593,48.0,775.2,775.51,775.11,775.45,5208
1594,49.0,775.27,775.32,775.17,775.3,2072
1595,50.0,775.35,775.35,775.09,775.23,6757
1596,51.0,775.16,775.51,775.09,775.31,11697
1597,52.0,775.42,775.48,775.28,775.43,2700
1598,53.0,775.685,775.7,775.3501,775.48,11353
1599,54.0,775.7654,776.0,775.55,775.56,18562
1600,55.0,775.41,775.68,775.41,775.68,5831
1601,56.0,775.6364,775.72,775.34,775.49,9251
1602,57.0,775.65,775.74,775.41,775.62,4450
1603,58.0,775.65,775.67,775.46,775.67,2900
1604,59.0,775.8199,775.8199,775.4,775.46,7785
1605,60.0,775.82,775.94,775.61,775.76,5966
1606,61.0,775.58,775.95,775.5775,775.89,3400
1607,62.0,775.45,775.66,775.3,775.58,9170
1608,63.0,775.36,775.7,775.33,775.66,8300
1609,64.0,775.6,775.625,775.36,775.47,6599
1610,65.0,775.31,775.5402,775.09,775.5402,11797
1611,66.0,775.365,775.365,775.03,775.32,5000
1612,67.0,775.23,775.45,775.18,775.35,2100
1613,68.0,775.27,775.42,775.24,775.31,2604
