,0,1,2,3,4,5
1952,,39.0,39.12,39.0,39.01,326671
1953,1.0,39.12,39.12,38.94,39.07,7314
1954,2.0,39.1,39.15,39.02,39.13,5700
1955,3.0,39.11,39.15,39.08,39.1169,8799
1956,4.0,39.17,39.19,39.08,39.12,32131
1957,5.0,39.19,39.2,39.14,39.14,3782
1958,6.0,39.25,39.25,39.19,39.19,19898
1959,7.0,39.19,39.24,39.1835,39.24,3602
1960,8.0,39.17,39.19,39.12,39.18,5890
1961,9.0,39.165,39.208,39.15,39.17,8747
1962,10.0,39.2,39.2,39.15,39.165,5870
1963,11.0,39.2,39.238,39.15,39.21,20562
1964,12.0,39.12,39.1903,39.11,39.1903,28337
1965,13.0,39.07,39.14,39.06,39.14,10681
1966,14.0,39.06,39.09,39.04,39.06,14033
1967,15.0,39.08,39.11,39.07,39.08,8312
1968,16.0,39.11,39.12,39.03,39.09,23392
1969,17.0,39.11,39.13,39.09,39.12,6593
1970,18.0,39.1518,39.16,39.11,39.13,14408
1971,19.0,39.16,39.18,39.15,39.16,26996
1972,20.0,39.13,39.16,39.13,39.16,2965
1973,21.0,39.07,39.13,39.06,39.13,13090
1974,22.0,39.0801,39.11,39.06,39.07,14047
1975,23.0,39.065,39.12,39.05,39.09,9226
1976,24.0,39.0,39.09,39.0,39.055,41492
1977,25.0,39.0,39.0,38.99,39.0,9875
1978,26.0,39.02,39.02,38.98,39.0,5658
1979,27.0,39.02,39.02,39.0,39.02,4656
1980,28.0,39.03,39.03,39.0,39.01,2803
1981,29.0,38.99,39.03,38.99,39.03,4001
1982,30.0,38.99,39.01,38.98,38.9918,4300
1983,31.0,38.97,38.99,38.97,38.99,2500
1984,32.0,38.96,38.975,38.96,38.975,2100
1985,33.0,38.95,38.96,38.94,38.96,2898
1986,34.0,38.92,38.9401,38.92,38.94,2300
1987,35.0,38.87,38.92,38.87,38.92,21344
1988,36.0,38.85,38.87,38.85,38.87,6300
1989,37.0,38.83,38.85,38.82,38.85,3791
1990,38.0,38.829,38.83,38.82,38.83,1308
1991,39.0,38.83,38.83,38.82,38.82,1800
1992,40.0,38.83,38.84,38.82,38.82,5200
1993,41.0,38.82,38.8399,38.82,38.83,4046
1994,42.0,38.83,38.84,38.8245,38.8245,5450
1995,43.0,38.86,38.86,38.83,38.83,6236
1996,44.0,38.85,38.8665,38.83,38.8665,7335
1997,45.0,38.86,38.87,38.85,38.85,2500
1998,46.0,38.85,38.88,38.85,38.87,4583
1999,47.0,38.86,38.86,38.85,38.85,1600
2000,48.0,38.86,38.86,38.85,38.8579,2950
2001,49.0,38.9,38.9,38.86,38.86,5115
2002,50.0,38.91,38.91,38.91,38.91,1500
2003,51.0,38.875,38.915,38.87,38.91,8419
2004,52.0,38.9,38.9,38.8733,38.8733,3800
2005,53.0,38.87,38.91,38.87,38.905,11690
2006,54.0,38.85,38.88,38.85,38.88,2500
2007,55.0,38.81,38.85,38.81,38.85,8895
2008,56.0,38.78,38.81,38.78,38.81,5272
2009,57.0,38.79,38.79,38.75,38.78,6656
2010,58.0,38.79,38.79,38.765,38.78,3297
2011,59.0,38.77,38.7833,38.76,38.7833,3434
2012,60.0,38.79,38.79,38.76,38.77,3550
2013,61.0,38.79,38.808,38.785,38.785,4100
2014,62.0,38.78,38.79,38.7737,38.79,5247
2015,63.0,38.8,38.801,38.78,38.78,1900
2016,64.0,38.81,38.81,38.79,38.8002,3972
2017,65.0,38.8,38.81,38.79,38.81,2241
2018,66.0,38.815,38.82,38.8,38.8,3432
2019,67.0,38.8,38.815,38.8,38.81,12075
2020,68.0,38.79,38.8101,38.79,38.795,29198
2021,69.0,38.7853,38.7853,38.78,38.78,723
2022,70.0,38.79,38.79,38.78,38.79,2700
2023,71.0,38.78,38.79,38.77,38.79,10381
2024,72.0,38.8,38.8,38.78,38.785,4800
2025,73.0,38.78,38.8,38.78,38.79,3401
2026,74.0,38.79,38.8,38.78,38.79,3300
2027,75.0,38.765,38.795,38.76,38.79,3500
2028,76.0,38.76,38.78,38.76,38.765,13441
2029,77.0,38.74,38.765,38.73,38.76,12835
2030,78.0,38.69,38.74,38.67,38.74,26487
2031,79.0,38.7,38.7,38.685,38.7,3350
2032,80.0,38.695,38.7,38.68,38.7,2790
2033,81.0,38.67,38.69,38.665,38.69,13467
2034,82.0,38.72,38.72,38.675,38.68,11413
2035,83.0,38.74,38.76,38.73,38.73,8420
2036,84.0,38.735,38.76,38.735,38.75,2720
2037,85.0,38.73,38.745,38.73,38.74,9228
2038,86.0,38.77,38.77,38.74,38.74,6650
2039,87.0,38.75,38.765,38.75,38.7601,1030
2040,88.0,38.7467,38.7467,38.72,38.74,7185
2041,89.0,38.75,38.75,38.73,38.74,1300
2042,90.0,38.745,38.75,38.74,38.75,2100
2043,91.0,38.73,38.76,38.73,38.75,12950
2044,92.0,38.7,38.745,38.7,38.74,6661
2045,93.0,38.71,38.71,38.7,38.7,2450
2046,94.0,38.695,38.71,38.69,38.71,12080
2047,95.0,38.685,38.695,38.685,38.69,5338
2048,96.0,38.6535,38.69,38.65,38.69,14640
2049,97.0,38.655,38.66,38.65,38.66,18078
2050,98.0,38.655,38.665,38.65,38.66,4410
2051,99.0,38.65,38.66,38.65,38.66,12097
2052,100.0,38.67,38.67,38.65,38.65,9421
2053,101.0,38.6801,38.69,38.679,38.68,6217
2054,102.0,38.68,38.69,38.68,38.69,2575
2055,103.0,38.68,38.7,38.68,38.69,3500
2056,104.0,38.66,38.69,38.66,38.69,4700
2057,105.0,38.68,38.68,38.67,38.68,2200
2058,106.0,38.6625,38.69,38.66,38.69,10197
2059,107.0,38.67,38.68,38.66,38.665,10600
2060,108.0,38.65,38.665,38.65,38.6614,1500
2061,109.0,38.6525,38.66,38.65,38.655,4803
2062,110.0,38.65,38.66,38.65,38.655,2700
