,0,1,2,3,4,5
3494,,204.44,204.44,204.395,204.44,70576
3495,1.0,203.905,204.61,203.56,204.44,34133
3496,2.0,202.99,203.6,202.83,203.56,8862
3497,3.0,204.1912,204.3,202.87,203.0208,21353
3498,4.0,203.12,204.29,203.06099999999998,204.22,9512
3499,5.0,204.235,204.39,203.115,203.31,13029
3500,6.0,203.6,204.35,203.58,204.3,7929
3501,7.0,203.63,203.81,203.59,203.765,4600
3502,8.0,203.79,203.86,203.65,203.705,5100
3503,9.0,203.41,203.8,203.345,203.76,59376
3504,10.0,203.06,203.8,203.03,203.41,59855
3505,11.0,203.23,203.52,202.74,203.06,30542
3506,12.0,203.23,203.28,202.96,203.2,25750
3507,13.0,203.0,203.29,202.78,203.19,33124
3508,14.0,203.02,203.1576,202.87,203.0,16496
3509,15.0,202.97,203.09,202.895,203.0,54228
3510,16.0,202.85,202.99,202.81,202.96,18792
3511,17.0,202.6,202.88,202.6,202.86,37007
3512,18.0,202.05,202.6,202.03,202.6,14122
3513,19.0,201.89,202.11,201.76,202.01,57839
3514,20.0,202.11,202.1645,201.87,201.915,20550
3515,21.0,202.11,202.22,201.95,202.16,24090
3516,22.0,202.06,202.12,201.85,202.075,28751
3517,23.0,202.1,202.2099,201.98,202.07,24307
3518,24.0,202.135,202.27,202.04,202.06,17414
3519,25.0,202.455,202.6,202.11,202.135,33455
3520,26.0,202.4211,202.63,202.24,202.59,46751
3521,27.0,202.725,202.8,202.42,202.465,7586
3522,28.0,203.0,203.0,202.66,202.77,5825
3523,29.0,203.025,203.21,202.75,202.98,10591
3524,30.0,202.995,203.06,202.96,202.975,5603
3525,31.0,203.0,203.15,202.95,203.02,24040
3526,32.0,203.005,203.14,202.97,203.01,12850
3527,33.0,202.865,203.07,202.7,203.05,57846
3528,34.0,202.71,202.88,202.52,202.865,28397
3529,35.0,202.58,202.71,202.5,202.7,5392
3530,36.0,202.38,202.61,202.28,202.52,9400
3531,37.0,201.75,202.34,201.75,202.29,9438
3532,38.0,201.86,201.88,201.7,201.75,4363
3533,39.0,202.08,202.18,201.86,201.94,6815
3534,40.0,202.16,202.23,201.89,202.09,10000
3535,41.0,202.305,202.47,202.125,202.16,6500
3536,42.0,202.07,202.26,202.0,202.24,42810
3537,43.0,202.005,202.18,201.96,202.1,9341
3538,44.0,201.455,202.06,201.265,202.005,22176
3539,45.0,201.42,201.48,201.3,201.48,12167
3540,46.0,201.37,201.45,201.32,201.45,7710
3541,47.0,201.29,201.36,201.13,201.36,21802
3542,48.0,201.36,201.51,201.22,201.26,16494
3543,49.0,201.44,201.47,201.26,201.28,8585
3544,50.0,201.47,201.61,201.425,201.47,18085
3545,51.0,201.61,201.79,201.45,201.475,19446
3546,52.0,201.5501,201.67,201.48,201.58,15406
3547,53.0,201.46,201.56,201.3,201.5,10600
3548,54.0,201.45,201.5,201.395,201.395,3400
3549,55.0,201.48,201.52,201.39,201.45,4338
3550,56.0,201.54,201.61,201.41,201.44,5750
3551,57.0,201.65,201.69,201.51,201.54,2800
3552,58.0,201.45,201.63,201.45,201.62,6067
3553,59.0,201.48,201.53,201.4,201.455,2971
3554,60.0,201.4,201.48,201.4,201.4253,8004
3555,61.0,201.355,201.5,201.26,201.44,22267
3556,62.0,201.52,201.52,201.33,201.36,3007
3557,63.0,201.47,201.6,201.44,201.52,9146
3558,64.0,201.53,201.59,201.49,201.49,3965
3559,65.0,201.59,201.74,201.5,201.57,16600
3560,66.0,201.78,201.78,201.56,201.6,2312
3561,67.0,201.88,201.935,201.81,201.81,3400
3562,68.0,202.225,202.225,201.96,201.96,3366
3563,69.0,202.0199,202.145,201.97,202.145,4348
3564,70.0,202.0,202.12,202.0,202.02,2466
3565,71.0,201.995,202.01,201.97,202.0,1848
3566,72.0,201.94,201.995,201.89,201.995,3979
3567,73.0,202.0,202.01,201.91,201.99,5480
3568,74.0,202.04,202.04,201.99,201.99,200
3569,75.0,201.975,202.0,201.93400000000003,202.0,10410
3570,76.0,202.0899,202.135,201.975,201.975,3568
3571,77.0,201.97,202.09099999999998,201.92,202.09,3396
3572,78.0,201.94,201.99,201.88,201.97,2746
3573,79.0,202.0,202.0,201.91,201.95,2000
3574,80.0,201.99,202.02,201.92,202.0,3077
3575,81.0,201.96,202.0,201.95,201.95,1200
3576,82.0,201.97,201.975,201.8756,201.975,2384
3577,83.0,201.955,201.955,201.955,201.955,100
3578,84.0,201.86,201.965,201.86,201.965,1700
3579,85.0,201.67,201.87,201.67,201.84,5080
3580,86.0,201.675,201.78,201.65,201.74,16613
3581,87.0,201.5601,201.66,201.5601,201.66,950
3582,88.0,201.48,201.605,201.37,201.605,5382
3583,89.0,201.498,201.59,201.43200000000002,201.46,4171
3584,90.0,201.58,201.58,201.42,201.4503,3300
3585,91.0,201.505,201.62,201.45,201.6,6653
3586,92.0,201.65,201.6899,201.46,201.505,13216
3587,93.0,201.79,201.89,201.6,201.69,15674
3588,94.0,201.73,201.87,201.71,201.76,9550
3589,95.0,201.83,201.99,201.65,201.7,13519
3590,96.0,201.8,201.99,201.79,201.85,7500
3591,97.0,202.0,202.05,201.84,201.88,8450
3592,98.0,202.065,202.065,201.91,201.98,2900
3593,99.0,202.03,202.1,201.99,202.0048,3470
3594,100.0,202.09,202.15,202.0,202.05,8986
3595,101.0,202.1,202.1,202.04,202.09,5056
3596,102.0,202.07,202.14,202.04,202.14,2100
3597,103.0,202.2106,202.2145,202.06,202.11,2819
3598,104.0,202.235,202.28,202.07,202.12,4848
3599,105.0,202.315,202.49,202.21599999999998,202.21599999999998,6075
3600,106.0,202.38,202.49,202.3,202.34,1996
3601,107.0,202.36,202.48,202.3,202.4135,9556
3602,108.0,202.44,202.5,202.43,202.49,2480
3603,109.0,202.45,202.4999,202.4,202.465,6754
3604,110.0,202.375,202.48,202.28,202.45,6902
3605,111.0,202.4,202.4799,202.3251,202.43,6201
3606,112.0,202.45,202.45,202.29,202.3,4647
3607,113.0,202.6399,202.64,202.45,202.45,2260
3608,114.0,202.6,202.7099,202.6,202.625,900
3609,115.0,202.74,202.7899,202.6,202.61,3500
3610,116.0,202.97,202.98,202.705,202.705,7600
3611,117.0,202.97,203.0,202.88,202.98,9990
3612,118.0,203.09,203.1,202.89,202.925,8522
3613,119.0,203.1,203.25,203.03,203.09,16324
3614,120.0,203.14,203.14,203.05,203.085,3000
3615,121.0,202.95,203.11,202.95,203.075,3800
3616,122.0,202.87,203.05,202.87,203.0,2400
3617,123.0,203.06,203.06,202.8,202.8,1300
3618,124.0,202.97,203.04,202.92,203.0069,2385
3619,125.0,203.0557,203.0557,202.89,202.91,2350
3620,126.0,203.012,203.15,203.012,203.07,4394
3621,127.0,203.12,203.12,202.95,202.96,11965
3622,128.0,203.15,203.17,203.0927,203.1,1900
3623,129.0,203.12,203.2,203.09,203.12,6877
