,0,1,2,3,4,5
2324,,184.0,184.0,184.0,184.0,19719
2325,1.0,184.325,184.36,183.81,183.81,10792
2326,2.0,184.96,184.96,184.041,184.2518,11511
2327,3.0,184.975,185.2,184.73,184.96,26320
2328,4.0,184.73,185.25,184.73,185.2,12288
2329,5.0,184.71,185.03,184.68,184.83,10866
2330,6.0,184.825,184.9,184.72,184.835,2950
2331,7.0,184.485,184.85,184.43,184.82,13501
2332,8.0,184.14,184.495,184.12,184.485,5977
2333,9.0,184.41,184.41,184.15,184.16,10146
2334,10.0,185.09,185.2,184.36,184.49,17904
2335,11.0,184.91,185.17,184.91,185.005,9092
2336,12.0,184.73,184.93,184.73,184.87,5691
2337,13.0,184.5936,184.91,184.51,184.785,4700
2338,14.0,184.81,184.85,184.6,184.67,3200
2339,15.0,184.685,184.91,184.64,184.87,6850
2340,16.0,184.8005,184.88,184.73,184.73,4400
2341,17.0,185.21,185.21,184.82,184.82,12213
2342,18.0,184.7,185.2099,184.62099999999998,185.2099,6200
2343,19.0,184.63,184.75599999999997,184.5,184.75599999999997,5049
2344,20.0,184.66,184.67,184.6,184.6696,1350
2345,21.0,184.921,184.921,184.76,184.79,2500
2346,22.0,184.86,184.89,184.76,184.885,8500
2347,23.0,184.82,184.85,184.76,184.76,1254
2348,24.0,185.23,185.25,184.8,184.8,14360
2349,25.0,185.43,185.45,185.25,185.25,16652
2350,26.0,185.43,185.48,185.36,185.3861,3730
2351,27.0,185.41,185.49,185.31,185.36,5255
2352,28.0,185.39,185.43,185.35,185.36,3350
2353,29.0,185.8855,185.8855,185.45,185.5,7974
2354,30.0,186.0,186.0,185.8001,185.8274,12023
2355,31.0,185.62,186.07,185.59,185.99,19128
2356,32.0,185.55,185.7199,185.53,185.53,4101
2357,33.0,185.69,185.74,185.59,185.6,7050
2358,34.0,185.79,185.79,185.58,185.58,8079
2359,35.0,186.0,186.0,185.66,185.7401,11300
2360,36.0,186.0,186.14,185.97,186.0016,10984
2361,37.0,186.0255,186.09,185.98,186.01,6403
2362,38.0,185.63,186.01,185.6,185.98,8600
2363,39.0,185.43,185.66,185.43,185.63,21817
2364,40.0,185.1,185.48,185.06,185.44,10252
2365,41.0,184.85,185.1799,184.84,185.07,17296
2366,42.0,184.83,184.96,184.7322,184.85,9475
2367,43.0,184.7,184.83,184.56,184.8,13433
2368,44.0,184.7675,184.91,184.69,184.73,4300
2369,45.0,185.0004,185.05,184.7568,184.7568,6251
2370,46.0,185.085,185.11,184.87,184.96,11822
2371,47.0,185.19,185.2,184.88299999999998,185.03,10663
2372,48.0,185.26,185.34,185.051,185.195,8300
