,0,1,2,3,4,5
4527,,275.0,275.01,275.0,275.01,12689
4528,1.0,273.05,275.0,273.01,274.73,8293
4529,2.0,273.64,274.3922,273.05,273.42,2450
4530,3.0,273.1,273.71,273.1,273.11,700
4531,4.0,272.64,273.18,272.64,273.11,8216
4532,5.0,272.25,273.01,272.11,272.86,8283
4533,6.0,272.09,272.3,271.9,272.11,9414
4534,7.0,272.32,272.98,272.02,272.14,6900
4535,8.0,273.0,273.0,272.07,272.19,5522
4536,9.0,273.31,273.47,272.87,272.87,2675
4537,10.0,273.3,273.92,273.03,273.41,2100
4538,11.0,273.185,273.57,272.78,272.79,6800
4539,12.0,273.295,273.53,273.19,273.36,3620
4540,13.0,273.055,273.285,272.77,273.285,2300
4541,14.0,272.33,273.0715,272.23,273.0715,2915
4542,15.0,272.42,272.7235,272.36,272.7235,1400
4543,16.0,273.04,273.04,272.51,272.525,4250
4544,17.0,273.725,273.725,272.81,273.129,4497
4545,18.0,274.5245,274.69,273.5601,273.6883,8313
4546,19.0,275.33,275.71,274.3501,274.351,3420
4547,20.0,276.01,276.36,275.385,275.56,12159
4548,21.0,276.86,276.9,275.77,276.44,13504
4549,22.0,275.21,276.82,275.18,276.58,8007
4550,23.0,275.0,276.0,274.9,275.63,3446
4551,24.0,275.52,275.5599,274.99,274.99,3510
4552,25.0,275.25,275.759,275.2,275.56,5764
4553,26.0,275.13,275.25,274.72,274.93,3975
4554,27.0,275.11,275.46,275.11,275.335,665
4555,28.0,275.7183,275.85,275.27,275.28,7762
4556,29.0,275.21,275.85,275.21,275.705,3623
4557,30.0,275.305,275.5,275.03,275.44,2600
4558,31.0,275.265,275.315,275.03,275.03,3000
4559,32.0,275.63,275.78,275.44,275.44,6359
4560,33.0,276.06,276.12,275.58,275.69,5900
4561,34.0,275.74,276.38,275.74,276.1113,11141
4562,35.0,275.45,275.8691,275.38,275.8691,6702
4563,36.0,275.21,275.7,275.21,275.32,2701
4564,37.0,275.2904,275.37,275.0,275.2,3944
4565,38.0,275.03,275.38,275.03,275.35,1200
4566,39.0,275.1,275.51,275.1,275.4,1900
4567,40.0,274.7,275.09,274.55,275.09,1740
4568,41.0,274.8,274.98,274.61,274.61,1985
4569,42.0,274.92,275.12,274.63,274.89,2770
4570,43.0,275.42,275.86,275.21,275.42,6653
4571,44.0,275.49,275.65,275.46,275.65,600
4572,45.0,276.39,276.5,275.4,275.51,9103
4573,46.0,276.36,276.61,276.3,276.38,1600
4574,47.0,276.3799,276.6164,276.295,276.295,5000
4575,48.0,276.96,277.2,276.59,276.59,13255
4576,49.0,277.04,277.04,276.71,276.78,800
4577,50.0,276.9,276.9,276.3,276.74,3504
4578,51.0,277.26,277.3,276.88,276.97,5413
4579,52.0,277.29,277.5,277.0,277.285,6805
4580,53.0,277.7,278.0,277.25,277.265,12145
4581,54.0,277.42,277.855,277.42,277.855,12679
4582,55.0,277.54,277.64,277.38,277.4,1368
4583,56.0,277.615,277.82,277.37,277.39,3717
4584,57.0,277.66,277.7478,277.4,277.7478,2400
4585,58.0,277.5954,277.86,277.45,277.86,3400
