,0,1,2,3,4,5
1751,,90.19,90.19,90.19,90.19,7552
1752,1.0,90.0,90.4999,90.0,90.4999,893
1753,2.0,90.0886,90.25,89.83,90.0,2400
1754,3.0,89.5,89.8,89.5,89.8,1508
1755,4.0,89.75,89.91,89.5,89.5,1300
1756,5.0,89.66,89.71,89.5,89.5,900
1757,6.0,89.54,89.64,89.53,89.57,1100
1758,7.0,89.54,89.66,89.54,89.56,1100
1759,8.0,89.54,89.65,89.53,89.55,1900
1760,9.0,89.53,89.72,89.53,89.53,2850
1761,10.0,89.53,89.6008,89.53,89.53,900
1762,11.0,89.5,89.575,89.48,89.53,2141
1763,12.0,89.49,89.51,89.46,89.51,1000
1764,13.0,89.645,89.69,89.46,89.49,2700
1765,14.0,89.68,89.72,89.6,89.67,1400
1766,15.0,89.58,89.68,89.57,89.67,1100
1767,16.0,89.6,89.6,89.56,89.56,500
1768,18.0,89.78,89.78,89.6499,89.65,1700
1769,19.0,89.81,89.87,89.81,89.84,600
1770,20.0,89.78,89.78,89.78,89.78,200
1771,21.0,89.66,89.7,89.61,89.7,653
1772,22.0,89.49,89.51,89.45,89.51,500
1773,23.0,89.55,89.55,89.49,89.49,1600
1774,24.0,89.491,89.491,89.491,89.491,110
1775,25.0,89.55,89.55,89.52,89.53,500
1776,28.0,89.47,89.5198,89.47,89.5198,300
1777,29.0,89.47,89.48,89.46,89.47,1250
1778,30.0,89.4,89.51,89.37,89.44,4415
1779,31.0,89.41,89.43,89.36,89.4,1300
1780,32.0,89.39,89.41,89.25,89.41,2924
1781,33.0,89.38,89.4,89.34,89.35,2390
1782,34.0,89.63,89.63,89.38,89.38,3300
1783,35.0,89.764,89.83,89.57,89.57,1200
1784,36.0,89.76,89.76,89.71,89.71,200
1785,38.0,89.61,89.72,89.61,89.65,600
1786,39.0,89.6,89.6,89.55,89.58,1200
1787,40.0,89.71,89.71,89.69,89.69,300
1788,42.0,89.74,89.74,89.74,89.74,100
1789,43.0,89.74,89.85,89.74,89.74,2200
1790,44.0,89.75,89.75,89.69,89.69,200
1791,45.0,89.55,89.67,89.5,89.67,500
1792,46.0,89.54,89.5514,89.54,89.5514,217
1793,47.0,89.78,89.78,89.56,89.56,1900
1794,48.0,89.9,89.92,89.8325,89.87,800
1795,49.0,89.71,89.77,89.71,89.77,200
1796,50.0,89.97,89.97,89.73,89.73,1000
1797,53.0,89.88,89.88,89.62,89.81,2300
1798,54.0,89.8823,89.97,89.8823,89.9,600
1799,55.0,89.8175,89.83,89.81,89.83,400
1800,56.0,89.97,89.97,89.82,89.82,1500
1801,57.0,89.83,89.83,89.82,89.82,200
1802,58.0,89.77,89.77,89.59,89.59,1912
1803,59.0,89.58,89.61,89.58,89.61,300
1804,61.0,89.44200000000001,89.58,89.44200000000001,89.57,650
1805,62.0,89.45,89.45,89.385,89.41,1140
1806,63.0,89.6,89.6,89.45,89.51,2383
1807,64.0,89.43,89.51,89.43,89.51,1300
1808,65.0,89.49,89.49,89.41,89.47,800
1809,66.0,89.41,89.4476,89.4,89.4476,3508
1810,67.0,89.39,89.405,89.35,89.35,1000
1811,68.0,89.39,89.4499,89.39,89.4499,430
1812,69.0,89.42,89.42,89.42,89.42,100
1813,70.0,89.2,89.39,89.2,89.39,1379
1814,71.0,89.27,89.31,89.27,89.29,2433
1815,72.0,89.27,89.27,89.22,89.27,552
1816,73.0,89.25,89.3,89.18,89.25,3180
1817,74.0,89.21700000000001,89.25,89.18,89.25,1790
1818,75.0,89.15,89.23,89.15,89.23,1666
1819,76.0,88.83,89.05,88.83,89.04,9834
1820,77.0,88.855,88.94,88.855,88.905,1100
1821,78.0,88.79,88.95,88.79,88.91,1900
1822,79.0,88.92,88.92,88.82,88.84,1440
1823,81.0,89.0,89.0,88.88,88.89,3000
1824,82.0,89.02,89.04,88.945,88.99,4733
1825,83.0,88.98,88.98,88.92,88.95,984
1826,84.0,88.91,88.98,88.85,88.96,8903
1827,85.0,88.95,88.95,88.95,88.95,387
1828,86.0,88.95,88.955,88.87899999999999,88.88,905
1829,87.0,88.9,88.95,88.87,88.9,3901
1830,88.0,88.91,88.91,88.82,88.9,6877
1831,89.0,88.9,88.98,88.86,88.88,11908
1832,90.0,88.83,88.91,88.79,88.91,5069
1833,91.0,89.08,89.1,88.8138,88.8138,4545
1834,92.0,88.96,89.07,88.96,89.07,900
1835,93.0,88.97,89.05,88.94,88.99,2250
1836,94.0,88.75,88.97,88.7,88.95,2780
1837,95.0,88.675,88.84,88.675,88.78,1820
1838,96.0,88.64,88.69,88.6,88.6,1869
1839,97.0,88.77,88.9,88.77,88.77,1200
1840,98.0,88.66,88.7,88.51,88.7,1400
1841,99.0,88.7,88.78,88.64,88.72,1148
1842,100.0,88.7452,88.83,88.63,88.63,2100
1843,101.0,88.89,88.89,88.75,88.87,700
1844,102.0,88.77,88.89,88.76,88.89,1000
1845,103.0,88.89,88.94,88.79,88.79,300
1846,104.0,89.186,89.19,88.99,88.99,1655
1847,105.0,89.03,89.08,88.98,89.08,1348
1848,106.0,88.99,88.99,88.9601,88.99,605
1849,107.0,88.99,88.99,88.92,88.99,4949
1850,108.0,88.85,88.9,88.85,88.89,800
1851,109.0,88.83,88.9,88.79,88.9,1954
1852,110.0,88.84,88.85,88.68,88.7767,2185
1853,111.0,88.975,89.04,88.85,88.853,1300
1854,112.0,88.98200000000001,89.02,88.98200000000001,89.02,400
1855,113.0,89.0608,89.0608,89.05,89.05,400
1856,114.0,89.1,89.1,89.03,89.03,400
1857,115.0,89.0,89.038,89.0,89.038,2125
1858,116.0,88.89,88.97,88.81,88.97,2100
1859,117.0,88.94,88.94,88.845,88.89,1300
1860,118.0,88.9253,88.97,88.92,88.96,953
1861,119.0,88.89,88.9,88.89,88.898,1230
1862,120.0,88.81,88.89,88.76,88.89,3276
1863,121.0,88.69,88.855,88.69,88.855,900
1864,122.0,88.57,88.6858,88.56,88.6858,1972
1865,123.0,88.62,88.62,88.5393,88.59,1100
1866,124.0,88.3,88.57,88.21,88.57,4452
1867,125.0,88.32,88.32,88.23,88.23,1300
1868,126.0,88.3,88.38,88.27,88.38,1294
1869,127.0,88.2,88.2,88.0,88.14,12146
1870,128.0,88.28,88.28,88.2,88.21,1162
1871,129.0,88.5,88.5,88.35,88.35,2691
1872,130.0,88.47,88.55,88.47,88.51,1555
1873,131.0,88.57,88.57,88.54,88.54,300
1874,132.0,88.59,88.61,88.53,88.53,700
1875,133.0,88.45,88.57,88.41,88.57,1900
1876,134.0,88.65,88.65,88.51,88.51,1400
1877,135.0,88.68,88.69,88.68,88.68,1100
1878,136.0,88.94,88.95,88.66,88.7,5584
1879,137.0,88.975,88.975,88.975,88.975,100
1880,138.0,89.01,89.03,88.86,88.86,1900
1881,139.0,88.92,89.02,88.92,88.96,1000
1882,140.0,89.16,89.16,88.95,88.99,2525
1883,141.0,88.945,89.04,88.91,89.04,900
1884,142.0,89.085,89.085,88.8845,88.8845,300
1885,143.0,89.15,89.18,89.075,89.075,600
1886,144.0,89.07,89.12,89.07,89.12,400
1887,145.0,89.015,89.12,88.96,89.0,1942
1888,146.0,89.11,89.11,89.11,89.11,400
1889,147.0,89.116,89.18,89.01,89.04,1825
1890,148.0,89.04,89.04,89.04,89.04,100
1891,149.0,89.27,89.27,89.14,89.14,800
1892,150.0,89.46,89.46,89.2,89.24,2407
1893,151.0,89.31,89.41,89.26,89.4,1100
1894,152.0,89.265,89.295,89.175,89.295,1000
1895,153.0,89.305,89.305,89.305,89.305,100
1896,154.0,89.13,89.21,89.13,89.21,790
1897,155.0,89.175,89.22,89.11,89.1575,5100
1898,156.0,89.19,89.19,89.06,89.175,6465
1899,157.0,89.21,89.3,89.165,89.19,8769
1900,158.0,89.21,89.225,89.195,89.195,700
1901,159.0,89.18,89.18,89.18,89.18,100
1902,160.0,89.11,89.13,89.11,89.13,300
1903,161.0,89.105,89.19,89.0,89.0,3200
1904,162.0,89.07,89.08,89.07,89.08,600
1905,163.0,89.08,89.09,89.0,89.03,1296
1906,164.0,89.095,89.1,89.08,89.08,500
1907,165.0,89.1,89.1,89.1,89.1,100
1908,166.0,89.0,89.12,89.0,89.12,938
1909,168.0,89.0,89.02,89.0,89.02,500
1910,169.0,89.0,89.0,89.0,89.0,200
1911,170.0,88.99,89.05,88.99,89.05,200
1912,171.0,88.9775,88.9775,88.97,88.97,200
1913,172.0,89.0,89.08,89.0,89.03,1000
1914,173.0,88.97,89.01,88.97,89.0,420
1915,174.0,88.97,88.97,88.97,88.97,600
1916,175.0,88.985,89.0,88.96,89.0,2467
1917,176.0,89.0,89.0,88.95,88.96,2713
1918,177.0,89.07,89.07,88.975,89.0,1150
1919,179.0,89.095,89.105,89.02,89.0305,1701
1920,180.0,88.97,89.095,88.97,89.095,5983
1921,181.0,89.05,89.08,89.0,89.0,2117
1922,182.0,88.92,88.96,88.92,88.96,300
1923,183.0,88.955,88.955,88.955,88.955,100
1924,184.0,88.91,88.915,88.88,88.91,1100
1925,185.0,88.88,88.93,88.88,88.91,7023
1926,186.0,88.91,88.93,88.84,88.85,7441
1927,187.0,88.9,88.9,88.87,88.88,825
1928,188.0,88.9,88.9,88.84,88.9,1000
1929,189.0,88.89,88.91,88.87,88.91,1191
1930,190.0,88.82,88.9,88.82,88.87,700
1931,191.0,88.82,88.87,88.82,88.82,400
1932,192.0,89.1,89.11,88.82,88.87,2500
1933,193.0,88.99,89.05,88.99,89.05,400
1934,194.0,88.835,88.93,88.835,88.93,300
1935,195.0,88.885,88.89,88.83,88.83,600
1936,196.0,88.9,88.91,88.83,88.885,7200
1937,197.0,88.78,88.91,88.77,88.84,4255
1938,198.0,88.88,88.88,88.78,88.78,2500
1939,199.0,88.8,88.8,88.8,88.8,100
1940,200.0,88.78,88.8,88.75,88.78,1320
1941,201.0,88.74,88.76,88.74,88.76,300
1942,202.0,88.86,88.86,88.74,88.74,1900
1943,203.0,88.82,88.82,88.82,88.82,100
1944,204.0,88.96,88.96,88.75,88.83,800
1945,205.0,88.83,88.88,88.83,88.88,500
1946,206.0,88.88,88.88,88.72,88.84,2000
1947,207.0,89.01,89.115,88.9,88.9,2629
1948,208.0,88.99,88.99,88.99,88.99,880
1949,209.0,88.89,88.99,88.89,88.99,900
1950,210.0,88.95,88.96,88.87,88.93,1000
1951,212.0,89.09,89.14,88.9775,89.0,1700
1952,213.0,89.07,89.12,89.07,89.11,400
1953,214.0,88.95100000000001,88.95100000000001,88.95100000000001,88.95100000000001,195
1954,215.0,88.99,88.99,88.99,88.99,100
1955,216.0,88.97,88.99,88.97,88.99,700
1956,217.0,89.0,89.01,88.88,88.919,2525
1957,218.0,89.03,89.03,88.9425,88.99,600
1958,219.0,89.0,89.0,89.0,89.0,100
1959,220.0,88.99,89.01,88.99,89.01,1300
1960,221.0,88.99,88.99,88.98,88.98,300
1961,222.0,89.16,89.2376,89.0025,89.01,1348
1962,223.0,89.0,89.035,88.99,89.02,700
1963,224.0,88.99,88.99,88.93,88.93,325
1964,226.0,88.945,89.0,88.945,88.99,500
1965,227.0,88.94,89.01,88.94,89.01,200
1966,228.0,88.93,88.93,88.93,88.93,630
1967,229.0,88.88,88.93,88.88,88.93,1585
1968,230.0,88.86,88.88,88.83,88.88,5800
1969,231.0,88.86,88.86,88.82,88.85,1500
1970,232.0,89.04,89.04,88.8501,88.9,2370
1971,233.0,88.93,89.09,88.86,89.09,1670
1972,237.0,88.815,88.9,88.81,88.9,2300
1973,238.0,88.97,88.97,88.835,88.835,1262
1974,239.0,88.85,88.95,88.795,88.95,6500
1975,240.0,88.8558,88.9,88.85,88.9,1350
1976,241.0,88.815,88.85,88.81,88.81,728
1977,242.0,88.78,88.86,88.78,88.86,700
1978,243.0,88.78,88.82,88.75,88.78,3967
1979,244.0,88.74,88.78,88.7235,88.78,600
1980,245.0,88.74,88.74,88.74,88.74,600
1981,246.0,88.595,88.74,88.595,88.74,7094
1982,247.0,88.635,88.67,88.63,88.63,400
1983,248.0,88.5801,88.65,88.555,88.63,3000
1984,249.0,88.58,88.6254,88.58,88.62200000000001,800
1985,250.0,88.57,88.61,88.515,88.515,1400
1986,251.0,88.54,88.62,88.537,88.56,6002
1987,252.0,88.51,88.54,88.5,88.52,2296
1988,253.0,88.41,88.5,88.41,88.5,312
1989,254.0,88.42,88.42,88.42,88.42,100
1990,255.0,88.28,88.42,88.28,88.42,1000
1991,256.0,88.37,88.4,88.25,88.25,5000
1992,257.0,88.37,88.37,88.305,88.35,1100
1993,259.0,88.25,88.33,88.25,88.28,500
1994,260.0,88.285,88.32,88.27,88.31,600
1995,261.0,88.25,88.25,88.24,88.24,200
1996,262.0,88.29,88.29,88.27,88.27,300
1997,263.0,88.21,88.21,88.21,88.21,100
1998,264.0,88.24,88.24,88.24,88.24,100
1999,265.0,88.11,88.17,88.11,88.17,470
2000,266.0,88.03,88.1,88.03,88.1,1068
2001,267.0,87.98,88.09,87.9775,88.0,4848
2002,268.0,87.99,87.99,87.99,87.99,100
2003,269.0,87.97,88.01,87.9384,88.01,2750
2004,270.0,87.805,87.985,87.75,87.985,9000
2005,271.0,87.9,87.9,87.79,87.79,4931
2006,272.0,88.0,88.0,87.9,87.9,7300
2007,273.0,87.975,87.975,87.93,87.96,600
2008,274.0,87.91,87.96,87.91,87.91,500
2009,275.0,87.84,87.88,87.805,87.88,1600
2010,276.0,87.79,87.82,87.775,87.78,1500
2011,277.0,87.77,87.78,87.77,87.78,200
2012,278.0,87.8,87.8,87.76,87.77,500
2013,279.0,87.8849,87.9,87.78,87.81,1915
