,0,1,2,3,4,5
1936,,31.45,31.51,31.45,31.51,24161.0
1937,1,31.41,31.51,31.41,31.41,800.0
1938,2,31.43,31.43,31.43,31.43,100.0
1939,3,31.4,31.45,31.4,31.43,5158.0
1940,4,31.39,31.43,31.35,31.43,4880.0
1941,5,31.3,31.36,31.3,31.35,1200.0
1942,6,31.26,31.31,31.23,31.31,8291.0
1943,7,31.29,31.31,31.28,31.29,3100.0
1944,8,31.33,31.35,31.29,31.29,2500.0
1945,9,31.345,31.35,31.32,31.33,2945.0
1946,10,31.34,31.35,31.34,31.34,2400.0
1947,11,31.374000000000002,31.38,31.34,31.35,3200.0
1948,12,31.38,31.39,31.38,31.39,1320.0
1949,13,31.38,31.39,31.38,31.38,1600.0
1950,14,31.35,31.37,31.315,31.37,6500.0
1951,15,31.33,31.34,31.33,31.34,1500.0
1952,16,31.31,31.35,31.31,31.33,2700.0
1953,17,31.31,31.31,31.3,31.31,2000.0
1954,18,31.32,31.32,31.3,31.31,1444.0
1955,19,31.3,31.31,31.3,31.31,1400.0
1956,20,31.27,31.29,31.27,31.29,700.0
1957,21,31.23,31.26,31.22,31.26,4376.0
1958,22,31.25,31.26,31.235,31.24,2300.0
1959,23,31.25,31.25,31.23,31.25,1700.0
1960,24,31.26,31.27,31.25,31.25,2200.0
1961,25,31.26,31.28,31.26,31.28,1100.0
1962,26,31.26,31.28,31.26,31.26,2500.0
1963,27,31.29,31.3,31.27,31.27,3300.0
1964,28,31.28,31.281,31.28,31.281,250.0
1965,29,31.305,31.305,31.285,31.285,1300.0
1966,30,31.31,31.32,31.305,31.31,2900.0
1967,31,31.35,31.35,31.31,31.31,4747.0
1968,32,31.37,31.37,31.35,31.35,1900.0
1969,33,31.35,31.365,31.345,31.36,3500.0
1970,34,31.36,31.36,31.345,31.36,2236.0
1971,35,31.355,31.38,31.355,31.37,2968.0
1972,36,31.34,31.35,31.34,31.35,700.0
1973,37,31.34,31.35,31.33,31.35,1500.0
1974,38,31.34,31.34,31.34,31.34,1200.0
1975,39,31.34,31.35,31.33,31.35,1900.0
1976,40,31.33,31.34,31.33,31.34,1600.0
1977,41,31.34,31.34,31.33,31.33,1000.0
1978,42,31.3422,31.35,31.3422,31.35,805.0
1979,43,31.34,31.36,31.34,31.345,2400.0
1980,44,31.34,31.34,31.33,31.33,200.0
1981,45,31.32,31.33,31.308000000000003,31.33,3025.0
1982,46,31.33,31.33,31.31,31.31,1400.0
1983,47,31.33,31.33,31.31,31.32,790.0
1984,48,31.33,31.33,31.33,31.33,100.0
1985,49,31.34,31.34,31.32,31.32,500.0
1986,50,31.35,31.35,31.34,31.34,400.0
1987,51,31.35,31.35,31.345,31.345,300.0
1988,52,31.36,31.375,31.36,31.36,1300.0
1989,53,31.34,31.36,31.34,31.36,1293.0
1990,54,31.34,31.35,31.34,31.35,1100.0
