,0,1,2,3,4,5
391,,101.25,101.25,101.25,101.25,64286
392,1.0,100.98,101.34,100.98,101.3134,9218
393,2.0,101.025,101.134,100.92,100.93,1400
394,3.0,101.31,101.389,100.94,101.02,27421
395,4.0,101.23,101.35,101.1,101.338,9937
396,5.0,101.20100000000001,101.22,101.09,101.21600000000001,7391
397,6.0,101.17,101.28,101.14,101.1801,8944
398,7.0,100.93,101.1899,100.92,101.11,7979
399,8.0,100.896,100.98,100.8,100.91,10008
400,9.0,100.87,100.9,100.7501,100.86,4249
401,10.0,100.95,100.96,100.8,100.9018,13185
402,11.0,100.885,101.0,100.885,101.0,1008
403,12.0,100.9399,100.9399,100.821,100.84700000000001,4259
404,13.0,100.8396,100.91,100.79,100.86,1700
405,14.0,100.9354,100.99,100.9,100.91,12411
406,15.0,101.02,101.02,100.94,100.96,2800
407,16.0,100.8,101.03299999999999,100.8,101.03299999999999,5570
408,17.0,100.74,100.86,100.74,100.7778,985
409,18.0,100.845,100.9,100.77,100.78,3596
410,19.0,100.78,100.82,100.78,100.8,4459
411,20.0,100.84,100.87,100.74,100.75,5100
412,21.0,100.88,100.905,100.86,100.875,4400
413,22.0,100.83,100.91,100.8,100.88,5832
414,23.0,100.84,100.85,100.7,100.8,14313
415,24.0,100.845,100.895,100.83,100.83,2225
416,25.0,100.79,100.85,100.76,100.8,6687
417,26.0,100.92,100.96,100.82,100.82,8031
418,27.0,100.8375,100.87,100.75,100.846,18152
419,28.0,100.84,100.88,100.8,100.81,4698
420,29.0,100.67,100.8,100.65,100.8,5000
421,30.0,100.58,100.7,100.58,100.69,4440
422,31.0,100.53,100.61,100.5,100.58,6157
423,32.0,100.47,100.5526,100.47,100.5436,13766
424,33.0,100.37,100.5,100.35,100.49,4997
425,34.0,100.42,100.45,100.34,100.36,7750
426,35.0,100.36,100.44,100.36,100.435,1950
427,36.0,100.16,100.36,100.16,100.36,13343
428,37.0,100.22,100.22,100.16,100.16,7154
429,38.0,100.03,100.22,100.02,100.1892,17528
430,39.0,100.02,100.06,100.02,100.03,8351
431,40.0,100.0421,100.08,100.01,100.02,13801
432,41.0,100.0,100.1,100.0,100.0699,10213
433,42.0,100.06,100.06,99.95,100.0,23570
434,43.0,100.12,100.12,99.98,100.05,9281
435,44.0,100.075,100.145,100.07,100.1001,8713
436,45.0,99.99,100.11,99.99,100.07,6193
437,46.0,100.11,100.11,100.04,100.04,7698
438,47.0,100.07799999999999,100.14,100.0501,100.09,7467
439,48.0,100.12,100.14,100.04,100.07,7576
440,49.0,100.265,100.31,100.1,100.1,12316
441,50.0,100.27,100.29,100.24,100.275,7700
442,51.0,100.25,100.28,100.23,100.24,2800
443,52.0,100.2168,100.3,100.21,100.265,6149
444,53.0,100.3178,100.3178,100.22,100.22,4350
445,54.0,100.33,100.3825,100.33,100.35,5903
446,55.0,100.39,100.4,100.335,100.335,3452
447,56.0,100.3,100.429,100.3,100.39,4651
448,57.0,100.28,100.33,100.2,100.302,2550
449,58.0,100.2699,100.2776,100.2,100.2776,7000
450,59.0,100.12,100.25,100.1,100.22,8450
451,60.0,100.1,100.12,100.09,100.1,1600
452,61.0,100.19,100.22,100.1,100.1,5200
453,62.0,100.21,100.21,100.18,100.18,1800
454,63.0,100.24,100.25,100.22,100.22,1100
455,64.0,100.17,100.265,100.17,100.2509,2100
456,65.0,100.12,100.167,100.12,100.165,1950
457,66.0,100.06,100.1114,100.03,100.1114,6675
458,67.0,100.13,100.13,100.05,100.05,5574
459,68.0,100.13,100.14,100.13,100.13,1100
460,69.0,100.255,100.255,100.14,100.14,3799
461,70.0,100.21,100.2512,100.21,100.23,1900
462,71.0,100.2,100.22,100.17,100.2,8200
463,72.0,100.205,100.22,100.16,100.19200000000001,3023
464,73.0,100.19,100.2,100.17,100.17,1200
465,74.0,100.12,100.1675,100.11,100.16,2199
466,75.0,100.23899999999999,100.23899999999999,100.105,100.105,3690
467,76.0,100.255,100.27,100.22,100.22,1700
468,77.0,100.14,100.225,100.14,100.22399999999999,2111
469,78.0,100.1255,100.1255,100.09,100.115,900
470,79.0,100.13,100.13,100.06,100.11,2922
471,80.0,100.11,100.12,100.06,100.12,4644
472,81.0,100.0625,100.15,100.05,100.12,7900
473,82.0,100.02,100.08,100.01,100.07,4750
474,83.0,99.9807,100.0594,99.98,100.01,10557
475,84.0,99.99,100.02,99.95,99.98,11933
476,85.0,100.0,100.04,99.98,99.99,15911
477,86.0,99.97,100.03,99.96,100.02,13168
478,87.0,99.9759,100.01,99.92,99.99,14431
479,88.0,99.96,99.99,99.96,99.97,2950
480,89.0,100.0,100.0,99.98,99.99,2200
481,90.0,99.87,100.0,99.87,100.0,12212
482,91.0,99.94,99.94,99.86,99.87,10484
483,92.0,99.91,99.96,99.89,99.925,5035
484,93.0,99.86,99.93,99.86,99.91,4719
485,94.0,99.8501,99.91,99.8501,99.86,9523
486,95.0,99.76,99.889,99.76,99.889,19382
487,96.0,99.725,99.79,99.72,99.76,17471
488,97.0,99.789,99.8,99.7,99.73,11714
489,98.0,99.788,99.81,99.75,99.79,7500
490,99.0,99.82,99.82,99.76,99.8,13700
491,100.0,99.75,99.82,99.73,99.82,7964
492,101.0,99.72,99.75,99.68,99.75,11377
493,102.0,99.76,99.76,99.69,99.69,5684
494,103.0,99.7,99.76,99.7,99.73,7202
495,104.0,99.73,99.73,99.66,99.69,7671
496,105.0,99.76,99.83,99.715,99.715,9989
497,106.0,99.69,99.77,99.68,99.75,12054
498,107.0,99.64,99.6999,99.64,99.67,8596
499,108.0,99.6396,99.67,99.61,99.65,10786
500,109.0,99.73,99.73,99.64,99.66,5361
501,110.0,99.7,99.75,99.66,99.75,4300
502,111.0,99.62,99.66,99.6,99.66,11457
503,112.0,99.54,99.63,99.54,99.63,10514
504,113.0,99.56,99.6,99.53,99.54,13800
505,114.0,99.54,99.605,99.51,99.58,14236
506,115.0,99.4396,99.56,99.42,99.54,18703
507,116.0,99.47,99.49,99.42,99.43,10695
508,117.0,99.51,99.64,99.5,99.5,8212
509,118.0,99.46,99.5285,99.46,99.5,6320
510,119.0,99.46,99.47,99.41,99.4648,6450
511,120.0,99.34,99.45,99.3,99.45,11328
512,121.0,99.24,99.32,99.23,99.32,15249
513,122.0,99.3,99.33,99.23,99.234,16768
514,123.0,99.25,99.33,99.23,99.315,12925
515,124.0,99.22,99.27,99.21,99.23,8008
516,125.0,99.21,99.26,99.21,99.23,3800
517,126.0,99.23,99.25,99.19,99.21,8329
518,127.0,99.36,99.38,99.235,99.235,9451
519,128.0,99.37,99.37,99.31,99.36,8001
520,129.0,99.43,99.46,99.36,99.365,14876
521,130.0,99.33,99.415,99.33,99.41,12864
522,131.0,99.33,99.355,99.24,99.355,15782
523,132.0,99.31,99.35,99.31,99.325,2811
524,133.0,99.32,99.37,99.2801,99.32,6283
525,134.0,99.505,99.51,99.345,99.345,8419
526,135.0,99.43,99.51,99.43,99.5,5043
527,136.0,99.29,99.4364,99.29,99.43,9528
528,137.0,99.29,99.34,99.29,99.31,11586
529,138.0,99.24,99.3185,99.23,99.3185,6353
530,139.0,99.16,99.26,99.15,99.22,16417
531,140.0,99.16,99.24,99.14,99.16,12738
532,141.0,99.18,99.24,99.15,99.15,11138
533,142.0,99.04,99.21,98.97,99.2,34132
534,143.0,99.0,99.1085,98.95,99.055,9910
535,144.0,98.985,99.02,98.975,98.9801,8241
536,145.0,99.08,99.11,98.98,98.985,9749
537,146.0,99.18,99.18,99.06,99.11,9500
538,147.0,99.22,99.24,99.12,99.12,5250
539,148.0,99.17,99.245,99.17,99.23,5065
540,149.0,99.12,99.17,99.11,99.17,7600
541,150.0,99.09,99.13,99.09,99.13,9705
542,151.0,99.05,99.105,98.961,99.09,9548
543,152.0,99.0176,99.04,99.0,99.04,2400
544,153.0,99.05,99.05,99.01,99.03,4700
545,154.0,99.05,99.07,99.01,99.04,4534
546,155.0,99.059,99.09,99.05,99.07,5670
547,156.0,99.0756,99.11,99.04,99.055,13005
548,157.0,99.12,99.15,99.07,99.1,7690
549,158.0,99.08,99.12,99.07,99.12,6861
550,159.0,99.05,99.1199,99.05,99.0895,10665
551,160.0,99.0424,99.055,99.025,99.05,5745
552,161.0,99.03,99.05,99.03,99.045,2755
553,162.0,99.15,99.15,99.01,99.02,10722
554,163.0,99.1991,99.2,99.09,99.1511,10772
555,164.0,99.2,99.22,99.17,99.18,2452
556,165.0,99.13,99.19,99.11,99.19,3750
