,0,1,2,3,4,5
3093,,47.98,47.98,47.98,47.98,26481
3094,1.0,47.87,48.0,47.87,47.98,9214
3095,2.0,47.87,47.96,47.87,47.9,1600
3096,3.0,47.93,47.93,47.93,47.93,200
3097,4.0,47.81,47.94,47.72,47.89,12562
3098,5.0,47.92,47.92,47.77,47.78,3000
3099,6.0,47.85,47.85,47.85,47.85,300
3100,7.0,47.85,47.92,47.85,47.91,3914
3101,8.0,47.85,47.93,47.85,47.89,5103
3102,9.0,47.86,47.92,47.84,47.85,3722
3103,10.0,47.78,47.9099,47.77,47.9099,5151
3104,11.0,47.75,47.83,47.75,47.78,6973
3105,12.0,47.76,47.82,47.75,47.77,3305
3106,13.0,47.76,47.8,47.73,47.74,7309
3107,14.0,47.7445,47.7925,47.73,47.76,3993
3108,15.0,47.77,47.79,47.73,47.74,5110
3109,16.0,47.765,47.8,47.76,47.79,5558
3110,17.0,47.75,47.78,47.73,47.75,3700
3111,18.0,47.7301,47.77,47.73,47.73,990
3112,19.0,47.71,47.75,47.71,47.75,10510
3113,20.0,47.72,47.73,47.6713,47.71,8313
3114,21.0,47.69,47.74,47.69,47.73,6331
3115,22.0,47.68,47.71,47.67,47.69,9796
3116,23.0,47.68899999999999,47.71,47.67,47.69,5665
3117,24.0,47.7,47.71,47.67,47.7,4640
3118,25.0,47.705,47.71,47.6701,47.685,4300
3119,26.0,47.67,47.705,47.67,47.69,5567
3120,27.0,47.68,47.7,47.6701,47.685,20241
3121,28.0,47.665,47.696999999999996,47.66,47.67,8410
3122,29.0,47.64,47.68,47.62,47.68,7578
3123,30.0,47.68,47.68,47.61,47.6301,5012
3124,31.0,47.745,47.75,47.68,47.685,7163
3125,32.0,47.74,47.78,47.7,47.75,10827
3126,33.0,47.79,47.8,47.755,47.76,5400
3127,34.0,47.76,47.8,47.74,47.79,7166
3128,35.0,47.77,47.8,47.75,47.77,3521
3129,36.0,47.78,47.79,47.77,47.77,2590
3130,37.0,47.8,47.8,47.76,47.78,5414
3131,38.0,47.86,47.88,47.79,47.8,4884
3132,39.0,47.85,47.9,47.84,47.86,6200
3133,40.0,47.83,47.85,47.83,47.84,2800
3134,41.0,47.82,47.855,47.82,47.84,5972
3135,42.0,47.82,47.82,47.8,47.82,3371
3136,43.0,47.82,47.84,47.81,47.815,2500
3137,44.0,47.795,47.81,47.79,47.81,4621
3138,45.0,47.81,47.81,47.79,47.79,2000
3139,46.0,47.8,47.84,47.795,47.825,4380
3140,47.0,47.79,47.81,47.76,47.805,5511
3141,48.0,47.79,47.81,47.79,47.8,5000
3142,49.0,47.805,47.82,47.785,47.81,3800
3143,50.0,47.81,47.83,47.79,47.83,2699
3144,51.0,47.83,47.85,47.81,47.81,2475
3145,52.0,47.82,47.841,47.78,47.84,6049
3146,53.0,47.81,47.82,47.803999999999995,47.82,1737
3147,54.0,47.82,47.82,47.8,47.8,2100
3148,55.0,47.81,47.81,47.78,47.8,3500
3149,56.0,47.79,47.82,47.79,47.81,5803
3150,57.0,47.81,47.82,47.78,47.79,3300
3151,58.0,47.84,47.84,47.81,47.81,5090
3152,59.0,47.87,47.89,47.84,47.84,3900
3153,60.0,47.85,47.88,47.85,47.88,3099
3154,61.0,47.851000000000006,47.86,47.84,47.86,5250
3155,62.0,47.84,47.86,47.83,47.85,1260
3156,63.0,47.86,47.88,47.84,47.84,4731
3157,64.0,47.85,47.86,47.84,47.85,8360
3158,65.0,47.82,47.87,47.82,47.86,3716
3159,66.0,47.85,47.87,47.84,47.85,3568
3160,67.0,47.91,47.92,47.85,47.85,3920
3161,68.0,47.88,47.92,47.82,47.9,9100
3162,69.0,47.93,47.93,47.87,47.88,1800
3163,70.0,47.94,48.0,47.93,47.94,10853
3164,71.0,47.985,47.985,47.93,47.94,3400
3165,72.0,47.99,48.0,47.98,47.99,1700
3166,73.0,48.03,48.03,47.99,47.99,6769
3167,74.0,48.026,48.03,48.01,48.01,5257
3168,75.0,48.04,48.05,48.02,48.02,3050
3169,76.0,48.0,48.04,48.0,48.04,3969
3170,77.0,48.02,48.02,47.98,47.99,2991
3171,78.0,48.02,48.02,47.99,47.99,1000
3172,79.0,48.06,48.06,48.0,48.0099,6991
3173,80.0,48.075,48.08,48.04,48.05,7350
3174,81.0,48.09,48.1,48.08,48.08,7064
3175,82.0,48.08,48.1,48.08,48.1,2600
3176,83.0,48.11,48.12,48.08,48.08,7447
3177,84.0,48.16,48.16,48.105,48.105,2614
3178,85.0,48.165,48.17,48.13,48.13,3000
3179,86.0,48.135,48.165,48.1287,48.165,4740
3180,87.0,48.15,48.15,48.12,48.12,900
3181,88.0,48.17,48.18,48.14,48.15,4998
3182,89.0,48.15,48.18,48.15,48.15,1700
3183,90.0,48.18,48.2,48.15,48.17,8066
3184,91.0,48.22,48.22,48.175,48.175,4804
3185,92.0,48.2476,48.25,48.21,48.236999999999995,3542
3186,93.0,48.193999999999996,48.27,48.193999999999996,48.25,12089
3187,94.0,48.21,48.21,48.19,48.19,700
3188,95.0,48.18,48.22,48.18,48.21,4800
3189,96.0,48.12,48.2084,48.12,48.1808,6758
3190,97.0,48.11,48.16,48.11,48.12,3500
3191,98.0,48.06,48.11,48.06,48.11,2813
3192,99.0,48.0,48.08,48.0,48.07,3350
3193,100.0,48.01,48.06,48.01,48.02,4800
3194,101.0,48.0438,48.0438,48.02,48.035,1640
3195,102.0,48.04,48.06,48.02,48.02,445
3196,103.0,48.1,48.1,48.0468,48.06,2040
3197,104.0,48.095,48.12,48.09,48.09,3881
3198,105.0,48.115,48.12,48.1,48.1,1900
3199,106.0,48.13,48.16,48.125,48.125,3214
3200,107.0,48.15,48.16,48.13,48.145,4696
3201,108.0,48.15,48.15,48.14,48.147,1300
3202,109.0,48.18,48.2,48.15,48.15,5490
3203,110.0,48.15,48.22,48.13,48.1804,11729
3204,111.0,48.17,48.17,48.16,48.16,700
3205,112.0,48.185,48.2,48.17,48.17,3104
3206,113.0,48.16,48.2,48.15,48.17,3300
3207,114.0,48.19,48.19,48.175,48.175,1600
3208,115.0,48.21,48.215,48.19,48.19,3667
3209,116.0,48.22,48.22,48.19,48.21,4390
3210,117.0,48.26,48.26,48.215,48.215,900
3211,118.0,48.25,48.26,48.23,48.255,3340
3212,119.0,48.22,48.26,48.22,48.25,1915
3213,120.0,48.23,48.25,48.22,48.22,1800
3214,121.0,48.24,48.24,48.22,48.23,8414
3215,122.0,48.26,48.26,48.229,48.235,2316
3216,123.0,48.26,48.27,48.25,48.26,3200
3217,124.0,48.205,48.25,48.17,48.25,8250
3218,125.0,48.26,48.26,48.21,48.21,3150
3219,126.0,48.24,48.26,48.21,48.26,5920
3220,127.0,48.2135,48.23,48.21,48.23,4910
3221,128.0,48.25,48.26,48.23,48.23,1775
3222,129.0,48.24,48.28,48.21,48.255,8186
3223,130.0,48.25,48.25,48.2301,48.24,1370
3224,131.0,48.2299,48.24,48.2,48.24,2942
3225,132.0,48.19,48.23,48.19,48.23,2700
3226,133.0,48.2,48.21,48.19,48.19,2709
3227,134.0,48.19,48.22,48.19,48.2,2750
3228,135.0,48.18,48.22,48.18,48.2,3309
3229,136.0,48.19,48.2,48.18,48.18,2401
3230,137.0,48.19,48.21,48.17,48.18,2500
3231,138.0,48.19,48.21,48.19,48.21,1800
3232,139.0,48.22,48.22,48.19,48.205,3554
3233,140.0,48.13,48.205,48.1003,48.205,6870
3234,141.0,48.17,48.17,48.11,48.13,3626
3235,142.0,48.18,48.19,48.17,48.17,7190
3236,143.0,48.15,48.19,48.15,48.19,3400
3237,144.0,48.15,48.16,48.1401,48.15,5031
3238,145.0,48.16,48.17,48.14,48.16,3150
3239,146.0,48.14,48.16,48.13,48.16,3000
3240,147.0,48.11,48.13,48.11,48.13,3207
3241,148.0,48.12,48.12,48.1065,48.11,1301
3242,149.0,48.1399,48.1399,48.12,48.12,1645
3243,150.0,48.16,48.165,48.13,48.13,2069
3244,151.0,48.13,48.17,48.13,48.15,4971
3245,152.0,48.12,48.16,48.12,48.13,4900
3246,153.0,48.1,48.1275,48.1,48.1275,1994
3247,154.0,48.1,48.11,48.1,48.11,2419
3248,155.0,48.1,48.11,48.07,48.11,7005
3249,156.0,48.08,48.12,48.08,48.12,2700
3250,157.0,48.06,48.07,48.04,48.07,2800
3251,158.0,48.08,48.1,48.08,48.09,3100
3252,159.0,48.02,48.0775,48.02,48.075,3778
3253,160.0,48.035,48.035,48.035,48.035,100
3254,161.0,48.02,48.03,48.01,48.03,4402
3255,162.0,48.01,48.03,48.01,48.01,1300
3256,163.0,48.0319,48.04,48.03,48.04,1246
3257,164.0,47.99,48.04,47.99,48.03,3212
3258,165.0,47.9932,47.9932,47.95,47.98,2735
3259,166.0,48.03,48.03,48.0,48.01,4700
3260,167.0,48.03,48.03,47.98,48.03,3300
3261,168.0,48.04,48.08,48.035,48.035,2850
3262,169.0,48.07,48.07,48.035,48.05,1400
3263,170.0,48.04,48.05,48.02,48.05,2900
3264,171.0,48.0364,48.04,48.02,48.04,1030
3265,172.0,48.045,48.06,48.02,48.03,1475
3266,173.0,48.055,48.06,48.045,48.053999999999995,6000
3267,174.0,48.03,48.05,48.02,48.05,5325
3268,175.0,48.05,48.05,48.02,48.02,700
3269,176.0,48.02,48.04,48.015,48.04,2100
3270,177.0,48.01,48.04,48.01,48.025,3600
3271,178.0,48.01,48.03,48.01,48.01,1849
3272,179.0,47.98,48.02,47.98,48.01,5400
3273,180.0,47.9922,48.02,47.97,47.97,4307
3274,181.0,47.979,47.99,47.979,47.99,1240
3275,182.0,47.97,47.99,47.95,47.97,10312
3276,183.0,47.9,47.99,47.9,47.96,10238
3277,184.0,47.9,47.9099,47.89,47.89,3127
3278,185.0,47.88,47.91,47.87,47.9,12897
3279,186.0,47.87,47.89,47.85,47.89,2700
3280,187.0,47.87,47.91,47.86,47.87,9268
3281,188.0,47.86,47.8738,47.85,47.87,7502
3282,189.0,47.8601,47.87,47.84,47.86,5500
3283,190.0,47.85,47.9,47.84,47.87,19426
3284,191.0,47.86,47.87,47.86,47.86,6014
3285,192.0,47.86600000000001,47.86600000000001,47.85,47.86,3950
3286,193.0,47.88,47.88,47.865,47.87,2000
3287,194.0,47.92,47.92,47.88,47.89,4801
3288,195.0,47.93,47.93,47.9128,47.92,1443
3289,196.0,47.89,47.93,47.89,47.93,5490
3290,197.0,47.9,47.9,47.88,47.89,1684
3291,198.0,47.94,47.96,47.9,47.9,6000
3292,199.0,47.91,47.925,47.9,47.925,2100
3293,200.0,47.92,47.93,47.915,47.915,637
3294,201.0,47.94,47.95,47.915,47.915,1325
3295,202.0,47.93,47.96,47.9285,47.93,6300
3296,203.0,47.96,47.98,47.9329,47.9329,1700
3297,204.0,47.98,47.98,47.95,47.96,3382
3298,205.0,47.99,47.99,47.97,47.98,1200
3299,206.0,47.99,47.99,47.96,47.98,2600
3300,207.0,47.97,47.98,47.965,47.965,1200
3301,208.0,47.96,47.98,47.96,47.97,2600
3302,209.0,47.96,47.98,47.96,47.96,400
3303,210.0,48.02,48.02,47.98,47.98,700
3304,211.0,48.02,48.04,47.99,48.005,6520
3305,212.0,47.983999999999995,48.01,47.98,48.01,3372
3306,213.0,47.98,48.01,47.9701,47.9828,5637
3307,214.0,47.97,47.99,47.96,47.99,1800
3308,215.0,47.941,47.98,47.94,47.97,10346
3309,217.0,47.96,47.99,47.95,47.96,10226
3310,218.0,48.0,48.0,47.95,47.96,1523
3311,219.0,47.95,48.02,47.95,48.0,5505
3312,220.0,47.9899,47.9899,47.9899,47.9899,210
3313,221.0,48.01,48.01,47.9704,47.9704,2796
