,0,1,2,3,4,5
772,,75.86,75.86,75.86,75.86,11076
773,1.0,75.83,75.83,75.82,75.82,300
774,2.0,75.83,75.83,75.72,75.73,300
775,3.0,75.73,75.83,75.73,75.742,1100
776,4.0,75.755,75.78,75.62,75.7,2047
777,5.0,75.85,75.97,75.75,75.75,1900
778,6.0,75.84100000000001,75.9,75.78,75.9,2100
779,7.0,75.7,75.7,75.7,75.7,100
780,8.0,75.71,75.755,75.71,75.755,300
781,10.0,75.75,75.77,75.707,75.707,300
782,11.0,75.72,75.73,75.72,75.73,200
783,12.0,75.75,75.8,75.7,75.71,2600
784,13.0,75.78,75.78,75.73,75.7633,793
785,14.0,75.81,75.81,75.81,75.81,200
786,15.0,75.765,75.797,75.73,75.77,600
787,16.0,75.727,75.79,75.71,75.73,1525
788,17.0,75.7799,75.7799,75.7799,75.7799,100
789,18.0,75.73,75.75,75.72,75.74,800
790,19.0,75.76,75.76,75.72,75.73,2300
791,20.0,75.72,75.74,75.72,75.74,2800
792,21.0,75.73,75.75,75.72,75.72,2767
793,22.0,75.76,75.76,75.71,75.72,400
794,24.0,75.71,75.73,75.71,75.71,1200
795,25.0,75.73,75.74,75.71,75.73,1561
796,26.0,75.74,75.74,75.71,75.74,900
797,27.0,75.78,75.78,75.73,75.74,3305
798,28.0,75.75,75.7684,75.75,75.7684,250
799,29.0,75.71,75.75,75.71,75.75,700
800,30.0,75.67,75.71,75.67,75.71,2000
801,31.0,75.65,75.67,75.65,75.65,2600
802,32.0,75.6,75.66,75.6,75.6525,2900
803,33.0,75.6,75.605,75.59,75.59,400
804,34.0,75.6,75.6,75.6,75.6,300
805,35.0,75.57,75.6,75.57,75.59,1200
806,36.0,75.57,75.57,75.51,75.57,6135
807,39.0,75.56,75.58,75.55,75.55,2100
808,40.0,75.58,75.61,75.57,75.58,10569
809,41.0,75.65,75.655,75.58,75.58,2702
810,43.0,75.67,75.69,75.66,75.69,900
811,44.0,75.69,75.7,75.66,75.66,3500
812,45.0,75.69,75.69,75.69,75.69,900
813,46.0,75.66,75.7,75.66,75.7,2916
814,47.0,75.676,75.7,75.67,75.67,6434
815,48.0,75.65,75.7,75.65,75.69,5609
816,49.0,75.66,75.67,75.64,75.6599,3991
817,50.0,75.65,75.67,75.65,75.65,1700
818,51.0,75.63,75.67,75.63,75.66,3769
819,52.0,75.6,75.64,75.6,75.64,1500
820,53.0,75.57,75.6,75.57,75.59,1365
821,54.0,75.52,75.5899,75.52,75.575,3075
822,55.0,75.5155,75.53,75.51,75.52,2900
823,56.0,75.56,75.57,75.515,75.52,6646
824,57.0,75.63,75.63,75.56,75.56,4532
825,58.0,75.57,75.6,75.57,75.6,2000
826,59.0,75.57,75.57,75.57,75.57,710
827,60.0,75.56,75.57,75.56,75.57,1844
828,61.0,75.55,75.58,75.55,75.58,7116
829,62.0,75.51,75.52,75.51,75.52,400
830,63.0,75.51,75.52,75.51,75.52,3000
831,64.0,75.52,75.53,75.51,75.52,2500
832,65.0,75.52,75.53,75.5,75.53,410
833,66.0,75.51,75.51,75.5,75.5,4550
834,67.0,75.52,75.53,75.5,75.51,7085
835,68.0,75.52,75.52,75.52,75.52,100
836,69.0,75.54,75.56,75.53,75.53,3000
837,70.0,75.54,75.55,75.54,75.55,1045
838,71.0,75.5301,75.55,75.53,75.55,2992
839,72.0,75.53,75.54,75.53,75.535,2800
840,73.0,75.52,75.53,75.52,75.52,700
841,74.0,75.58,75.58,75.52,75.52,5200
842,75.0,75.57,75.5794,75.55,75.565,904
843,76.0,75.55,75.57,75.55,75.57,2300
844,77.0,75.53,75.56,75.53,75.54,700
845,78.0,75.53,75.54,75.53,75.54,300
846,79.0,75.54,75.54,75.54,75.54,200
847,80.0,75.54,75.54,75.54,75.54,100
848,81.0,75.53,75.55,75.53,75.55,1626
849,82.0,75.52,75.53,75.52,75.53,1100
850,83.0,75.51,75.51,75.51,75.51,100
851,84.0,75.52,75.53,75.51,75.51,1600
852,85.0,75.52,75.53,75.51,75.52,800
853,86.0,75.52,75.53,75.51,75.52,4587
854,87.0,75.52,75.52,75.51,75.52,900
855,88.0,75.505,75.52,75.505,75.51,900
856,89.0,75.5,75.51,75.495,75.5,5983
857,90.0,75.51,75.52,75.5,75.51,3100
858,91.0,75.52,75.52,75.51,75.515,1600
859,92.0,75.535,75.54,75.525,75.53,4106
860,93.0,75.53,75.54,75.53,75.54,1300
861,94.0,75.53,75.53,75.52,75.53,400
862,95.0,75.54,75.56,75.54,75.54,2400
863,96.0,75.54,75.5499,75.5376,75.54,1710
864,97.0,75.54,75.55,75.54,75.55,1000
865,98.0,75.55,75.55,75.53,75.53,2704
866,99.0,75.54,75.55,75.53,75.55,2300
867,100.0,75.52,75.54,75.52,75.54,1300
868,101.0,75.53,75.54,75.515,75.515,2614
869,102.0,75.52,75.535,75.515,75.535,4302
870,103.0,75.52,75.52,75.52,75.52,100
871,104.0,75.51,75.52,75.5,75.52,5199
872,105.0,75.51,75.52,75.49,75.51,7335
873,106.0,75.495,75.52,75.49,75.51,3500
874,107.0,75.49,75.5,75.48,75.48,1400
875,108.0,75.5048,75.5048,75.49,75.49,387
876,109.0,75.5,75.51,75.5,75.5,6036
877,110.0,75.49,75.52,75.48,75.51,13936
878,111.0,75.48,75.52,75.48,75.5,21794
879,112.0,75.49,75.52,75.45,75.47,36971
880,113.0,75.48,75.49,75.46,75.49,4835
881,114.0,75.48,75.5,75.48,75.49,829
882,115.0,75.45,75.475,75.45,75.475,2743
883,116.0,75.49,75.49,75.425,75.45,12115
884,117.0,75.47,75.49,75.47,75.49,1300
885,118.0,75.45,75.48,75.45,75.48,2850
886,119.0,75.48,75.48,75.45,75.46,3839
887,120.0,75.46,75.49,75.45,75.46,2150
888,121.0,75.45,75.48,75.45,75.46,21334
889,122.0,75.46,75.46,75.44,75.46,9682
890,123.0,75.49,75.5,75.46,75.46,2405
891,124.0,75.48,75.49,75.48,75.48,1100
892,125.0,75.46,75.48,75.46,75.47,1371
893,126.0,75.43,75.465,75.3,75.465,45258
894,127.0,75.44,75.47,75.425,75.47,2200
895,128.0,75.435,75.45,75.42,75.44,20500
896,129.0,75.34,75.43,75.33,75.43,5520
897,130.0,75.37,75.37,75.34,75.36,1300
898,131.0,75.34,75.37,75.34,75.37,1300
899,133.0,75.4,75.42,75.345,75.345,9938
900,134.0,75.43,75.43,75.38,75.415,5256
901,135.0,75.4,75.42,75.4,75.41,1800
902,136.0,75.331,75.385,75.331,75.385,938
903,137.0,75.39,75.39,75.33,75.33,2680
904,138.0,75.5,75.5,75.4,75.4,5494
905,139.0,75.515,75.54,75.5,75.51,31900
906,140.0,75.56,75.59,75.53,75.53,4025
907,141.0,75.6,75.6,75.561,75.5774,790
908,142.0,75.46,75.585,75.46,75.57,27366
909,143.0,75.51,75.53,75.45,75.46,26314
910,144.0,75.525,75.525,75.525,75.525,100
911,145.0,75.525,75.525,75.525,75.525,200
912,146.0,75.495,75.528,75.495,75.52,2031
913,147.0,75.46,75.48,75.45,75.48,2645
914,148.0,75.48,75.49,75.445,75.45,3300
915,149.0,75.5,75.505,75.485,75.49,2873
916,150.0,75.47,75.51,75.47,75.5,3423
917,151.0,75.5,75.5,75.46,75.46,1500
918,152.0,75.51,75.52,75.505,75.505,500
919,153.0,75.5,75.51,75.49,75.51,1700
920,154.0,75.505,75.505,75.47,75.47,3364
921,155.0,75.51,75.52,75.5062,75.5062,632
922,156.0,75.54,75.55,75.53,75.53,1100
923,157.0,75.535,75.535,75.535,75.535,600
924,158.0,75.512,75.52,75.512,75.52,1146
925,159.0,75.5,75.51,75.5,75.51,600
926,160.0,75.5,75.51,75.5,75.505,2243
927,161.0,75.525,75.53,75.5,75.51,7195
928,162.0,75.53,75.55,75.525,75.53,3413
929,163.0,75.5,75.51,75.5,75.51,1100
930,164.0,75.49,75.5,75.49,75.5,2200
931,165.0,75.49,75.49,75.48,75.48,2100
932,166.0,75.47,75.47,75.47,75.47,100
933,167.0,75.485,75.485,75.485,75.485,100
934,168.0,75.52,75.52,75.4925,75.5,5960
935,169.0,75.535,75.56,75.535,75.54,1386
936,170.0,75.54,75.54,75.54,75.54,100
937,171.0,75.54,75.55,75.54,75.55,500
938,173.0,75.51,75.54,75.51,75.54,1100
939,174.0,75.51,75.51,75.51,75.51,200
940,175.0,75.6,75.6,75.505,75.505,10551
941,176.0,75.64,75.64,75.6,75.6,4603
942,177.0,75.73,75.73,75.66,75.66,3313
943,178.0,75.64,75.72,75.62,75.72,1800
944,179.0,75.605,75.63600000000001,75.6,75.63600000000001,2696
945,180.0,75.605,75.62,75.6,75.6,2400
946,181.0,75.61,75.61,75.6,75.6,3077
947,182.0,75.6,75.6,75.6,75.6,100
948,183.0,75.56,75.6,75.56,75.59,1300
949,184.0,75.61,75.61,75.545,75.55,16842
950,185.0,75.625,75.63,75.625,75.63,300
951,186.0,75.625,75.625,75.625,75.625,100
952,187.0,75.6361,75.64,75.62,75.63,1197
953,188.0,75.6374,75.6374,75.6374,75.6374,100
954,189.0,75.605,75.635,75.605,75.6291,875
955,190.0,75.6183,75.62,75.605,75.605,1900
956,191.0,75.61,75.63,75.61,75.63,406
957,192.0,75.62,75.62,75.62,75.62,200
958,193.0,75.61,75.64,75.61,75.615,2353
959,194.0,75.61,75.61,75.61,75.61,245
960,195.0,75.59,75.61,75.59,75.61,4355
961,196.0,75.59,75.59,75.54,75.5668,8950
962,197.0,75.6,75.6,75.5914,75.5914,220
963,198.0,75.6,75.6,75.59,75.59100000000001,939
964,199.0,75.61,75.61,75.61,75.61,600
965,200.0,75.61,75.61,75.61,75.61,300
966,201.0,75.59,75.61,75.58,75.61,2705
967,202.0,75.59,75.6,75.57,75.58,6600
968,203.0,75.59,75.59,75.59,75.59,100
969,204.0,75.545,75.57,75.54,75.57,4100
970,205.0,75.58,75.59,75.5599,75.5599,2107
971,206.0,75.58,75.595,75.58,75.595,500
972,209.0,75.54,75.54,75.54,75.54,100
973,210.0,75.57,75.57,75.57,75.57,200
974,211.0,75.56,75.57,75.55,75.56,600
975,212.0,75.51,75.545,75.5,75.54,2200
976,213.0,75.51,75.515,75.51,75.515,600
977,214.0,75.54,75.54,75.51,75.51,1900
978,215.0,75.51,75.54,75.51,75.54,1314
979,216.0,75.51,75.51,75.5,75.5,1900
980,217.0,75.53,75.53,75.52,75.52,1704
981,218.0,75.555,75.56,75.525,75.525,3321
982,219.0,75.54,75.55,75.54,75.55,500
983,220.0,75.54,75.54,75.52,75.52,1910
984,221.0,75.54,75.55,75.53,75.55,1147
985,222.0,75.53,75.5316,75.53,75.5316,229
986,223.0,75.525,75.53,75.525,75.53,300
987,224.0,75.53,75.53,75.51,75.52,3000
988,225.0,75.54,75.545,75.53,75.53,1100
989,226.0,75.52,75.55,75.52,75.535,2200
990,227.0,75.51,75.53,75.5,75.53,4376
991,228.0,75.51,75.51,75.51,75.51,100
992,229.0,75.51,75.51,75.485,75.5,10239
993,230.0,75.52,75.52,75.52,75.52,300
994,231.0,75.51,75.53,75.51,75.53,1333
995,232.0,75.52,75.52,75.51,75.52,2664
996,233.0,75.505,75.53,75.5,75.52,6000
997,234.0,75.51,75.52,75.51,75.52,2500
998,235.0,75.5,75.5,75.46,75.5,18000
999,236.0,75.49,75.5,75.44,75.5,7618
1000,237.0,75.49,75.5,75.47,75.49,2743
1001,238.0,75.53,75.53,75.497,75.497,900
1002,239.0,75.53,75.53,75.53,75.53,500
1003,240.0,75.535,75.547,75.535,75.547,425
1004,241.0,75.53,75.54,75.52,75.52,1500
1005,242.0,75.55,75.55,75.54,75.54,500
1006,243.0,75.55,75.55,75.55,75.55,100
1007,244.0,75.52,75.55,75.52,75.55,600
1008,245.0,75.5104,75.525,75.5104,75.525,200
1009,246.0,75.54,75.55,75.53,75.54,6540
1010,247.0,75.52,75.54,75.52,75.54,200
1011,248.0,75.515,75.52,75.51,75.51,2800
1012,249.0,75.51,75.515,75.51,75.51,500
1013,250.0,75.5,75.515,75.5,75.51,500
1014,251.0,75.55,75.55,75.505,75.51,3372
1015,252.0,75.5214,75.54,75.51,75.54,1300
1016,253.0,75.525,75.525,75.5244,75.5244,792
1017,254.0,75.5186,75.525,75.5186,75.525,1400
1018,255.0,75.5283,75.5283,75.52,75.525,719
1019,256.0,75.56,75.56,75.52,75.53,5783
1020,257.0,75.58,75.59,75.56,75.57,4076
1021,258.0,75.58,75.6,75.58,75.5802,1787
1022,259.0,75.61,75.61,75.595,75.595,4000
1023,260.0,75.59,75.61,75.59,75.61,1400
1024,261.0,75.5756,75.58,75.5756,75.58,335
1025,262.0,75.56,75.56,75.56,75.56,500
1026,263.0,75.57,75.57,75.56,75.56,900
1027,264.0,75.545,75.55,75.53,75.54,2500
1028,265.0,75.525,75.54,75.52,75.54,1400
1029,266.0,75.52,75.55,75.52,75.54,7591
