,0,1,2,3,4,5
0,,275.02,275.02,275.02,275.02,4202
1,1.0,275.01,275.01,275.01,275.01,100
2,3.0,275.36,275.36,275.36,275.36,100
3,4.0,275.1467,275.26,275.04,275.07,1421
4,5.0,275.63,275.63,275.63,275.63,100
5,6.0,275.49,275.49,275.49,275.49,100
6,7.0,275.04,275.04,275.04,275.04,100
7,8.0,274.8525,274.8525,274.8525,274.8525,100
8,9.0,274.4062,274.69,274.2601,274.69,1898
9,10.0,274.2825,274.46,274.225,274.26,528
10,11.0,274.02,274.39,274.0,274.39,4311
11,12.0,274.27,274.27,274.06,274.1595,500
12,13.0,274.23,274.5,274.23,274.27,5363
13,14.0,274.49,274.6,274.2,274.21,5600
14,16.0,274.51,274.51,274.08,274.08,773
15,17.0,274.42,274.42,274.42,274.42,200
16,18.0,274.57,274.57,274.23,274.42,4600
17,19.0,274.41,274.72,274.32,274.405,4630
18,20.0,274.54,274.7,274.28,274.35,3870
19,21.0,274.66,274.66,274.2,274.52,3900
20,22.0,274.45,274.575,274.3,274.53,9098
21,23.0,274.71,275.02,274.6,274.6,3200
22,24.0,274.8525,275.15,274.76,274.76,6600
23,25.0,274.63,275.13,274.6,274.84,5209
24,26.0,274.72,274.9,274.55,274.55,2800
25,27.0,274.86,274.92,274.7,274.7,3566
26,28.0,274.76,274.95,274.76,274.905,1000
27,29.0,274.8752,274.975,274.8752,274.92,900
28,30.0,274.54,274.92,274.54,274.92,1500
29,31.0,274.81,274.94,274.755,274.835,1100
30,32.0,274.64,274.89,274.64,274.74,950
31,33.0,274.61,274.84,274.5,274.69,3127
32,34.0,274.48,274.62,274.3,274.62,10162
33,35.0,274.49,274.54,274.4,274.52,3700
34,36.0,274.455,274.56,274.41,274.56,2600
35,37.0,274.12,274.5,274.12,274.5,2800
36,38.0,273.76,274.22,273.75,274.14,4998
37,39.0,273.58,273.85,273.58,273.76,1824
38,40.0,273.58,273.8,273.58,273.66,5389
39,41.0,273.65,273.72,273.6,273.64,2800
40,42.0,273.64,273.77,273.6,273.72,3690
41,43.0,273.51,273.69,273.5,273.53,1600
42,44.0,273.7,273.7,273.5,273.5,3489
43,45.0,273.73,273.73,273.69,273.72,900
44,46.0,273.79,273.81,273.71,273.74,2141
45,47.0,273.87,273.91900000000004,273.755,273.755,3236
46,48.0,273.94,273.94,273.86,273.87,1100
47,49.0,274.045,274.09,273.97,274.04,5777
48,50.0,274.33,274.38,273.97,274.01,5364
49,51.0,274.755,274.755,274.33,274.33,3284
50,52.0,274.66,274.98,274.66,274.83,4659
51,53.0,274.48,274.575,274.335,274.54,3112
52,54.0,274.4,274.48,274.4,274.48,300
53,56.0,274.25,274.32,274.25,274.31,966
54,57.0,273.97,274.22,273.97,274.14,700
55,58.0,273.98,274.12,273.94,273.94,2470
56,59.0,273.71,274.12,273.7,274.12,2909
57,60.0,273.99,274.02,273.83,273.85,4231
58,61.0,274.22,274.22,274.06,274.06,400
59,62.0,274.08,274.17,274.08,274.1,1800
60,63.0,274.1,274.1716,273.98,274.1716,1455
61,64.0,274.06,274.07,274.015,274.035,1500
62,65.0,273.885,274.01,273.88,274.0,1600
63,66.0,273.915,274.04,273.85,273.85,1100
64,67.0,273.93,273.99,273.89,273.97,3095
65,68.0,273.85,274.06,273.8,273.935,3134
66,69.0,273.73,273.9,273.73,273.9,600
67,70.0,273.66,273.8,273.62,273.8,1300
68,71.0,273.6,273.67,273.46,273.67,4722
69,72.0,273.62,273.62,273.56,273.56,1000
70,73.0,273.61,273.61,273.61,273.61,567
71,74.0,273.4,273.62,273.4,273.61,1900
72,75.0,273.11,273.42,273.11,273.42,3100
73,76.0,273.27,273.27,273.119,273.12,2901
74,77.0,273.37,273.38,273.25,273.27,2155
75,78.0,273.275,273.37,273.19,273.32,3914
76,79.0,273.23,273.34,273.23,273.23,600
77,80.0,273.45,273.45,273.34,273.34,1716
78,81.0,273.55,273.72,273.46,273.46,2300
79,82.0,273.42,273.53,273.42,273.52,600
80,83.0,273.18,273.38,273.15,273.38,1800
81,84.0,273.41,273.45,273.19,273.225,6422
82,85.0,273.53,273.62,273.405,273.405,2000
83,86.0,273.38,273.46,273.38,273.46,900
84,87.0,273.27,273.68,273.27,273.49,5100
85,88.0,273.25,273.3,273.15,273.3,2100
86,89.0,273.36,273.36,273.21,273.21,3500
87,90.0,273.4,273.4,273.26,273.33,2500
88,91.0,273.515,273.515,273.44,273.44,500
89,92.0,273.52,273.54,273.46,273.54,600
90,93.0,273.548,273.63,273.52,273.52,1800
91,94.0,273.61,273.79,273.57,273.79,1127
92,95.0,274.0,274.0,273.6246,273.6246,1706
93,96.0,274.0,274.0,273.87,273.87,800
94,97.0,273.96,274.06,273.96,274.06,2544
95,98.0,273.8,273.95,273.8,273.95,300
96,99.0,273.85,273.96,273.71,273.71,2699
97,100.0,273.89,273.89,273.7,273.84,1500
98,101.0,274.0,274.0,273.86,273.88,2400
99,102.0,273.96,273.97,273.96,273.97,400
100,103.0,273.85,273.95,273.72,273.95,1100
101,104.0,273.92,273.92,273.73,273.73,800
102,105.0,273.87,273.87,273.79,273.83,400
103,106.0,273.81,273.81,273.81,273.81,100
104,107.0,273.79,273.81,273.75,273.78,1400
105,108.0,273.72,273.78,273.72,273.78,600
106,109.0,273.87,273.87,273.775,273.775,1000
107,111.0,273.83,273.83,273.77,273.77,200
108,112.0,273.92,273.92,273.92,273.92,200
109,113.0,273.84,273.84,273.84,273.84,100
