,0,1,2,3,4,5
1955,,38.13,38.23,38.01,38.01,212119
1956,1.0,38.28,38.31,38.12,38.17,66448
1957,2.0,38.31,38.31,38.23,38.27,29008
1958,3.0,38.31,38.33,38.27,38.31,71386
1959,4.0,38.34,38.38,38.31,38.31,25346
1960,5.0,38.4,38.42,38.35,38.35,31998
1961,6.0,38.3369,38.43,38.33,38.4,65597
1962,7.0,38.3,38.34,38.29,38.33,59336
1963,8.0,38.3351,38.34,38.3,38.3,39307
1964,9.0,38.345,38.36,38.33,38.34,49909
1965,10.0,38.36,38.37,38.33,38.35,37308
1966,11.0,38.34,38.35,38.31,38.35,56351
1967,12.0,38.355,38.38,38.32,38.34,94664
1968,13.0,38.35,38.36,38.34,38.35,60029
1969,14.0,38.28,38.35,38.28,38.35,57485
1970,15.0,38.29,38.29,38.28,38.2864,47425
1971,16.0,38.31,38.31,38.285,38.29,28071
1972,17.0,38.3,38.31,38.3,38.3001,26388
1973,18.0,38.29,38.31,38.28,38.305,44672
1974,19.0,38.32,38.32,38.295,38.295,37897
1975,20.0,38.28,38.32,38.28,38.32,54396
1976,21.0,38.3018,38.31,38.28,38.28,29333
1977,22.0,38.33,38.335,38.3001,38.31,39322
1978,23.0,38.32,38.34,38.32,38.33,23659
1979,24.0,38.25,38.32,38.25,38.32,45367
1980,25.0,38.25,38.26,38.24,38.25,29924
1981,26.0,38.26,38.28,38.25,38.26,38385
1982,27.0,38.285,38.285,38.25,38.26,22120
1983,28.0,38.29,38.3,38.26,38.29,39194
1984,29.0,38.3,38.3,38.29,38.3,16884
1985,30.0,38.285,38.3,38.27,38.29,54092
1986,31.0,38.31,38.31,38.285,38.285,57157
1987,32.0,38.335,38.34,38.305,38.31,16272
1988,33.0,38.37,38.37,38.33,38.34,23310
1989,34.0,38.34,38.36,38.33,38.36,60029
1990,35.0,38.38,38.38,38.35,38.35,16780
1991,36.0,38.4,38.4,38.375,38.375,12714
1992,37.0,38.4,38.42,38.39,38.395,52748
1993,38.0,38.42,38.42,38.39,38.4,29853
1994,39.0,38.435,38.44,38.4175,38.42,17883
1995,40.0,38.45,38.45,38.43,38.435,21837
1996,41.0,38.415,38.45,38.41,38.45,35135
1997,42.0,38.39,38.42,38.39,38.41,28990
1998,43.0,38.43,38.43,38.39,38.4,29709
1999,44.0,38.44,38.45,38.42,38.43,22759
2000,45.0,38.425,38.44,38.42,38.44,11798
2001,46.0,38.44,38.44,38.42,38.425,14724
2002,47.0,38.4499,38.45,38.42,38.43,41805
2003,48.0,38.435,38.44,38.42,38.44,26503
2004,49.0,38.4459,38.45,38.4306,38.435,33040
2005,50.0,38.4354,38.45,38.435,38.445,19902
2006,51.0,38.43,38.435,38.42,38.43,21318
2007,52.0,38.4159,38.43,38.41,38.425,51312
2008,53.0,38.425,38.43,38.41,38.42,9988
2009,54.0,38.4147,38.4285,38.41,38.42,27807
2010,55.0,38.435,38.44,38.415,38.4175,34225
2011,56.0,38.42,38.44,38.42,38.435,20034
2012,57.0,38.425,38.44,38.42,38.425,22543
2013,58.0,38.445,38.45,38.415,38.42,23733
2014,59.0,38.425,38.45,38.42,38.45,18326
2015,60.0,38.4343,38.44,38.4136,38.42,30794
2016,61.0,38.4254,38.44,38.42,38.435,16878
2017,62.0,38.425,38.43,38.42,38.4201,7200
2018,63.0,38.4298,38.4298,38.41,38.425,35926
2019,64.0,38.43,38.445,38.425,38.4295,48046
2020,65.0,38.41,38.435,38.41,38.435,17657
2021,66.0,38.38,38.42,38.38,38.415,23043
2022,67.0,38.375,38.39,38.37,38.38,14499
2023,68.0,38.385,38.385,38.37,38.37,16105
2024,69.0,38.4,38.4,38.39,38.39,15302
2025,70.0,38.37,38.4,38.37,38.395,30072
2026,71.0,38.36,38.38,38.36,38.37,23646
2027,72.0,38.37,38.37,38.36,38.36,15582
2028,73.0,38.3666,38.38,38.36,38.365,34638
2029,74.0,38.375,38.38,38.36,38.37,12936
2030,75.0,38.385,38.39,38.37,38.38,11887
2031,76.0,38.39,38.39,38.38,38.39,5632
2032,77.0,38.34,38.39,38.34,38.39,54118
2033,78.0,38.345,38.35,38.33,38.3443,28042
2034,79.0,38.35,38.36,38.34,38.34,12939
2035,80.0,38.37,38.37,38.3525,38.36,8889
2036,81.0,38.385,38.385,38.3625,38.37,15185
2037,82.0,38.365,38.39,38.36,38.39,31300
2038,83.0,38.3425,38.37,38.34,38.37,39265
2039,84.0,38.37,38.37,38.345,38.345,17325
2040,85.0,38.365,38.37,38.36,38.3644,16502
2041,86.0,38.37,38.37,38.36,38.37,12469
2042,87.0,38.365,38.37,38.3625,38.365,7320
2043,88.0,38.38,38.38,38.3624,38.37,13541
2044,89.0,38.36,38.38,38.36,38.37,27271
2045,90.0,38.36,38.37,38.36,38.37,7772
2046,91.0,38.37,38.37,38.36,38.36,7341
2047,92.0,38.355,38.37,38.355,38.365,20478
2048,93.0,38.3764,38.39,38.355,38.355,30636
2049,94.0,38.39,38.39,38.365,38.3701,18073
2050,95.0,38.4,38.4,38.3825,38.39,16836
2051,96.0,38.375,38.395,38.37,38.395,38842
2052,97.0,38.38,38.39,38.365,38.375,25409
2053,98.0,38.395,38.4,38.38,38.3857,37274
2054,99.0,38.395,38.396,38.39,38.395,3100
2055,100.0,38.4,38.4,38.39,38.39,10500
2056,101.0,38.4,38.4,38.39,38.395,6336
2057,102.0,38.41,38.41,38.3901,38.395,22020
2058,103.0,38.41,38.41,38.4025,38.41,11785
2059,104.0,38.415,38.42,38.4025,38.405,10823
2060,105.0,38.425,38.43,38.41,38.42,21644
2061,106.0,38.41,38.425,38.41,38.425,56635
2062,107.0,38.42,38.43,38.41,38.415,10101
2063,108.0,38.44,38.44,38.42,38.42,14453
2064,109.0,38.4346,38.44,38.42,38.44,29811
2065,110.0,38.46,38.46,38.43,38.43,29606
2066,111.0,38.455,38.47,38.45,38.4545,28423
2067,112.0,38.44,38.455,38.44,38.45,15898
2068,113.0,38.45,38.46,38.44,38.445,25639
2069,114.0,38.445,38.46,38.44,38.45,25657
2070,115.0,38.435,38.455,38.42,38.45,54496
2071,116.0,38.4444,38.45,38.4331,38.44,14570
2072,117.0,38.455,38.46,38.44,38.45,11245
2073,118.0,38.44,38.455,38.435,38.45,28813
2074,119.0,38.4399,38.44,38.43,38.43,4978
2075,120.0,38.429,38.44,38.42,38.44,17160
2076,121.0,38.415,38.43,38.41,38.4279,17652
2077,122.0,38.38,38.415,38.38,38.415,126310
2078,123.0,38.405,38.41,38.38,38.385,72931
2079,124.0,38.425,38.43,38.405,38.405,35344
2080,125.0,38.415,38.43,38.41,38.43,29607
2081,126.0,38.41,38.42,38.405,38.415,33107
2082,127.0,38.4025,38.4199,38.4,38.415,28554
2083,128.0,38.43,38.43,38.4064,38.4064,38885
2084,129.0,38.4299,38.4299,38.42,38.4253,3228
2085,130.0,38.44,38.44,38.42,38.42,9890
2086,131.0,38.4425,38.45,38.43,38.43,18369
2087,132.0,38.445,38.45,38.43,38.445,24896
2088,133.0,38.46,38.46,38.45,38.45,5421
2089,134.0,38.485,38.49,38.455,38.46,55790
2090,135.0,38.485,38.5,38.48,38.48,37425
2091,136.0,38.485,38.49,38.48,38.485,8483
2092,137.0,38.48,38.5,38.47,38.485,46900
2093,138.0,38.5,38.5,38.48,38.4899,30351
2094,139.0,38.48,38.495,38.48,38.49,13733
2095,140.0,38.48,38.49,38.48,38.48,18710
2096,141.0,38.475,38.4873,38.47,38.4873,18916
2097,142.0,38.47,38.4899,38.47,38.47,32442
2098,143.0,38.4601,38.47,38.46,38.47,4777
2099,144.0,38.475,38.48,38.46,38.46,13330
2100,145.0,38.48,38.48,38.473,38.4782,9638
2101,146.0,38.465,38.49,38.46,38.48,41105
2102,147.0,38.46,38.47,38.46,38.46,7330
2103,148.0,38.47,38.47,38.46,38.46,3998
2104,149.0,38.46,38.4657,38.46,38.465,5219
2105,150.0,38.46,38.47,38.46,38.46,3395
2106,151.0,38.4661,38.47,38.46,38.46,4309
2107,152.0,38.43,38.465,38.43,38.46,22776
2108,153.0,38.435,38.44,38.43,38.435,3785
2109,154.0,38.44,38.45,38.43,38.435,28158
2110,155.0,38.44,38.45,38.44,38.4499,2419
2111,156.0,38.445,38.45,38.44,38.4458,4712
2112,157.0,38.445,38.45,38.44,38.45,5850
2113,158.0,38.44,38.45,38.43,38.45,18269
2114,159.0,38.42,38.435,38.41,38.43,26721
2115,160.0,38.425,38.4299,38.42,38.425,7961
2116,161.0,38.42,38.43,38.42,38.425,1958
2117,162.0,38.42,38.4285,38.42,38.42,7731
2118,163.0,38.42,38.4299,38.42,38.429,3295
2119,164.0,38.41,38.425,38.41,38.42,11337
2120,165.0,38.415,38.42,38.41,38.41,4200
2121,166.0,38.415,38.42,38.41,38.4155,7185
2122,167.0,38.415,38.42,38.41,38.415,2063
2123,168.0,38.415,38.42,38.41,38.415,2530
2124,169.0,38.4246,38.43,38.41,38.4135,23149
2125,170.0,38.43,38.43,38.42,38.42,17708
2126,171.0,38.46,38.46,38.425,38.43,57095
2127,172.0,38.4444,38.46,38.4436,38.4554,56832
2128,173.0,38.445,38.45,38.43,38.44,13690
2129,174.0,38.4435,38.45,38.44,38.445,3992
2130,175.0,38.445,38.46,38.43,38.44,72824
2131,176.0,38.445,38.45,38.44,38.44,12294
2132,177.0,38.465,38.47,38.44,38.45,24177
2133,178.0,38.465,38.47,38.46,38.46,22401
2134,179.0,38.4667,38.47,38.46,38.465,2700
2135,180.0,38.465,38.47,38.46,38.465,9378
2136,181.0,38.4699,38.4699,38.46,38.46,7538
2137,182.0,38.425,38.465,38.425,38.46,23345
2138,183.0,38.425,38.43,38.42,38.42,9714
2139,184.0,38.435,38.44,38.43,38.43,25929
2140,185.0,38.415,38.4365,38.41,38.43,21964
2141,186.0,38.42,38.42,38.4,38.415,51156
2142,187.0,38.43,38.43,38.41,38.41,69496
2143,188.0,38.44,38.44,38.42,38.42,21259
2144,189.0,38.45,38.46,38.44,38.4435,10994
2145,190.0,38.435,38.455,38.43,38.45,19349
2146,191.0,38.44,38.44,38.43,38.43,5162
