,0,1,2,3,4,5
766,,161.85,161.85,161.85,161.85,32388
767,1.0,162.5732,162.66,161.67,161.69,13128
768,2.0,163.0,163.0,162.5,162.5,19075
769,3.0,163.19,163.3,163.0,163.0,8958
770,4.0,163.66,163.82,163.11,163.12,17759
771,5.0,163.8,163.9,163.59,163.69,8906
772,6.0,163.75,163.84,163.51,163.6732,6681
773,7.0,163.576,163.77,163.43,163.62,9527
774,8.0,163.57,163.59,163.48,163.545,800
775,9.0,163.435,163.5213,163.19,163.5213,9750
776,10.0,163.54,163.54,163.34,163.435,9851
777,11.0,163.53,163.57,163.38,163.5,7026
778,12.0,163.55,163.67,163.43,163.535,11099
779,13.0,163.58,163.66,163.445,163.53,6458
780,14.0,163.475,163.55,163.36,163.51,6936
781,15.0,163.49,163.5775,163.39,163.45,7758
782,16.0,163.385,163.485,163.29,163.485,11034
783,17.0,163.49,163.55,163.34,163.35,5258
784,18.0,163.4,163.56,163.4,163.5,14525
785,19.0,163.54,163.6,163.32,163.43,8580
786,20.0,163.35,163.57,163.34,163.54,6875
787,21.0,163.4605,163.54,163.37,163.41,7971
788,22.0,163.4,163.43,163.295,163.43,4455
789,23.0,163.53,163.53,163.375,163.41,3665
790,24.0,163.56,163.58,163.415,163.495,13529
791,25.0,163.52,163.65,163.42,163.58,3688
792,26.0,163.435,163.51,163.42,163.49,4152
793,27.0,163.3787,163.5,163.375,163.42,15335
794,28.0,163.45,163.59,163.36,163.395,11171
795,29.0,163.47,163.5,163.3975,163.5,3620
796,30.0,163.1,163.46,163.1,163.44,6100
797,31.0,163.2501,163.3,163.2,163.2,1700
798,32.0,163.21,163.34,163.2,163.34,9822
799,33.0,163.33,163.36,163.21,163.225,5200
800,34.0,163.36,163.36,163.32,163.32,400
801,35.0,163.3799,163.42,163.321,163.3301,3862
802,36.0,163.29,163.42,163.26,163.42,5790
803,37.0,163.2369,163.29,163.2369,163.28,4234
804,38.0,163.24,163.26,163.18,163.245,3700
805,39.0,163.43,163.44,163.3,163.3,8562
806,40.0,163.49,163.49,163.4863,163.49,1048
807,41.0,163.63,163.63,163.5601,163.58,3452
808,42.0,163.72,163.72,163.61,163.63,3844
809,43.0,163.54,163.7028,163.54,163.7,4764
810,44.0,163.46,163.5865,163.44,163.51,9735
811,45.0,163.5101,163.56,163.46,163.47,3800
812,46.0,163.6,163.6,163.485,163.51,3847
813,47.0,163.64,163.67,163.61,163.61,1800
814,48.0,163.64,163.68,163.61,163.62,6000
815,49.0,163.54,163.6599,163.54,163.6402,1610
816,50.0,163.54,163.59,163.54,163.567,1559
817,51.0,163.65,163.65,163.56,163.58,3444
818,52.0,163.625,163.65,163.58,163.58,2000
819,53.0,163.655,163.67,163.625,163.65,2700
820,54.0,163.67,163.705,163.62,163.655,19661
821,55.0,163.7,163.7,163.66,163.68,15579
822,56.0,163.78,163.78,163.7,163.7,8638
823,57.0,163.79,163.81,163.77,163.8,19907
824,58.0,163.87,163.9,163.79,163.79,41688
825,59.0,163.8,163.87,163.8,163.86,4800
826,60.0,163.92,163.92,163.82,163.83,7905
827,61.0,163.926,163.99,163.8399,163.92,11846
828,62.0,163.96,163.97,163.89,163.92,3800
829,63.0,163.92,164.0,163.89,163.98,15873
830,64.0,163.96,163.99,163.93,163.93,3100
831,65.0,163.9684,163.99,163.91,163.94,2912
832,66.0,163.92,164.07,163.89,163.99,19203
833,67.0,163.96,164.0,163.95,163.95,1500
834,68.0,163.98,163.99,163.94,163.97,3395
835,69.0,164.06599999999997,164.07,163.985,163.985,5404
836,70.0,164.05,164.12,163.92,164.12,22037
837,71.0,164.142,164.142,164.08900000000003,164.095,2514
838,72.0,164.16,164.17,164.1052,164.1052,4500
839,73.0,164.16,164.165,164.09,164.15,5513
840,74.0,164.14,164.18,164.12,164.18,2100
841,75.0,164.1,164.165,164.1,164.15,2506
842,76.0,164.2,164.2,164.07,164.11,4278
843,77.0,164.0353,164.25,163.98,164.2,13424
844,78.0,163.97,164.02,163.9,164.02,9200
845,79.0,164.02,164.05,163.92,163.99,7446
846,80.0,164.01,164.04,163.9746,164.03,4566
847,81.0,164.01,164.02,163.99,164.0,1428
848,82.0,164.115,164.12,164.08,164.08,1100
849,83.0,164.06,164.115,164.0101,164.09,2280
850,84.0,164.0517,164.09,164.0517,164.07,2848
851,85.0,164.01,164.05,164.01,164.03,1200
852,86.0,164.0,164.0,164.0,164.0,500
853,87.0,164.09,164.11,163.96,163.96,3900
854,88.0,164.01,164.07,164.01,164.07,1500
855,89.0,164.05,164.05,163.955,163.97,8600
856,90.0,163.97,164.08,163.94,164.08,2200
857,91.0,163.95,163.97,163.9475,163.95,1300
858,92.0,164.05,164.05,163.945,163.945,1145
859,93.0,164.0,164.06,164.0,164.06,1932
860,94.0,164.0,164.0,163.79,163.97,7849
861,95.0,164.04,164.07,163.97,163.99,3550
862,96.0,164.05,164.11,164.03,164.08,1900
863,97.0,163.9844,164.02,163.98,164.02,1802
864,98.0,163.988,163.988,163.988,163.988,125
865,99.0,163.93,163.97,163.91,163.95,3100
866,100.0,164.09,164.1,163.94,163.94,3317
867,101.0,164.04,164.04,164.0343,164.0343,335
868,102.0,164.06,164.12,164.05,164.05,3725
869,103.0,164.06,164.09,164.05,164.09,3711
870,104.0,164.12,164.16,164.07,164.07,3300
871,105.0,164.04,164.1,164.04,164.08,2050
872,106.0,164.14,164.14,164.04,164.04,2579
873,107.0,164.0727,164.1038,164.0727,164.09,821
874,108.0,163.98,164.09,163.98,164.07,2489
875,109.0,163.9461,164.0,163.92,163.93,5562
876,110.0,163.98,163.98,163.92,163.97,2970
877,111.0,163.81,164.05,163.78,164.01,5653
878,112.0,163.85,163.85,163.78,163.81,12300
879,113.0,163.97,163.98,163.83,163.86,6682
880,114.0,163.85,164.005,163.85,163.97,21131
881,115.0,163.77,163.91,163.77,163.85,8744
882,116.0,163.85,163.85,163.735,163.735,1998
883,117.0,163.89,163.89,163.79,163.85,910
884,118.0,163.8,163.91,163.8,163.8615,2600
885,119.0,163.78,163.86,163.7,163.86,5070
886,120.0,163.9,163.9,163.7305,163.79,6120
887,121.0,163.83,163.8724,163.83,163.8701,1300
888,122.0,163.81,163.94,163.76,163.78,5310
889,123.0,163.78,163.8101,163.78,163.81,1052
890,124.0,163.78,163.78,163.78,163.78,900
891,125.0,163.66,163.76,163.66,163.76,1600
892,126.0,163.74,163.74,163.6,163.64,3070
893,127.0,163.65,163.74,163.65,163.72,2513
894,129.0,163.73,163.76,163.63,163.63,2870
895,130.0,163.79,163.79,163.76,163.77,800
896,131.0,163.83,163.85,163.77,163.81,2300
897,132.0,163.75,163.8,163.75,163.79,2945
898,133.0,163.69,163.75,163.65,163.72,1400
899,135.0,163.56,163.64,163.55,163.55,3160
900,136.0,163.6324,163.65,163.54,163.59,4274
901,137.0,163.63,163.71,163.61,163.65,1855
902,138.0,163.58,163.67,163.58,163.67,500
903,139.0,163.63,163.63,163.63,163.63,200
904,140.0,163.58,163.58,163.54,163.57,1000
905,141.0,163.54,163.59,163.54,163.59,2058
906,142.0,163.56,163.569,163.525,163.525,1685
907,143.0,163.61,163.61,163.5577,163.5577,911
908,144.0,163.67,163.67,163.62,163.62,1760
909,145.0,163.71,163.74,163.6128,163.6128,6183
910,146.0,163.89,163.92,163.73,163.73,11217
911,147.0,163.86,163.865,163.75,163.865,6393
912,148.0,163.91,163.93,163.81,163.86,10435
913,149.0,163.87,163.94,163.87,163.91,16750
914,150.0,163.96,163.97,163.85,163.86,10801
915,151.0,164.0,164.0,163.9198,163.94,11583
916,152.0,163.96,164.0,163.9076,163.99,8131
