,0,1,2,3,4,5
1955,,31.09,31.1399,31.08,31.12,7908795
1956,1.0,31.08,31.14,31.04,31.1,294527
1957,2.0,31.0,31.115,31.0,31.08,268468
1958,3.0,30.99,31.02,30.94,31.0,322843
1959,4.0,30.93,31.01,30.9,30.98,303715
1960,5.0,30.92,30.95,30.89,30.92,187873
1961,6.0,30.87,30.93,30.85,30.921,200368
1962,7.0,30.87,30.9,30.82,30.87,214251
1963,8.0,30.89,30.91,30.86,30.87,138985
1964,9.0,30.91,30.915,30.88,30.8973,90541
1965,10.0,30.93,30.95,30.9,30.92,451831
1966,11.0,30.98,31.0,30.93,30.95,172965
1967,12.0,30.97,30.99,30.96,30.985,294863
1968,13.0,31.0,31.005,30.9577,30.98,275414
1969,14.0,30.97,30.99,30.94,30.99,165005
1970,15.0,30.99,31.01,30.97,30.97,52891
1971,16.0,30.96,31.0,30.94,30.991,112409
1972,17.0,30.94,30.97,30.94,30.9522,77333
1973,18.0,30.96,30.97,30.93,30.95,53219
1974,19.0,30.97,30.97,30.95,30.965,18961
1975,20.0,30.92,30.99,30.92,30.97,82986
1976,21.0,30.89,30.93,30.88,30.92,76957
1977,22.0,30.905,30.91,30.89,30.89,23386
1978,23.0,30.86,30.9,30.86,30.9,60322
1979,24.0,30.845,30.88,30.84,30.86,43306
1980,25.0,30.85,30.855,30.83,30.84,93315
1981,26.0,30.88,30.88,30.85,30.855,37732
1982,27.0,30.88,30.9,30.87,30.88,67686
1983,28.0,30.91,30.91,30.88,30.88,28185
1984,29.0,30.86,30.91,30.86,30.905,39534
1985,30.0,30.85,30.87,30.84,30.86,50264
1986,31.0,30.865,30.88,30.85,30.85,54808
1987,32.0,30.85,30.86,30.84,30.86,32547
1988,33.0,30.835,30.84,30.82,30.84,99112
1989,34.0,30.845,30.85,30.83,30.835,24925
1990,35.0,30.85,30.865,30.85,30.85,42677
1991,36.0,30.848000000000003,30.855,30.83,30.855,40952
1992,37.0,30.815,30.8474,30.81,30.8474,110302
1993,38.0,30.78,30.815,30.78,30.815,91500
1994,39.0,30.785,30.7901,30.78,30.785,43608
1995,40.0,30.81,30.81,30.78,30.79,27303
1996,41.0,30.805,30.82,30.8,30.805,82615
1997,42.0,30.795,30.81,30.79,30.805,54683
1998,43.0,30.7814,30.79,30.78,30.79,17785
1999,44.0,30.775,30.79,30.77,30.785,24206
2000,45.0,30.7837,30.8,30.77,30.77,91295
2001,46.0,30.79,30.79,30.78,30.785,37413
2002,47.0,30.8,30.8,30.78,30.79,29571
2003,48.0,30.83,30.84,30.8,30.8,57418
2004,49.0,30.84,30.86,30.83,30.835,72638
2005,50.0,30.84,30.85,30.83,30.835,48442
2006,51.0,30.825,30.84,30.82,30.835,31255
2007,52.0,30.815,30.83,30.81,30.825,57436
2008,53.0,30.805,30.83,30.8,30.82,148999
2009,54.0,30.805,30.82,30.8,30.805,113537
2010,55.0,30.79,30.81,30.79,30.805,34031
2011,56.0,30.76,30.8,30.76,30.795,37972
2012,57.0,30.76,30.77,30.76,30.76,11455
2013,58.0,30.78,30.78,30.76,30.77,110828
2014,59.0,30.7695,30.79,30.76,30.775,82737
