,0,1,2,3,4,5
3506,,58.27,58.375,58.27,58.29,48353
3507,1.0,58.22,58.3316,58.22,58.27,11606
3508,2.0,58.28,58.29,58.2,58.22,7988
3509,3.0,58.42,58.4276,58.29,58.31,4460
3510,4.0,58.4375,58.4599,58.34,58.38,10038
3511,5.0,58.49,58.49,58.41,58.43,7832
3512,6.0,58.53,58.54,58.46,58.49,8456
3513,7.0,58.5999,58.61,58.54,58.54,13499
3514,8.0,58.6364,58.6364,58.58,58.59,3645
3515,9.0,58.61,58.64,58.61,58.61,3400
3516,10.0,58.64,58.675,58.62,58.62,6300
3517,11.0,58.66,58.66,58.63,58.65,5400
3518,12.0,58.67,58.67,58.64,58.66,5701
3519,13.0,58.65,58.67,58.65,58.67,4133
3520,14.0,58.65,58.69,58.65,58.65,11227
3521,15.0,58.64,58.66,58.62,58.66,14245
3522,16.0,58.6,58.64,58.6,58.64,6550
3523,17.0,58.6,58.63,58.6,58.61,6754
3524,18.0,58.63,58.6326,58.62,58.62,2551
3525,19.0,58.62,58.63,58.61,58.63,3600
3526,20.0,58.63,58.63,58.61,58.62,4700
3527,21.0,58.63,58.6399,58.62,58.63,6350
3528,22.0,58.64,58.64,58.62,58.63,5907
3529,23.0,58.6201,58.63,58.62,58.63,3698
3530,24.0,58.71,58.71,58.625,58.63,8495
3531,25.0,58.7499,58.7499,58.7,58.7,9021
3532,26.0,58.72,58.8,58.72,58.74,28213
3533,27.0,58.73,58.74,58.72,58.72,2000
3534,28.0,58.68,58.73,58.67,58.73,8389
3535,29.0,58.69,58.7,58.69,58.6999,6378
3536,30.0,58.73,58.76,58.68,58.69,15258
3537,31.0,58.75,58.7599,58.73,58.73,8816
3538,32.0,58.76,58.76,58.75,58.755,1708
3539,33.0,58.73,58.75,58.73,58.75,5768
3540,34.0,58.665,58.73,58.66,58.73,7391
3541,35.0,58.63,58.68,58.63,58.66,7703
3542,36.0,58.66,58.66,58.63,58.63,6952
3543,37.0,58.68,58.7,58.645,58.66,4583
3544,38.0,58.68,58.68,58.66,58.67,4000
3545,39.0,58.68,58.69,58.66,58.67,5759
3546,40.0,58.67,58.6754,58.66,58.67,6841
3547,41.0,58.68,58.68,58.66,58.67,2950
3548,42.0,58.64,58.68,58.64,58.68,9771
3549,43.0,58.63,58.64,58.625,58.63,2800
3550,44.0,58.65,58.68,58.635,58.64,9588
3551,45.0,58.65,58.68,58.65,58.65,6505
3552,46.0,58.67,58.67,58.65,58.65,4752
3553,47.0,58.65,58.6663,58.65,58.66,8552
3554,48.0,58.67,58.67,58.66,58.66,4825
3555,49.0,58.69,58.71,58.665,58.665,5200
3556,50.0,58.71,58.72,58.7,58.7,2900
3557,51.0,58.74,58.74,58.71,58.71,6900
3558,52.0,58.78,58.78,58.74,58.74,8200
3559,53.0,58.79,58.8,58.77,58.7799,13123
3560,54.0,58.84,58.84,58.795,58.8,11756
3561,55.0,58.86,58.865,58.83,58.835,15750
3562,56.0,58.85,58.87,58.85,58.86,7380
3563,57.0,58.86,58.86,58.85,58.86,600
3564,58.0,58.845,58.87,58.84,58.86,13291
3565,59.0,58.88,58.88,58.84,58.85,9732
3566,60.0,58.88,58.89,58.88,58.88,8044
3567,61.0,58.875,58.9,58.85,58.89,17300
3568,62.0,58.91,58.92,58.86,58.87,9220
3569,63.0,58.93,58.93,58.91,58.915,5000
3570,64.0,58.91,58.93,58.9,58.93,8127
3571,65.0,58.88,58.91,58.855,58.91,14534
3572,66.0,58.865,58.88,58.86,58.875,9012
3573,67.0,58.85,58.87,58.85,58.87,5637
3574,68.0,58.85,58.85,58.84,58.85,7992
3575,69.0,58.85,58.85,58.84,58.85,13271
3576,70.0,58.83,58.84,58.805,58.84,12557
3577,71.0,58.845,58.85,58.8201,58.83,10717
3578,72.0,58.85,58.85,58.84,58.84,4200
3579,73.0,58.85,58.85,58.84,58.84,7050
3580,74.0,58.85,58.85,58.845,58.85,31100
3581,75.0,58.85,58.85,58.83,58.85,23139
3582,76.0,58.85,58.86,58.84,58.84,19574
3583,77.0,58.845,58.85,58.845,58.85,11640
3584,78.0,58.84,58.85,58.84,58.845,14377
3585,79.0,58.925,58.93,58.845,58.85,8401
3586,80.0,58.86,58.94,58.85,58.93,20220
3587,81.0,58.845,58.855,58.84,58.85,4711
3588,82.0,58.88,58.88,58.84,58.84,5505
3589,83.0,58.875,58.875,58.87,58.875,1520
3590,84.0,58.9,58.9,58.875,58.88,15322
3591,85.0,58.885,58.9,58.88,58.9,7000
3592,86.0,58.88,58.9,58.88,58.89,13070
3593,87.0,58.86,58.89,58.86,58.8897,9189
3594,88.0,58.84,58.87,58.84,58.86,12810
3595,89.0,58.85,58.86,58.83,58.84,41486
3596,90.0,58.85,58.85,58.84,58.85,8072
3597,91.0,58.83,58.855,58.83,58.85,10771
3598,92.0,58.875,58.88,58.83,58.84,12619
3599,93.0,58.875,58.88,58.875,58.88,1200
3600,94.0,58.84,58.87,58.83,58.87,123778
3601,95.0,58.81,58.83,58.78,58.83,10086
3602,96.0,58.77,58.81,58.77,58.8,10175
3603,97.0,58.725,58.77,58.72,58.77,10277
3604,98.0,58.74,58.74,58.72,58.72,3900
3605,99.0,58.7099,58.74,58.7,58.74,20531
3606,100.0,58.73,58.73,58.69,58.71,8680
3607,101.0,58.76,58.7699,58.73,58.73,7389
3608,102.0,58.76,58.76,58.75,58.76,2300
3609,103.0,58.78,58.78,58.755,58.76,5465
3610,104.0,58.75,58.78,58.75,58.78,17565
3611,105.0,58.75,58.75,58.745,58.75,5081
3612,106.0,58.78,58.78,58.745,58.75,7452
3613,107.0,58.785,58.785,58.77,58.78,4700
3614,108.0,58.8,58.809,58.78,58.79,7400
3615,109.0,58.78,58.8,58.77,58.8,10114
3616,110.0,58.8,58.8,58.775,58.78,4285
3617,111.0,58.78,58.8,58.78,58.8,5472
3618,112.0,58.79,58.79,58.78,58.7801,3100
3619,113.0,58.82,58.82,58.79,58.79,1717
3620,114.0,58.83,58.83,58.82,58.82,2480
3621,115.0,58.87,58.89,58.83,58.83,10813
3622,116.0,58.82,58.88,58.81,58.88,10513
3623,117.0,58.83,58.84,58.805,58.82,6691
3624,118.0,58.85,58.85,58.83,58.83,3500
3625,119.0,58.86,58.86,58.83,58.85,5033
3626,120.0,58.83,58.86,58.83,58.85,5515
3627,121.0,58.86,58.86,58.84,58.84,3265
3628,122.0,58.79,58.85,58.78,58.85,16168
3629,123.0,58.77,58.79,58.76,58.78,8780
3630,124.0,58.755,58.77,58.75,58.76,14249
3631,125.0,58.75,58.77,58.75,58.76,4975
3632,126.0,58.72,58.76,58.72,58.75,10495
3633,127.0,58.7199,58.73,58.71,58.72,2616
3634,128.0,58.665,58.73,58.665,58.7179,28121
3635,129.0,58.66,58.68,58.65,58.66,8630
3636,130.0,58.67,58.68,58.65,58.655,3300
3637,131.0,58.65,58.69,58.65,58.67,8408
3638,132.0,58.6,58.65,58.58,58.65,6664
3639,133.0,58.61,58.61,58.58,58.6,5669
3640,134.0,58.6,58.62,58.58,58.62,8400
3641,135.0,58.6,58.61,58.6,58.6,1200
3642,136.0,58.58,58.61,58.57,58.6,7482
3643,137.0,58.57,58.58,58.55,58.58,4410
3644,138.0,58.575,58.58,58.5623,58.57,3200
3645,139.0,58.56,58.59,58.56,58.58,9469
3646,140.0,58.58,58.58,58.55,58.55,3999
3647,141.0,58.57,58.58,58.56,58.58,8025
3648,142.0,58.59,58.59,58.565,58.57,3741
3649,143.0,58.605,58.61,58.58,58.585,5025
3650,144.0,58.61,58.61,58.6,58.61,4600
3651,145.0,58.6,58.61,58.59,58.61,41929
3652,146.0,58.61,58.61,58.58,58.6,16262
3653,147.0,58.61,58.61,58.59,58.605,9284
3654,148.0,58.61,58.615,58.58,58.61,78299
3655,149.0,58.62,58.625,58.58,58.62,58216
3656,150.0,58.68,58.69,58.63,58.63,9100
3657,151.0,58.66,58.68,58.65,58.68,14311
3658,152.0,58.69,58.69,58.66,58.66,8422
3659,153.0,58.7,58.71,58.68,58.69,14441
3660,154.0,58.6501,58.7,58.64,58.7,17999
3661,155.0,58.63,58.67,58.63,58.66,8714
3662,156.0,58.67,58.67,58.63,58.63,4326
3663,157.0,58.665,58.67,58.66,58.661,2078
3664,158.0,58.63,58.67,58.62,58.67,19920
3665,159.0,58.64,58.64,58.6,58.63,15526
3666,160.0,58.67,58.67,58.64,58.64,4042
3667,161.0,58.65,58.69,58.65,58.68,9054
3668,162.0,58.59,58.65,58.59,58.65,17399
3669,163.0,58.59,58.6,58.58,58.58,11931
3670,164.0,58.59,58.59,58.57,58.59,8641
3671,165.0,58.6,58.6,58.58,58.59,6235
3672,166.0,58.58,58.63,58.58,58.6,16927
3673,167.0,58.59,58.6,58.57,58.59,6714
3674,168.0,58.6,58.6,58.57,58.59,4770
3675,169.0,58.63,58.63,58.6,58.6,4160
3676,170.0,58.605,58.63,58.605,58.625,8888
3677,171.0,58.61,58.62,58.6,58.605,8918
3678,172.0,58.61,58.62,58.605,58.61,2100
3679,173.0,58.62,58.63,58.61,58.62,2200
3680,174.0,58.63,58.64,58.62,58.63,6712
3681,175.0,58.62,58.64,58.615,58.64,3689
3682,176.0,58.59,58.63,58.59,58.62,14964
3683,177.0,58.62,58.63,58.59,58.59,4200
3684,178.0,58.64,58.64,58.61,58.63,3700
3685,179.0,58.62,58.65,58.62,58.64,4730
3686,180.0,58.615,58.64,58.61,58.625,4469
3687,181.0,58.63,58.64,58.61,58.61,5900
3688,182.0,58.63,58.63,58.61,58.63,6506
3689,183.0,58.625,58.63,58.62,58.63,5498
3690,184.0,58.68,58.68,58.625,58.625,12990
3691,185.0,58.74,58.74,58.69,58.69,3283
3692,186.0,58.73,58.73,58.71,58.73,5468
3693,187.0,58.715,58.74,58.715,58.73,28351
3694,188.0,58.72,58.73,58.72,58.72,5000
3695,189.0,58.74,58.74,58.72,58.725,2400
3696,190.0,58.75,58.75,58.73,58.735,2481
3697,191.0,58.76,58.77,58.74,58.74,5256
3698,192.0,58.77,58.79,58.76,58.76,12613
3699,193.0,58.76,58.77,58.75,58.76,1900
3700,194.0,58.765,58.78,58.76,58.77,3316
3701,195.0,58.775,58.79,58.77,58.77,4900
3702,196.0,58.77,58.79,58.77,58.77,9332
3703,197.0,58.7803,58.79,58.77,58.77,1951
3704,198.0,58.83,58.83,58.78,58.79,9599
3705,199.0,58.84,58.845,58.81,58.82,12443
3706,200.0,58.88,58.88,58.84,58.84,9632
3707,201.0,58.91,58.91,58.88,58.89,4981
3708,202.0,58.94,58.94,58.905,58.91,6062
3709,203.0,58.92,58.94,58.91,58.94,9506
3710,204.0,58.94,58.95,58.9264,58.9264,4940
3711,205.0,58.92,58.95,58.92,58.93,11673
3712,206.0,58.95,58.955,58.92,58.92,10836
3713,207.0,58.945,58.955,58.94,58.95,5100
3714,208.0,58.96,58.96,58.945,58.95,2205
3715,209.0,58.96,58.97,58.95,58.955,8991
3716,210.0,58.97,58.98,58.96,58.965,4842
3717,211.0,58.96,58.97,58.95,58.96,6714
3718,212.0,58.95,58.97,58.94,58.9526,9987
3719,213.0,58.97,58.975,58.94,58.95,7800
3720,214.0,58.97,58.97,58.9644,58.97,2500
3721,215.0,58.95,58.97,58.94,58.97,11827
3722,216.0,58.99,59.0,58.95,58.95,6472
3723,217.0,58.98,59.03,58.98,58.99,9190
3724,218.0,58.97,58.98,58.965,58.98,4881
3725,219.0,58.99,58.99,58.98,58.98,2600
3726,220.0,58.95,58.99,58.95,58.985,4584
3727,221.0,58.94,58.96,58.935,58.95,5618
3728,222.0,58.94,58.95,58.94,58.95,1800
3729,223.0,58.94,58.95,58.925,58.945,8908
3730,224.0,58.93,58.94,58.92,58.93,8807
3731,225.0,58.93,58.93,58.91,58.93,10781
3732,226.0,58.93,58.93,58.92,58.93,2314
3733,227.0,58.92,58.93,58.91,58.93,2259
3734,228.0,58.92,58.92,58.91,58.92,2200
3735,229.0,58.88,58.92,58.88,58.915,8250
3736,230.0,58.905,58.91,58.88,58.88,4531
3737,231.0,58.92,58.92,58.91,58.91,3000
3738,232.0,58.93,58.93,58.92,58.92,2400
3739,233.0,58.94,58.94,58.925,58.93,3805
3740,234.0,58.935,58.94,58.93,58.94,2400
3741,235.0,58.945,58.95,58.9375,58.9375,3300
3742,236.0,58.93,58.96,58.925,58.945,8272
3743,237.0,58.935,58.935,58.92,58.93,2200
3744,238.0,58.94,58.94,58.93,58.93,800
3745,239.0,58.92,58.9351,58.91,58.9351,3211
3746,240.0,58.93,58.93,58.92,58.92,2040
3747,241.0,58.96,58.96,58.92,58.93,12278
3748,242.0,58.98,58.98,58.945,58.96,15447
3749,243.0,58.97,58.98,58.97,58.97,9100
3750,244.0,59.0,59.0,58.98,58.98,5043
3751,245.0,59.0,59.01,58.99,59.0,3100
3752,246.0,59.03,59.03,59.0,59.0,3400
3753,247.0,59.06,59.08,59.02,59.03,16293
3754,248.0,59.07,59.08,59.06,59.06,3412
3755,249.0,59.05,59.07,59.05,59.07,4997
3756,250.0,59.04,59.06,59.04,59.05,4989
3757,251.0,59.04,59.05,59.04,59.05,2365
3758,252.0,59.05,59.05,59.04,59.04,1146
3759,253.0,59.05,59.06,59.035,59.04,6411
3760,254.0,59.05,59.055,59.05,59.05,500
3761,255.0,59.05,59.055,59.05,59.055,300
3762,256.0,59.03,59.06,59.02,59.05,7869
3763,257.0,59.03,59.03,59.03,59.03,1600
3764,258.0,59.03,59.03,59.02,59.03,1212
3765,259.0,59.02,59.03,59.02,59.03,200
3766,260.0,59.03,59.03,59.02,59.025,1400
3767,261.0,59.005,59.02,59.0,59.02,5152
3768,262.0,59.0,59.01,59.0,59.01,1100
3769,263.0,59.005,59.005,59.0,59.0,2300
3770,264.0,59.0,59.02,58.99,59.005,12146
3771,265.0,59.0,59.0,58.99,59.0,6414
3772,266.0,59.01,59.01,58.99,59.01,7775
3773,267.0,59.005,59.01,59.0,59.01,643
3774,268.0,59.03,59.03,59.005,59.005,9734
3775,269.0,59.05,59.05,59.02,59.03,10639
3776,270.0,59.045,59.05,59.04,59.05,500
3777,271.0,59.0333,59.06,59.0333,59.04,18762
3778,272.0,59.03,59.035,59.02,59.035,7733
3779,273.0,59.01,59.03,59.01,59.03,3964
3780,274.0,58.99,59.01,58.99,59.01,18875
3781,275.0,58.975,59.0,58.975,58.985,25599
3782,276.0,58.99,59.0,58.975,58.98,14591
3783,277.0,58.99,59.0,58.985,58.99,8199
3784,278.0,58.995,58.995,58.98,58.99,6300
3785,279.0,58.9999,59.0,58.99,59.0,1100
3786,280.0,58.99,59.001000000000005,58.98,59.0,19643
3787,281.0,58.99,59.0,58.98,58.99,12751
3788,282.0,59.02,59.02,59.0,59.0,5200
3789,283.0,59.02,59.035,59.01,59.01,7341
3790,284.0,59.02,59.03,59.015,59.025,4493
3791,285.0,59.06,59.07,59.02,59.02,9395
3792,286.0,59.03,59.06,59.03,59.06,5124
