,0,1,2,3,4,5
2317,,86.22,86.22,86.09,86.09,62767
2318,1.0,86.32,86.32,86.17,86.17,300
2319,2.0,86.03,86.25,86.03,86.16,5275
2320,3.0,85.9658,86.06,85.93,86.04,3808
2321,4.0,85.73,85.94,85.73,85.94,4219
2322,5.0,85.89,85.89,85.76,85.76,5001
2323,6.0,85.69,85.88,85.4828,85.87,6211
2324,7.0,85.41,85.5629,85.4,85.54,2115
2325,8.0,85.71,85.74,85.42,85.45,4581
2326,9.0,85.715,85.715,85.64,85.68,300
2327,10.0,85.81,85.83,85.62,85.62,4500
2328,11.0,85.6,85.81,85.6,85.8,3000
2329,12.0,85.57,85.57,85.4,85.49,6678
2330,13.0,85.7,85.75,85.68,85.6917,4300
2331,14.0,85.83,85.83,85.72,85.72,1700
2332,15.0,85.91,86.01,85.8,85.8,5100
2333,16.0,85.9008,85.97,85.84,85.93,4801
2334,17.0,85.9454,85.96,85.87,85.955,1750
2335,18.0,86.17,86.17,85.92,85.92,10006
2336,19.0,86.2,86.29,86.14,86.185,5201
2337,20.0,86.25,86.27,86.22,86.27,900
2338,21.0,86.37,86.37,86.22,86.22,5130
2339,22.0,86.4,86.4,86.32,86.36,2772
2340,23.0,86.455,86.46,86.39,86.405,3407
2341,24.0,86.51,86.515,86.48,86.48,800
2342,25.0,86.53,86.56,86.52,86.53,1600
2343,26.0,86.59,86.59,86.47,86.51,4800
2344,27.0,86.76,86.76,86.61,86.61,5000
2345,28.0,86.76,86.82,86.73,86.78,6134
2346,29.0,86.72,86.77,86.72,86.765,2300
2347,30.0,86.67,86.76,86.67,86.71,1900
2348,31.0,86.625,86.67,86.52,86.66,21750
2349,32.0,86.66,86.68,86.56,86.6,4229
2350,33.0,86.66,86.72,86.66,86.67,1955
2351,34.0,86.695,86.74,86.66,86.66,3500
2352,35.0,86.81,86.81,86.69,86.69,5967
2353,36.0,86.7,86.79,86.66,86.79,2400
2354,37.0,86.7,86.76,86.7,86.71,14200
2355,38.0,86.705,86.71,86.65,86.69,7664
2356,39.0,86.71,86.76,86.69,86.71,3719
2357,40.0,86.7,86.71,86.68,86.71,2450
2358,41.0,86.7,86.72,86.68,86.7,4250
2359,42.0,86.68,86.74,86.68,86.68,7215
2360,43.0,86.68,86.71,86.65,86.67,9596
2361,44.0,86.69,86.71,86.67,86.7,62587
2362,45.0,86.745,86.745,86.7,86.7,5300
2363,46.0,86.78,86.81,86.72,86.72,3000
2364,47.0,86.82,86.84,86.78,86.8,16897
2365,48.0,86.895,86.92,86.83,86.83,2100
2366,49.0,86.885,86.895,86.85,86.88,4100
2367,50.0,86.79,86.89,86.79,86.88,3500
2368,51.0,86.8,86.81,86.79,86.79,1400
2369,52.0,86.82,86.82,86.73,86.79,3900
2370,53.0,86.81,86.83,86.8,86.8063,7424
2371,54.0,86.78,86.81,86.78,86.81,2700
2372,55.0,86.68,86.77,86.65,86.77,15453
2373,56.0,86.675,86.71,86.64,86.65,10202
2374,57.0,86.63,86.67,86.61,86.67,1947
2375,58.0,86.47,86.6,86.47,86.6,2300
2376,59.0,86.45,86.49,86.44,86.47,6036
2377,60.0,86.41,86.43,86.281,86.41,28773
2378,61.0,86.505,86.51,86.4,86.42,6139
2379,62.0,86.4,86.545,86.39,86.495,23245
2380,63.0,86.32,86.39,86.32,86.39,1000
2381,64.0,86.28,86.31,86.28,86.28,1400
2382,65.0,86.315,86.315,86.3,86.3,4100
2383,66.0,86.21,86.33,86.2,86.33,2900
2384,67.0,86.12,86.1701,86.11,86.17,3400
2385,68.0,86.04,86.13,86.03,86.11,11062
2386,69.0,86.0,86.04,86.0,86.04,800
2387,70.0,86.0,86.01,85.97,86.0,11765
2388,71.0,85.84,85.99,85.84,85.99,7737
2389,72.0,85.87,85.91,85.85,85.87,3400
2390,73.0,85.84,85.86,85.83,85.85,2115
2391,74.0,85.87,85.89,85.83,85.83,8185
2392,75.0,85.87,85.87,85.83,85.85,2900
2393,76.0,85.8,85.93,85.8,85.88,9982
2394,77.0,85.905,85.91,85.7604,85.8,9214
2395,78.0,85.84,85.9,85.84,85.9,1118
2396,79.0,85.895,85.895,85.85,85.86,800
2397,80.0,85.81,85.8401,85.79,85.84,7957
2398,81.0,85.785,85.8375,85.78,85.81,23086
2399,82.0,85.78,85.79,85.74,85.785,7860
2400,83.0,85.69,85.78,85.65,85.78,6050
2401,84.0,85.65,85.6736,85.65,85.6736,650
2402,85.0,85.67,85.7,85.67,85.69,3400
2403,86.0,85.6968,85.7,85.6724,85.6724,2743
2404,87.0,85.64,85.71,85.59,85.67,12771
2405,88.0,85.635,85.71,85.62,85.6895,10065
2406,89.0,85.67,85.67,85.67,85.67,300
2407,90.0,85.55,85.67,85.52,85.67,12230
2408,91.0,85.67,85.67,85.53,85.54,7859
2409,92.0,85.61,85.68,85.61,85.68,2584
2410,93.0,85.5374,85.6,85.523,85.59,5399
2411,94.0,85.64,85.64,85.56,85.56,6116
2412,95.0,85.65,85.65,85.65,85.65,700
2413,96.0,85.68,85.68,85.64,85.66,8957
2414,97.0,85.65,85.705,85.64,85.68,2503
2415,98.0,85.6,85.71,85.58,85.66,6196
2416,99.0,85.67,85.67,85.65,85.65,200
2417,100.0,85.67,85.67,85.64,85.66,600
2418,101.0,85.65,85.67,85.63,85.63,1300
2419,102.0,85.63,85.66,85.6,85.66,2000
2420,103.0,85.68,85.68,85.63,85.63,900
2421,104.0,85.6288,85.67,85.6288,85.67,1336
2422,105.0,85.62,85.635,85.59,85.635,1000
2423,106.0,85.6,85.6,85.56,85.6,4333
2424,107.0,85.7,85.7,85.62,85.62,5623
2425,108.0,85.69,85.7,85.6899,85.69,3389
2426,109.0,85.68,85.7,85.66,85.7,6171
2427,110.0,85.69,85.7,85.68,85.68,2300
2428,111.0,85.66,85.7,85.66,85.68,7272
2429,112.0,85.59,85.66,85.586,85.64,4500
2430,113.0,85.595,85.63,85.56200000000001,85.58,10100
2431,114.0,85.6,85.61,85.589,85.59,2300
2432,115.0,85.52,85.59,85.52,85.59,4826
2433,116.0,85.6,85.61,85.53299999999999,85.53299999999999,3647
2434,117.0,85.62,85.6299,85.6,85.6299,1200
2435,118.0,85.63,85.69,85.63,85.6699,1513
2436,119.0,85.61,85.63,85.58,85.63,1800
2437,120.0,85.67,85.68,85.59,85.62,12293
2438,121.0,85.62,85.68,85.595,85.68,6726
2439,122.0,85.58,85.63,85.58,85.63,2300
2440,123.0,85.53,85.58,85.53,85.58,600
2441,124.0,85.565,85.57,85.555,85.555,800
2442,125.0,85.585,85.6,85.56,85.58,2200
2443,126.0,85.555,85.6,85.54,85.6,1933
2444,127.0,85.475,85.53,85.43,85.53,5177
2445,128.0,85.47,85.5,85.46,85.4891,3396
2446,129.0,85.5,85.5,85.46,85.46,4009
2447,130.0,85.53,85.54,85.52,85.52,400
2448,131.0,85.48,85.54,85.48,85.54,1900
2449,132.0,85.4,85.5,85.4,85.495,4405
2450,133.0,85.4224,85.45,85.4073,85.4073,4480
2451,134.0,85.4,85.45,85.4,85.45,1640
2452,135.0,85.28,85.395,85.24,85.395,13505
2453,136.0,85.35,85.4484,85.29,85.29,5969
2454,137.0,85.43,85.5,85.37,85.37,8271
2455,138.0,85.39,85.46,85.39,85.46,700
2456,139.0,85.43,85.43,85.415,85.415,300
2457,140.0,85.43,85.45,85.41,85.42,2200
2458,141.0,85.39,85.45,85.39,85.43,4673
2459,142.0,85.37,85.4,85.37,85.39,1637
