,0,1,2,3,4,5
391,,25.88,26.0,25.84,25.84,42966
392,1.0,25.685,25.9,25.68,25.9,32329
393,2.0,25.75,25.83,25.64,25.7,27768
394,3.0,25.72,25.78,25.66,25.74,20010
395,4.0,25.65,25.755,25.65,25.73,10429
396,5.0,25.65,25.71,25.61,25.66,26713
397,6.0,25.74,25.74,25.64,25.68,20416
398,7.0,25.7,25.73,25.69,25.73,17405
399,8.0,25.7,25.74,25.7,25.7,6099
400,9.0,25.72,25.73,25.69,25.7,12695
401,10.0,25.72,25.735,25.695,25.71,12472
402,11.0,25.77,25.79,25.71,25.72,11939
403,12.0,25.77,25.77,25.75,25.76,4288
404,13.0,25.78,25.8,25.74,25.75,35592
405,14.0,25.78,25.78,25.77,25.77,4608
406,15.0,25.81,25.84,25.76,25.78,16310
407,16.0,25.78,25.815,25.78,25.8,7735
408,17.0,25.82,25.82,25.78,25.785,4734
409,18.0,25.84,25.86,25.83,25.83,4098
410,19.0,25.86,25.87,25.83,25.83,6700
411,20.0,25.875,25.88,25.85,25.86,31781
412,21.0,25.9,25.9,25.87,25.87,5664
413,22.0,25.89,25.91,25.87,25.89,51804
414,23.0,25.94,25.95,25.89,25.9,62013
415,24.0,25.98,25.98,25.94,25.95,30393
416,25.0,26.0,26.015,25.97,25.975,21087
417,26.0,26.045,26.045,26.0,26.0,9215
418,27.0,26.07,26.07,26.04,26.045,43594
419,28.0,26.045,26.07,26.04,26.065,23031
420,29.0,26.01,26.05,26.0,26.04,12576
421,30.0,26.06,26.07,26.02,26.02,7800
422,31.0,26.05,26.07,26.03,26.07,15075
423,32.0,26.06,26.07,26.0201,26.04,33270
424,33.0,26.08,26.09,26.035,26.04,36661
425,34.0,26.07,26.08,26.05,26.08,16300
426,35.0,26.08,26.09,26.06,26.07,30908
427,36.0,26.055,26.08,26.05,26.075,30196
428,37.0,26.07,26.09,26.055,26.055,14306
429,38.0,26.075,26.08,26.05,26.07,12056
430,39.0,26.0675,26.08,26.065,26.07,5900
431,40.0,26.06,26.09,26.06,26.065,13800
432,41.0,26.07,26.08,26.04,26.06,6803
433,42.0,26.06,26.075,26.06,26.07,4560
434,43.0,26.07,26.075,26.06,26.065,3100
435,44.0,26.09,26.1,26.06,26.08,5400
436,45.0,26.1,26.1,26.08,26.09,11534
437,46.0,26.06,26.1,26.055,26.1,34677
438,47.0,26.09,26.09,26.06,26.065,12500
439,48.0,26.08,26.1,26.08,26.085,25599
440,49.0,26.11,26.11,26.08,26.08,18100
441,50.0,26.09,26.105,26.08,26.105,10000
442,51.0,26.0775,26.09,26.07,26.09,21191
443,52.0,26.095,26.11,26.07,26.08,15400
444,53.0,26.09,26.09,26.08,26.09,3600
445,54.0,26.09,26.1,26.09,26.095,1600
446,55.0,26.1,26.11,26.09,26.0945,3818
447,56.0,26.12,26.12,26.09,26.1,5300
448,57.0,26.13,26.13,26.12,26.12,6900
449,58.0,26.08,26.13,26.08,26.13,14539
450,59.0,26.05,26.08,26.04,26.08,16815
451,60.0,26.06,26.06,26.05,26.05,8920
452,61.0,26.05,26.065,26.045,26.05,4500
453,62.0,26.06,26.06,26.045,26.05,1500
454,63.0,26.06,26.07,26.05,26.05,5335
455,64.0,26.06,26.06,26.05,26.06,10976
456,65.0,26.05,26.065,26.05,26.06,12282
457,66.0,26.05,26.055,26.05,26.05,6100
458,67.0,26.045,26.055,26.02,26.05,33200
459,68.0,26.05,26.06,26.03,26.04,5600
460,69.0,26.05,26.05,26.045,26.045,700
461,70.0,26.05,26.055,26.045,26.05,1900
462,71.0,26.04,26.055,26.035,26.05,25599
463,72.0,26.04,26.05,26.03,26.04,14736
464,73.0,26.045,26.0459,26.04,26.041999999999998,2262
465,74.0,26.045,26.045,26.04,26.04,1831
466,75.0,26.06,26.06,26.045,26.05,2200
467,76.0,26.06,26.06,26.05,26.055,2141
468,77.0,26.055,26.06,26.05,26.06,1015
469,78.0,26.03,26.05,26.03,26.05,5800
470,79.0,26.04,26.05,26.03,26.035,2300
471,80.0,26.03,26.05,26.03,26.045,4686
472,81.0,26.045,26.05,26.03,26.03,6710
473,82.0,26.08,26.08,26.045,26.045,4334
474,83.0,26.08,26.1,26.08,26.09,4332
475,84.0,26.07,26.085,26.07,26.08,3402
