,0,1,2,3,4,5
370,,24.44,24.44,24.44,24.44,6048
371,1.0,24.49,24.6,24.49,24.58,1945
372,2.0,24.52,24.52,24.51,24.51,553
373,3.0,24.42,24.46,24.41,24.46,400
374,6.0,24.36,24.3848,24.34,24.3848,3130
375,7.0,24.33,24.37,24.33,24.37,1491
376,8.0,24.33,24.34,24.33,24.34,615
377,9.0,24.35,24.35,24.33,24.33,700
378,10.0,24.35,24.35,24.35,24.35,500
379,11.0,24.44,24.44,24.36,24.36,2300
380,12.0,24.45,24.46,24.445,24.45,3100
381,13.0,24.46,24.47,24.43,24.45,3000
382,14.0,24.44,24.46,24.44,24.46,2300
383,15.0,24.45,24.45,24.44,24.45,810
384,16.0,24.48,24.48,24.45,24.45,2200
385,17.0,24.48,24.48,24.475,24.475,1700
386,18.0,24.5,24.5,24.48,24.48,2100
387,19.0,24.48,24.5,24.47,24.5,1900
388,20.0,24.5199,24.52,24.48,24.48,11695
389,21.0,24.4892,24.51,24.4826,24.51,6988
390,22.0,24.4901,24.51,24.4901,24.51,440
391,23.0,24.456,24.49,24.45,24.49,1325
392,25.0,24.41,24.455,24.4,24.45,2500
393,26.0,24.38,24.41,24.36,24.41,7371
394,27.0,24.39,24.39,24.38,24.38,1600
395,28.0,24.4,24.4,24.38,24.39,600
396,29.0,24.355,24.41,24.355,24.41,3057
397,30.0,24.345,24.37,24.345,24.36,2800
398,31.0,24.33,24.36,24.31,24.36,4200
399,32.0,24.35,24.35,24.32,24.33,5190
400,33.0,24.34,24.36,24.34,24.36,1500
401,34.0,24.345,24.345,24.33,24.33,1500
402,35.0,24.345,24.345,24.33,24.34,1600
403,36.0,24.38,24.38,24.35,24.35,3950
404,37.0,24.43,24.43,24.39,24.39,1300
405,38.0,24.3852,24.41,24.3852,24.41,1850
406,39.0,24.425,24.43,24.385,24.39,3500
407,40.0,24.41,24.42,24.38,24.42,4400
408,41.0,24.46,24.46,24.42,24.42,1600
409,42.0,24.45,24.46,24.45,24.46,1200
410,43.0,24.43,24.44,24.43,24.44,700
411,44.0,24.42,24.425,24.42,24.42,1600
412,45.0,24.43,24.43,24.41,24.41,9081
413,46.0,24.455,24.455,24.435,24.435,8101
414,47.0,24.44,24.46,24.44,24.46,1400
415,48.0,24.44,24.46,24.44,24.44,1700
416,49.0,24.45,24.45,24.45,24.45,200
417,50.0,24.43,24.45,24.43,24.45,1600
418,51.0,24.43,24.43,24.43,24.43,200
419,52.0,24.425,24.425,24.42,24.425,600
420,53.0,24.46,24.46,24.43,24.43,3335
421,54.0,24.46,24.48,24.46,24.47,1900
422,55.0,24.475,24.48,24.455,24.455,3200
423,56.0,24.47,24.48,24.47,24.48,1300
424,57.0,24.48,24.48,24.465,24.47,2900
425,58.0,24.48,24.48,24.48,24.48,600
426,59.0,24.48,24.48,24.48,24.48,200
427,60.0,24.48,24.48,24.48,24.48,200
428,61.0,24.46,24.48,24.46,24.47,1800
429,62.0,24.47,24.47,24.465,24.465,200
430,63.0,24.47,24.48,24.4675,24.47,1200
431,64.0,24.43,24.46,24.43,24.46,3200
432,65.0,24.45,24.45,24.43,24.43,1395
433,66.0,24.455,24.46,24.45,24.45,400
434,67.0,24.4556,24.4556,24.4556,24.4556,410
435,68.0,24.44,24.45,24.44,24.45,1495
436,69.0,24.4452,24.4452,24.44,24.44,575
437,70.0,24.43,24.44,24.43,24.44,1500
438,71.0,24.425,24.43,24.425,24.43,200
439,72.0,24.4234,24.43,24.4234,24.43,1495
440,73.0,24.43,24.43,24.43,24.43,400
441,74.0,24.41,24.43,24.41,24.43,1400
442,75.0,24.42,24.42,24.405,24.405,200
443,76.0,24.41,24.42,24.41,24.41,2800
444,77.0,24.41,24.41,24.4,24.4,500
445,78.0,24.38,24.4,24.38,24.4,1400
446,79.0,24.39,24.39,24.39,24.39,500
447,81.0,24.4,24.4,24.4,24.4,100
448,82.0,24.37,24.39,24.37,24.39,1500
449,83.0,24.3708,24.373,24.37,24.37,600
450,84.0,24.38,24.3801,24.37,24.38,21724
451,85.0,24.4,24.4,24.385,24.39,1983
452,86.0,24.4,24.4,24.395,24.4,1605
453,87.0,24.4,24.4,24.4,24.4,100
454,89.0,24.4,24.4,24.4,24.4,2818
455,90.0,24.41,24.41,24.4,24.4,400
456,91.0,24.38,24.4,24.38,24.4,2900
457,92.0,24.39,24.39,24.38,24.38,2300
458,93.0,24.39,24.39,24.385,24.39,900
459,94.0,24.39,24.39,24.39,24.39,200
460,95.0,24.38,24.39,24.38,24.39,1200
461,96.0,24.39,24.4,24.3881,24.3881,995
