,0,1,2,3,4,5
384,,57.26,57.26,57.26,57.26,4757.0
385,1,57.2,57.2,57.2,57.2,100.0
386,3,57.11,57.27,57.11,57.27,700.0
387,4,56.84,57.05,56.82,57.05,4439.0
388,5,57.02,57.02,56.89,56.95,1500.0
389,6,56.99,57.02,56.99,56.99,700.0
390,7,56.93,57.0,56.8992,57.0,5500.0
391,8,56.91,56.91,56.91,56.91,100.0
392,9,56.98,57.0,56.97,56.97,1500.0
393,10,57.02,57.02,57.02,57.02,117.0
394,11,56.97,56.98,56.95,56.98,600.0
395,12,56.95,56.96,56.94,56.95,1800.0
396,13,56.94,56.96,56.92,56.945,3272.0
397,14,56.94,56.94,56.92,56.94,700.0
398,15,56.97,56.97,56.94,56.95,1500.0
399,16,57.1,57.15,56.97,57.0,9408.0
400,17,57.08,57.09,57.04,57.09,3852.0
401,18,57.093,57.11,57.086000000000006,57.09,3000.0
402,19,57.06,57.0941,57.05,57.0941,3000.0
403,20,57.07,57.08,57.01,57.05,2200.0
404,21,57.05,57.11,57.05,57.07,2000.0
405,22,57.05,57.09,57.05,57.06,900.0
406,23,57.03,57.03,57.02,57.03,800.0
407,24,56.91,56.99,56.91,56.99,3000.0
408,25,56.8801,56.9,56.88,56.9,3944.0
409,26,56.97,56.97,56.8701,56.88,3586.0
410,27,56.94,57.0,56.91,57.0,6058.0
411,28,56.97,56.98,56.93,56.96,4900.0
412,29,56.98,56.9908,56.96,56.99,3362.0
413,30,56.93,57.0,56.93,56.985,1900.0
414,31,56.94,56.94,56.9,56.91,900.0
415,32,56.85,56.94,56.85,56.94,3500.0
416,33,56.74,56.84,56.66,56.84,5870.0
417,34,56.7,56.76,56.66,56.76,3493.0
418,35,56.72,56.8,56.68,56.74,2471.0
419,36,56.7197,56.72,56.69,56.72,5396.0
420,37,56.75,56.75,56.69,56.69,1400.0
421,38,56.79,56.82,56.78,56.78,2850.0
422,40,56.73,56.76,56.73,56.76,700.0
423,41,56.67,56.72,56.67,56.72,7448.0
424,42,56.69,56.7,56.68,56.69,1200.0
425,43,56.66,56.69,56.66,56.69,3047.0
426,44,56.66,56.66,56.65,56.65,900.0
427,45,56.58,56.65,56.54,56.65,7016.0
428,46,56.5,56.63,56.5,56.6,131839.0
429,47,56.45,56.48,56.43,56.48,2423.0
430,48,56.35,56.48,56.3,56.47,6337.0
431,49,56.22,56.37,56.13,56.3401,26680.0
432,50,56.12,56.25,56.08,56.25,5489.0
433,51,55.92,56.11,55.92,56.08,17048.0
434,52,55.95,56.0,55.92,55.96,35704.0
435,53,56.0,56.02,55.89,55.9501,23692.0
436,54,56.1,56.12,55.98,56.04,9280.0
437,55,56.13,56.16,56.085,56.12,14929.0
438,56,56.0,56.13,56.0,56.13,10849.0
439,57,56.03,56.04,55.95,56.01,12095.0
440,58,55.99,56.065,55.93,56.0191,12994.0
441,59,56.03,56.03,55.9401,55.98,10316.0
442,60,55.99,56.04,55.96,56.03,8651.0
443,61,55.94,56.0,55.81,55.96,9675.0
444,62,55.91,55.97,55.91,55.96,8937.0
445,63,55.87,55.91,55.8,55.9,6757.0
446,64,55.77,55.88,55.75,55.88,6910.0
447,65,55.74,55.79,55.74,55.74,2650.0
448,66,55.84,55.84,55.74,55.77,4740.0
449,67,55.94,55.96,55.82,55.8542,3740.0
450,68,56.0,56.01,55.91,55.94,4291.0
451,69,56.01,56.05,55.99,55.99,4361.0
452,70,55.98,56.0017,55.95,56.0,6200.0
453,71,55.98,55.98,55.94,55.96,2989.0
454,72,56.01,56.03,55.99,55.99,4798.0
455,73,56.03,56.03,55.99,56.03,4200.0
456,74,55.97,56.05,55.96,56.05,4651.0
457,75,55.91,55.98,55.91,55.96,3846.0
458,76,55.8,55.92,55.8,55.91,4263.0
459,77,55.81,55.86,55.79,55.83,3200.0
460,78,55.88,55.88,55.8,55.82,2400.0
461,79,55.91,55.93,55.86,55.88,2300.0
462,80,55.92,55.96,55.89,55.94,3859.0
463,81,55.93,55.93,55.9,55.91,3700.0
464,82,55.88,55.93,55.88,55.92,3166.0
465,83,55.82,55.89,55.77,55.88,4100.0
466,84,55.845,55.85,55.82,55.82,4300.0
467,85,55.82,55.86,55.8,55.83,5386.0
468,86,55.8,55.85,55.79,55.85,5600.0
469,87,55.89,55.89,55.79,55.81,19400.0
470,88,55.86,55.93,55.83,55.89,5204.0
471,89,55.89,55.9,55.855,55.87,1668.0
472,90,55.87,55.95,55.87,55.9,3670.0
473,91,55.92,55.93,55.89,55.89,1800.0
474,92,55.905,56.02,55.74,55.95,44747.0
475,93,56.0,56.01,55.92,55.93,8860.0
476,94,55.91,56.02,55.91,56.02,16087.0
477,95,55.92,55.94,55.88,55.91,2400.0
478,96,55.955,55.955,55.89,55.9,1900.0
479,97,56.02,56.02,55.955,55.955,1600.0
480,98,55.93,56.0,55.93,56.0,2841.0
481,99,55.93,55.95,55.91,55.93,2990.0
482,100,55.98,55.98,55.86,55.93,16731.0
483,101,55.96,55.98,55.945,55.98,2803.0
484,102,55.99,56.01,55.93,55.96,3000.0
485,103,56.04,56.04,55.99,55.99,1823.0
486,104,56.02,56.06,55.93,56.06,61490.0
487,105,56.01,56.03,56.01,56.01,28800.0
488,106,56.03,56.07,56.0,56.01,13700.0
489,107,55.99,56.01,55.98,56.01,1348.0
490,108,55.99,56.035,55.985,56.0,3203.0
491,109,56.0,56.05,55.99,55.99,6762.0
492,110,55.99,55.99,55.99,55.99,10300.0
493,111,55.98,56.0,55.96,55.98,16401.0
494,112,56.0,56.0,55.98,55.99,6300.0
495,113,56.06,56.09,56.0,56.0,4698.0
496,114,55.97,56.07,55.97,56.07,10564.0
497,115,56.0,56.03,55.94,55.97,14420.0
498,116,55.99,56.04,55.99,56.02,6753.0
499,117,55.9999,56.03,55.95,55.99,5088.0
500,118,55.993,56.02,55.985,55.99,4800.0
501,119,56.01,56.02,55.99,56.0,2200.0
502,120,56.03,56.08,56.03,56.03,13765.0
503,121,56.01,56.02,55.98,56.02,8010.0
504,122,56.06,56.09,55.98,56.01,15594.0
505,123,56.03,56.03,55.998999999999995,56.03,2700.0
506,124,56.03,56.04,56.02,56.04,1900.0
507,125,56.0,56.04,56.0,56.04,5523.0
508,126,55.92,55.995,55.92,55.995,5900.0
509,127,55.91,55.94,55.88,55.91,8700.0
510,128,55.86,55.895,55.86,55.895,4081.0
511,129,55.92,55.92,55.85,55.85,6252.0
512,130,55.92,55.92,55.905,55.905,2149.0
513,131,55.95,55.95,55.91,55.91,1100.0
514,132,55.93,55.95,55.92,55.94,6759.0
515,133,55.95,55.96,55.875,55.92,7200.0
516,134,55.935,55.97,55.935,55.945,6765.0
517,135,56.0,56.0,55.94,55.94,2500.0
518,136,55.96,55.99,55.96,55.99,5700.0
519,137,56.03,56.075,55.97,55.97,4938.0
520,138,56.09,56.1,56.06,56.06,7400.0
521,139,56.14,56.15,56.1,56.1075,3000.0
522,140,56.11,56.145,56.11,56.14,1800.0
523,141,56.09,56.11,56.04,56.11,3000.0
524,143,56.07,56.1,56.05,56.08,9500.0
525,144,56.04,56.09,56.04,56.09,4707.0
526,145,56.0,56.05,55.99,56.04,4411.0
527,146,56.03,56.035,55.99,56.0,16503.0
528,147,56.02,56.065,56.01,56.03,9051.0
529,148,56.01,56.03,55.98,55.98,4100.0
530,149,56.02,56.07,56.02,56.02,4903.0
531,150,56.09,56.09,56.04,56.04,2700.0
532,151,56.1,56.1,56.07,56.1,4548.0
533,152,56.1,56.12,56.08,56.1,9202.0
534,153,56.08,56.11,56.08,56.08,4000.0
535,154,56.11,56.11,56.08,56.08,1900.0
536,155,56.09,56.115,56.08,56.115,5099.0
