,0,1,2,3,4,5
4632,,74.8,74.8,74.8,74.8,56877
4633,1.0,74.995,75.16,74.7,74.7,6394
4634,2.0,75.05,75.15,74.9885,74.9885,645
4635,3.0,75.33,75.33,75.11,75.13,4287
4636,4.0,74.94,75.35,74.88,75.295,4880
4637,5.0,74.872,75.05,74.872,75.04,3978
4638,6.0,75.01,75.09,74.94,74.99,2410
4639,7.0,75.09,75.13,75.09,75.11,800
4640,8.0,75.03,75.03,74.92,75.01,5000
4641,9.0,74.77,75.09,74.77,75.04,8620
4642,10.0,74.81,74.84,74.76,74.82,3122
4643,11.0,74.9,74.9,74.78,74.78,2967
4644,12.0,74.8,74.92,74.78,74.92,5633
4645,13.0,74.63,74.81,74.63,74.76,12975
4646,14.0,74.66,74.81,74.62,74.72,18133
4647,15.0,74.665,74.7,74.56,74.68,9936
4648,16.0,74.55,74.66,74.5,74.65,10103
4649,17.0,74.71,74.74,74.58,74.58,18103
4650,18.0,74.71,74.8,74.71,74.72,5154
4651,19.0,74.75,74.79,74.72,74.76,4900
4652,20.0,74.72,74.77,74.72,74.76,8542
4653,21.0,74.7,74.7754,74.68,74.75,9392
4654,22.0,74.67,74.7,74.67,74.67,400
4655,23.0,74.58,74.735,74.54,74.7,11146
4656,24.0,74.51,74.61,74.51,74.6,11156
4657,25.0,74.39,74.52,74.39,74.52,5362
4658,26.0,74.47,74.47,74.37,74.4,14859
4659,27.0,74.44,74.51,74.44,74.46,1400
4660,28.0,74.42,74.455,74.42,74.44,32440
4661,29.0,74.55,74.55,74.42,74.42,33100
4662,30.0,74.545,74.78,74.53,74.58,16200
4663,31.0,75.0193,75.02,74.55,74.55,52379
4664,32.0,75.0,75.03,74.95,74.97800000000001,8460
4665,33.0,75.055,75.07,74.99,75.03,12730
4666,34.0,75.12,75.17,75.04,75.04,7075
4667,35.0,75.15,75.18,75.12,75.1631,4403
4668,36.0,75.145,75.17,75.09,75.15,5296
4669,37.0,75.205,75.23,75.13,75.17,4326
4670,38.0,75.19,75.27,75.19,75.23,5500
4671,39.0,75.3,75.35,75.1801,75.1801,10350
4672,40.0,75.38,75.39,75.33,75.33,2800
4673,41.0,75.52,75.52,75.33,75.39,17010
4674,42.0,75.56,75.68,75.51,75.52,10654
4675,43.0,75.45,75.61,75.45,75.54,5772
4676,44.0,75.47,75.51,75.43,75.43,2476
4677,45.0,75.45,75.51,75.45,75.51,7700
4678,46.0,75.48,75.48,75.44,75.48,1900
4679,47.0,75.41,75.48,75.41,75.48,5928
4680,48.0,75.4066,75.42,75.39,75.42,1749
4681,49.0,75.38,75.46,75.38,75.415,5593
4682,50.0,75.38,75.46,75.38,75.4,4206
