,0,1,2,3,4,5
4274,,80.7,80.96,80.51,80.78,75917
4275,1.0,80.43,80.97,79.57,80.7001,74158
4276,2.0,80.78,80.9,80.53,80.595,137311
4277,3.0,80.88,81.42,80.66,80.74,85013
4278,4.0,80.57,81.09,80.51,80.81,32830
4279,5.0,80.3,80.62,79.98,80.55,69380
4280,6.0,79.955,80.38,79.83,80.29,28840
4281,7.0,79.75,80.08,79.75,80.04,35761
4282,8.0,79.66,79.85,79.5,79.81,26979
4283,9.0,79.74,79.84,79.56,79.68,25761
4284,10.0,79.83,79.905,79.735,79.74,59464
4285,11.0,79.765,79.9323,79.75,79.9,11680
4286,12.0,80.07,80.1004,79.75,79.75,58518
4287,13.0,80.16,80.17,79.92,80.1399,31874
4288,14.0,80.245,80.28,80.11,80.16,10378
4289,15.0,80.44,80.44,80.245,80.28,14600
4290,16.0,80.5401,80.68,80.39,80.39,26107
4291,17.0,80.5365,80.68,80.495,80.575,21802
4292,18.0,80.39,80.55,80.3201,80.54,22755
4293,19.0,80.08,80.35,80.08,80.335,13338
4294,20.0,80.1,80.11,80.06,80.08,6387
4295,21.0,80.12,80.27,80.09,80.1,14419
4296,22.0,80.32,80.32,80.04,80.11,15350
4297,23.0,80.2025,80.33,80.2025,80.32,5880
4298,24.0,80.33,80.36,80.205,80.205,8686
4299,25.0,80.505,80.54,80.32,80.32,18523
4300,26.0,80.5,80.63,80.48,80.505,18963
4301,27.0,80.49,80.5,80.4376,80.5,13790
4302,28.0,80.37100000000001,80.5,80.29,80.46,9150
4303,29.0,80.37,80.42,80.35,80.4,6700
4304,30.0,80.49,80.49,80.25,80.34,12851
4305,31.0,80.46,80.48,80.37,80.4501,9270
4306,32.0,80.27,80.47,80.27,80.47,8197
4307,33.0,80.34,80.34,80.21,80.25,9346
4308,34.0,80.27,80.34,80.27,80.33,11564
4309,35.0,80.14,80.31,80.14,80.27,13604
4310,36.0,80.22,80.24,80.04,80.13,19449
4311,37.0,80.12,80.21,80.06,80.21,20924
4312,38.0,79.98,80.13,79.9,80.11,29324
4313,39.0,79.96,80.01,79.94,79.98,15342
4314,40.0,79.9,79.97,79.87,79.96,15349
4315,41.0,79.775,79.9,79.75,79.9,26430
4316,42.0,79.8,79.88,79.775,79.775,23180
4317,43.0,79.75,79.8,79.66,79.8,10365
4318,44.0,79.82,79.83,79.76,79.77,5463
4319,45.0,80.0,80.05,79.815,79.815,26108
4320,46.0,79.97,80.11,79.97,80.01,17895
4321,47.0,80.04,80.0405,79.97,79.97,15265
4322,48.0,80.1,80.11,79.97,80.03,11778
4323,49.0,79.99,80.17,79.95,80.109,8477
4324,50.0,79.875,79.99,79.86,79.99,7848
4325,51.0,79.77,79.86,79.76,79.86,7976
4326,52.0,79.7,79.78,79.7,79.77,6000
4327,53.0,79.7,79.745,79.64,79.72,18191
4328,54.0,79.77,79.78,79.69,79.72,12890
4329,55.0,79.81,79.86,79.77,79.78,16250
4330,56.0,79.78,79.85,79.78,79.81,13454
4331,57.0,79.69,79.8,79.65,79.8,3937
