,0,1,2,3,4,5
1953,,70.53,70.59,70.53,70.59,28954
1954,1.0,70.43,70.565,70.43,70.565,200
1955,2.0,70.31,70.43,70.31,70.43,2900
1956,3.0,70.42,70.46,70.35,70.35,4100
1957,4.0,70.61,70.62,70.36,70.38,2500
1958,5.0,70.74,70.78,70.53,70.61,8596
1959,6.0,70.832,70.865,70.73,70.73,9218
1960,7.0,70.85,70.88,70.84,70.84,2800
1961,8.0,70.85,70.86,70.81,70.81,3542
1962,9.0,70.82,70.84,70.78,70.82,3200
1963,10.0,70.6636,70.78,70.6501,70.78,3650
1964,11.0,70.66,70.75,70.6127,70.67,13399
1965,12.0,70.69,70.7,70.66,70.66,1430
1966,13.0,70.75,70.76,70.7119,70.7119,1610
1967,14.0,70.73,70.82,70.73,70.74,1570
1968,15.0,70.8,70.81,70.74,70.74,2650
1969,16.0,70.78,70.8,70.75,70.78,6000
1970,17.0,70.825,70.9,70.81,70.81,5628
1971,18.0,71.02,71.05,70.825,70.825,16413
1972,19.0,71.09,71.12,71.08,71.08800000000001,9765
1973,20.0,71.04,71.09,71.01,71.09,4805
1974,21.0,71.06,71.08,71.03,71.05,6254
1975,22.0,70.9799,71.06,70.9799,71.06,3500
1976,23.0,71.04,71.04,70.98,70.98,1426
1977,24.0,71.08,71.08,71.0472,71.05,2310
1978,25.0,71.16,71.16,71.08,71.1,6403
1979,26.0,71.13,71.22,71.12,71.16,12280
1980,27.0,71.18,71.19,71.12,71.14,12241
1981,28.0,71.16,71.24,71.16,71.19,6700
1982,29.0,71.27,71.27,71.1605,71.18,11407
1983,30.0,71.23,71.33,71.215,71.27,12942
1984,31.0,71.29,71.31,71.225,71.23,8341
1985,32.0,71.31,71.35,71.3,71.3,9355
1986,33.0,71.3,71.34,71.28,71.32,5054
1987,34.0,71.29,71.34,71.28,71.32,6892
1988,35.0,71.31,71.31,71.27,71.28,6870
1989,36.0,71.31,71.36,71.3,71.33,4400
1990,37.0,71.31,71.34,71.3,71.31,6100
1991,38.0,71.35,71.36,71.29,71.33,9341
1992,39.0,71.41,71.41,71.36,71.365,13198
1993,40.0,71.36,71.41,71.36,71.4,9200
1994,41.0,71.3,71.35,71.27,71.35,9281
1995,42.0,71.27,71.3,71.27,71.29,2390
1996,43.0,71.27,71.29,71.27,71.27,6000
1997,44.0,71.23,71.27,71.23,71.26,5558
1998,45.0,71.2,71.23,71.2,71.22,4200
1999,46.0,71.29,71.33,71.2,71.21,22934
2000,47.0,71.34,71.36,71.2852,71.29,12567
2001,48.0,71.31,71.34,71.3,71.33,8063
2002,49.0,71.34,71.36,71.3,71.315,8185
2003,50.0,71.32,71.34,71.32,71.34,3190
2004,51.0,71.27,71.33,71.27,71.33,4556
2005,52.0,71.36,71.36,71.26,71.275,11933
2006,53.0,71.42,71.42,71.35,71.35,13235
2007,54.0,71.46,71.52,71.425,71.425,14430
2008,55.0,71.28,71.46,71.25,71.455,12846
2009,56.0,71.23,71.27,71.2125,71.27,5520
2010,57.0,71.31,71.33,71.23,71.23,25511
2011,58.0,71.19,71.32,71.19,71.3,21555
2012,59.0,71.25,71.2626,71.16,71.17,9809
2013,60.0,71.25,71.28,71.25,71.27,2100
2014,61.0,71.15,71.23,71.14,71.23,7050
2015,62.0,71.14,71.14,71.06,71.13,6462
2016,63.0,71.12,71.15,71.12,71.14,3087
2017,64.0,71.1,71.15,71.1,71.11,6270
2018,65.0,71.13,71.135,71.08,71.08,7548
2019,66.0,71.01,71.13,70.98,71.13,12442
2020,67.0,71.03,71.04,71.02,71.02,4000
2021,68.0,71.07,71.08,71.0262,71.0262,5815
2022,69.0,71.05,71.07,71.0,71.06,8498
2023,70.0,71.07,71.09,71.04,71.04,4732
2024,71.0,71.05,71.07,71.04,71.07,3663
2025,72.0,71.06,71.07,71.05,71.06,2900
2026,73.0,71.01,71.06,71.0,71.055,7415
2027,74.0,71.0,71.02,71.0,71.01,4076
2028,75.0,71.07,71.08,71.0,71.0,14203
2029,76.0,71.015,71.075,71.015,71.075,7437
2030,77.0,71.05,71.06,71.02,71.03,10676
2031,78.0,71.04,71.05,71.01,71.05,7873
2032,79.0,71.06,71.06,71.0398,71.0398,3715
2033,80.0,71.03,71.09,71.03,71.055,7133
2034,81.0,71.0,71.03,70.99,71.03,8581
2035,82.0,71.01,71.01,71.0,71.005,3600
2036,83.0,71.02,71.02,70.995,71.005,10855
2037,84.0,71.0,71.01,70.98,71.01,12600
2038,85.0,71.0,71.01,70.96,71.0,23587
2039,86.0,71.0,71.01,70.98,71.0,6752
2040,87.0,70.877,70.99,70.877,70.99,6056
2041,88.0,70.81,70.9,70.8,70.89,24915
2042,89.0,70.835,70.84,70.8,70.81,9291
2043,90.0,70.8835,70.89,70.83,70.835,7203
2044,91.0,70.89,70.91,70.89,70.89,5160
2045,92.0,70.93,70.9333,70.89,70.8953,6450
2046,93.0,70.84,70.92,70.84,70.92,1000
2047,94.0,70.87,70.87,70.84,70.8475,2600
2048,95.0,70.86,70.89,70.86,70.87,5475
2049,96.0,70.87,70.87,70.84,70.855,4200
2050,97.0,70.905,70.91,70.86,70.86,8079
2051,98.0,70.93,70.95,70.9,70.9,5308
2052,99.0,70.915,70.93,70.915,70.93,3000
2053,100.0,70.935,70.935,70.91,70.91,9200
2054,101.0,70.93,70.94,70.92,70.93,3800
2055,102.0,70.94,70.95,70.92,70.92,7792
2056,103.0,70.98,71.0,70.95,70.95,7090
2057,104.0,70.96,70.985,70.95,70.98,3421
2058,105.0,70.95,70.98,70.94,70.95,3300
2059,106.0,70.937,70.96,70.92,70.96,4201
2060,107.0,70.98,71.005,70.95,70.95,6590
2061,108.0,70.97,70.99,70.95,70.98,2800
2062,109.0,70.975,70.975,70.93,70.96,2621
2063,110.0,70.985,71.0,70.97,70.98,3460
2064,111.0,70.98,71.005,70.9725,70.99,4600
2065,112.0,70.985,71.0,70.97,70.97,17303
2066,113.0,71.01,71.01,70.97,70.99,3479
2067,114.0,71.01,71.01,70.985,71.0,5005
2068,115.0,71.01,71.01,71.0,71.01,700
2069,116.0,71.015,71.018,71.0,71.01,1729
2070,117.0,71.05,71.08,71.02,71.02,5225
2071,118.0,71.02,71.045,71.02,71.04,2614
2072,119.0,71.02,71.03,71.01,71.03,3314
2073,120.0,71.03,71.04,71.01,71.02,3800
2074,121.0,71.03,71.03,70.99,71.02,3228
2075,122.0,71.02,71.03,71.01,71.03,1000
2076,123.0,71.02,71.02,71.0,71.01,2725
2077,124.0,71.05,71.05,71.03,71.03,1767
2078,125.0,71.03,71.06,71.03,71.051,1500
2079,126.0,71.03,71.03,71.01,71.03,2797
2080,127.0,71.0,71.03,70.995,71.02,3300
2081,128.0,71.04,71.07,71.0,71.0,5353
2082,129.0,71.01,71.03,71.0,71.03,3100
2083,130.0,71.01,71.02,70.99,70.99,3800
2084,131.0,71.02,71.02,71.0,71.02,2738
2085,132.0,71.02,71.0246,71.01,71.02,700
2086,133.0,71.03,71.03,71.02,71.03,1800
2087,134.0,71.03,71.03,71.02,71.03,1460
2088,135.0,71.02,71.04,71.02,71.03,2396
2089,136.0,71.02,71.03,71.01,71.025,3900
2090,137.0,71.0299,71.03,71.01,71.02,2307
2091,138.0,71.03,71.03,71.01,71.02,2400
2092,139.0,71.03,71.04,71.02,71.03,2600
2093,140.0,71.08,71.08,71.0335,71.0354,3486
2094,141.0,71.065,71.08,71.05,71.08,2623
2095,142.0,71.065,71.065,71.05,71.05,1755
2096,143.0,71.06,71.07,71.05,71.065,1617
2097,144.0,71.03,71.05,71.0246,71.05,2621
2098,145.0,71.0364,71.04,71.02,71.03,2125
2099,146.0,71.055,71.06,71.03,71.05,2200
2100,147.0,71.045,71.06,71.03,71.0502,2253
2101,148.0,71.025,71.04,71.005,71.04,3567
2102,149.0,71.06,71.06,71.025,71.03,1800
2103,150.0,71.19,71.19,71.07,71.07,4683
2104,151.0,71.21,71.21,71.16,71.19,2600
2105,152.0,71.23,71.25,71.23,71.23,4322
2106,153.0,71.3,71.3,71.235,71.25,13300
2107,154.0,71.3,71.3,71.23,71.3,22122
2108,155.0,71.34,71.36,71.3,71.3,8400
2109,156.0,71.27,71.3328,71.25,71.3328,2538
2110,157.0,71.31,71.33,71.27,71.27,4346
2111,158.0,71.3,71.3,71.27,71.3,2500
2112,159.0,71.285,71.31,71.285,71.3,1100
2113,160.0,71.29,71.3,71.28,71.29,4100
2114,161.0,71.28,71.3,71.28,71.29,1675
2115,162.0,71.33,71.345,71.29,71.29,2600
2116,163.0,71.35,71.365,71.335,71.335,4756
2117,164.0,71.33,71.35,71.32,71.34,11047
2118,165.0,71.29899999999999,71.32,71.29,71.32,2543
2119,166.0,71.33,71.33,71.31,71.31,1700
2120,167.0,71.315,71.32,71.3,71.32,2300
2121,168.0,71.335,71.345,71.295,71.3,4697
2122,169.0,71.33,71.335,71.315,71.335,3800
2123,170.0,71.33,71.335,71.31,71.33,3390
2124,171.0,71.34,71.35,71.33,71.34,2400
2125,172.0,71.32,71.3501,71.32,71.35,2000
2126,173.0,71.3,71.31,71.28,71.31,2545
2127,174.0,71.27,71.31,71.26,71.31,1500
2128,175.0,71.25,71.27,71.25,71.27,1594
2129,176.0,71.26,71.27,71.25,71.26,3200
2130,177.0,71.28,71.28,71.26,71.26,1800
2131,178.0,71.3,71.31,71.29,71.29,2000
2132,179.0,71.32,71.32,71.29,71.3,1100
2133,180.0,71.32,71.33,71.31,71.32,2300
2134,181.0,71.31,71.32,71.31,71.32,1100
2135,182.0,71.28,71.32,71.27,71.31,3000
2136,183.0,71.29,71.29,71.25,71.28,3940
2137,184.0,71.29,71.31,71.28,71.28,1685
2138,185.0,71.3,71.31,71.29,71.3,2200
2139,186.0,71.3,71.31,71.29,71.31,1251
2140,187.0,71.315,71.32,71.31,71.31,600
2141,188.0,71.3,71.32,71.29,71.32,10189
2142,189.0,71.32,71.35,71.305,71.31,4400
2143,190.0,71.35,71.37,71.33,71.33,7900
2144,191.0,71.43,71.44,71.36,71.37,7080
2145,192.0,71.44,71.449,71.4,71.44,4215
2146,193.0,71.48,71.49,71.44,71.44,4300
2147,194.0,71.42,71.47,71.41,71.47,3198
2148,195.0,71.44,71.45,71.39,71.42,7590
2149,196.0,71.44,71.47,71.43,71.46,1500
2150,197.0,71.42,71.4247,71.4,71.41,1500
2151,198.0,71.43,71.455,71.42,71.43,3121
2152,199.0,71.405,71.44,71.39,71.43,3035
2153,200.0,71.4,71.414,71.39,71.414,2173
2154,201.0,71.39,71.41,71.37,71.41,4954
2155,202.0,71.39,71.4,71.38,71.4,3900
2156,203.0,71.38,71.39,71.38,71.39,600
2157,204.0,71.39,71.395,71.37,71.38,2400
2158,205.0,71.4,71.4,71.39,71.4,1600
2159,206.0,71.39,71.405,71.39,71.4,3785
2160,207.0,71.41,71.41,71.39,71.39,2300
2161,208.0,71.41,71.44,71.41,71.415,1991
2162,209.0,71.38,71.42,71.38,71.42,1300
2163,210.0,71.39,71.42,71.38,71.385,3140
