,0,1,2,3,4,5
2310,,118.05,118.05,118.05,118.05,15768
2311,1.0,118.01,118.11,117.77,117.77,1462
2312,2.0,117.85700000000001,118.0,117.8456,118.0,1100
2313,3.0,117.96,118.09,117.96,117.9789,2878
2314,4.0,118.03,118.0499,117.83,117.83,2300
2315,5.0,117.71,117.935,117.71,117.935,716
2316,6.0,117.72,117.72,117.54,117.54,300
2317,7.0,117.475,117.79,117.2,117.77,4100
2318,8.0,117.5001,117.5001,117.375,117.375,4011
2319,9.0,117.6,117.65,117.545,117.55,1500
2320,10.0,117.65,117.65,117.64,117.645,1500
2321,11.0,117.63,117.65,117.57,117.65,4700
2322,12.0,117.555,117.61,117.55,117.6,400
2323,13.0,117.525,117.53,117.4,117.52,1600
2324,14.0,117.455,117.455,117.39,117.39,405
2325,15.0,117.54,117.54,117.49,117.5,2497
2326,16.0,117.38,117.56,117.37,117.515,3810
2327,17.0,117.64,117.64,117.43,117.43,1398
2328,18.0,117.57,117.57,117.51,117.54,1158
2329,19.0,117.55,117.56,117.36,117.56,300
2330,20.0,117.65,117.65,117.5178,117.55,2077
2331,21.0,117.61,117.61,117.57,117.587,640
2332,22.0,117.57,117.61,117.529,117.57,2816
2333,23.0,117.5001,117.57,117.44,117.57,1481
2334,24.0,117.39,117.54,117.39,117.52,2500
2335,25.0,117.47,117.47,117.42,117.42,300
2336,26.0,117.415,117.46,117.35,117.35,400
2337,27.0,117.56,117.56,117.415,117.46,1500
2338,28.0,117.47,117.53,117.42,117.5,5498
2339,29.0,117.54,117.58,117.48,117.51,5960
2340,30.0,117.67,117.67,117.53,117.56,12300
2341,31.0,117.6,117.67,117.6,117.65,5300
2342,32.0,117.59,117.67,117.55,117.604,5700
2343,33.0,117.61,117.68,117.61,117.64,11098
2344,34.0,117.65,117.655,117.62,117.62,1250
2345,35.0,117.635,117.66,117.59,117.65,5384
2346,36.0,117.685,117.7,117.64,117.64,6149
2347,37.0,117.64,117.69,117.64,117.68,2239
2348,38.0,117.59,117.7099,117.59,117.7099,2000
2349,39.0,117.68,117.68,117.63,117.63,400
2350,40.0,117.75,117.77,117.73,117.73,2255
2351,41.0,117.72,117.82,117.71,117.81,2420
2352,42.0,117.78,117.79,117.7,117.7,1525
2353,43.0,117.7604,117.78,117.7,117.75,2350
2354,44.0,117.76,117.76,117.74,117.74,300
2355,45.0,117.8,117.8,117.68,117.74,3480
2356,46.0,117.835,117.85,117.7575,117.82,3650
2357,47.0,117.94,117.94,117.84,117.85,2700
2358,48.0,118.0425,118.0425,117.92,117.9412,4923
2359,49.0,117.88,118.085,117.87,118.03,10206
2360,50.0,117.8,117.92,117.7601,117.92,5300
2361,51.0,117.935,117.935,117.8121,117.83,2500
2362,52.0,117.79,117.95,117.79,117.94,3890
2363,53.0,117.925,117.95,117.77,117.8,10363
2364,54.0,117.88,117.93,117.86,117.86,3850
2365,55.0,117.965,117.97,117.93,117.93,1900
2366,56.0,118.11,118.11,117.965,117.965,2284
2367,57.0,118.13,118.16,118.11,118.125,8200
2368,58.0,118.13,118.15,118.11,118.13,38100
2369,59.0,118.21,118.21,118.11,118.11,13485
2370,60.0,118.295,118.665,118.205,118.22,32660
2371,61.0,118.27,118.29,118.22,118.22,1930
2372,62.0,118.33,118.37,118.32,118.32,843
2373,63.0,118.47,118.47,118.31,118.34,5800
2374,64.0,118.41,118.52,118.39,118.52,2900
2375,65.0,118.44,118.44,118.38,118.38,1993
2376,66.0,118.6139,118.6139,118.52,118.54,4353
2377,67.0,118.8899,118.8899,118.56,118.6,7883
2378,68.0,118.83,118.88,118.77,118.84,9998
2379,69.0,118.85,118.87,118.79,118.83,4112
2380,70.0,118.89,118.91,118.82,118.82,3194
2381,71.0,118.88,118.8925,118.8,118.88,3893
2382,72.0,119.0,119.0,118.91,118.93,2689
2383,73.0,118.89,119.0104,118.8,119.0104,5920
2384,74.0,118.89,118.9331,118.84,118.89,2000
2385,75.0,118.79,118.87,118.79,118.87,1857
2386,76.0,118.8204,118.8204,118.8,118.8,450
2387,77.0,118.705,118.83,118.6974,118.83,2161
2388,78.0,118.765,118.79,118.705,118.75,3703
2389,79.0,118.86,118.86,118.78,118.85,1005
2390,80.0,118.88,118.89,118.82,118.86,1200
2391,81.0,118.82,118.9,118.78,118.865,2000
2392,82.0,118.88,118.91,118.835,118.84,3100
2393,83.0,118.86,118.895,118.85,118.88,4650
2394,84.0,118.88,118.95,118.81,118.87,7700
2395,85.0,118.85,118.89,118.83,118.85,2980
2396,86.0,118.876,118.975,118.81,118.83,9239
2397,87.0,118.85,118.95,118.85,118.86,2500
2398,88.0,118.84,118.84,118.75,118.78,1400
2399,89.0,118.85,118.85,118.7,118.82,1600
2400,90.0,118.71,118.79,118.71,118.79,600
2401,91.0,118.7,118.76,118.7,118.71,1000
2402,92.0,118.7,118.7,118.66,118.68,700
2403,93.0,118.4975,118.64,118.47,118.64,6143
