,0,1,2,3,4,5
3889,,42.95,42.95,42.95,42.95,16160
3890,1.0,42.71,42.95,42.64,42.64,1600
3891,2.0,42.88,42.93,42.88,42.93,300
3892,3.0,42.96,42.96,42.74,42.74,1943
3893,5.0,42.83,42.83,42.83,42.83,100
3894,6.0,42.94,42.97,42.84,42.84,1973
3895,7.0,42.945,42.95,42.945,42.95,704
3896,8.0,42.91,42.92,42.91,42.92,500
3897,9.0,42.909,42.909,42.86,42.86,410
3898,10.0,42.83,42.83,42.83,42.83,100
3899,11.0,42.86,42.86,42.79,42.82,3700
3900,12.0,42.81,42.87,42.81,42.85,2300
3901,13.0,42.86,42.86,42.83,42.83,2310
3902,14.0,42.89,42.92,42.87,42.87,4613
3903,15.0,42.875,42.9,42.87,42.9,2100
3904,16.0,42.92,42.92,42.885,42.89,2244
3905,17.0,42.91,42.93,42.91,42.92,1864
3906,18.0,42.88,42.92,42.88,42.91,1300
3907,19.0,42.89,42.89,42.87,42.87,1600
3908,20.0,42.91,42.91,42.91,42.91,100
3909,21.0,42.9,42.92,42.9,42.91,2800
3910,22.0,42.9,42.91,42.9,42.9,400
3911,23.0,42.88,42.91,42.86,42.89,1900
3912,24.0,42.86,42.88,42.86,42.88,2491
3913,25.0,42.85,42.86,42.85,42.86,500
3914,26.0,42.83,42.85,42.83,42.85,1300
3915,27.0,42.84,42.84,42.83,42.84,1100
3916,28.0,42.86,42.86,42.82,42.83,1500
3917,29.0,42.85,42.87,42.85,42.87,1500
3918,30.0,42.86,42.87,42.83,42.87,1900
3919,31.0,42.84,42.86,42.81,42.85,1410
3920,32.0,42.81,42.83,42.78,42.83,3200
3921,33.0,42.8401,42.85,42.81,42.81,1261
3922,34.0,42.83,42.83,42.83,42.83,300
3923,35.0,42.84,42.8514,42.84,42.85,1392
3924,36.0,42.82,42.84,42.8,42.84,1400
3925,37.0,42.82,42.82,42.81,42.82,500
3926,38.0,42.8,42.82,42.78,42.82,3509
3927,39.0,42.76,42.786,42.76,42.786,3200
3928,40.0,42.77,42.78,42.76,42.78,2000
3929,41.0,42.79,42.795,42.77,42.77,2466
3930,42.0,42.79,42.79,42.78,42.78,400
3931,43.0,42.76,42.782,42.75,42.782,2100
3932,44.0,42.77,42.77,42.76,42.76,2625
3933,45.0,42.75,42.77,42.75,42.77,1600
3934,46.0,42.76,42.76,42.74,42.74,2800
3935,47.0,42.79,42.79,42.77,42.77,1400
3936,48.0,42.79,42.8,42.79,42.79,600
3937,49.0,42.78,42.78,42.77,42.78,1200
3938,50.0,42.79,42.8,42.7846,42.7846,1004
3939,51.0,42.8,42.81,42.79,42.79,3900
3940,52.0,42.8036,42.81,42.79,42.8,2750
3941,53.0,42.79,42.81,42.79,42.81,800
3942,54.0,42.79,42.79,42.78,42.78,1100
3943,55.0,42.8064,42.8064,42.79,42.79,1138
3944,56.0,42.82,42.83,42.8,42.8,1400
3945,57.0,42.835,42.84,42.82,42.82,1361
3946,58.0,42.879,42.89,42.85,42.85,2456
3947,59.0,42.85,42.88,42.85,42.88,1920
3948,60.0,42.83,42.84,42.83,42.84,1878
3949,61.0,42.84,42.84,42.84,42.84,400
3950,62.0,42.83,42.84,42.83,42.8399,3935
3951,63.0,42.82,42.82,42.81,42.82,1300
3952,64.0,42.82,42.82,42.81,42.81,913
3953,65.0,42.82,42.82,42.81,42.82,1700
3954,66.0,42.82,42.82,42.82,42.82,100
3955,67.0,42.7901,42.83,42.7901,42.82,2993
3956,68.0,42.81,42.81,42.8,42.8,200
3957,69.0,42.85,42.86,42.82,42.82,3600
3958,70.0,42.83,42.86,42.83,42.86,1015
3959,71.0,42.83,42.84,42.83,42.84,1000
3960,72.0,42.83,42.83,42.83,42.83,500
3961,73.0,42.84,42.855,42.84,42.84,1300
3962,74.0,42.84,42.85,42.84,42.845,500
3963,75.0,42.8738,42.88,42.86,42.86,1500
3964,76.0,42.88,42.88,42.88,42.88,100
3965,77.0,42.87,42.89,42.87,42.88,3900
3966,78.0,42.885,42.895,42.8746,42.88,2578
3967,79.0,42.88,42.88,42.88,42.88,1200
3968,80.0,42.9,42.9,42.88,42.88,4462
3969,81.0,42.9,42.9,42.9,42.9,200
3970,82.0,42.875,42.89,42.87,42.89,3634
3971,83.0,42.9,42.905,42.885,42.885,2674
3972,84.0,42.9,42.905,42.9,42.9,1720
3973,85.0,42.9,42.905,42.9,42.9,2200
3974,86.0,42.9,42.9,42.88,42.89,3170
3975,87.0,42.89,42.91,42.89,42.91,6300
3976,88.0,42.89,42.895,42.885,42.89,2900
3977,89.0,42.91,42.91,42.89,42.89,5400
3978,90.0,42.91,42.91,42.91,42.91,900
3979,91.0,42.93,42.93,42.92,42.92,4303
3980,92.0,42.93,42.94,42.93,42.93,3819
3981,93.0,42.9465,42.95,42.94,42.94,721
3982,94.0,42.95,42.955,42.95,42.95,2400
3983,95.0,42.965,42.965,42.96,42.96,600
3984,96.0,42.97,42.97,42.96,42.9646,6834
3985,97.0,43.0,43.0,42.98,42.98,4000
3986,98.0,43.0,43.01,42.98,43.0,6496
3987,100.0,43.0,43.0,42.9831,42.99,7750
3988,101.0,42.99,43.005,42.99,43.0,2600
3989,102.0,43.0,43.0,43.0,43.0,800
3990,103.0,43.0,43.005,42.9946,42.9946,9657
3991,104.0,43.0,43.0,42.9965,42.9965,323
3992,105.0,42.99,43.0,42.99,43.0,4461
3993,106.0,42.98,42.99,42.975,42.99,1801
3994,107.0,42.97,42.97,42.97,42.97,596
3995,108.0,42.96,42.98,42.96,42.9765,3521
