,0,1,2,3,4,5
1954,,141.09,141.15,141.03,141.15,265545
1955,1.0,141.35,141.37,141.0,141.09,255064
1956,2.0,141.42,141.45,141.2325,141.36,211942
1957,3.0,141.45,141.58,141.25,141.43,229833
1958,4.0,141.4,141.5117,141.4,141.45,258710
1959,5.0,141.43,141.46,141.34,141.4066,156676
1960,6.0,141.61,141.65,141.44,141.4441,151722
1961,7.0,141.81,141.83,141.6001,141.61,168152
1962,8.0,141.9,142.0,141.75,141.81,294628
1963,9.0,141.74,141.9177,141.725,141.9,176904
1964,10.0,141.79,141.9,141.7,141.74,124671
1965,11.0,141.68,141.83,141.6301,141.78,121280
1966,12.0,141.56,141.73,141.5501,141.6814,93475
1967,13.0,141.655,141.6776,141.531,141.55,130364
1968,14.0,141.72,141.75,141.64,141.66,103981
1969,15.0,141.73,141.7322,141.655,141.7,50590
1970,16.0,141.655,141.74,141.61,141.73,91998
1971,17.0,141.71,141.745,141.65,141.655,83200
1972,18.0,141.6743,141.74,141.63,141.715,63403
1973,19.0,141.6875,141.71,141.61,141.68,178863
1974,20.0,141.86,141.92,141.695,141.695,162434
1975,21.0,141.82,141.87,141.77,141.85,76077
1976,22.0,141.775,141.82,141.75,141.8199,63061
1977,23.0,141.77,141.7892,141.75,141.78,52920
1978,24.0,141.89,141.9,141.77,141.78,117399
1979,25.0,141.91,141.97,141.88,141.88,86865
1980,26.0,141.93,141.97,141.9,141.91,44499
1981,27.0,142.12,142.14,141.9,141.93,310040
1982,28.0,142.2502,142.3082,142.1108,142.12,184996
1983,29.0,142.1499,142.25,142.13,142.25,80348
1984,30.0,142.17,142.2,142.105,142.15,75220
1985,31.0,141.9902,142.2,141.99,142.17,158074
1986,32.0,141.955,142.06,141.95,142.0,158043
1987,33.0,141.79,141.93,141.78,141.92,108852
1988,34.0,141.7,141.79,141.67,141.78,140869
1989,35.0,141.8,141.8659,141.69,141.7012,126816
1990,36.0,141.865,141.88,141.745,141.79,62680
1991,37.0,142.015,142.04,141.86,141.86,146838
1992,38.0,141.895,142.02,141.87,142.01,57442
1993,39.0,141.66,141.9,141.6001,141.89,172920
1994,40.0,141.54,141.6907,141.51,141.66,122107
1995,41.0,141.5998,141.639,141.525,141.53,132568
1996,42.0,141.6,141.6283,141.57,141.59,49315
1997,43.0,141.52,141.6,141.5,141.6,75645
1998,44.0,141.39,141.55,141.39,141.52,153411
1999,45.0,141.29,141.4,141.13,141.4,209879
2000,46.0,141.29,141.398,141.26,141.29,88866
2001,47.0,141.38,141.44,141.26,141.2914,63988
2002,48.0,141.4306,141.45,141.35,141.38,56581
2003,49.0,141.44,141.47,141.41,141.435,49380
2004,50.0,141.415,141.5,141.41,141.44,68333
2005,51.0,141.39,141.42,141.35,141.415,94177
2006,52.0,141.315,141.385,141.31,141.385,66160
2007,53.0,141.261,141.33,141.26,141.31,40560
2008,54.0,141.355,141.39,141.265,141.2656,59339
2009,55.0,141.3799,141.43,141.34,141.35,55891
2010,56.0,141.4111,141.5,141.37,141.38,54025
2011,57.0,141.37,141.4199,141.36,141.41,34484
2012,58.0,141.17,141.38,141.07,141.38,164578
2013,59.0,141.17,141.1854,141.05,141.17,85837
2014,60.0,141.135,141.27,141.135,141.15,48975
2015,61.0,141.15,141.16,141.0753,141.131,40821
2016,62.0,141.25,141.28,141.1,141.15,61595
2017,63.0,141.231,141.289,141.2017,141.255,30646
2018,64.0,141.13,141.2353,141.115,141.2351,71163
2019,65.0,141.0954,141.16,141.0799,141.12,33875
2020,66.0,140.83,141.1,140.83,141.0958,212519
2021,67.0,140.955,140.99,140.77,140.83,82908
2022,68.0,140.92,140.98,140.89,140.95,38572
2023,69.0,140.8,140.9185,140.8,140.9129,53237
2024,70.0,140.951,141.0,140.7455,140.81,103498
2025,71.0,140.8572,140.9874,140.85,140.952,35048
2026,72.0,140.81,140.87,140.79,140.86,38804
2027,73.0,140.98,141.0,140.8099,140.825,98411
2028,74.0,140.95,141.0,140.88,140.99,36889
2029,75.0,140.9855,141.06,140.93,140.95,65011
2030,76.0,140.915,140.99,140.905,140.98,42524
2031,77.0,140.86,140.93,140.82,140.915,45467
2032,78.0,140.8736,140.895,140.83,140.87,39452
2033,79.0,140.97,140.97,140.86,140.875,47627
2034,80.0,140.9,140.98,140.9,140.966,28543
2035,81.0,140.93,140.9536,140.83,140.89,80125
2036,82.0,140.91,140.99,140.91,140.9427,31412
2037,83.0,140.74,140.92,140.7,140.92,76986
2038,84.0,140.636,140.8,140.565,140.7489,112291
2039,85.0,140.63,140.7091,140.54,140.66,67618
2040,86.0,140.5,140.65,140.5,140.631,84051
2041,87.0,140.52,140.63,140.51,140.515,51357
2042,88.0,140.51,140.57,140.32,140.51,163566
2043,89.0,140.54,140.6,140.36,140.51,83068
2044,90.0,140.53,140.54,140.41,140.531,39296
2045,91.0,140.5699,140.63,140.52,140.54,62263
2046,92.0,140.4646,140.575,140.46,140.57,80241
2047,93.0,140.42,140.52,140.32,140.46,75288
2048,94.0,140.39,140.47,140.29,140.44,100369
2049,95.0,140.28,140.48,140.28,140.4,52558
2050,96.0,140.36,140.37,140.162,140.29,120878
2051,97.0,140.36,140.43,140.2901,140.35,75638
2052,98.0,140.295,140.358,140.17,140.3567,104631
2053,99.0,140.13,140.3247,140.1,140.31,44075
2054,100.0,140.19,140.3,140.13,140.15,94659
2055,101.0,140.2,140.24,140.17,140.19,90546
2056,102.0,140.194,140.284,140.18,140.18,54015
2057,103.0,140.22,140.25,140.16,140.2,126424
2058,104.0,140.13,140.22,140.12,140.21,35888
2059,105.0,140.07,140.13,139.97,140.1253,201401
2060,106.0,140.1,140.11,139.95,140.07,78101
2061,107.0,140.065,140.12,139.99,140.105,82317
2062,108.0,140.07,140.15,139.91,140.07,162515
2063,109.0,139.9601,140.065,139.87,140.06,119258
2064,110.0,139.81,139.96,139.67,139.96,149636
2065,111.0,139.89,139.9112,139.67,139.81,119173
2066,112.0,139.93,139.94,139.83,139.9,64805
2067,113.0,139.9,140.0,139.8142,139.92,93263
2068,114.0,139.85,139.98,139.84,139.92,45565
2069,115.0,139.88,139.91,139.81,139.84,65585
2070,116.0,139.8,139.93,139.77,139.88,54970
2071,117.0,139.75,139.83,139.7,139.79,81176
2072,118.0,139.7501,139.8,139.64,139.74,50513
2073,119.0,139.89,139.9,139.715,139.76,61191
2074,120.0,139.76,139.95,139.7,139.89,81717
2075,121.0,139.78,139.87,139.73,139.7692,73058
2076,122.0,139.74,139.791,139.61,139.7839,104420
2077,123.0,139.69,139.87,139.6699,139.7335,79450
2078,124.0,139.66,139.7489,139.59,139.7,66109
2079,125.0,139.62,139.68,139.55,139.66,76020
2080,126.0,139.4198,139.67,139.4,139.62,143078
2081,127.0,139.47899999999998,139.57,139.4,139.4001,86896
2082,128.0,139.51,139.61,139.3988,139.4786,122489
2083,129.0,139.7,139.71,139.51,139.51,96135
2084,130.0,139.8,139.85,139.68,139.6914,93489
2085,131.0,139.85,139.9,139.77,139.79,87974
2086,132.0,139.86,139.9899,139.85,139.86,91826
2087,133.0,139.77,139.86,139.67,139.85,63939
2088,134.0,139.78,139.791,139.7102,139.77,37395
2089,135.0,139.87,139.89,139.77,139.782,32971
2090,136.0,139.8201,139.88,139.75,139.86,40011
2091,137.0,139.88,139.88,139.73,139.82,49094
2092,138.0,139.8519,139.94,139.81,139.88,76136
2093,139.0,139.84,139.86,139.75,139.86,76185
2094,140.0,139.82,139.8833,139.8,139.8412,34514
2095,141.0,139.82,139.835,139.78,139.83,31423
2096,142.0,139.89,139.89,139.8,139.825,40119
2097,143.0,139.9901,139.9901,139.85,139.89,61850
2098,144.0,139.99,140.07,139.97,139.9993,76656
2099,145.0,140.0898,140.18,139.985,140.0,53316
2100,146.0,140.02,140.13,140.02,140.0734,43574
2101,147.0,140.15,140.15,140.0,140.02,41785
2102,148.0,140.1357,140.16,140.09,140.15200000000002,43024
2103,149.0,140.23,140.27,140.135,140.14,89182
2104,150.0,140.3489,140.35,140.21,140.23,53702
2105,151.0,140.23,140.33,140.2175,140.33,94493
2106,152.0,140.35,140.35,140.19,140.23,98118
2107,153.0,140.29,140.39,140.28,140.35,51351
2108,154.0,140.04,140.2648,140.0,140.26,153904
2109,155.0,140.16,140.21,140.034,140.04,66216
2110,156.0,140.16,140.25,140.154,140.17,41540
2111,157.0,140.27,140.3,140.17,140.17,53328
2112,158.0,140.23,140.31,140.23,140.28,41351
2113,159.0,140.08,140.2231,140.08,140.2231,43424
2114,160.0,140.1301,140.15,140.0788,140.0788,40822
2115,161.0,140.0438,140.16,140.04,140.14,38159
2116,162.0,140.0063,140.08,139.96,140.04,73629
2117,163.0,140.107,140.1313,140.0,140.02,62453
2118,164.0,140.1173,140.18,140.0657,140.12,84220
2119,165.0,140.1491,140.18,140.12,140.1225,31687
2120,166.0,140.15,140.2509,140.138,140.14,52962
2121,167.0,140.27,140.29,140.14,140.15,68178
2122,168.0,140.34799999999998,140.35,140.22,140.27,67459
2123,169.0,140.28,140.36,140.28,140.3447,52949
2124,170.0,140.1732,140.2811,140.1456,140.2811,42110
2125,171.0,140.26,140.28,140.1555,140.18,56629
2126,172.0,140.3299,140.35,140.24,140.255,45218
2127,173.0,140.3,140.346,140.265,140.3221,29942
2128,174.0,140.25,140.33,140.24,140.3099,28300
2129,175.0,140.27,140.27,139.54,140.25,52203
2130,176.0,140.175,140.3,140.175,140.29,47342
2131,177.0,140.2975,140.3001,140.174,140.1756,21850
2132,178.0,140.2,140.29,140.18,140.29,41471
2133,179.0,140.16,140.22,140.15,140.21,22542
2134,180.0,140.1374,140.2,140.11,140.16,41632
2135,181.0,140.05,140.128,140.02,140.12,58347
2136,182.0,140.0895,140.0895,140.01,140.055,35347
2137,183.0,139.955,140.07,139.92,140.07,71209
2138,184.0,139.97,140.0,139.92,139.95,48902
2139,185.0,139.94,139.98,139.93,139.98,13618
2140,186.0,139.8101,139.96,139.81,139.94,38763
2141,187.0,139.735,139.81,139.72,139.81,113076
2142,188.0,139.7,139.74,139.69,139.735,50711
2143,189.0,139.63,139.74,139.56,139.695,94405
2144,190.0,139.585,139.69,139.57,139.6355,53088
2145,191.0,139.63,139.65,139.56,139.59,27655
2146,192.0,139.82,139.83,139.625,139.629,60025
2147,193.0,139.77,139.86,139.75,139.8105,33794
2148,194.0,139.69,139.773,139.68,139.77,18634
2149,195.0,139.71,139.76,139.67,139.68,34427
2150,196.0,139.7007,139.7188,139.59,139.7188,84178
2151,197.0,139.58,139.71,139.58,139.71,41001
2152,198.0,139.59,139.6,139.52,139.5834,61050
2153,199.0,139.48,139.6,139.47,139.6,84977
2154,200.0,139.42,139.49,139.4,139.49,54026
2155,201.0,139.465,139.4788,139.34,139.42,63850
2156,202.0,139.46,139.47,139.41,139.44,41951
2157,203.0,139.43,139.46,139.36,139.45,41517
2158,204.0,139.5344,139.59,139.41,139.44,75112
2159,205.0,139.5,139.576,139.48,139.53,63096
2160,206.0,139.674,139.68,139.499,139.499,48440
2161,207.0,139.72,139.75,139.65,139.68,53568
2162,208.0,139.66,139.73,139.66,139.7156,36217
2163,209.0,139.57,139.66,139.54,139.65,62112
2164,210.0,139.54,139.55,139.485,139.55,35869
2165,211.0,139.53,139.5438,139.48,139.54,52362
2166,212.0,139.638,139.638,139.505,139.52,24318
2167,213.0,139.5286,139.6622,139.52,139.64,23039
2168,214.0,139.5499,139.56,139.51,139.5232,24296
2169,215.0,139.5856,139.6,139.519,139.5469,22884
