,0,1,2,3,4,5
746,,106.2,106.2,106.2,106.2,16628
747,1.0,105.96,105.96,105.49,105.49,300
748,2.0,106.18,106.18,106.1,106.12,1000
749,3.0,106.43,106.475,106.2,106.27600000000001,7350
750,4.0,106.28,106.42,106.28,106.42,642
751,5.0,106.11,106.23,106.11,106.23,512
752,6.0,106.21,106.32,106.21,106.21,679
753,7.0,106.25,106.38799999999999,106.15,106.35,4400
754,8.0,106.3,106.3,106.255,106.255,200
755,9.0,106.345,106.345,106.22,106.3,800
756,11.0,106.19,106.286,106.19,106.286,419
757,12.0,106.17,106.2099,105.985,106.2099,1400
758,13.0,106.01,106.17,106.01,106.17,200
759,14.0,106.13,106.13,106.11,106.11,400
760,15.0,106.04,106.13,105.97,106.13,2159
761,16.0,106.045,106.045,105.98,106.04,500
762,17.0,106.06,106.06,105.99,106.035,600
763,18.0,106.0975,106.16,106.08,106.1,2300
764,19.0,106.17,106.17,106.08,106.08,800
765,20.0,106.19,106.19,106.0765,106.0765,421
766,21.0,106.22,106.23,106.22,106.22,387
767,22.0,106.2,106.34,106.2,106.23,1120
768,23.0,106.13,106.2,106.13,106.2,200
769,24.0,106.22,106.22,106.13,106.13,1195
770,25.0,106.12,106.212,106.12,106.212,1156
771,26.0,106.14,106.14,106.07,106.11,500
772,27.0,106.08,106.08,106.08,106.08,100
773,28.0,106.155,106.155,106.155,106.155,100
774,29.0,106.13,106.14,106.11,106.11,5497
775,30.0,106.12,106.12,106.005,106.0894,1148
776,31.0,106.19,106.19,106.12,106.12,522
777,32.0,106.16,106.16,106.12799999999999,106.12799999999999,1050
778,33.0,106.2,106.2,106.2,106.2,100
779,34.0,106.23,106.23,106.23,106.23,300
780,35.0,106.13,106.215,106.13,106.19,1500
781,36.0,106.18,106.3,106.15,106.15,3100
782,38.0,106.28,106.31,106.235,106.235,1625
783,39.0,106.33,106.33,106.3,106.31,331
784,40.0,106.27,106.31,106.27,106.31,1500
785,41.0,106.315,106.315,106.24,106.3,900
786,42.0,106.29,106.29,106.29,106.29,100
787,43.0,106.23,106.26,106.23,106.26,400
788,44.0,106.1862,106.22,106.1862,106.22,300
789,45.0,106.26,106.35,106.23,106.23,3400
790,46.0,106.37,106.41,106.28,106.28,2000
791,47.0,106.35,106.3813,106.31,106.31,803
792,48.0,106.42,106.42,106.32,106.3427,1208
793,49.0,106.45,106.45,106.45,106.45,100
794,50.0,106.47,106.49,106.46,106.46,500
795,51.0,106.44,106.455,106.4,106.44,2778
796,53.0,106.5,106.5,106.35,106.45,9463
797,54.0,106.43,106.46,106.41,106.42,500
798,56.0,106.395,106.42,106.37,106.4188,2636
799,57.0,106.37,106.37,106.37,106.37,100
800,58.0,106.36,106.36,106.24,106.31,1300
801,59.0,106.35,106.35,106.2775,106.29,1600
802,60.0,106.2875,106.34,106.24,106.3087,2049
803,61.0,106.42,106.42,106.3175,106.33,2200
804,62.0,106.4,106.4,106.35,106.36,1406
805,63.0,106.37,106.38,106.33,106.35,900
806,64.0,106.26,106.38,106.26,106.33,2100
807,65.0,106.33,106.37,106.32,106.33,2000
808,66.0,106.31,106.45,106.31,106.42,2500
809,67.0,106.35,106.35,106.32,106.32,1700
810,68.0,106.32,106.43,106.31,106.35,3500
811,70.0,106.39,106.4,106.39,106.4,300
812,71.0,106.31,106.38,106.31,106.36,1200
813,72.0,106.325,106.325,106.2801,106.2801,371
814,73.0,106.4,106.4,106.28,106.31,4953
815,74.0,106.34,106.4,106.34,106.38,2550
816,75.0,106.38,106.42,106.36,106.36,900
817,76.0,106.38,106.39,106.35,106.35,600
818,77.0,106.39,106.39,106.365,106.37,1100
819,78.0,106.44,106.44,106.37,106.39,1300
820,79.0,106.44,106.49,106.44,106.44,1000
821,80.0,106.5,106.57,106.41,106.43,12437
822,81.0,106.56,106.59,106.56,106.59,200
823,82.0,106.5216,106.5601,106.5216,106.5601,1200
824,83.0,106.51,106.5699,106.51,106.5699,600
825,84.0,106.56,106.56,106.56,106.56,200
826,85.0,106.5318,106.5318,106.5318,106.5318,200
827,86.0,106.55,106.55,106.53,106.55,2500
828,87.0,106.55,106.55,106.51,106.54,4260
829,88.0,106.6,106.6,106.59,106.59,200
830,89.0,106.59,106.59,106.56,106.59,2257
831,90.0,106.6,106.6,106.6,106.6,200
832,91.0,106.63,106.63,106.63,106.63,100
833,92.0,106.7,106.71,106.7,106.7,9027
834,93.0,106.62,106.7,106.62,106.7,2372
835,94.0,106.61,106.63,106.61,106.61,1300
836,95.0,106.5999,106.6,106.57,106.57,700
837,96.0,106.6,106.62,106.56,106.58,5600
838,97.0,106.57,106.61,106.57,106.6,3200
839,100.0,106.6,106.61,106.59,106.59,3500
840,101.0,106.55,106.6,106.54,106.6,600
841,102.0,106.5701,106.5899,106.5701,106.58,648
842,103.0,106.55,106.5521,106.54,106.5521,1940
843,104.0,106.59,106.59,106.55,106.55,1781
844,105.0,106.67,106.67,106.63,106.63,300
845,107.0,106.62,106.635,106.62,106.635,3561
846,108.0,106.66,106.66,106.63,106.63,600
847,109.0,106.61,106.67200000000001,106.61,106.67200000000001,1300
848,110.0,106.64,106.64,106.6,106.6,674
849,111.0,106.54799999999999,106.59,106.53,106.59,845
850,112.0,106.51,106.55,106.51,106.53,1200
851,113.0,106.62,106.62,106.49,106.49,3900
852,114.0,106.541,106.57,106.541,106.57,1014
853,115.0,106.63,106.67,106.55,106.55,5900
854,116.0,106.6,106.63,106.57,106.61,3400
855,117.0,106.6,106.61200000000001,106.58,106.61200000000001,1842
856,118.0,106.6,106.6,106.58,106.58,600
857,119.0,106.6,106.62,106.58,106.58,1400
858,120.0,106.62,106.62,106.59,106.59,500
859,121.0,106.6,106.6,106.58,106.581,800
860,122.0,106.6,106.6,106.57,106.6,3300
861,123.0,106.61,106.61,106.61,106.61,629
862,124.0,106.61,106.61,106.61,106.61,526
863,125.0,106.63,106.65,106.62,106.63,2700
864,126.0,106.6,106.65,106.58,106.64,800
865,127.0,106.58,106.6,106.58,106.6,700
866,129.0,106.65,106.65,106.61,106.61,566
867,130.0,106.7,106.7,106.68,106.68,200
868,131.0,106.65,106.715,106.65,106.7,3900
869,133.0,106.595,106.61,106.595,106.61,800
870,134.0,106.53,106.6,106.53,106.6,51900
871,135.0,106.55,106.5585,106.54,106.55,659
872,136.0,106.45,106.55,106.45,106.55,3194
873,137.0,106.42,106.44,106.39,106.44,1600
874,138.0,106.4,106.42,106.4,106.4,3300
875,139.0,106.41,106.44,106.4,106.4,2174
876,140.0,106.42,106.42,106.42,106.42,100
877,141.0,106.42,106.43,106.4,106.4,1000
878,142.0,106.42,106.45,106.42,106.45,500
879,143.0,106.41,106.41,106.41,106.41,100
880,144.0,106.405,106.405,106.405,106.405,200
881,145.0,106.38,106.39,106.37,106.39,1500
882,146.0,106.45,106.45,106.4,106.4,1897
883,147.0,106.42,106.44,106.42,106.44,1162
884,149.0,106.41,106.42,106.4,106.42,4444
885,150.0,106.43,106.435,106.4,106.435,9400
886,151.0,106.39,106.425,106.39,106.425,10700
887,152.0,106.39,106.4,106.37,106.395,3100
888,153.0,106.37,106.37,106.37,106.37,200
889,154.0,106.36,106.405,106.33,106.33,3892
890,156.0,106.44,106.44,106.37,106.385,859
891,158.0,106.4,106.44,106.39,106.44,900
892,159.0,106.395,106.395,106.38,106.395,4700
893,160.0,106.41,106.42,106.41,106.42,600
894,161.0,106.43,106.45,106.41,106.41,4575
895,162.0,106.43,106.43,106.43,106.43,200
896,163.0,106.44,106.47,106.44,106.47,300
897,164.0,106.44,106.44,106.44,106.44,300
898,166.0,106.49,106.49,106.475,106.48,501
899,167.0,106.48,106.49,106.47,106.47,3696
900,168.0,106.48,106.49,106.48,106.48,1300
901,169.0,106.5,106.51,106.49,106.49,3907
902,170.0,106.48,106.48,106.46,106.48,994
903,171.0,106.49,106.49,106.45,106.46,10700
904,172.0,106.46,106.49,106.46,106.46,1000
905,173.0,106.55,106.55,106.48,106.49,7600
906,174.0,106.55,106.55,106.52,106.52,1000
907,175.0,106.57,106.57,106.55,106.55,400
908,176.0,106.56,106.58,106.56,106.56,1131
909,177.0,106.57,106.6,106.57,106.58,2775
910,178.0,106.54,106.57,106.54,106.57,200
911,179.0,106.53,106.55,106.53,106.55,400
912,180.0,106.53,106.53,106.52,106.52,400
913,181.0,106.522,106.522,106.52,106.52,800
914,182.0,106.51,106.53,106.51,106.52,1126
915,183.0,106.57,106.57,106.5,106.51,4145
916,184.0,106.6,106.6,106.55,106.57,1800
917,185.0,106.572,106.572,106.572,106.572,100
918,186.0,106.59,106.6,106.55,106.55,1540
919,187.0,106.6,106.6,106.59,106.59,1260
920,188.0,106.55,106.61,106.55,106.61,1800
921,189.0,106.53,106.565,106.53,106.565,400
922,190.0,106.55,106.58,106.55,106.55,4242
923,191.0,106.57,106.6,106.55,106.56,9824
924,192.0,106.6,106.6,106.57,106.57,1802
925,193.0,106.6067,106.62,106.6,106.6,1400
926,194.0,106.66,106.66,106.6,106.6,2200
927,196.0,106.69,106.69,106.63,106.63,1190
928,197.0,106.65,106.65,106.6494,106.6494,300
929,198.0,106.67,106.67,106.65,106.65,200
930,199.0,106.65,106.665,106.65,106.665,1460
931,200.0,106.65,106.65,106.62,106.65,900
932,202.0,106.61,106.625,106.565,106.625,4581
933,203.0,106.56,106.64,106.55,106.61,3696
934,204.0,106.53,106.57,106.53,106.57,1460
935,205.0,106.62,106.65,106.54,106.54,5981
936,206.0,106.6,106.65,106.58,106.625,6632
937,207.0,106.6,106.6,106.6,106.6,200
938,208.0,106.6,106.6,106.59,106.6,1000
939,209.0,106.6,106.6,106.6,106.6,100
940,210.0,106.62,106.62,106.57,106.5876,2900
941,212.0,106.61,106.62,106.6,106.61,800
942,213.0,106.605,106.605,106.59,106.605,1529
943,214.0,106.68,106.68,106.62,106.62,2221
944,215.0,106.63,106.65,106.63,106.65,1240
945,217.0,106.605,106.605,106.59,106.59,1198
946,218.0,106.58,106.58,106.57,106.57,1198
947,219.0,106.65,106.655,106.57,106.58,7861
948,220.0,106.655,106.655,106.61,106.62,800
949,221.0,106.58,106.64,106.58,106.64,500
950,222.0,106.61,106.61,106.58,106.58,2013
951,223.0,106.58,106.59,106.58,106.59,300
952,224.0,106.62,106.62,106.58,106.59,3045
953,225.0,106.62,106.64,106.6,106.6,1197
954,226.0,106.6,106.64,106.58,106.64,4300
955,227.0,106.57,106.6,106.56,106.6,3200
956,228.0,106.55,106.55,106.54,106.55,3104
957,229.0,106.56,106.5625,106.56,106.56,600
958,230.0,106.54,106.56,106.53,106.55,3102
959,231.0,106.56,106.56,106.55,106.55,200
960,232.0,106.54,106.6,106.54,106.6,300
961,233.0,106.56,106.56,106.54,106.55,700
962,234.0,106.525,106.54,106.5,106.54,3013
963,235.0,106.56,106.56,106.49,106.5,9138
964,236.0,106.54,106.54,106.5,106.54,1746
965,237.0,106.56,106.56,106.54,106.54,1328
966,238.0,106.54,106.54,106.54,106.54,200
967,239.0,106.45,106.5136,106.45,106.5136,1000
968,240.0,106.47,106.47,106.46,106.46,400
969,241.0,106.46,106.46,106.46,106.46,100
970,242.0,106.49,106.49,106.45,106.46,4662
971,244.0,106.5,106.53,106.5,106.5,700
972,246.0,106.5,106.5,106.5,106.5,100
973,247.0,106.47,106.47,106.4481,106.46,1310
974,248.0,106.52,106.6,106.49,106.58,262838
975,249.0,106.53,106.53,106.53,106.53,500
976,250.0,106.48,106.505,106.45,106.48,1100
977,251.0,106.435,106.46,106.41,106.44,1200
978,252.0,106.46,106.46,106.44,106.44,800
979,253.0,106.49,106.49,106.42,106.44,4954
980,255.0,106.49,106.53,106.49,106.53,700
981,256.0,106.49,106.5,106.49,106.49,10000
982,257.0,106.49,106.49,106.49,106.49,2300
983,258.0,106.49,106.5,106.49,106.49,4450
984,259.0,106.49,106.5,106.49,106.49,2900
985,260.0,106.49,106.5,106.49,106.49,1400
986,261.0,106.49,106.49,106.49,106.49,1972
987,262.0,106.5135,106.5135,106.49,106.49,1422
988,263.0,106.5,106.51,106.5,106.51,1070
989,264.0,106.495,106.495,106.49,106.49,500
990,265.0,106.51,106.57,106.49,106.49,2800
991,266.0,106.49,106.53,106.49,106.525,1201
992,267.0,106.49,106.49,106.49,106.49,100
993,268.0,106.47,106.49,106.44,106.49,1700
994,269.0,106.5,106.52,106.5,106.51,1205
995,270.0,106.51,106.54,106.51,106.54,1000
996,271.0,106.5,106.515,106.5,106.5,700
997,272.0,106.58,106.58,106.5,106.5,1200
998,273.0,106.75,106.75,106.56,106.56,5615
999,274.0,106.72,106.79,106.7,106.73,5732
1000,275.0,106.81,106.865,106.75,106.75,4089
1001,276.0,106.81,106.84,106.8,106.83,4351
1002,277.0,106.78,106.78399999999999,106.78,106.78,500
1003,278.0,106.84,106.84,106.77,106.77,1300
1004,279.0,106.8168,106.85,106.8168,106.85,250
1005,280.0,106.79,106.85,106.79,106.83,2500
1006,281.0,106.77,106.79,106.77,106.79,1678
1007,282.0,106.8,106.8,106.78,106.78,1411
1008,283.0,106.7524,106.79,106.7524,106.79,1910
1009,284.0,106.75,106.75,106.75,106.75,400
1010,286.0,106.79,106.8,106.73,106.73,3100
1011,287.0,106.78,106.81,106.78,106.81,1000
1012,288.0,106.8,106.8,106.79,106.79,1608
1013,289.0,106.78,106.8,106.78,106.78,700
1014,290.0,106.77,106.77,106.77,106.77,300
1015,291.0,106.77,106.77,106.77,106.77,1922
1016,292.0,106.82,106.82,106.78,106.78,1200
1017,293.0,106.8,106.8,106.8,106.8,100
1018,294.0,106.8,106.8,106.8,106.8,100
1019,295.0,106.79,106.81,106.78,106.81,1450
1020,296.0,106.81,106.82,106.81,106.81,2400
1021,297.0,106.85,106.86,106.84,106.84,1100
1022,298.0,106.9,106.9,106.885,106.885,300
1023,300.0,106.91,106.91,106.88,106.8858,2410
1024,301.0,106.9,106.92,106.89,106.9,2837
1025,302.0,106.89,106.91,106.89,106.9,1500
1026,304.0,106.98,106.98,106.91,106.91,4000
1027,305.0,107.0,107.02,106.98,106.98,5078
1028,306.0,106.92,107.0,106.92,107.0,5200
1029,307.0,106.87,106.875,106.87,106.87,500
1030,308.0,106.85,106.85,106.85,106.85,200
1031,309.0,106.82,106.86,106.8,106.86,2200
1032,310.0,106.85,106.87,106.83,106.83,1481
1033,311.0,106.82,106.82,106.82,106.82,1406
1034,312.0,106.86,106.86,106.83,106.83,1909
1035,313.0,106.88,106.88,106.88,106.88,500
1036,314.0,106.87,106.87,106.87,106.87,1000
1037,315.0,106.91,106.91,106.88,106.88,2553
1038,316.0,106.97,106.98,106.93,106.96,2738
1039,317.0,106.965,106.965,106.95,106.95,700
1040,318.0,106.91,106.95,106.91,106.95,2000
1041,319.0,106.9,106.9,106.9,106.9,100
1042,320.0,106.87,106.89,106.85,106.89,1000
1043,321.0,106.87,106.87,106.87,106.87,1768
1044,322.0,106.9,106.9,106.87,106.87,1700
1045,323.0,106.9099,106.9099,106.9,106.9,4402
1046,324.0,106.9,106.9,106.88,106.88,200
1047,325.0,106.89,106.89,106.88,106.88,1200
1048,326.0,106.8265,106.87,106.81,106.87,1200
1049,327.0,106.85,106.88,106.84,106.84,10843
1050,328.0,106.915,106.92,106.85,106.87,7300
1051,329.0,106.86,106.95,106.86,106.95,6633
1052,330.0,106.86,106.86,106.83,106.83,500
1053,331.0,106.87,106.9,106.85,106.87,7588
1054,332.0,106.91,106.91,106.9,106.9,1200
1055,333.0,106.94,106.94,106.91,106.91,2900
1056,334.0,106.94,106.9405,106.94,106.9405,1100
1057,335.0,106.98,106.98,106.93,106.93,2600
1058,336.0,106.92,106.98,106.92,106.98,1234
1059,337.0,106.93,106.93,106.93,106.93,371
1060,338.0,106.96,106.96,106.93,106.93,1400
1061,339.0,107.04,107.04,106.96,106.96,5868
1062,340.0,107.03,107.03,107.0,107.03,1228
1063,341.0,107.0399,107.04,107.01,107.01,2351
1064,342.0,107.065,107.065,107.03,107.03,2724
1065,343.0,107.06,107.06,107.06,107.06,800
1066,344.0,106.97,107.02,106.97,107.02,600
1067,345.0,107.055,107.06,106.99,106.99,4780
1068,346.0,107.05,107.06,107.05,107.05,1717
1069,347.0,107.02,107.05,107.02,107.05,1224
1070,348.0,107.0501,107.0501,107.01,107.01,2000
1071,349.0,107.055,107.055,107.0501,107.0501,300
1072,350.0,107.02,107.055,107.02,107.05,5511
