,0,1,2,3,4,5
4098,,28.71,28.71,28.71,28.71,17710
4099,1.0,28.62,28.75,28.56,28.75,4943
4100,2.0,28.63,28.63,28.6,28.6,500
4101,3.0,28.61,28.63,28.57,28.59,3766
4102,4.0,28.63,28.7,28.62,28.67,8569
4103,5.0,28.7,28.7,28.64,28.64,9500
4104,6.0,28.78,28.785,28.71,28.71,16848
4105,7.0,28.77,28.77,28.72,28.77,9561
4106,8.0,28.755,28.78,28.75,28.77,6400
4107,9.0,28.77,28.775,28.74,28.75,2800
4108,10.0,28.8,28.82,28.76,28.76,12682
4109,11.0,28.83,28.83,28.8,28.81,11572
4110,12.0,28.85,28.86,28.83,28.84,12079
4111,13.0,28.86,28.87,28.86,28.86,7239
4112,14.0,28.89,28.93,28.86,28.86,14500
4113,15.0,28.9,28.9,28.89,28.89,2500
4114,16.0,28.89,28.9,28.88,28.89,8221
4115,17.0,28.89,28.9,28.89,28.89,4712
4116,18.0,28.895,28.9,28.89,28.89,10600
4117,19.0,28.91,28.91,28.9,28.9,3579
4118,20.0,28.925,28.93,28.91,28.91,12412
4119,21.0,28.95,28.95,28.925,28.925,17323
4120,22.0,28.945,28.955,28.94,28.95,9167
4121,23.0,28.935,28.9499,28.89,28.935,40158
4122,24.0,28.93,28.93,28.92,28.92,1900
4123,25.0,28.93,28.935,28.91,28.93,13900
4124,26.0,28.94,28.94,28.93,28.93,4720
4125,27.0,28.935,28.945,28.93,28.94,12610
4126,28.0,28.95,28.95,28.94,28.94,4006
4127,29.0,28.96,28.96,28.945,28.95,6000
4128,30.0,28.945,28.95,28.94,28.95,3690
4129,31.0,28.9225,28.945,28.9225,28.945,11024
4130,32.0,28.925,28.925,28.92,28.925,1700
4131,33.0,28.92,28.92,28.92,28.92,100
4132,34.0,28.93,28.935,28.925,28.93,4300
4133,35.0,28.93,28.935,28.93,28.93,9036
4134,36.0,28.93,28.935,28.925,28.925,2507
4135,37.0,28.93,28.935,28.91,28.93,13703
4136,38.0,28.925,28.93,28.92,28.93,700
4137,39.0,28.945,28.95,28.925,28.925,5724
4138,40.0,28.955,28.955,28.94,28.95,3600
4139,41.0,28.99,28.99,28.95,28.955,13732
4140,42.0,29.03,29.04,28.985,28.985,13350
4141,43.0,29.04,29.04,29.02,29.03,2801
4142,44.0,29.06,29.07,29.04,29.05,18991
4143,45.0,29.09,29.09,29.07,29.07,4809
4144,46.0,29.085,29.095,29.08,29.09,8666
4145,47.0,29.075,29.08,29.07,29.08,1429
4146,48.0,29.065,29.075,29.065,29.07,1400
4147,49.0,29.075,29.075,29.055,29.06,3992
4148,50.0,29.07,29.075,29.07,29.07,3100
4149,51.0,29.07,29.08,29.06,29.06,3112
4150,52.0,29.04,29.075,29.04,29.07,6600
4151,53.0,29.04,29.04,29.03,29.03,900
4152,54.0,29.02,29.03,29.01,29.03,2600
4153,55.0,29.04,29.04,29.02,29.02,3628
4154,56.0,29.04,29.045,29.04,29.04,1800
4155,57.0,29.04,29.05,29.04,29.04,3891
4156,58.0,29.05,29.06,29.04,29.04,3300
4157,59.0,29.08,29.08,29.0599,29.0599,10500
4158,60.0,29.13,29.14,29.08,29.08,11869
4159,61.0,29.13,29.13,29.12,29.13,1713
4160,62.0,29.19,29.2,29.14,29.14,19502
4161,63.0,29.2,29.2,29.18,29.19,12242
4162,64.0,29.23,29.24,29.19,29.19,14810
4163,65.0,29.24,29.285,29.23,29.23,32886
4164,66.0,29.27,29.28,29.235,29.24,34159
4165,67.0,29.27,29.29,29.27,29.27,20300
4166,68.0,29.26,29.27,29.26,29.26,4400
4167,69.0,29.255,29.255,29.25,29.255,1700
4168,70.0,29.26,29.27,29.25,29.255,18637
4169,71.0,29.22,29.28,29.22,29.27,11522
4170,72.0,29.205,29.225,29.2,29.22,7300
4171,73.0,29.195,29.205,29.19,29.2,2600
4172,74.0,29.175,29.19,29.175,29.19,6852
4173,75.0,29.18,29.185,29.17,29.18,4620
4174,76.0,29.17,29.18,29.17,29.17,6400
4175,77.0,29.15,29.165,29.15,29.16,5800
4176,78.0,29.18,29.185,29.155,29.155,5368
4177,79.0,29.175,29.19,29.175,29.18,3300
4178,80.0,29.165,29.18,29.165,29.17,3500
4179,81.0,29.165,29.17,29.165,29.17,200
4180,82.0,29.145,29.165,29.145,29.16,4000
4181,83.0,29.15,29.15,29.135,29.145,11484
4182,84.0,29.14,29.14,29.12,29.14,5554
4183,85.0,29.145,29.155,29.135,29.14,9316
4184,86.0,29.15,29.165,29.145,29.145,12663
4185,87.0,29.155,29.16,29.15,29.155,1600
4186,88.0,29.16,29.165,29.14,29.15,10979
4187,89.0,29.165,29.165,29.15,29.16,15300
4188,90.0,29.17,29.17,29.17,29.17,100
4189,91.0,29.175,29.175,29.16,29.17,9070
4190,92.0,29.185,29.19,29.175,29.18,6806
4191,93.0,29.17,29.18,29.165,29.18,17316
4192,94.0,29.17,29.175,29.16,29.16,3525
4193,95.0,29.185,29.19,29.175,29.18,8900
4194,96.0,29.15,29.19,29.15,29.19,20300
4195,97.0,29.14,29.155,29.14,29.155,20519
4196,98.0,29.15,29.15,29.145,29.145,2800
4197,99.0,29.16,29.17,29.15,29.16,8722
4198,100.0,29.15,29.16,29.15,29.16,6676
4199,101.0,29.15,29.155,29.15,29.15,3258
4200,102.0,29.14,29.15,29.135,29.1474,11370
4201,103.0,29.12,29.13,29.12,29.13,3700
4202,104.0,29.115,29.12,29.11,29.11,744
4203,105.0,29.12,29.12,29.11,29.115,3300
4204,106.0,29.1,29.13,29.095,29.13,8360
4205,107.0,29.08,29.095,29.08,29.095,5200
4206,108.0,29.08,29.08,29.07,29.08,6800
4207,109.0,29.08,29.08,29.073,29.073,748
4208,110.0,29.075,29.075,29.075,29.075,500
4209,111.0,29.08,29.08,29.075,29.075,955
4210,112.0,29.11,29.11,29.075,29.075,11325
4211,113.0,29.095,29.105,29.095,29.1,1500
4212,114.0,29.11,29.11,29.1,29.1,2300
4213,115.0,29.115,29.12,29.115,29.12,700
4214,116.0,29.11,29.12,29.11,29.11,13700
4215,117.0,29.1,29.11,29.1,29.1046,2310
4216,118.0,29.115,29.12,29.1,29.1,7094
4217,119.0,29.115,29.1191,29.11,29.11,3500
4218,120.0,29.105,29.115,29.105,29.11,2600
4219,121.0,29.1,29.11,29.1,29.11,3362
4220,122.0,29.08,29.095,29.07,29.09,5200
4221,123.0,29.075,29.075,29.07,29.07,600
4222,124.0,29.07,29.075,29.07,29.07,2500
4223,125.0,29.09,29.11,29.08,29.08,9148
4224,126.0,29.09,29.09,29.09,29.09,400
4225,127.0,29.105,29.11,29.095,29.1,8544
4226,128.0,29.105,29.11,29.1,29.1,1700
4227,129.0,29.115,29.12,29.105,29.11,7578
4228,130.0,29.115,29.12,29.11,29.12,3622
4229,131.0,29.125,29.13,29.115,29.12,8800
4230,132.0,29.13,29.13,29.125,29.13,3400
4231,133.0,29.14,29.14,29.12,29.1262,16076
4232,134.0,29.14,29.14,29.13,29.14,1824
4233,135.0,29.14,29.14,29.14,29.14,200
4234,136.0,29.16,29.16,29.14,29.14,7795
4235,137.0,29.16,29.16,29.15,29.16,2886
4236,138.0,29.17,29.17,29.15,29.16,6031
4237,139.0,29.17,29.18,29.16,29.17,13000
4238,140.0,29.16,29.18,29.16,29.17,9101
