,0,1,2,3,4,5
1563,,68.81,68.95,68.8,68.94,99333
1564,1.0,68.8572,68.94,68.7715,68.8,37067
1565,2.0,68.84,68.86,68.76,68.855,26072
1566,3.0,68.92,68.92,68.84,68.84,5040
1567,4.0,69.15,69.18,68.93,68.93,33778
1568,5.0,69.0,69.18,68.98,69.18,15852
1569,6.0,68.9965,69.07,68.9965,69.01,22517
1570,7.0,68.934,69.0,68.89,69.0,16841
1571,8.0,68.97,69.02,68.93,68.935,16257
1572,9.0,68.98,69.05,68.9501,68.9501,29889
1573,10.0,68.94,69.0,68.91,68.99,23023
1574,11.0,68.95,69.0,68.91,68.95,16000
1575,12.0,68.94,68.98,68.92,68.97,14742
1576,13.0,69.0,69.01,68.925,68.935,11208
1577,14.0,69.0656,69.08,69.0,69.01,14206
1578,15.0,69.13,69.13,69.06,69.06,24346
1579,16.0,69.12,69.13600000000001,69.09,69.13,25308
1580,17.0,69.0,69.1226,69.0,69.1226,16915
1581,18.0,69.06,69.07,68.99,69.0,14530
1582,19.0,69.025,69.05,68.985,69.05,8076
1583,20.0,68.965,69.025,68.96,69.02,13241
1584,21.0,69.0,69.0,68.9501,68.97,7833
1585,22.0,69.03,69.04,69.01,69.01,4026
1586,23.0,69.01,69.06,69.01,69.0365,9324
1587,24.0,69.07,69.075,69.02,69.02,11293
1588,25.0,69.07,69.07,69.05,69.0599,7775
1589,26.0,69.06,69.07,69.025,69.06,16231
1590,27.0,69.125,69.13,69.0548,69.06,18947
1591,28.0,69.065,69.11,69.05,69.11,22718
1592,29.0,69.04,69.07,69.025,69.07,21980
1593,30.0,69.03,69.06,69.02,69.03,8066
1594,31.0,68.99,69.04,68.99,69.03,29194
1595,32.0,68.845,68.99,68.84,68.98,29266
1596,33.0,68.91,68.91,68.85,68.86,9884
1597,34.0,68.94,68.97,68.9099,68.9216,8555
1598,35.0,68.94,68.98,68.93,68.95,7640
1599,36.0,68.97,68.97,68.94,68.95,2761
1600,37.0,68.9358,68.9688,68.92,68.9688,5903
1601,38.0,68.87,68.93,68.85,68.93,15500
1602,39.0,68.88,68.88,68.82,68.86,8796
1603,40.0,68.86,68.89,68.851,68.88,8736
1604,41.0,68.91,68.91,68.862,68.87,5472
1605,42.0,68.7975,68.91,68.79,68.91,11885
1606,43.0,68.809,68.85,68.79,68.8,9854
1607,44.0,68.775,68.83,68.77,68.81,8750
1608,45.0,68.83,68.85,68.7707,68.7707,11541
1609,46.0,68.91,68.915,68.84,68.84,10330
1610,47.0,68.93,68.94,68.895,68.915,10746
1611,48.0,68.905,68.915,68.88,68.915,7631
1612,49.0,68.89,68.91,68.8401,68.91,8025
1613,50.0,68.93,68.94,68.88,68.89,10835
1614,51.0,68.893,68.94,68.87,68.94,17535
1615,52.0,68.93,68.93,68.88,68.9,11227
1616,53.0,68.939,68.95,68.92,68.93,14100
1617,54.0,68.904,68.94,68.902,68.94,7323
1618,55.0,68.915,68.93,68.89,68.9,5861
1619,56.0,68.905,68.93,68.895,68.9234,4384
1620,57.0,68.88,68.925,68.87,68.91,7800
1621,58.0,68.89,68.9,68.865,68.87,14755
1622,59.0,68.89,68.9,68.87,68.88,8440
1623,60.0,68.92,68.92,68.88,68.88,8600
1624,61.0,68.9,68.945,68.9,68.92,16520
1625,62.0,68.84,68.9,68.84,68.9,29669
1626,63.0,68.88,68.885,68.83,68.84,18234
1627,64.0,68.87,68.9,68.86,68.89,22607
1628,65.0,68.91,68.92,68.85,68.86,20057
1629,66.0,68.88,68.95,68.875,68.92,22068
1630,67.0,68.88,68.904,68.87,68.9,7325
1631,68.0,68.87,68.89,68.87,68.89,6795
1632,69.0,68.87,68.895,68.87,68.8765,7026
1633,70.0,68.89,68.895,68.87,68.87,10100
1634,71.0,68.91,68.93,68.88,68.89,12436
1635,72.0,68.9,68.93,68.8999,68.905,17316
1636,73.0,68.895,68.915,68.89,68.8973,9168
1637,74.0,68.9,68.91,68.89,68.899,13620
1638,75.0,68.92,68.925,68.9,68.9,16025
1639,76.0,68.9044,68.925,68.89,68.925,7703
1640,77.0,68.93,68.93,68.89,68.9,7715
1641,78.0,68.92,68.9269,68.91,68.92,7750
1642,79.0,68.9341,68.94,68.915,68.92,8238
1643,80.0,68.94,68.95,68.935,68.94,6600
1644,81.0,68.89,68.94,68.88,68.94,8880
1645,82.0,68.91,68.91,68.895,68.8968,5580
1646,83.0,68.86,68.9,68.85,68.9,10340
1647,84.0,68.835,68.86,68.82,68.86,9046
1648,85.0,68.86,68.86,68.83,68.84,3864
1649,86.0,68.84,68.86,68.835,68.86,7400
1650,87.0,68.855,68.88,68.83,68.84,9920
1651,88.0,68.8535,68.86,68.84,68.85,3000
1652,89.0,68.79,68.855,68.79,68.855,11176
1653,90.0,68.795,68.8,68.78,68.78,8146
1654,91.0,68.81,68.84,68.79,68.8,19911
1655,92.0,68.8,68.819,68.8,68.8144,2655
1656,93.0,68.79,68.805,68.77,68.8,10848
1657,94.0,68.8,68.809,68.785,68.8,5809
1658,95.0,68.7505,68.7968,68.75,68.795,10500
1659,96.0,68.755,68.78,68.75,68.76,17600
1660,97.0,68.75,68.76,68.73,68.755,10701
1661,98.0,68.77,68.77,68.7413,68.7446,5688
1662,99.0,68.7501,68.78,68.7501,68.78,15179
1663,100.0,68.745,68.7601,68.74,68.7551,55615
1664,101.0,68.72399999999999,68.75,68.7037,68.74,29864
1665,102.0,68.69,68.73,68.69,68.725,7937
1666,103.0,68.73,68.73,68.69,68.7,7541
1667,104.0,68.75,68.75,68.725,68.725,5516
1668,105.0,68.76,68.76,68.74,68.75,12084
1669,106.0,68.7627,68.7627,68.75,68.75,7135
1670,107.0,68.78,68.79,68.76,68.77,9147
1671,108.0,68.77,68.805,68.7642,68.79,23976
1672,109.0,68.715,68.77,68.71,68.77,19839
1673,110.0,68.75,68.75,68.7199,68.7199,4900
1674,111.0,68.725,68.7599,68.725,68.75,4895
1675,112.0,68.6954,68.72,68.68,68.72,10191
1676,113.0,68.6957,68.71,68.69,68.6901,15978
1677,114.0,68.7,68.72,68.69,68.7,10202
1678,115.0,68.7,68.71,68.69,68.71,3840
1679,116.0,68.68,68.71,68.67,68.695,4125
1680,117.0,68.6665,68.69,68.65,68.6862,12695
1681,118.0,68.7,68.7,68.665,68.665,11183
1682,119.0,68.71,68.72,68.68,68.71,18102
1683,120.0,68.755,68.755,68.72,68.72,3450
1684,121.0,68.76,68.77,68.73,68.76,6493
1685,122.0,68.7844,68.79,68.76,68.77,2200
1686,123.0,68.78,68.79,68.78,68.785,3284
1687,124.0,68.74,68.785,68.72,68.78,13837
1688,125.0,68.7899,68.79,68.74,68.74,13780
1689,126.0,68.8069,68.81,68.785,68.79,19151
1690,127.0,68.8,68.81,68.795,68.8,8368
1691,128.0,68.8132,68.82,68.8,68.805,7363
1692,129.0,68.82,68.83,68.812,68.82,9844
1693,130.0,68.82,68.83,68.81,68.81,4536
1694,131.0,68.8399,68.84,68.8251,68.8251,3175
1695,132.0,68.78,68.84,68.76,68.835,21176
1696,133.0,68.78,68.78,68.765,68.78,4509
1697,134.0,68.78,68.78,68.77,68.78,3295
1698,135.0,68.82,68.82,68.7801,68.79,5599
1699,136.0,68.8269,68.835,68.81,68.81,5110
1700,137.0,68.83,68.855,68.83,68.83,9982
1701,138.0,68.86,68.865,68.8314,68.84,17380
1702,139.0,68.85,68.87,68.83,68.86,25899
1703,140.0,68.8604,68.865,68.85,68.85,3235
1704,141.0,68.87,68.87,68.86,68.8632,3829
1705,142.0,68.85,68.87,68.85,68.865,8372
1706,143.0,68.8744,68.88,68.845,68.85,4507
1707,144.0,68.8735,68.9,68.86,68.88,10184
1708,145.0,68.895,68.895,68.873,68.88,6748
1709,146.0,68.875,68.8801,68.87,68.88,4650
1710,147.0,68.855,68.875,68.84,68.87,8207
1711,148.0,68.86,68.86,68.85,68.8549,5271
1712,149.0,68.885,68.895,68.8502,68.8502,4864
1713,150.0,68.91,68.91,68.88,68.88,62175
1714,151.0,68.86,68.905,68.86,68.905,15712
1715,152.0,68.865,68.88,68.865,68.865,4760
1716,153.0,68.865,68.87,68.86,68.8649,6168
1717,154.0,68.8459,68.8666,68.84,68.8665,8287
1718,155.0,68.79,68.85,68.79,68.845,35485
1719,156.0,68.84,68.84,68.79,68.79,5849
1720,157.0,68.86,68.86,68.84,68.84,4250
1721,158.0,68.915,68.93,68.86,68.87,33953
1722,159.0,68.89,68.915,68.89,68.91,14901
1723,160.0,68.8946,68.905,68.89,68.89,9617
1724,161.0,68.865,68.9,68.86,68.9,5327
1725,162.0,68.875,68.89,68.865,68.87,7799
1726,163.0,68.85,68.88,68.85,68.87,8448
1727,164.0,68.88,68.88,68.8301,68.85,5582
1728,165.0,68.87,68.88,68.87,68.8746,3361
1729,166.0,68.81,68.88,68.805,68.875,13458
1730,167.0,68.83,68.83,68.79,68.8135,6185
1731,168.0,68.81,68.825,68.8,68.82,9223
1732,169.0,68.8,68.82,68.79,68.82,4700
1733,170.0,68.79,68.82,68.79,68.81,4700
1734,171.0,68.8,68.8,68.7759,68.79,5940
1735,172.0,68.835,68.84,68.8,68.8,6010
1736,173.0,68.86,68.86,68.84,68.84,3280
1737,174.0,68.82,68.855,68.8195,68.855,7433
1738,175.0,68.804,68.82,68.8,68.82,3651
1739,176.0,68.83,68.84,68.805,68.81,9124
1740,177.0,68.94,68.94,68.83,68.84,71133
1741,178.0,68.94,68.95,68.915,68.95,17133
1742,179.0,68.925,68.95,68.92,68.94,14805
1743,180.0,68.925,68.94,68.915,68.925,8500
1744,181.0,68.89,68.925,68.88,68.92,9903
1745,182.0,68.89,68.91,68.885,68.9,10184
1746,183.0,68.88,68.9,68.88,68.8901,6613
1747,184.0,68.87,68.89,68.87,68.8763,4364
1748,185.0,68.86,68.87,68.86,68.87,3793
1749,186.0,68.84,68.87,68.84,68.865,5890
1750,187.0,68.88,68.88,68.83,68.84,11115
1751,188.0,68.895,68.895,68.87,68.875,7002
1752,189.0,68.89,68.895,68.88,68.8886,5850
1753,190.0,68.88,68.9,68.88,68.9,8000
1754,191.0,68.94,68.94,68.88,68.8835,37570
1755,192.0,69.1,69.1,68.92,68.94,52032
1756,193.0,69.12,69.1599,69.08,69.09,35892
1757,194.0,69.18,69.2,69.12,69.12,26197
1758,195.0,69.209,69.21,69.149,69.17,21938
1759,196.0,69.21,69.21,69.18,69.2052,15985
1760,197.0,69.18,69.2,69.14,69.2,34184
1761,198.0,69.11,69.18,69.11,69.18,35732
1762,199.0,69.09,69.11,69.07,69.1,9985
1763,200.0,69.0835,69.125,69.08,69.09899999999999,8900
1764,201.0,69.1,69.11,69.0699,69.09,7563
1765,202.0,69.12,69.125,69.0986,69.1,5900
1766,203.0,69.13,69.1454,69.12,69.125,9754
1767,204.0,69.0762,69.135,69.06,69.13,25857
1768,205.0,69.07,69.09,69.07,69.08,22386
1769,206.0,69.045,69.0853,69.03,69.07,11560
1770,207.0,69.05,69.06,69.02,69.04,15258
1771,208.0,69.05,69.07,69.035,69.06,6600
1772,209.0,69.01,69.06,69.01,69.05,7325
1773,210.0,68.99,69.02,68.99,69.01,20629
1774,211.0,68.98,68.9999,68.98,68.9999,2700
1775,212.0,68.9901,69.01,68.96,68.98,15456
1776,213.0,69.02,69.03,68.99,69.0,6477
1777,214.0,68.98,69.02,68.98,69.02,5200
1778,215.0,68.95,68.98,68.95,68.98,8606
1779,216.0,68.94,68.97,68.94,68.96,3600
1780,217.0,68.9499,68.9548,68.93,68.9343,6493
1781,218.0,68.945,68.945,68.92,68.94,3400
1782,219.0,68.94,68.96,68.94,68.95,4597
1783,220.0,68.94,68.97,68.915,68.94,14704
1784,221.0,68.93,68.94,68.925,68.94,3805
1785,222.0,68.93,68.9499,68.9248,68.93,7733
1786,223.0,68.93,68.94,68.93,68.93,1200
1787,224.0,68.96,68.96,68.93,68.9395,8811
1788,225.0,68.94,68.96,68.94,68.96,5800
1789,226.0,68.9371,68.94,68.93,68.94,3052
1790,227.0,68.92,68.95,68.915,68.93,15624
1791,228.0,68.92,68.935,68.92,68.93,4799
1792,229.0,68.935,68.94,68.92,68.9238,7453
1793,230.0,68.925,68.94,68.905,68.93,10473
1794,231.0,68.9299,68.93,68.92,68.92,1818
1795,232.0,68.94,68.94,68.925,68.925,2200
1796,233.0,68.91,68.935,68.91,68.935,8730
1797,234.0,68.92,68.925,68.9,68.91,4689
1798,235.0,68.931,68.95,68.915,68.92,14607
1799,236.0,68.93,68.94,68.9207,68.9348,8359
1800,237.0,68.915,68.94,68.915,68.93,6684
1801,238.0,68.9048,68.91,68.9,68.91,1600
1802,239.0,68.91,68.91,68.89,68.9066,12943
1803,240.0,68.91,68.925,68.91,68.91,6005
1804,241.0,68.92,68.92,68.9,68.9,2928
1805,242.0,68.9454,68.9454,68.92,68.92,4150
1806,243.0,68.955,68.955,68.9433,68.945,3715
1807,244.0,68.94,68.9569,68.9301,68.955,11817
1808,245.0,68.9301,68.95,68.93,68.94,2950
1809,246.0,68.935,68.94,68.925,68.9387,3200
1810,247.0,68.93,68.9399,68.93,68.93,1350
1811,248.0,68.92,68.93,68.91,68.93,6313
1812,249.0,68.899,68.919,68.8907,68.91,4875
1813,250.0,68.86,68.9,68.82,68.9,26389
1814,251.0,68.79,68.86399999999999,68.78,68.86,12030
1815,252.0,68.81,68.81,68.7737,68.79,16384
1816,253.0,68.82,68.82,68.8,68.81,3958
1817,254.0,68.8,68.855,68.8,68.83,19627
1818,255.0,68.8,68.8,68.77,68.8,10502
1819,256.0,68.77,68.79,68.7565,68.79,6520
1820,257.0,68.8046,68.81,68.77,68.77,2703
1821,258.0,68.83,68.84,68.8,68.81,8272
1822,259.0,68.82,68.84,68.82,68.83,2216
1823,260.0,68.825,68.83,68.8,68.8232,6683
1824,261.0,68.825,68.83,68.8,68.82,6602
1825,262.0,68.8435,68.845,68.8239,68.8243,3519
1826,263.0,68.855,68.87,68.845,68.85,7211
1827,264.0,68.87,68.88,68.84,68.86,9546
1828,265.0,68.84,68.8668,68.8348,68.865,13810
1829,266.0,68.83,68.85,68.83,68.85,2826
1830,267.0,68.84,68.85,68.83,68.83,5375
1831,268.0,68.83,68.84,68.83,68.84,2391
1832,269.0,68.81,68.84,68.81,68.83,14253
1833,270.0,68.81,68.81,68.795,68.81,3502
