,0,1,2,3,4,5
1773,,803.285,803.285,803.0,803.21,22208
1774,1.0,801.23,803.275,801.22,802.95,7305
1775,2.0,801.32,802.47,801.22,801.31,3903
1776,3.0,802.575,802.85,802.03,802.15,1100
1777,4.0,801.8766,802.71,801.73,802.69,3075
1778,5.0,801.67,802.62,801.67,802.18,2190
1779,6.0,802.315,802.315,802.2180000000001,802.2180000000001,600
1780,7.0,801.2035,801.5452,800.84,801.4,850
1781,8.0,801.83,801.83,801.36,801.42,1400
1782,9.0,801.04,801.825,801.02,801.46,1000
1783,10.0,800.44,801.23,800.44,801.05,1900
1784,11.0,800.71,801.3092,800.51,800.67,2100
1785,13.0,800.31,800.75,800.15,800.75,1600
1786,14.0,800.28,800.79,800.23,800.79,950
1787,15.0,800.31,800.38,800.09,800.09,400
1788,16.0,800.14,800.28,799.83,800.18,3793
1789,17.0,800.68,800.94,799.85,800.13,1600
1790,18.0,800.105,800.72,800.105,800.72,700
1791,19.0,800.47,800.73,800.47,800.73,200
1792,20.0,800.06,800.5880000000001,800.06,800.33,705
1793,21.0,799.9799,800.26,799.64,800.26,1713
1794,22.0,799.5703,799.83,799.44,799.81,3497
1795,23.0,800.235,800.61,800.0,800.0,2350
1796,24.0,799.715,800.15,799.715,800.1,500
1797,25.0,800.04,800.04,799.84,799.91,614
1798,26.0,799.395,799.67,799.365,799.59,1874
1799,27.0,798.27,799.45,798.2,799.36,5738
1800,28.0,794.82,798.27,794.82,798.27,11535
1801,29.0,797.0,797.0,795.0,795.1,4010
1802,30.0,796.06,797.42,796.06,797.0196,5425
1803,31.0,796.915,796.97,794.6712,795.6,14438
1804,32.0,795.64,797.01,795.35,796.95,6198
1805,33.0,796.255,796.255,795.81,795.81,500
1806,34.0,796.1311,796.65,796.1311,796.65,400
1807,35.0,795.54,796.97,795.53,796.71,3885
1808,36.0,796.2325,796.99,795.7,795.75,4613
1809,37.0,796.2,796.83,795.69,796.1118,2100
1810,38.0,795.0,795.74,795.0,795.74,1489
1811,39.0,795.8668,796.2,794.35,795.2451,12305
1812,40.0,796.0,796.819,796.0,796.0,5286
1813,41.0,795.8352,795.8352,795.54,795.61,400
1814,42.0,795.84,795.84,795.73,795.73,300
1815,43.0,795.96,796.12,795.91,796.1189999999999,3926
1816,44.0,795.29,795.945,795.29,795.77,1625
1817,45.0,795.99,796.205,795.62,795.94,1808
1818,46.0,796.27,796.27,796.02,796.02,760
1819,47.0,797.0,797.0,796.4168,796.4168,400
1820,48.0,797.0,797.68,797.0,797.46,3342
1821,50.0,796.37,796.7,796.1,796.53,1100
1822,51.0,796.6,796.85,796.6,796.85,225
1823,52.0,796.71,796.722,796.42,796.722,374
1824,53.0,795.77,796.595,795.77,796.595,1200
1825,54.0,795.0,796.015,794.95,796.015,2907
1826,55.0,796.515,796.515,794.94,794.96,1961
1827,56.0,796.04,796.11,795.83,796.0235,750
1828,57.0,796.49,796.49,796.19,796.19,700
1829,58.0,796.33,796.52,796.07,796.52,3235
1830,59.0,795.8810000000001,796.305,795.8810000000001,796.13,900
1831,60.0,796.0,796.43,795.83,795.88,1100
1832,61.0,797.0,797.0,795.88,795.91,2000
1833,62.0,796.9899,797.2,796.44,797.2,2520
1834,63.0,797.43,797.43,796.61,797.28,1850
1835,64.0,797.08,797.37,796.93,797.155,1500
1836,65.0,796.86,797.77,796.85,797.27,5300
1837,66.0,795.97,796.68,795.9,796.68,5617
1838,67.0,795.21,796.0718,795.21,796.0718,1325
1839,68.0,795.94,795.94,795.25,795.26,716
1840,69.0,795.87,795.92,795.87,795.92,569
1841,70.0,795.93,796.13,795.88,795.93,1300
1842,71.0,796.215,796.215,795.97,795.99,1000
1843,72.0,795.5566,796.22,795.307,796.22,1715
1844,73.0,795.51,795.73,795.51,795.72,700
1845,74.0,795.65,795.65,795.52,795.52,300
1846,75.0,794.91,795.63,794.91,795.45,5663
1847,76.0,794.47,794.9599,793.69,794.91,11463
1848,77.0,794.48,794.76,794.454,794.454,815
1849,78.0,795.41,795.6,794.76,794.76,1300
1850,79.0,795.16,795.61,794.83,795.22,2218
1851,80.0,795.0,795.34,794.7506,795.12,1463
1852,81.0,794.93,795.31,794.56,795.0,5712
1853,82.0,794.74,794.955,794.11,794.64,7781
1854,83.0,794.83,794.83,794.42,794.75,6346
1855,84.0,794.74,794.9846,794.61,794.97,3820
1856,85.0,794.2139999999999,794.62,794.2139999999999,794.56,1763
1857,86.0,794.138,794.66,794.08,794.2551,5159
1858,87.0,794.44,794.6558,794.44,794.6558,800
1859,88.0,794.37,794.38,794.25,794.291,601
1860,89.0,794.95,794.95,794.62,794.63,2015
1861,90.0,795.24,795.6,794.7,794.93,1689
1862,91.0,794.77,795.09,794.75,794.93,1721
1863,92.0,794.805,794.85,794.64,794.64,1400
1864,93.0,795.24,795.24,795.17,795.17,200
1865,94.0,794.88,795.26,794.76,795.04,3800
1866,95.0,794.85,794.9887,794.85,794.87,723
1867,96.0,794.55,794.96,794.55,794.96,2650
1868,97.0,794.56,794.56,794.56,794.56,100
1869,98.0,794.23,794.29,794.09,794.29,400
1870,99.0,794.09,794.49,794.03,794.08,1130
1871,100.0,794.11,794.16,794.11,794.13,400
1872,101.0,794.38,794.38,794.18,794.34,1272
1873,102.0,794.2385,794.2385,794.2385,794.2385,115
1874,103.0,794.0532,794.2772,793.93,794.2772,2284
1875,104.0,793.79,793.79,793.79,793.79,100
1876,105.0,793.82,793.9674,793.82,793.9674,200
1877,106.0,794.51,794.53,793.855,793.95,4478
1878,107.0,794.5,794.57,794.33,794.57,400
1879,108.0,794.8,794.8,794.44,794.47,623
1880,109.0,794.51,794.88,794.33,794.86,1300
1881,110.0,794.4,794.66,794.3,794.56,900
1882,112.0,794.51,794.95,794.49,794.7,900
1883,113.0,794.895,794.94,794.49,794.6501,4854
1884,114.0,795.34,795.34,794.6078,794.6078,2400
1885,115.0,795.05,795.35,795.04,795.35,1099
1886,116.0,795.27,795.28,795.09,795.28,400
1887,117.0,795.5,795.9693,795.22,795.5,1900
1888,118.0,795.19,795.4593,794.79,795.16,4178
1889,119.0,794.88,795.39,794.57,795.04,3141
1890,120.0,794.7,795.0075,794.52,794.895,716
1891,121.0,794.75,794.75,794.23,794.34,600
1892,122.0,795.3439999999999,795.45,794.82,794.82,1500
1893,123.0,795.35,795.58,795.285,795.37,3736
1894,124.0,795.39,795.55,795.33,795.51,900
1895,125.0,795.45,795.61,795.36,795.42,1265
1896,126.0,795.22,795.4848,795.22,795.45,1603
1897,127.0,795.22,795.4651,795.22,795.4651,1120
1898,128.0,794.7401,795.21,794.7401,795.13,950
1899,129.0,794.79,794.79,794.79,794.79,100
