,0,1,2,3,4,5
781,,153.1,153.1,153.1,153.1,2536
782,1.0,153.31,153.31,153.31,153.31,100
783,2.0,153.685,153.685,153.685,153.685,100
784,5.0,153.17,153.4372,153.17,153.25,600
785,6.0,153.0,153.14,153.0,153.14,1300
786,7.0,152.68,152.68,152.68,152.68,200
787,8.0,152.68,152.68,152.59,152.59,200
788,10.0,152.905,152.93,152.905,152.925,2400
789,11.0,152.69,152.99,152.69,152.99,200
790,15.0,153.12,153.12,153.1,153.1,200
791,16.0,152.77,152.77,152.77,152.77,100
792,17.0,152.6,152.787,152.6,152.787,850
793,18.0,152.73,152.73,152.73,152.73,100
794,20.0,152.62,152.62,152.62,152.62,100
795,21.0,152.62,152.65,152.6,152.65,300
796,22.0,152.53,152.57,152.53,152.53,600
797,23.0,152.45,152.549,152.45,152.549,850
798,24.0,152.41,152.465,152.3401,152.465,1300
799,25.0,152.405,152.405,152.405,152.405,418
800,26.0,152.46,152.46,152.4,152.4,900
801,27.0,152.4675,152.53,152.4675,152.51,300
802,29.0,152.51,152.54,152.47,152.47,300
803,30.0,152.45,152.48,152.45,152.48,400
804,31.0,152.54,152.54,152.465,152.465,800
805,34.0,152.43,152.44,152.43,152.44,400
806,35.0,152.48,152.5,152.445,152.46,1833
807,36.0,152.54,152.54,152.54,152.54,100
808,39.0,152.54,152.54,152.54,152.54,100
809,40.0,152.445,152.49,152.44,152.45,1100
810,42.0,152.34,152.42,152.34,152.42,600
811,43.0,152.43,152.44,152.36,152.36,600
812,45.0,152.33,152.44,152.33,152.44,1300
813,47.0,152.32,152.4,152.32,152.365,900
814,49.0,152.365,152.365,152.365,152.365,100
815,50.0,152.3,152.365,152.3,152.365,1500
816,51.0,152.31,152.355,152.26,152.3375,1400
817,52.0,152.32,152.32,152.32,152.32,100
818,53.0,152.42,152.42,152.35,152.35,600
819,54.0,152.57,152.59,152.45,152.45,1700
820,55.0,152.605,152.645,152.605,152.645,200
821,56.0,152.53,152.645,152.53,152.605,900
822,58.0,152.555,152.62,152.555,152.62,1200
823,60.0,152.57,152.57,152.57,152.57,200
824,61.0,152.61,152.61,152.61,152.61,100
825,63.0,152.43,152.63,152.43,152.63,2400
826,64.0,152.47,152.47,152.4,152.4,900
827,65.0,152.48,152.48,152.48,152.48,100
828,66.0,152.54,152.54,152.54,152.54,100
