,0,1,2,3,4,5
3600,,179.1,179.1,179.1,179.1,15239
3601,1.0,179.35,179.36,179.27,179.27,300
3602,2.0,178.88,179.32,178.88,179.32,11778
3603,3.0,178.55,178.72,178.55,178.66,1900
3604,4.0,178.0,178.62,178.0,178.57,11538
3605,5.0,178.19,178.19,177.81,178.0,2971
3606,6.0,178.7,179.09,178.385,178.385,6474
3607,7.0,179.275,179.275,178.99,179.0,2000
3608,9.0,179.13,179.609,179.1,179.609,1187
3609,10.0,179.31,179.32,179.22,179.27,1100
3610,11.0,179.865,180.19,179.17,179.58,5870
3611,12.0,180.0,180.01,179.77,179.99,1650
3612,14.0,179.59,180.245,179.57,180.15,7564
3613,15.0,179.13,179.58,179.12,179.58,700
3614,16.0,179.18,179.27,179.0,179.265,2180
3615,17.0,179.25,179.82,179.25,179.265,5000
3616,18.0,179.25,179.6,179.25,179.29,1649
3617,19.0,179.3,179.35,179.07,179.21,3600
3618,20.0,179.45,179.45,179.3,179.3,2500
3619,21.0,179.55,179.55,179.3,179.45,8285
3620,22.0,179.6,179.6,179.32,179.32,400
3621,23.0,179.63,179.72,179.59,179.69,500
3622,24.0,179.89,179.89,179.455,179.455,1700
3623,25.0,179.91,179.91,179.5,179.7,2100
3624,27.0,180.0,180.12,179.49,179.49,2670
3625,28.0,180.25,180.26,180.0735,180.22,1100
3626,29.0,179.93,180.24,179.93,180.1,1578
3627,30.0,180.15,180.232,179.83,180.18,5290
3628,31.0,180.19,180.27,179.87,179.98,2000
3629,32.0,179.31,180.2,179.31,180.12,9200
3630,33.0,179.23,179.23,179.23,179.23,100
3631,34.0,179.44,179.58,179.27,179.27,600
3632,35.0,179.84,179.85,179.45,179.54,8119
3633,36.0,179.96,180.0,179.87,179.91,9539
3634,37.0,179.81,179.99,179.81,179.94,1750
3635,38.0,179.97,179.97,179.5,179.85,9500
3636,39.0,180.0,180.17,179.98,179.98,4611
3637,40.0,180.17,180.17,180.17,180.17,100
3638,41.0,179.54,179.94,179.54,179.94,1000
3639,42.0,179.21,179.28,179.21,179.28,300
3640,43.0,179.55,179.57,179.355,179.52,1493
3641,44.0,179.91,179.91,179.5,179.6,4015
3642,45.0,179.78,179.78,179.78,179.78,100
3643,46.0,180.0,180.12,179.88,179.89,800
3644,47.0,180.1,180.13,180.1,180.1,400
3645,48.0,180.005,180.07,179.88,179.88,2400
3646,49.0,180.39,180.39,179.945,180.0,4250
