,0,1,2,3,4,5
4446,,117.95,117.95,117.95,117.95,9206
4447,1.0,117.4168,117.95,117.101,117.95,3319
4448,3.0,117.71,117.71,117.23,117.23,200
4449,4.0,117.38,117.38,117.1,117.22,3610
4450,5.0,117.4022,117.4022,117.4022,117.4022,100
4451,6.0,117.57,117.58,117.57,117.58,200
4452,7.0,117.5167,117.58,117.45,117.58,500
4453,8.0,117.98899999999999,117.98899999999999,117.39,117.5,4548
4454,9.0,118.05,118.05,117.8514,117.8514,3380
4455,10.0,117.68,118.065,117.68,118.065,700
4456,11.0,117.89,117.89,117.77,117.77,300
4457,13.0,118.0089,118.0089,117.89,117.993,935
4458,14.0,117.72,118.05,117.72,118.0,4400
4459,15.0,118.0,118.0,117.8102,117.8102,500
4460,16.0,118.02,118.16,118.02,118.115,1000
4461,17.0,118.06,118.17,117.83,117.96,15594
4462,18.0,118.08,118.5,118.07,118.145,17655
4463,19.0,118.74,118.74,118.11,118.11,8108
4464,20.0,119.79,119.79,118.755,118.755,9017
4465,21.0,120.01,120.41,119.83,119.85,12148
4466,22.0,119.45,119.87,119.38,119.87,2500
4467,23.0,119.51,119.51,119.51,119.51,800
4468,24.0,119.51,119.51,119.35,119.35,2400
4469,25.0,118.57,119.35,118.565,119.35,4198
4470,26.0,119.04,119.06,118.6,118.6,1900
4471,27.0,119.4301,119.4301,119.07,119.365,3600
4472,28.0,119.61,119.61,119.39,119.58,1500
4473,29.0,119.685,119.72,119.44,119.67,3641
4474,30.0,119.56,119.94,119.55,119.94,4700
4475,31.0,119.74,119.86,119.74,119.86,200
4476,32.0,119.7,120.0,119.69,119.75,4512
4477,33.0,119.87,120.18,119.8095,119.85,3438
4478,34.0,119.67,120.1,119.67,119.87,3400
4479,35.0,119.73,119.73,119.47,119.69,1800
4480,36.0,119.73,119.73,119.41,119.41,1100
4481,37.0,119.77,119.95,119.6663,119.6663,1228
4482,38.0,119.98899999999999,120.13,119.8,119.805,42400
4483,39.0,119.83,119.83,119.56,119.74,4400
4484,40.0,119.52,119.57,119.52,119.57,1200
4485,41.0,119.27,119.39,119.27,119.39,300
4486,42.0,119.515,119.74,119.13,119.26,3345
4487,43.0,119.93,119.93,119.71,119.8,600
4488,44.0,119.52,119.86,119.52,119.73,1500
4489,45.0,120.29,120.3,119.54,119.54,7229
4490,47.0,120.13,120.49,120.13,120.37,2500
4491,48.0,120.22,120.59,120.12,120.38,9867
4492,49.0,120.34,120.34,120.1,120.18,3627
4493,50.0,120.24,120.29,120.2,120.2,3600
4494,51.0,120.76,120.76,120.23,120.35,11842
4495,52.0,120.7,120.89,120.7,120.89,800
4496,53.0,121.08,121.2507,120.72,120.77,3508
4497,54.0,120.86,121.0,120.81,120.85,1944
4498,55.0,120.45,121.0,120.44,120.94,6900
4499,56.0,120.72,120.93,120.62,120.68,2400
4500,57.0,120.91,120.91,120.64,120.74,2743
4501,58.0,120.8,120.91,120.8,120.91,1757
4502,59.0,120.81,121.00200000000001,120.81,121.00200000000001,700
4503,60.0,120.56,120.7647,120.56,120.69,2990
4504,61.0,120.62,120.62,120.39,120.6,1700
4505,62.0,120.635,120.79,120.43,120.59200000000001,1770
4506,63.0,120.5026,120.85,120.33,120.78,2953
4507,64.0,120.72,120.85,120.6,120.6,1500
4508,65.0,120.8513,121.11,120.71,120.72,2006
4509,66.0,120.63,120.79,120.63,120.72,1400
4510,67.0,120.58,120.76,120.58,120.65,1544
4511,68.0,120.62,120.74,120.6,120.6,600
4512,69.0,120.07,120.735,120.07,120.735,5200
4513,70.0,119.92,120.1398,119.9,120.1398,3100
4514,71.0,120.055,120.055,120.0,120.0,200
4515,72.0,119.67,120.0656,119.62,119.95,6358
4516,73.0,119.8534,119.9024,119.65,119.8,2300
4517,74.0,119.8,119.8,119.75,119.75,700
4518,75.0,119.55,119.7,119.55,119.7,2000
4519,76.0,119.12,119.53,119.04,119.52,4200
4520,77.0,118.92,119.08,118.83,119.04,4595
4521,78.0,118.98,119.1,118.915,118.98,1800
4522,79.0,119.02,119.1,119.0,119.0562,500
4523,80.0,118.87,119.0,118.87,118.94,900
4524,81.0,118.83,118.97,118.83,118.93,1200
4525,82.0,118.78,118.8807,118.78,118.8807,979
4526,83.0,118.79,118.865,118.79,118.865,200
4527,84.0,118.74,118.79,118.74,118.79,600
4528,85.0,118.74,118.84,118.69,118.73,3434
4529,86.0,118.89,118.96,118.84,118.93,1400
4530,87.0,118.98,118.98,118.83,118.905,800
4531,88.0,118.89,119.09,118.87,118.97,6000
4532,89.0,118.8931,119.05,118.81,119.05,9700
4533,90.0,118.855,118.96,118.78,118.95,6492
4534,91.0,118.71,118.855,118.71,118.82,2500
4535,92.0,118.82,118.92,118.72,118.7672,1980
4536,93.0,118.81,119.05,118.81,118.9,2474
4537,94.0,118.79,118.954,118.79,118.954,1000
4538,95.0,118.8,118.94,118.8,118.93,1800
4539,96.0,118.93,118.93,118.8,118.8001,591
4540,97.0,118.79,118.95,118.78,118.84,6098
4541,98.0,118.54,118.77,118.54,118.77,3399
4542,99.0,118.73,118.98,118.64,118.65,8064
4543,100.0,118.73,118.95,118.73,118.89,1900
4544,101.0,118.92,119.01,118.85,118.93,1282
4545,102.0,118.93,119.1,118.93,119.1,200
4546,103.0,119.04,119.04,118.95,118.95,400
4547,104.0,119.1,119.23,119.1,119.12,6740
4548,105.0,119.12,119.27,119.1,119.165,2600
4549,107.0,119.14,119.27,119.13,119.1664,725
4550,108.0,119.13,119.2,119.13,119.2,200
4551,109.0,119.145,119.17,119.145,119.17,600
4552,110.0,119.16,119.35,119.16,119.25,2272
4553,111.0,119.1,119.22,119.1,119.22,2100
4554,112.0,119.05,119.09,119.05,119.09,400
4555,113.0,119.05,119.15,119.05,119.13,300
4556,114.0,119.23,119.3,119.14,119.22,3475
4557,115.0,119.08,119.285,119.08,119.285,800
4558,116.0,119.12,119.2,119.09,119.2,700
4559,117.0,119.035,119.155,119.03,119.155,1200
4560,118.0,119.0,119.165,119.0,119.165,1200
4561,119.0,119.0,119.0,119.0,119.0,100
4562,120.0,119.01,119.02,119.0,119.005,800
4563,121.0,118.96,119.055,118.96,119.04,1200
4564,122.0,119.005,119.005,118.95,118.95,200
4565,123.0,118.73,118.95,118.73,118.95,2200
4566,124.0,118.65,118.67,118.61,118.67,700
4567,125.0,118.48,118.6925,118.43,118.6925,2386
4568,126.0,118.5604,118.61,118.43,118.44,715
4569,127.0,118.6,118.74,118.43,118.43,2100
4570,128.0,118.84,118.84,118.6,118.66,786
4571,129.0,118.9025,118.9025,118.78,118.86,900
4572,130.0,118.59,118.79,118.59,118.79,3400
4573,131.0,118.59,118.63,118.59,118.63,200
4574,132.0,118.69,118.71,118.57,118.71,750
4575,133.0,118.7,118.7,118.6992,118.6992,300
4576,134.0,118.61,118.61,118.61,118.61,100
4577,135.0,118.66,118.79,118.64,118.79,2700
4578,136.0,118.63,118.63,118.63,118.63,100
4579,137.0,118.58,118.625,118.56,118.56,300
4580,138.0,118.57,118.61,118.52,118.58,1600
4581,139.0,118.59,118.59,118.59,118.59,200
4582,140.0,118.54,118.54,118.54,118.54,100
4583,141.0,118.54,118.6048,118.54,118.54,600
4584,142.0,118.54,118.63,118.54,118.63,500
4585,143.0,118.42,118.615,118.42,118.54,2917
4586,144.0,118.46,118.5452,118.46,118.5452,211
4587,145.0,118.54299999999999,118.6,118.48,118.537,3098
4588,146.0,118.54,118.54,118.5,118.54,800
4589,147.0,118.48,118.48,118.4,118.45,2100
4590,149.0,118.38,118.4359,118.38,118.41,800
4591,150.0,118.41,118.52,118.39,118.48,5400
4592,151.0,118.51,118.52,118.41,118.46,900
4593,153.0,118.47,118.59,118.47,118.52,1000
4594,154.0,118.33,118.47,118.32,118.47,1300
4595,155.0,118.24,118.31,118.16,118.31,2557
4596,156.0,118.1,118.23,118.1,118.23,1300
4597,157.0,118.19,118.19,118.12,118.19,400
4598,158.0,118.08,118.11,118.07,118.11,1850
4599,159.0,118.09,118.09,117.97,118.02,4350
4600,160.0,118.2499,118.2499,118.0,118.0011,750
4601,161.0,118.11,118.11,118.0,118.0,1200
4602,162.0,118.05,118.2,118.05,118.2,450
4603,163.0,118.06,118.1,118.06,118.1,1400
4604,164.0,118.08,118.085,118.03,118.085,700
4605,165.0,118.07,118.14,118.02,118.02,1100
4606,166.0,117.92,118.095,117.92,118.095,3848
4607,167.0,117.9,117.9,117.9,117.9,100
4608,168.0,117.94,117.94,117.9,117.9,600
4609,169.0,118.11,118.11,117.89,117.94,3257
4610,171.0,118.01,118.11,118.01,118.11,500
4611,173.0,118.03,118.13,117.91,118.07,3000
4612,174.0,118.0912,118.15,118.0912,118.12,400
4613,175.0,118.25,118.25,118.16,118.16,400
4614,176.0,118.22,118.22,118.22,118.22,100
4615,177.0,118.18,118.21,118.18,118.21,1338
4616,178.0,118.36,118.36,118.12,118.14,1000
4617,179.0,118.34299999999999,118.34299999999999,118.34299999999999,118.34299999999999,1000
4618,180.0,118.3125,118.34,118.25,118.34,1300
4619,181.0,118.35,118.45,118.35,118.37,1600
4620,182.0,118.35,118.36,118.35,118.36,200
4621,183.0,118.35,118.35,118.35,118.35,500
4622,184.0,118.37,118.43,118.35,118.41,1900
4623,185.0,118.39,118.4599,118.37,118.4599,300
4624,186.0,118.38,118.39,118.38,118.39,500
4625,187.0,118.5,118.52,118.46,118.46,500
4626,188.0,118.505,118.505,118.505,118.505,100
4627,189.0,118.31,118.55,118.26,118.55,2100
4628,191.0,118.49,118.49,118.365,118.39,2185
4629,192.0,118.54,118.54,118.54,118.54,100
4630,193.0,118.58,118.58,118.47,118.47,1000
4631,195.0,118.866,118.866,118.73,118.73,2533
4632,196.0,118.55,118.87,118.55,118.76,2620
4633,198.0,118.57,118.6,118.57,118.6,300
4634,200.0,118.49,118.5738,118.49,118.55,1300
4635,201.0,118.47,118.51,118.47,118.49,500
4636,202.0,118.46,118.5054,118.46,118.47,700
4637,203.0,118.57,118.57,118.4736,118.4736,600
4638,204.0,118.5728,118.5728,118.5728,118.5728,200
4639,205.0,118.64,118.64,118.5,118.51,300
4640,206.0,118.58,118.58,118.58,118.58,100
4641,207.0,118.575,118.575,118.575,118.575,100
4642,208.0,118.47,118.54,118.47,118.51,500
4643,209.0,118.5,118.5,118.47,118.47,800
4644,210.0,118.4836,118.4836,118.4836,118.4836,100
4645,211.0,118.51,118.63,118.51,118.52,3700
4646,212.0,118.575,118.575,118.55,118.55,281
4647,214.0,118.59,118.59,118.59,118.59,200
4648,215.0,118.55,118.59,118.53,118.58,700
4649,216.0,118.55,118.57,118.55,118.57,965
4650,218.0,118.65,118.65,118.65,118.65,100
4651,220.0,118.52,118.59,118.52,118.58,2600
4652,221.0,118.53,118.60600000000001,118.53,118.60600000000001,604
4653,222.0,118.51,118.56,118.51,118.56,300
4654,223.0,118.51,118.56,118.51,118.55,600
4655,224.0,118.47,118.47,118.46,118.46,200
4656,225.0,118.65,118.65,118.54,118.55,1355
4657,227.0,118.75,118.75,118.7,118.7,400
4658,228.0,118.78,118.8,118.71,118.79,1700
4659,229.0,118.762,118.762,118.7,118.76,2261
4660,230.0,118.61,118.73700000000001,118.61,118.7,2175
4661,231.0,118.48,118.57,118.48,118.57,400
4662,232.0,118.49,118.49,118.46,118.46,300
4663,233.0,118.43,118.48,118.43,118.48,600
4664,234.0,118.41,118.44,118.41,118.44,300
4665,235.0,118.41,118.5,118.4,118.45,1615
4666,236.0,118.47,118.47,118.42,118.42,1000
4667,237.0,118.59,118.59,118.4,118.4,4098
4668,238.0,118.52,118.61,118.52,118.6,1800
4669,239.0,118.73,118.79799999999999,118.57,118.57,2635
4670,241.0,119.11,119.11,118.81,118.82,3631
4671,242.0,119.0001,119.0797,119.0001,119.0797,300
4672,243.0,118.94,119.14,118.94,119.075,700
4673,244.0,119.1089,119.1089,119.1089,119.1089,240
4674,245.0,119.0,119.01,118.99,119.01,950
4675,246.0,118.98,118.98,118.98,118.98,200
4676,247.0,119.04,119.04,118.96,118.98,2400
4677,249.0,119.03,119.13,119.03,119.13,6600
4678,250.0,119.115,119.115,119.115,119.115,100
4679,251.0,119.085,119.14,119.085,119.14,200
4680,252.0,119.1949,119.1949,119.0864,119.0864,1400
4681,253.0,119.43,119.43,119.26,119.27,1800
4682,254.0,119.42,119.42,119.42,119.42,100
4683,255.0,119.42,119.43,119.42,119.43,300
