,0,1,2,3,4,5
2723,,116.04,116.04,116.04,116.04,20379
2724,1.0,116.025,116.27,115.99,116.23,5487
2725,2.0,116.085,116.085,115.91,116.03,2400
2726,3.0,116.035,116.075,115.94,116.075,1200
2727,4.0,116.08,116.08,115.9,115.9,2800
2728,5.0,115.98,116.06,115.94,116.06,1600
2729,6.0,115.82,115.94,115.79,115.94,8600
2730,7.0,115.7,115.82,115.7,115.82,2116
2731,8.0,115.63,115.73,115.56,115.73,6582
2732,9.0,115.81,115.85,115.63,115.635,7718
2733,10.0,116.01,116.01,115.8,115.81,6424
2734,11.0,116.07,116.085,115.99,115.99,8307
2735,12.0,116.19,116.2,116.01,116.08,9070
2736,13.0,116.15,116.2,116.15,116.2,1550
2737,14.0,116.16,116.17,116.14,116.14,1538
2738,15.0,116.2,116.28,116.16,116.2,7900
2739,16.0,116.215,116.22,116.16,116.185,5766
2740,17.0,116.44,116.44,116.18,116.24,15800
2741,18.0,116.27,116.42,116.27,116.42,12751
2742,19.0,116.425,116.425,116.27,116.27,4304
2743,20.0,116.37,116.49,116.31,116.41,17389
2744,21.0,116.48,116.48,116.34,116.34,3433
2745,22.0,116.4634,116.47,116.4,116.47,4182
2746,23.0,116.45,116.52,116.45,116.47,5825
2747,24.0,116.58,116.59,116.45,116.45,5758
2748,25.0,116.7,116.73,116.56,116.59,8575
2749,26.0,116.73,116.87,116.72,116.74,11726
2750,27.0,116.72,116.78,116.72,116.74,1200
2751,28.0,116.7,116.715,116.66,116.69,3300
2752,29.0,116.62,116.6952,116.6,116.6952,3500
2753,30.0,116.66,116.67,116.61,116.62,4184
2754,31.0,116.63,116.69,116.59,116.66,6838
2755,32.0,116.62,116.63,116.57,116.58,6760
2756,33.0,116.595,116.625,116.59,116.625,3600
2757,34.0,116.56,116.6,116.55,116.59,3718
2758,35.0,116.6,116.6,116.535,116.55,2200
2759,36.0,116.68,116.7,116.64,116.64,9803
2760,37.0,116.73,116.77,116.7,116.7,12947
2761,38.0,116.8,116.83,116.73,116.73,9323
2762,39.0,116.79,116.83,116.79,116.82,5710
2763,40.0,116.7181,116.79,116.7181,116.79,5901
2764,41.0,116.65,116.725,116.65,116.725,6165
2765,42.0,116.61,116.65,116.61,116.64,2600
2766,43.0,116.46,116.615,116.42,116.6,7718
2767,44.0,116.43,116.48,116.42,116.48,2892
2768,45.0,116.47,116.5,116.425,116.425,3200
2769,46.0,116.5,116.5,116.45,116.47,3354
2770,47.0,116.54,116.54,116.48,116.5,2400
2771,48.0,116.57,116.64,116.54,116.55,6372
2772,49.0,116.6,116.63,116.56,116.56,5782
2773,50.0,116.59,116.61,116.57,116.6,2000
2774,51.0,116.66,116.68,116.495,116.58,8319
2775,52.0,116.71,116.74,116.68,116.68,7152
2776,53.0,116.67,116.7199,116.63,116.7199,4427
2777,54.0,116.635,116.68,116.635,116.67,950
2778,55.0,116.67,116.7,116.63,116.66,4914
2779,56.0,116.71,116.71,116.62,116.66,4927
2780,57.0,116.74,116.75,116.685,116.71,3400
2781,58.0,116.76,116.76,116.7,116.73,14391
2782,59.0,116.77,116.8,116.73,116.75,7660
2783,60.0,116.77,116.77,116.72,116.74,2200
2784,61.0,116.74,116.75,116.71,116.73,4800
