,0,1,2,3,4,5
499,,765.9,765.9,765.9,765.9,1220
500,1.0,766.38,766.38,762.43,762.43,400
501,5.0,766.38,766.38,766.38,766.38,100
502,6.0,765.42,765.42,765.42,765.42,100
503,8.0,765.54,765.54,765.54,765.54,100
504,9.0,765.12,765.1399,765.12,765.1399,200
505,11.0,763.99,765.21,763.99,764.99,1200
506,13.0,764.525,766.355,764.13,764.92,1847
507,15.0,764.34,764.34,764.34,764.34,100
508,16.0,764.61,764.615,764.42,764.42,300
509,17.0,764.63,764.67,764.43,764.43,400
510,18.0,764.23,764.68,764.23,764.67,1128
511,19.0,764.06,764.55,764.06,764.55,400
512,21.0,764.08,764.08,764.08,764.08,100
513,22.0,764.565,764.565,764.3,764.3,400
514,23.0,765.63,765.63,764.23,764.595,12448
515,24.0,765.945,765.945,765.66,765.66,200
516,25.0,765.94,765.99,765.94,765.99,200
517,26.0,766.1609,766.695,766.1609,766.695,269
518,27.0,766.6,766.6,766.23,766.23,500
519,28.0,766.6,766.6,766.6,766.6,100
520,30.0,766.5752,766.965,766.5752,766.965,200
521,31.0,767.0,767.0,766.99,766.99,611
522,32.0,767.37,767.42,767.33,767.35,855
523,33.0,767.0,767.37,767.0,767.37,500
524,34.0,767.585,767.585,767.585,767.585,100
525,37.0,766.49,767.15,766.49,767.01,700
526,42.0,766.97,766.97,766.97,766.97,100
527,43.0,766.97,766.97,766.97,766.97,100
528,44.0,766.91,766.91,766.91,766.91,100
529,46.0,767.12,767.45,767.12,767.45,200
530,48.0,767.32,767.32,767.32,767.32,100
531,52.0,767.2,767.2,767.2,767.2,100
532,53.0,767.23,767.5,767.23,767.5,200
533,55.0,767.29,767.29,767.29,767.29,100
534,58.0,766.255,767.84,766.255,767.84,400
535,59.0,767.96,767.96,767.96,767.96,100
536,61.0,766.2401,766.2401,766.2401,766.2401,100
537,62.0,768.02,768.02,768.01,768.01,300
538,65.0,768.2,768.2,768.02,768.02,500
539,67.0,768.575,768.575,768.24,768.24,300
540,69.0,768.57,768.57,768.57,768.57,100
