,0,1,2,3,4,5
0,,91.16,91.16,91.16,91.16,30850
1,1.0,91.09,91.19,91.02,91.145,5182
2,2.0,90.97,91.14,90.89,91.14,6939
3,3.0,91.055,91.09,91.055,91.07,600
4,4.0,91.06,91.14,91.025,91.08,6300
5,5.0,91.03,91.11,91.03,91.06,1139
6,6.0,91.13,91.13,91.04,91.04,1200
7,7.0,91.19,91.2,91.179,91.179,1700
8,8.0,91.1,91.12,91.1,91.12,1046
9,9.0,91.1166,91.13,91.1,91.1,1232
10,10.0,91.24,91.24,91.14,91.14,1600
11,11.0,91.26,91.35,91.26,91.26,6688
12,12.0,91.15,91.23,91.15,91.21,2700
13,13.0,91.23,91.23,91.15,91.15,900
14,14.0,91.27,91.3,91.18,91.22,3298
15,15.0,91.23,91.309,91.2,91.309,1100
16,16.0,91.16,91.32,91.16,91.235,5200
17,17.0,91.16,91.2,91.14,91.18,2500
18,18.0,91.11,91.16,91.11,91.16,1500
19,19.0,91.03,91.125,91.0,91.125,4042
20,20.0,91.04,91.05,90.99,91.03,2403
21,21.0,91.0282,91.1,90.97,91.05,6804
22,22.0,91.02,91.05,91.02,91.05,1556
23,23.0,91.04,91.16,91.03,91.03,3700
24,24.0,91.07,91.11,91.07,91.07,2200
25,25.0,91.06,91.13,91.06,91.079,3550
26,26.0,91.0603,91.1,91.0301,91.04,5721
27,27.0,91.08,91.1,91.06,91.09,2687
28,28.0,91.05,91.1,91.01,91.09,3100
29,29.0,91.1,91.1,91.0673,91.07,1553
30,30.0,91.06,91.1,91.04,91.1,4171
31,31.0,91.03,91.06,90.98,91.06,7009
32,32.0,91.05,91.08,90.98,91.02,7500
33,33.0,91.1,91.1,91.04,91.04,1400
34,34.0,91.11,91.13,91.11,91.12,900
35,35.0,91.17,91.17,91.105,91.105,5143
36,36.0,91.21,91.21,91.15,91.18,5423
37,37.0,91.14,91.21,91.14,91.21,5700
38,38.0,91.15,91.18,91.14,91.14,2100
39,39.0,91.13,91.17,91.11,91.16,6833
40,40.0,91.17,91.19,91.1,91.11,2700
41,41.0,91.1111,91.17200000000001,91.1111,91.15,3630
42,42.0,91.05,91.14,91.04,91.14,4809
43,43.0,91.05,91.06,91.03,91.05,4700
44,44.0,90.99,91.05,90.99,91.05,9600
45,45.0,90.97,90.99,90.965,90.98,4900
46,46.0,90.99,91.02,90.98,90.98,2900
47,47.0,91.02,91.02,90.97,90.98,3835
48,48.0,90.93,91.02,90.93,91.01,18815
49,49.0,90.89,90.9754,90.87,90.94,11173
50,50.0,90.92,90.93,90.87,90.9,2466
51,51.0,90.93,90.95,90.9,90.93,1900
52,52.0,90.94,90.97,90.91,90.92,3300
53,53.0,90.89,90.93,90.88,90.93,5999
54,54.0,90.9,90.96,90.84,90.84,21946
55,55.0,90.93,90.93,90.83,90.905,12760
56,56.0,90.89,90.948,90.89,90.93,3700
57,57.0,90.86,90.9,90.82,90.9,7785
58,58.0,90.84,90.87,90.84,90.87,3591
59,59.0,90.85,90.87,90.81,90.85,6067
60,60.0,90.8,90.88,90.8,90.87,5518
61,61.0,90.869,90.87,90.7962,90.7962,4153
62,62.0,90.86,90.87,90.85,90.86,1818
63,63.0,90.94,90.94,90.85,90.86,6111
64,64.0,90.93,90.95,90.92,90.94,5241
65,65.0,90.97,90.9769,90.93,90.94,3486
66,66.0,90.99,91.0298,90.94,90.96,4437
67,67.0,90.99,91.04,90.9835,90.9835,1897
68,68.0,91.05799999999999,91.05799999999999,90.98,90.98,1600
69,69.0,91.08,91.08,91.01,91.04,4162
70,70.0,91.05,91.06,91.0354,91.06,3913
71,71.0,91.06,91.09700000000001,91.06,91.06,1900
72,72.0,91.07,91.07,91.02,91.05,5010
73,73.0,91.03,91.04,91.00399999999999,91.04,4256
74,74.0,91.05,91.08,91.04,91.04,2300
75,75.0,91.03,91.056,91.01,91.04,3700
76,76.0,91.03,91.09,91.01,91.01,4283
77,77.0,91.01,91.025,91.01,91.02,1600
78,78.0,91.03,91.03,91.008,91.01899999999999,1500
79,79.0,91.0201,91.07,91.0201,91.029,2711
80,80.0,91.11,91.11,91.02,91.02,4886
81,81.0,91.1338,91.14,91.12,91.12,940
82,82.0,91.17,91.18,91.13,91.13,6538
83,83.0,91.14,91.1768,91.14,91.17,2665
84,84.0,91.09,91.16,91.09,91.13,4909
85,85.0,91.17,91.17,91.09,91.09,2999
86,86.0,91.17,91.18,91.17,91.18,330
87,87.0,91.18,91.2,91.17,91.17,5900
88,88.0,91.13,91.175,91.12,91.17,1646
89,89.0,91.07,91.12,91.07,91.12,2800
90,90.0,91.08,91.08,91.045,91.07,4800
91,91.0,91.12,91.12,91.1,91.1,1534
92,92.0,91.12,91.1206,91.12,91.1206,473
93,93.0,91.06,91.13,91.05,91.13,3841
94,94.0,91.07,91.07,91.04,91.04,3100
95,95.0,91.04,91.081,91.04,91.07,3780
96,96.0,91.05,91.05,91.03,91.03,1100
97,97.0,91.0436,91.045,91.015,91.045,2433
98,98.0,91.06,91.06,91.04,91.04,1000
99,99.0,91.07,91.09,91.07,91.07,1008
100,100.0,91.0773,91.09,91.065,91.07700000000001,2861
101,101.0,91.04,91.07,91.04,91.07,3350
102,102.0,91.05,91.06,91.035,91.04,2100
103,103.0,91.089,91.089,91.055,91.06,2000
104,104.0,91.09,91.09,91.09,91.09,100
105,105.0,91.05,91.085,91.04,91.085,2000
106,106.0,91.07,91.07,91.03,91.05,5468
107,107.0,91.15,91.15,91.065,91.07,3562
108,108.0,91.12,91.14,91.11,91.14,1900
109,109.0,91.15,91.16,91.11,91.11,2028
110,110.0,91.1435,91.19,91.14,91.15,3732
111,111.0,91.14,91.15,91.14,91.15,800
112,112.0,91.16,91.18,91.13,91.13,2300
113,113.0,91.14,91.15,91.14,91.15,900
114,114.0,91.12,91.145,91.11,91.14,900
115,115.0,91.11,91.11,91.085,91.11,2500
116,116.0,91.12,91.12,91.085,91.11399999999999,3115
117,117.0,91.18,91.18,91.12,91.12,2300
118,118.0,91.19,91.19,91.16,91.16,2200
119,119.0,91.155,91.18,91.155,91.18,1709
120,120.0,91.15,91.15,91.12,91.15,2900
121,121.0,91.16,91.16,91.15,91.16,866
122,122.0,91.13,91.15,91.1,91.15,4050
123,123.0,91.12899999999999,91.12899999999999,91.11,91.12,1601
124,124.0,91.1,91.11,91.075,91.11,2700
125,125.0,91.1,91.11,91.095,91.11,2300
126,126.0,91.1,91.1,91.089,91.1,1900
127,127.0,91.08,91.12,91.08,91.095,5383
128,128.0,91.05,91.085,91.05,91.085,3311
129,129.0,91.05,91.0799,91.05,91.051,2400
130,130.0,91.06,91.06,91.04,91.04,1900
131,131.0,91.05,91.0575,91.0495,91.05,601
132,132.0,91.04,91.055,91.015,91.05,3205
133,133.0,91.03,91.0499,91.03,91.044,825
134,134.0,91.01,91.0153,91.005,91.01,1900
