,0,1,2,3,4,5
1412,,64.61,64.61,64.61,64.61,7955
1413,1.0,64.54,64.61,64.54,64.61,1717
1414,2.0,64.53,64.53,64.53,64.53,2979
1415,3.0,64.61,64.61,64.53,64.55,9223
1416,4.0,64.63,64.64,64.59,64.61,8630
1417,5.0,64.64,64.64,64.63,64.63,900
1418,6.0,64.6301,64.64,64.61,64.62,1300
1419,7.0,64.62,64.65,64.61,64.64,4657
1420,8.0,64.595,64.625,64.595,64.6101,5081
1421,9.0,64.61,64.62,64.585,64.6,1629
1422,10.0,64.605,64.61,64.6,64.61,5800
1423,11.0,64.61,64.61,64.5901,64.6,3381
1424,12.0,64.6033,64.62,64.595,64.61,5460
1425,13.0,64.6,64.62,64.5801,64.61,4500
1426,14.0,64.5901,64.61,64.5901,64.61,3659
1427,15.0,64.61,64.61,64.59,64.59,300
1428,16.0,64.61,64.61,64.59,64.6,1500
1429,17.0,64.62,64.62,64.5801,64.5801,700
1430,18.0,64.6,64.6,64.59,64.5901,5176
1431,19.0,64.61,64.61,64.595,64.6,2400
1432,20.0,64.61,64.61,64.595,64.6,8490
1433,21.0,64.61,64.6143,64.605,64.61,2300
1434,22.0,64.62,64.62,64.61,64.61,862
1435,23.0,64.64,64.65,64.64,64.64,900
1436,24.0,64.635,64.635,64.635,64.635,142
1437,25.0,64.62,64.63,64.605,64.63,1598
1438,26.0,64.605,64.62,64.6,64.62,23302
1439,27.0,64.6,64.61,64.59,64.6,19907
1440,28.0,64.59,64.61,64.575,64.61,23881
1441,29.0,64.59,64.59,64.585,64.59,2823
1442,30.0,64.59,64.59,64.57,64.58,29492
1443,31.0,64.59,64.595,64.575,64.59,9424
1444,32.0,64.62,64.62,64.59,64.6,15464
1445,33.0,64.64,64.64,64.62,64.62,7789
1446,34.0,64.63,64.64,64.63,64.64,9120
1447,35.0,64.64,64.64,64.625,64.63,5890
1448,36.0,64.64,64.65,64.63,64.64,4600
1449,37.0,64.64,64.64,64.625,64.63,23622
1450,38.0,64.64,64.64,64.625,64.63,8623
1451,39.0,64.625,64.64,64.62,64.635,19918
1452,40.0,64.625,64.63,64.61,64.625,21231
1453,41.0,64.615,64.63,64.615,64.63,8754
1454,42.0,64.63,64.63,64.615,64.62,5100
1455,43.0,64.63,64.63,64.62,64.63,700
1456,44.0,64.61,64.63,64.61,64.62,3595
1457,45.0,64.61,64.61,64.61,64.61,500
1458,46.0,64.6,64.61,64.59,64.61,9933
1459,47.0,64.59,64.61,64.59,64.6,12394
1460,48.0,64.6,64.6,64.595,64.6,6620
1461,49.0,64.6,64.6,64.595,64.6,7449
1462,50.0,64.6,64.6,64.59,64.59,9954
1463,51.0,64.595,64.6,64.59,64.5925,12800
1464,52.0,64.59,64.6,64.5836,64.6,9037
1465,53.0,64.59,64.59,64.59,64.59,9900
1466,54.0,64.58,64.59,64.58,64.59,500
1467,55.0,64.59,64.59,64.58,64.58,3441
1468,56.0,64.59,64.59,64.58,64.59,567
1469,57.0,64.575,64.58,64.575,64.58,1000
1470,58.0,64.575,64.575,64.575,64.575,100
1471,59.0,64.58,64.58,64.58,64.58,100
1472,60.0,64.56,64.58,64.56,64.58,1996
1473,61.0,64.57,64.5701,64.57,64.57,800
1474,62.0,64.58,64.58,64.575,64.58,5404
1475,63.0,64.56,64.57,64.56,64.57,7770
1476,64.0,64.56,64.57,64.56,64.56,2100
1477,65.0,64.56,64.57,64.56,64.56,1400
1478,66.0,64.56,64.565,64.56,64.565,300
1479,67.0,64.57,64.58,64.56,64.57,4262
1480,68.0,64.56,64.58,64.56,64.575,3900
1481,69.0,64.55,64.56,64.55,64.56,2200
1482,70.0,64.55,64.55,64.55,64.55,100
1483,71.0,64.55,64.55,64.55,64.55,3899
1484,72.0,64.55,64.55,64.54,64.55,1600
1485,73.0,64.55,64.56,64.545,64.55,2800
1486,74.0,64.55,64.56,64.55,64.56,600
1487,75.0,64.55,64.56,64.54,64.55,4827
1488,76.0,64.55,64.55,64.55,64.55,100
1489,77.0,64.57,64.57,64.55,64.55,3984
1490,78.0,64.57,64.57,64.57,64.57,100
1491,79.0,64.57,64.57,64.57,64.57,700
1492,80.0,64.58,64.58,64.58,64.58,200
1493,81.0,64.58,64.58,64.58,64.58,600
1494,82.0,64.58,64.58,64.5745,64.5745,2125
1495,83.0,64.58,64.585,64.58,64.585,500
1496,84.0,64.58,64.58,64.58,64.58,100
1497,85.0,64.58,64.58,64.58,64.58,3901
1498,86.0,64.585,64.59,64.585,64.59,300
1499,87.0,64.57,64.58,64.57,64.58,3900
1500,88.0,64.57,64.57,64.56,64.56,1700
1501,89.0,64.565,64.57,64.565,64.57,300
1502,90.0,64.56,64.56,64.56,64.56,500
1503,91.0,64.55,64.55,64.55,64.55,100
1504,92.0,64.55,64.55,64.55,64.55,100
1505,93.0,64.57,64.57,64.555,64.56,4837
1506,94.0,64.57,64.57,64.565,64.565,700
1507,95.0,64.565,64.565,64.56,64.56,600
1508,96.0,64.565,64.57,64.565,64.565,400
1509,97.0,64.56,64.565,64.56,64.565,5162
1510,98.0,64.56,64.57,64.55,64.56,2281
1511,99.0,64.55,64.57,64.55,64.56,16511
1512,100.0,64.55,64.55,64.55,64.55,3064
1513,101.0,64.55,64.56,64.545,64.56,39664
1514,102.0,64.56,64.56,64.55,64.55,12200
1515,103.0,64.56,64.56,64.55,64.56,6625
1516,104.0,64.56,64.57,64.56,64.57,2300
1517,105.0,64.58,64.58,64.565,64.565,5179
1518,106.0,64.57,64.57,64.5699,64.57,7599
1519,107.0,64.5739,64.575,64.57,64.57,600
1520,109.0,64.57,64.59,64.57,64.58,2300
1521,110.0,64.57,64.57,64.5699,64.57,1649
1522,113.0,64.58,64.58,64.575,64.58,2800
1523,115.0,64.59,64.59,64.57,64.58,9369
1524,116.0,64.58,64.58,64.58,64.58,400
1525,117.0,64.575,64.58,64.575,64.58,797
1526,118.0,64.575,64.58,64.575,64.58,3600
1527,119.0,64.58,64.58,64.58,64.58,2100
1528,120.0,64.59,64.59,64.58,64.58,1270
1529,122.0,64.585,64.59,64.58,64.59,4919
1530,123.0,64.59,64.59,64.59,64.59,1422
1531,124.0,64.6,64.6,64.595,64.595,500
1532,125.0,64.6,64.6,64.595,64.595,200
1533,126.0,64.6,64.6,64.595,64.6,3722
1534,127.0,64.6,64.6,64.59,64.6,3721
1535,128.0,64.6,64.6,64.595,64.6,1315
1536,129.0,64.6,64.6,64.6,64.6,2161
1537,131.0,64.61,64.61,64.6,64.6,1500
1538,132.0,64.62,64.62,64.62,64.62,100
1539,133.0,64.615,64.615,64.615,64.615,100
1540,135.0,64.615,64.62,64.61,64.615,1300
1541,137.0,64.62,64.62,64.615,64.62,700
1542,138.0,64.61,64.61,64.61,64.61,800
1543,140.0,64.61,64.61,64.605,64.605,51900
1544,141.0,64.61,64.61,64.605,64.605,200
1545,142.0,64.61,64.615,64.61,64.61,3100
1546,143.0,64.61,64.62,64.61,64.62,1100
1547,144.0,64.61,64.61,64.61,64.61,200
1548,145.0,64.62,64.62,64.62,64.62,200
1549,146.0,64.61,64.62,64.61,64.615,1700
1550,147.0,64.62,64.62,64.615,64.615,1100
1551,148.0,64.615,64.615,64.615,64.615,100
1552,149.0,64.62,64.62,64.62,64.62,500
1553,150.0,64.625,64.625,64.62,64.62,2837
1554,151.0,64.62,64.625,64.62,64.625,1500
1555,152.0,64.62,64.62,64.615,64.615,3000
1556,154.0,64.615,64.615,64.615,64.615,300
1557,155.0,64.62,64.62,64.6146,64.615,1200
1558,157.0,64.61,64.61,64.61,64.61,200
1559,158.0,64.595,64.61,64.595,64.61,3600
