,0,1,2,3,4,5
2672,,125.25,125.25,125.25,125.25,14425
2673,1.0,125.17,125.5404,125.03,125.5404,6380
2674,3.0,125.0,125.09,124.82,125.09,8433
2675,4.0,124.93,124.93,124.93,124.93,200
2676,5.0,125.02,125.07,124.95,124.95,1600
2677,7.0,125.25,125.25,125.0,125.0,1400
2678,8.0,125.42,125.44,125.41,125.41,400
2679,9.0,125.3,125.4241,125.29,125.31,1651
2680,10.0,125.1965,125.31,125.14,125.27,1500
2681,11.0,125.33,125.37,125.28,125.28,1200
2682,12.0,125.16,125.24,125.0883,125.15,2163
2683,13.0,125.23,125.43,125.21,125.21,3000
2684,14.0,125.21,125.29,125.13,125.13,10979
2685,15.0,125.34,125.36,125.2,125.23,10284
2686,16.0,125.385,125.385,125.29,125.31,1400
2687,17.0,125.38,125.38,125.315,125.3364,1200
2688,18.0,125.28,125.33,125.255,125.31,2207
2689,19.0,125.37,125.375,125.37,125.375,200
2690,20.0,125.51,125.535,125.41,125.41,1800
2691,21.0,125.31,125.479,125.31,125.47,2600
2692,22.0,125.18,125.33,125.18,125.33,400
2693,23.0,125.25,125.25,125.15,125.16,2290
2694,24.0,125.25,125.25,125.25,125.25,600
2695,25.0,125.235,125.265,125.2,125.22,733
2696,26.0,125.37,125.42,125.25,125.25,1467
2697,27.0,125.24,125.37,125.23,125.37,6109
2698,28.0,125.27,125.3,125.22,125.22,1900
2699,29.0,125.3,125.3,125.3,125.3,2000
2700,30.0,125.29,125.345,125.29,125.3,9800
2701,31.0,125.38,125.38,125.27,125.32,1906
2702,32.0,125.44,125.47,125.37,125.37,1044
2703,33.0,125.485,125.51,125.45,125.45,1663
2704,34.0,125.47,125.47,125.45,125.47,1191
2705,35.0,125.4747,125.57,125.45,125.5,3600
2706,36.0,125.47,125.5,125.41,125.5,5600
2707,37.0,125.485,125.52,125.45,125.47,1752
2708,38.0,125.58,125.64,125.52,125.52,3691
2709,39.0,125.5299,125.53,125.44,125.53,2850
2710,40.0,125.42,125.47,125.37,125.46,1200
2711,41.0,125.38,125.43,125.27,125.38,2583
2712,42.0,125.44,125.44,125.39,125.39,1956
2713,43.0,125.53,125.53,125.4,125.4,1595
2714,44.0,125.561,125.561,125.53,125.53,866
2715,45.0,125.5408,125.5408,125.5408,125.5408,111
2716,46.0,125.62,125.62,125.5,125.53,1851
2717,47.0,125.469,125.62,125.45,125.62,3013
2718,48.0,125.51,125.51,125.41,125.43,2150
2719,49.0,125.4901,125.5292,125.4901,125.5292,407
2720,50.0,125.5383,125.5383,125.49,125.49,735
2721,51.0,125.54,125.58,125.53,125.55,2322
2722,52.0,125.72,125.73,125.55,125.55,3166
