,0,1,2,3,4,5
3111,,40.27,40.27,40.27,40.27,9909
3112,1.0,40.2508,40.39,40.25,40.25,900
3113,2.0,40.24,40.26,40.24,40.26,300
3114,3.0,40.17,40.27,40.17,40.27,8400
3115,6.0,40.1,40.16,40.1,40.16,300
3116,8.0,40.0,40.0,40.0,40.0,200
3117,13.0,39.985,40.0,39.985,39.99,700
3118,14.0,39.95,39.95,39.95,39.95,100
3119,15.0,40.0,40.0,39.92,39.96,2000
3120,16.0,40.0,40.0,40.0,40.0,700
3121,17.0,39.99,40.05,39.99,40.05,400
3122,18.0,40.03,40.03,39.97,40.0,1900
3123,19.0,40.06,40.06,40.06,40.06,200
3124,20.0,40.0,40.0,39.99,40.0,4351
3125,21.0,40.01,40.01,40.0,40.0,1400
3126,22.0,40.052,40.052,39.98,40.0,4100
3127,24.0,40.04,40.1,40.04,40.06,1000
3128,25.0,40.13,40.13,40.1,40.11,300
3129,26.0,40.12,40.19,40.12,40.19,200
3130,27.0,40.1,40.11,40.1,40.11,800
3131,29.0,40.09,40.09,40.08,40.08,300
3132,30.0,40.13,40.13,40.13,40.13,166
3133,31.0,40.09,40.095,40.0864,40.095,1091
3134,32.0,40.07,40.07,40.07,40.07,500
3135,33.0,40.0625,40.0625,40.04,40.04,500
3136,34.0,40.1,40.1,40.02,40.0606,13700
3137,35.0,40.1,40.12,40.1,40.12,500
3138,36.0,40.13,40.13,40.1,40.1,900
3139,39.0,40.18,40.18,40.18,40.18,300
3140,43.0,40.2,40.2,40.2,40.2,100
3141,45.0,40.22,40.23,40.2,40.2,2700
3142,46.0,40.19,40.225,40.19,40.225,1900
3143,47.0,40.2,40.2,40.19,40.2,800
3144,48.0,40.1824,40.2,40.1824,40.2,572
3145,49.0,40.18,40.19,40.17,40.18,2100
3146,50.0,40.2,40.2,40.18,40.18,600
3147,51.0,40.18,40.18,40.18,40.18,400
3148,53.0,40.21,40.21,40.18,40.18,300
3149,54.0,40.2,40.21,40.2,40.21,1200
3150,56.0,40.24,40.25,40.215,40.22,800
3151,57.0,40.25,40.25,40.24,40.24,1300
3152,58.0,40.27,40.27,40.24,40.24,6175
3153,59.0,40.27,40.27,40.27,40.27,800
3154,60.0,40.255,40.255,40.255,40.255,100
3155,61.0,40.25,40.26,40.22,40.26,2000
3156,62.0,40.25,40.273,40.24,40.24,1300
3157,63.0,40.24,40.255,40.24,40.255,600
3158,64.0,40.23,40.25,40.23,40.25,900
3159,65.0,40.23,40.23,40.23,40.23,100
3160,67.0,40.22,40.22,40.22,40.22,200
3161,68.0,40.21,40.21,40.21,40.21,1100
3162,69.0,40.23,40.24,40.21,40.21,2150
3163,70.0,40.26,40.26,40.24,40.24,500
3164,71.0,40.285,40.285,40.285,40.285,100
